month-day,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
01-01,0.67,0.15,13.54,1.35,4.08,10.66,17.94,0,0,0.03,0.01,0,0.01,0,4.57,0.62,0,0.68,0,0,10.89
01-02,0.26,0.56,17.67,27.32,1.21,3.69,18.16,0.27,0,0.06,0.33,0.02,1.83,0.06,8.66,2.08,0,0.28,0,0,18.35
01-03,1.13,1.59,0.11,4.56,0.05,3.49,3.62,0.28,0,0.03,0.11,0.27,22.71,8.12,2.62,2.02,0,8.67,0,0,6.93
01-04,1.22,0.8,5,0.28,0.63,3.39,0.56,0.04,0.29,0.34,0.3,4.88,12.97,5.08,3.25,0.91,0.37,8.49,0.03,0,8.66
01-05,2.05,0.01,9.74,1.93,11.88,0.03,20.66,0.08,6.15,6.06,5.62,2.89,17.47,17.02,0.25,0.87,3.03,2.85,1,0.01,0.64
01-06,1.26,0.04,3.21,0.09,36.22,0,27.29,0.22,16.84,0.76,0.92,3.47,28.86,1.79,0.05,2.18,0.39,16.46,11.38,0.03,2.09
01-07,0.04,0.03,0.44,0,2.32,0.95,6.9,0.01,0.46,2.1,0,0.04,5.37,0.22,0,0.82,0,28.67,3.91,0,7.14
01-08,1.32,0,0,0.25,0.52,8,1.86,0,1.14,0.03,0,0.27,0.16,0,0,0.64,0,31.99,5.99,0.24,6.45
01-09,2.57,0,0.01,0.11,0,0.03,14.19,0,3.23,0.96,0,0.29,7.05,0.33,0,10.96,0,13.83,3.46,25.59,0.39
01-10,10.64,0,0.05,0,0,0,17.32,0.04,1.83,3.89,0,1.77,8.39,0.5,2.63,11.96,0.25,40.85,6.66,4.76,0.01
01-11,0.39,0,0.1,0.22,0,0,13.6,5.16,0.89,6.83,0,9.37,3.3,0.63,2.16,1.67,0.07,7.87,1.91,3.87,0.39
01-12,0.22,0,0.09,3.3,2.58,0.01,2.53,0.92,0.01,4.96,0.03,5.61,6.79,0.37,1.43,0.02,0.69,0.4,0.13,0.1,0.04
01-13,4.22,0.26,0.07,0,12.99,12.22,0,0.04,3.35,2.16,0.03,0,9.16,14.67,0.54,0.02,0.08,0.95,0.01,0,0.01
