month-day,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
01-01,0.85,1.87,1.59,1.83,1.91,1.29,1.38,1.97,1.56,2.39,2.03,1.89,1.76,1.37,1.55,1.9,2.01,1.96,1.6,1.28,1.65
01-02,1.71,1.92,2.01,2.12,1.85,1.57,1.24,1.15,1.54,2.12,1.65,1.59,2,1.26,1.86,1.42,2.9,2.43,1.14,1.55,1.8
01-03,1.29,1.33,2.5,1.71,1.37,1.12,1.13,1.02,1.41,1.43,1.8,1.81,2.12,1.48,2.21,1.02,3.06,2.03,1.68,1.71,2.32
01-04,1.42,1.15,2.65,2.27,1.44,1.16,1.66,1.29,1.41,1.22,1.6,2.35,2.5,1.72,2.24,1.56,2.36,1.88,1.85,1.11,2.12
01-05,1.46,1.21,1.87,1.83,2,1.54,1.97,1.87,1.29,1.27,1.74,2.37,1.52,1.54,1.88,2.04,1.87,2.48,1.66,1.45,2.06
01-06,1.21,2.11,1.76,2.11,2.48,1.78,2.26,2.04,1.23,1.74,1.65,1.66,1.55,1.45,1.48,1.57,1.37,2.53,1.3,1.43,1.79
01-07,1.78,2.1,2.36,1.54,1.84,1.84,1.99,1.58,1.2,1.67,1.35,1.59,2.06,1.5,1.83,1.56,1.2,2.48,1.52,1.34,1.76
01-08,1.72,3.25,2.43,1.54,2.47,2.58,1.85,1.54,1.39,1.49,1.67,1.59,1.64,1.33,1.42,1.37,1.04,2.3,1.61,1.44,1.85
01-09,1.31,2.91,2.92,1.18,1.83,3.02,1.66,2.13,1.38,1.34,1.65,2.14,2.32,1.65,1.59,1.48,1.18,2.27,1.32,1.84,2.04
01-10,1.89,2.51,2.61,1.38,1.3,2.2,2.05,1.62,1.23,1.44,1.54,2.58,2.26,1.88,1.75,1.88,1.84,2,1.61,1.5,2.2
01-11,1.26,2.19,2.48,1.87,1.31,2.19,1.79,1.82,1.35,1.1,1.44,2.39,1.96,2.85,1.89,1.56,2.1,1.93,1.43,1.57,1.73
01-12,1.29,1.92,2.26,2.33,1.69,2.09,2.04,1.86,1.15,1.03,1.56,2.48,1.99,2.4,1.5,1.62,1.35,2.02,2.25,1.75,1.58
01-13,1.4,1.73,2.2,2.31,1.83,0.99,2.56,1.81,1.35,1.35,1.44,2.66,1.84,1.56,1.45,2.39,1.56,2.38,2.09,1.22,1.7
01-14,1.24,1.29,1.96,2.21,2.04,1.45,2.86,1.34,1.92,1.55,1.93,1.92,1.95,1.5,1.45,2.63,1.45,2.12,1.86,1.71,1.58
01-15,1.08,1.4,1.38,2.06,1.25,2,2.41,1.74,1.36,1.47,1.78,1.77,1.65,1.43,1.42,2.1,1.84,1.74,1.85,1.54,1.39
01-16,1.23,1.34,1.81,1.8,1.55,2.68,1.5,1.85,1.35,1.41,2.05,1.47,2,2.1,1.69,1.58,1.6,1.65,2.37,1.38,1.47
01-17,1.7,1.26,2.43,2.16,1.64,3.14,1.62,2.13,1.11,2.03,2.05,1.44,2.35,2.38,1.67,2.07,1.55,1.55,1.95,1.44,1.77
01-18,1.51,2.17,2.18,1.83,1.78,2.67,1.52,1.1,2.16,2.12,2.26,2.01,2.28,2.94,1.77,2.65,1.63,1.78,1.97,1.45,1.28
01-19,1.98,1.59,1.94,1.97,1.39,2.64,1.86,1.16,2.6,2.75,1.93,2.4,1.77,1.9,1.88,2.58,1.39,1.97,2.39,1.86,1.45
01-20,2.47,1.47,2.2,1.29,1.56,2.34,1.37,1.27,2.11,1.84,2.45,2.2,1.62,2.25,2.12,2.14,1.12,1.73,2.64,2.16,1.44
01-21,2.15,1.88,2.12,1.54,2.86,2.23,1.23,1.13,2.41,1.9,2.22,2.15,1.81,2.52,1.53,1.81,1.45,1.5,2.53,2.4,1.44
01-22,1.72,1.46,2.35,1.65,2.31,2.23,1.3,1.65,2.2,1.83,2.59,1.97,1.6,2.86,1.58,2.39,1.18,1.48,1.93,2.15,1.75
01-23,2.03,1.21,2.66,1.62,2.21,2.36,1.57,1.75,1.84,3.46,2.65,2.12,1.67,3.14,1.78,2.92,1.48,1.23,1.44,2.34,2.37
01-24,1.39,1.5,2.86,1.37,1.76,1.88,2.09,1.95,1.92,2.31,2.62,2.78,1.86,2.74,1.58,3.15,1.93,1.23,1.54,2.12,1.58
01-25,1.24,1.48,2.71,2.05,1.8,1.42,2.54,2.32,2.4,2.69,1.64,2.8,3.05,2.07,1.21,1.44,2.15,1.7,2.47,2.06,2.27
01-26,2,1.74,2.64,2.37,1.91,1.43,2.6,2.47,2.79,2.85,2.27,2.36,1.82,2.11,1.37,2.49,1.69,1.56,2.19,2.78,1.75
01-27,2,2.32,2.5,2.36,2.12,1.88,2.62,2.31,2.37,2.21,1.98,2.47,2.73,2.36,1.47,2.99,1.48,2.16,1.15,2.96,1.72
01-28,2.35,1.71,2.13,1.99,2.1,2.04,2.61,1.91,2.56,1.54,2.78,2.83,2.47,2.87,1.85,2.87,1.34,2.34,1.38,3.04,1.73
01-29,1.97,1.92,2.27,1.99,2.22,2.19,2.34,2.14,2.74,1.32,2.89,2.59,2.29,2.43,1.48,2.36,1.27,2.06,1.32,2.59,1.53
01-30,1.99,2.38,2.85,2.18,2.13,2.19,1.83,2.32,3.11,1.41,2.68,2.33,2.14,2.31,1.53,1.51,1.5,1.83,2.3,2.59,1.44
01-31,1.9,2.13,2.36,2.28,2.51,1.63,1.61,2.48,2.59,2.17,2.5,2.4,1.45,2.28,1.64,1.93,1.38,2.14,2.36,2.34,1.57
02-01,1.69,1.87,1.87,1.79,1.31,1.88,2.19,2.85,2.35,2.57,1.51,2.04,1.63,2.64,1.65,2.41,1.09,2.39,1.61,2.03,1.94
02-02,2.11,2.21,2.4,2.12,1.27,2.31,2.9,3.1,2.5,1.54,1.67,2.56,1.52,2.18,2.11,2.04,1.72,1.92,1.45,1.98,1.57
02-03,2.41,2.19,2.74,1.7,1.4,2.18,2.48,2.49,2.28,1.59,1.55,3,2.36,2.2,1.55,2.22,1.55,1.81,1.61,1.82,1.47
02-04,2.09,2.38,2.32,2.71,2,2.23,2.08,2.11,2.15,1.4,1.32,2.59,1.98,1.83,2.07,2.8,1.55,1.66,1.33,2.25,1.68
02-05,1.71,3.41,1.93,2.73,2.23,2.4,1.62,1.9,2.68,1.43,1.77,3.01,2,1.82,2.57,2.48,1.14,1.74,1.42,2.96,1.7
02-06,1.65,3.62,2.17,2.91,2,2.64,1.3,1.83,2.69,1.68,1.54,2.75,2.15,2.18,3.11,2.34,1.51,1.89,1.56,3.4,2.13
02-07,1.63,2.49,2.7,3.29,2.14,3.03,1.37,1.73,1.87,1.71,2.29,2.69,2.1,1.94,2.82,1.39,1.67,2.17,1.26,1.98,2.05
02-08,1.47,2.46,2.82,2.9,2.01,2.75,1.69,2.04,2.39,2.09,2,3.28,2.24,2.05,3.34,1.36,1.87,2.27,1.78,2.26,1.35
02-09,1.05,2,3.07,2.53,1.78,2.72,2.19,2.6,2.46,1.95,1.8,3.33,1.82,2.06,3.44,1.51,1.74,2.39,1.72,1.96,1.48
02-10,1.66,1.73,2.85,3.24,1.41,2.01,2.63,3.02,2.63,2.59,1.84,2.45,2.61,2.25,2.75,2.01,1.38,2.38,1.74,2.09,1.76
02-11,2.13,1.93,2.97,2.76,1.11,2.01,2.29,2.22,2.62,2.36,2.22,2.64,1.77,2.21,2.72,1.41,1.53,2.47,1.68,2.2,1.7
02-12,2.18,1.86,3.22,2.22,1.31,2.23,2.48,2.19,2.97,2.72,1.95,2.87,2.01,2.08,1.72,1.48,2.25,2.66,1.99,1.61,1.72
02-13,2.29,1.78,3.18,1.87,1.59,2.29,2.02,2.71,3.48,2.52,1.87,3.36,2.29,1.77,1.92,1.2,1.63,2.29,2.12,1.65,2.24
02-14,2.23,1.74,2.78,2.23,1.31,3.01,2.27,2.57,3.33,2.48,1.89,2.95,2.94,2,2.1,1.27,1.72,2.55,1.99,1.7,2.57
02-15,1.93,1.74,3.18,1.61,1.39,2.58,2.98,2.15,3.14,2.44,1.51,2.8,3.29,1.58,2.14,1.65,1.48,2.27,2.3,1.48,2.22
02-16,1.88,1.98,3.45,1.86,1.18,2.38,2.64,2.4,3.49,2.3,2.48,2.65,2.63,1.62,2.63,1.63,1.51,2.18,2.58,1.96,2.12
02-17,1.74,2.42,3.56,2.12,1.82,2.48,2.61,2.62,3.01,3.21,1.76,2.77,2.28,1.34,2.94,1.77,2.24,2.15,2.63,2.06,1.93
02-18,1.97,2.42,2.42,2.29,1.58,2.41,2.5,2.7,3.13,2.24,2.29,3.17,2.99,2.25,2.88,2.14,2.17,1.78,2.75,2.06,2.2
02-19,2.05,2.52,2.45,2.9,1.34,2.5,2.69,3.31,2.53,2.48,2.52,1.71,2.99,1.77,2.11,2,1.63,1.72,2.87,1.47,2.23
02-20,1.99,2.39,3.34,3.89,1.49,2.76,2.74,2.49,2.76,2.27,2.55,2.63,2.95,1.43,2.26,2.8,1.53,1.51,2.12,1.45,2.09
02-21,1.98,2.95,3.02,3.71,1.15,2.52,2.66,2.81,2.05,1.8,2.18,3.05,2.78,1.95,3.47,3.03,1.53,1.34,2.12,1.91,2.47
02-22,1.91,1.52,2.42,3.23,1.54,2.47,2.63,3.49,2.52,1.52,2.24,2.4,2.91,2.38,3.19,3.08,1.95,1.6,2.39,2.54,2.74
02-23,1.86,1.74,2.21,2.24,1.57,2.5,2.81,2.82,2.81,2.48,2.74,1.88,2.69,2.6,2.71,3.14,1.96,1.6,2.55,2.78,2.15
02-24,2.07,2.61,2.51,1.96,2.19,2.48,3.17,1.57,2.47,3.4,3.1,1.88,2.64,2.4,1.8,2.66,1.7,1.82,2.46,3.05,1.59
02-25,2.63,3.15,2.69,2.33,2.52,2.27,2.99,2.13,2.86,2.9,2.87,2.08,2.42,2.38,2.79,2.81,1.63,2.73,2.09,2.17,1.98
02-26,2.57,2.73,3.25,2.64,2.22,2.25,3.06,2.33,2.75,2.68,2.44,2.8,3.17,2.37,3.02,2.03,1.98,2.27,2.12,2.24,2.16
