month-day,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
01-01,3.1,2.48,3.58,3.07,2.57,4.01,2.53,3.21,2.71,2.18,2.58,3.2,2.71,2.46,2.5,3.3,3.31,3.01,2.68,3.34,3.6
01-02,3.47,3.33,3.26,3.6,2.61,2.83,2.46,2.34,2.66,2.88,2.46,3.56,2.76,2.18,2.15,2.98,1.78,2.35,1.93,2.23,3.78
01-03,2.95,2.73,3.74,3.56,2.94,3.86,2.72,1.8,2.71,2.88,2.56,3.16,2.9,2.76,3.61,2.99,2.68,2.34,2.36,2.69,2.9
01-04,3.43,3.59,3.68,3.89,2.63,3.85,2.85,3.25,2.82,2.54,2.47,2.94,2.91,3.4,3.9,2.77,2.3,2.55,1.85,3.21,2.72
01-05,3.33,3.49,2.21,2.93,2.9,3.38,2.53,3.03,2.88,2.95,3.25,3.17,2.71,3.18,2.7,2.77,2.62,3.61,2.14,2.9,3.42
01-06,3.91,2.73,2.88,3.1,3.03,2.26,3.29,2.5,2.48,2.81,3.17,3.65,2.5,3.34,2.57,2.94,2.42,3.79,2.39,2.19,3.45
01-07,3.51,2.69,3.57,3.36,3.09,2.38,2.75,1.85,2.3,2.25,3.74,2.87,2.18,3.09,2.67,2.82,2.29,3.72,2.91,2.95,3.08
01-08,3.05,3.95,3.98,2.88,3.77,3.41,1.95,2.17,2.88,3.29,3.58,2.99,2.66,3.4,2.88,2.59,2.49,2.95,2.91,2.86,2.5
01-09,2.43,2.3,3.35,3.14,3.01,3.07,2.69,2.7,2.77,2.49,3.9,2.73,2.74,3.3,3.74,3.4,3.01,3.37,2.57,2.24,2.56
01-10,3.98,2.18,4.2,2.98,3.06,2.54,2.95,3.26,3.38,2.47,3.39,3.45,2.46,3.67,3.3,2.77,2.22,3.06,3.05,2.4,2.71
01-11,3.92,3.33,3.92,2.89,2.77,3.14,2.98,3.03,3.14,3.06,2.65,2.98,2.07,4.17,2.47,2.97,2.01,3.34,2.94,3.03,3.11
01-12,2.96,3.27,3.95,3.62,2.95,3.34,3.2,3.42,3.11,2.98,3.44,2.95,2.33,2.7,2.66,3.23,2.74,3.23,2.77,2.89,2.66
01-13,2.33,3.03,3.74,2.82,2.4,3.14,3.28,3.04,3.13,3.14,2.49,3,3.31,2.48,3.03,2.78,3.25,3.26,2.51,2.93,3.29
01-14,3.25,2.65,3.58,3.09,2.2,4.09,2.6,3.07,3.13,3.09,2.05,2.8,3.46,3.29,2.15,2.72,3.38,2.92,2.98,2.97,3.37
01-15,3.21,3.37,3.83,2.29,3.2,3.44,2.11,2.44,3.14,2.63,2.23,2.66,3.2,3.7,3.25,2.83,3.42,3.12,3.03,3.08,2.69
01-16,3.87,3.24,3.83,3.12,3.01,3.52,1.64,2.68,3.2,3.32,2.58,3.19,2.75,3.37,3.06,2.65,3.37,3.22,3.05,2.53,3.62
01-17,2.79,3.23,3.88,3.48,3.4,3.31,2.02,2.56,3.16,3.21,3.13,2.58,3.4,3.26,3.19,2.88,3.59,3.54,3.1,2.3,3.08
