month-day,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
01-01,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0
01-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0
01-03,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-04,0,0,0,0,0,3.92,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0
01-05,0,0,0,0,0.62,0.03,0,0,0,0,0,0,0,0.03,0,0,0.89,0.8,6.35,0,0
01-06,0,0,0,0,0.01,0,0,0,0,0,0.08,0,0,0.05,0,0,9.71,0.95,3.39,0,0
01-07,0,0,0,0,0.18,0,0.01,0.23,0,0,2.54,0,0,0,0,0,0.25,0,13.02,0,0
01-08,0,0,0,0,0.96,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.58,0,0.32
01-09,0,0,0,0.01,0.1,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.02
01-10,0,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0.07,0
01-12,0,0,0,0,0,0,0.12,0,0,0.03,0.1,0,1.45,0,0,0.01,0.26,0,0,0.03,0
01-13,0,0,0,0,0,0,0,0,0,0,0.03,0.14,0,0,0,0,16.91,0,0,0,0
01-14,0,0,0,0,0,0,0,0.1,0.28,0,0,0,0,1.47,0,0,0.02,0,0,0,0
01-15,0,0,0.02,0,0,1.24,0,0,0.11,0,0,0,0,1.75,0,0,0,0,0,0,0
01-16,0.03,0,0.65,0,0.6,12.45,0,0,0,0,0,0,0,1.26,0,0,0,0,0,0,0
01-17,0.89,0.02,0.24,0,0.81,0.22,0,0,0,0,0,0,0,0,0,31.82,0,0,0,0,0
01-18,0,0,0.05,0,0,0.32,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0.01,0
01-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,1.55,0
01-20,0.02,0.51,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0.86,0,0,0.23,2.37,0
01-21,1.04,2.26,0,0,0,0,0,0,0.06,0,0,1.46,0,0,0,1.85,0,0,0.23,0.37,0
01-22,1.79,0.6,0,0,0,0,0,0,0.03,0,0,0.4,0,0,0,0.01,0,0,3.59,0,0
01-23,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0.11,0,0
01-24,0,0.05,0,0,0,0.14,0.1,0,0,0,0,0,0,1.71,0,0,0,0,0,0,0
01-25,0,0.01,0,0.12,0,0.1,0,0,0,0,0,0,0,1.98,0,0,0.01,0,0,0,0
01-26,0,0.06,0,0,0,0.04,0,0,0,0,0,0,0,6.28,0,0,0,0,0,0,0
01-27,0,1.24,0,0.11,0,0.03,0,0,0,0,0,0,0,0,0,0,1.22,0,0,0,0
01-28,0.01,0.02,0,0,0,0,0,0.24,0,0,0,0,0.05,0,0,0,0.16,0,0,0,0
01-29,1.25,0,0,0,0,0,0.26,0.17,0,0,0,0,0.01,0,0,0,0,0,0,0,0
01-30,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.88,0,0,0,0,0.13
01-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.24,0,0,0,0,0
02-01,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13
02-02,0,0,0,0,4.97,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0.01
02-03,0,0,0,0,0,0,0,0,0.04,5.87,0.03,6.73,0,0,0,0,0,0,0.01,0,2.24
02-04,0,0,0,0,0,0,0,0,0.02,25.72,0,0,0,2.85,0,0,0.63,0,0,0,0.33
02-05,0,5.17,0,0.12,6.26,0.46,0,0,0,5.4,0,0,0,0,0,0,0.37,0,0,0,0
