month-day,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
01-01,12.61,11.45,11.49,12.4,12.88,14.08,15.86,12.75,12.34,14.01,8.57,11.54,16.99,14.81,14.22,13.32,8.95,12.05,15.64,13.13,15.07
01-02,11.31,12.79,10.06,12.14,11.36,14.71,14.95,11.33,13.16,11.4,10.76,13.9,18.24,16.32,14.61,11.48,9.31,10.04,14.91,12.45,14.11
01-03,11.36,13.06,8.9,11.26,11.99,13.89,13.19,10.71,12.58,11.14,11.8,15.25,17.41,15.43,13.81,12.45,12.21,11.42,16.63,12.13,13.98
01-04,11.57,12.5,9.93,11.43,13.55,12.46,13.59,10.27,11.78,11.06,12.58,13.81,16.73,16.17,11.77,12.38,12.84,13.4,15.49,12.99,14.67
01-05,12.52,13.49,9.73,11.44,13.83,12.05,15.25,11.04,12.46,10.04,12.62,14.74,15.47,16.38,10.97,11.67,11.84,13.38,13.82,13.15,13.88
01-06,10.65,13.53,9.1,10.78,13.39,12.38,15.37,10.98,11.91,9.65,12.25,15.61,15.58,14.89,12.62,11.59,9.1,12.77,12.48,12.57,14.03
01-07,12.97,14.68,10.7,10.09,13.85,12.88,13.55,10.81,8.98,9.69,13.8,15.3,14.62,13.3,13.03,12.14,10.45,13.38,12.18,13.53,13.72
01-08,15.21,15.66,12.86,11.71,12.18,12.49,12.28,13.02,10.4,11.81,11.22,15.43,16.87,12.75,13.86,13,10.1,12.36,12.2,13.99,13.07
01-09,14.5,14.3,13.16,12.9,12.91,12.8,14.18,12.91,11.34,11.96,10.96,14.15,15.48,11.04,14.65,13.74,10.64,12.37,11.3,13.7,12.73
01-10,17.6,13.61,13.96,12.04,12.14,12.51,14.83,12.85,10.66,14.79,12.35,14.27,17.1,12.11,15.45,13.94,10.7,12.88,12.12,15.38,14.16
01-11,18.6,13.91,14.07,12.56,10.09,12,14.79,13.84,13.67,16.35,12.49,15.51,17.56,11.67,15.84,11.56,13.46,13.55,11.96,16,13.94
01-12,19.19,13.65,15.3,12.57,12.87,14.97,12.06,14.61,12.87,16.37,14.25,16.04,14.61,11.5,16.86,11.87,12.23,12.72,12.74,13.32,14.44
01-13,17.3,15,15.68,12.1,14.35,15.32,13.23,14.94,13.07,15.16,15.82,13.25,14.72,12.13,16.43,10.68,9.75,12.41,12.81,10.39,16.21
01-14,18.88,13.41,14.31,12.52,15.53,14.28,14.95,12.34,13.23,13.39,14.92,12.73,15.73,8.65,15.45,11.72,7.71,11.9,13.03,9.14,14.85
01-15,18.77,13.4,13.2,11.82,18.12,14.47,15.53,11.27,13,12.44,15.29,13.04,15.29,9.57,14.33,13.39,9.39,12.17,13.98,10.27,14.71
01-16,19.9,13.2,14.09,13.48,16.78,13.64,15.38,10.94,12.3,11.64,13.88,13.92,15.49,10.15,14.75,13.91,10.84,11.88,14.43,8.95,15.46
01-17,17.48,12.03,15.44,12.27,13.96,15.41,16.14,13.42,12.74,11.34,12.55,15.03,14.51,12.56,15.14,12.59,11.4,11.32,14.81,10.9,14.96
01-18,14.41,12.29,14.64,12.94,11.83,15.04,15.37,14.42,10.07,12.52,12.92,15.14,13.8,12.36,13.33,13.13,11.54,10.17,14.95,11.3,14.22
01-19,16.21,11.75,12.89,12.42,11.89,12.79,14.69,13.83,9.76,10.82,12.93,15.39,13.98,11.05,14.81,12.09,12.03,12.4,15.93,11.82,14.85
01-20,14.45,12.8,13.01,12.93,9.6,13.61,15.49,16.34,10.01,11.72,14.05,13.63,14.65,13.09,15.39,13.59,11.77,14.87,14.21,12.24,14.43
01-21,12.73,10.81,11.72,13.28,9.17,15.66,16.51,16.12,9.34,12.38,14.72,11.33,13.92,13.84,15.24,12.46,11.23,16.09,14.77,12.05,14.53
01-22,12.18,11.33,13.04,13.35,10.62,15.98,18.99,16.43,11.71,11.99,14.75,10.87,14.07,15.22,14.66,11.58,12.12,16.37,11.3,11.83,14.92
01-23,13.41,9.82,13.32,15.73,9.61,15.17,15.23,15.8,10.02,13.03,13.59,11.15,13.68,15.51,13.8,10.95,13.11,14.3,12.44,10.53,13.48
01-24,12.64,12.04,13.76,15.42,9.1,16.09,15.68,15.55,12.07,13.33,14.15,12.47,13.26,12.97,13.03,10.58,13.68,11.69,12,11.36,12.64
01-25,15.01,11.37,15.35,16.31,8.53,16.51,16.58,15.31,14.05,15.35,16.28,13.76,12.99,13.19,14.15,11.35,15.68,12.51,12.41,11.47,12.4
01-26,14.79,12.99,15.05,17.96,9.52,15.92,16.93,14.06,13.75,16.09,17.22,12.95,13.26,13.24,14.45,10.51,15.06,12.19,12.44,10.68,13.52
01-27,14.93,13.02,15.38,17.99,9.74,15.13,17.21,14,14.11,16.86,17.9,11.56,14.43,13.85,15.22,12.12,13.78,12.52,12.97,13.15,16.36
01-28,14.94,10.56,15.72,17.57,11.94,14.72,15.52,15.58,14.03,17.8,17.2,11.74,17.46,15.38,15.76,12.63,13.37,12.44,13.81,13.79,17.17
