month-day,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
01-01,4.29,2.12,3.04,3.06,3.61,4.41,4.26,1.24,2.89,3.62,4.43,3.46,1.48,5.7,3.52,3.95,6.14,2.6,2.15,3.15,4.82
01-02,4.51,4.14,2.95,3.34,4.67,4.53,2.79,1.51,2.54,2.48,3.65,3.83,3.34,5.34,4.39,2.09,5.17,1.23,3.54,3.81,5.07
01-03,4.33,4.49,4.64,3.2,3.46,5.33,4.77,1.76,3.83,3.01,4.65,1.54,3.98,3.93,3.2,2.7,4.5,1.63,4.15,6.42,3.15
01-04,2.98,4.03,4.34,6.52,2.34,4.09,3.86,1.61,2.6,2.44,4.16,6.96,3.67,5.95,1.97,3.05,5.78,3.19,5.45,3.23,5.6
01-05,1.82,2.69,4.08,5.24,4.53,4.87,5.72,1.22,2.93,2.36,4.52,4.89,4.05,3.69,2.24,5.33,4.64,3.45,3.74,1.36,4.49
01-06,1.8,4.28,2.82,5.15,2.93,4.34,5.21,0.99,2.73,3.33,5.28,3.87,2.77,2.5,2.5,5.39,3.66,2.78,2.63,1.15,2.86
01-07,1.17,2.01,1.97,2.27,1.68,4.27,2.24,2.1,2.6,2.78,4.76,5.06,2.69,5.54,2.45,3.87,2.17,2.21,6.06,5.55,3.51
01-08,2.9,2.92,1.81,1.97,2.06,4.48,1.77,1.94,3.06,1.31,2.97,2.16,2.08,3.9,4.05,2.8,0.84,1.83,7.42,4.04,6.88
01-09,1.77,5.07,2.34,2.07,2.27,3.07,1.7,2.42,2.94,3.73,4.67,4.55,2.51,3.36,5.86,4.49,2.39,5.12,5.04,6.22,5.81
01-10,4.74,7.28,2.37,2.47,1.32,2.72,4.42,3.59,2.12,2.76,5.45,4.47,5.11,2.71,2.94,2.15,3.63,3.8,3.75,4.17,7.62
01-11,2.88,5.32,1.64,4.89,2.03,1.51,4.05,2.3,2.65,2.39,3.44,3.28,6.96,3.49,4.27,3.96,3.61,4.65,4.2,2.41,5.91
01-12,4.79,3.44,4.17,7.33,3.24,1.37,4.43,2.91,2.93,4.29,2.78,1.51,5.1,3.41,3.9,2.83,3.31,7.57,1.88,5.28,6.36
01-13,3.32,1.69,5.15,8.6,2.14,2.32,3.85,4.14,1.07,6.57,4.09,5.96,3.61,2.55,2.4,5.9,4.6,3.28,1.63,3.86,5.9
01-14,3.41,1.9,3.06,5.97,2.42,2.91,4.76,2.98,1.13,5.09,1.81,3.85,3.28,2.71,4.88,6.25,6.24,2.01,3.44,5.49,7.91
01-15,1.84,2.72,1.27,3.02,2.4,2.48,3.94,1.19,0.65,2.34,4.47,4.38,2.03,2.26,5.16,2.42,3.22,4.51,6.13,3.8,5.26
01-16,2.48,4.24,3.37,1.73,1.96,2.94,3.2,1.65,2.59,5.2,2.97,3.99,5.08,2.78,5.86,2.68,5.85,5.79,5.84,5.74,3.63
01-17,2.67,4.94,3.89,3.11,1.98,3.77,1.9,2.2,1.51,3.71,4.36,5.61,6.04,2.91,3.57,4.31,6.51,6.04,8.15,4.25,3.43
01-18,2.1,5.39,5.07,3.41,4.65,4.62,1.9,1.98,1.98,4.94,5.85,3.61,2.29,2.33,1.79,4.72,3.22,4.62,5.39,4.27,5.22
01-19,1.52,4.31,1.8,2.84,4.01,3.82,3.36,1.88,1.75,4.89,4.94,6.3,1.24,2.43,1.12,2.92,4.82,2.6,4.46,4.21,2.48
