month-day,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
01-01,0.63,0,0.01,0,3.76,2.59,0.43,3.19,1.27,2.48,1.43,6.46,5.07,6.81,5.98,0.48,9.02,2.82,0.65,16.63,0.74
01-02,3.1,0.14,1.41,0.28,11.41,4.34,0,9.74,6.79,1.39,0.94,4.39,12.41,1.79,1.17,1.25,5.93,2.37,1.26,5.86,2.25
01-03,1.53,0.26,1.17,0.09,4.92,0.65,0,6.7,11.13,5.78,0.59,2.73,4.32,3.03,1.39,3.94,2.13,2.56,0.46,4.33,8.62
01-04,5.84,2.93,0.46,0,1.21,0.2,0.11,2.93,6.42,3.32,1.62,1.06,4.64,11.03,1.33,0.43,4.23,10.09,6.47,0.76,5.63
01-05,16.89,0.88,0.33,0.26,3.74,3.91,0,4.37,15.19,5.53,2.97,2.81,3.03,18.66,1.43,5.49,11.9,25.57,6.59,1.33,1.79
01-06,6.49,0.6,0.33,0,1.44,3.37,0,4.51,6.13,5.57,26.06,0.74,7.51,2.83,1.21,7.46,0.97,8.79,3.65,2.44,1.05
01-07,14.47,0.36,2.69,0,1,1.53,0.72,8.58,14.02,0.7,17.53,3.28,4.72,10.37,2.11,22,0,7.26,1.6,10.21,0.04
01-08,11.56,0.3,3.11,0.02,6.63,2.83,2.55,9.82,9.27,0.2,10.01,3.81,2.03,21.66,1.7,6.82,1.67,10.09,1.03,3.78,2.86
01-09,10.54,0.01,5.55,0,12.94,2.98,0.95,2.73,2.51,0.57,5.09,1.62,12.82,15.24,2.72,2.7,3.09,67.11,2.68,8.02,1.4
01-10,2.4,0,0.57,0,14.3,0.53,1.77,2.87,5.58,0.96,11.03,0.47,7.56,9.67,0.3,7.69,1,18.46,2.4,13.94,10.74
01-11,0.53,0,9.85,0,8.83,0.04,0.84,1.12,5.1,6.92,5.46,1.78,3.35,10.57,0.9,2.15,0.5,4.59,3.26,11.03,8.39
01-12,1.26,0.14,0.35,0.01,2.2,0.06,0.12,1.54,4.35,28.43,3.73,2.55,9.22,6,2.59,2.23,2.15,1.12,2.14,6.66,5.81
01-13,0.56,0.04,0,0.18,1.41,5.48,0.35,1.44,1.47,8.56,0.58,0.76,11.62,3.1,7.3,5.55,2.4,1.12,5.05,3.06,5.57
01-14,0.63,11.69,6.06,0.05,5.69,1.77,0.08,0.16,4.25,2.81,1.91,5.5,4.23,4.72,22.98,7.37,2.44,3.27,4.82,5.44,6.35
01-15,6.58,3.05,6.64,0,8.89,0.25,0.12,1.9,11.99,6.27,2.43,4.56,6.36,1.95,18.1,2.98,0.85,4.18,2.46,2.74,5.82
01-16,0.5,3.19,0.86,0,7.99,4.54,0.29,1.66,9.11,10.93,2.03,23.73,8.84,0.63,5.59,0.71,2.17,9.91,0.83,0.76,1.61
01-17,0.33,3.21,1.8,21.33,4.57,15.2,2.03,2.43,5.24,8.51,0.82,8.07,3.21,2.88,3.9,0.56,1.08,7.64,0.35,2.02,0.35
01-18,0.05,2.15,3.29,5.18,0.28,2.06,1.58,1.06,5.12,0.84,1.11,6.72,3.06,3.64,3.44,0.78,0.46,3.3,3.23,3.95,1.66
01-19,1.09,1.16,4.61,0.06,2.85,1.78,3.09,6.16,14.78,1.95,3.81,8.12,6.24,9.99,2.74,0.47,1.33,4.04,0.82,10.6,21.98
