month-day,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
01-01,1.97,0.21,19.22,0.39,15.69,9.8,0.06,5.13,5.16,7.77,0.03,5.2,9.21,0.39,0.21,3.64,6.8,1.14,0.2,2.11,4.17
01-02,9.17,2.4,9.36,5.79,13.63,14.79,0,7.02,0.08,5.78,1.22,4.13,1.84,5.59,0.05,6.69,5.72,16.39,0,3.15,1.84
01-03,16.06,43.12,11.43,3.57,16.38,22.81,0.02,0.69,0.17,6.35,4.34,1.81,1.07,0.01,0,11.52,1.31,10.8,0,0.72,4.29
01-04,11.27,2.93,7.59,9.13,1.41,2.02,0.01,0,2.69,14.38,0.54,19.66,1.38,9.67,0.01,15.1,19.84,0.95,0.02,0,1.1
01-05,1.4,6.69,17.8,4.19,0.58,3.84,0,0.02,8.42,5.1,0.05,9.24,0.05,24.85,2,8.72,7.92,0.86,13.92,0,2.15
01-06,1.3,0.11,28.34,3.73,1.55,15.34,1.01,0.13,10.98,5.32,0.01,15.56,1.06,5.59,12.47,10.64,17.27,0.04,11.1,3.93,0.03
01-07,7.16,2.08,2.27,0.71,0.32,16.75,1.18,1.41,4.44,0.06,0.2,18.12,2.12,4.68,17.77,2.21,10.14,5.93,1.27,0.57,5.15
01-08,3.3,1.29,19.87,0.13,1.54,17.15,1.56,0.01,23.38,5.21,0.05,3.52,2.9,23.27,10,9.54,5.98,13.16,2.65,1.32,5.79
01-09,3.92,1.06,5.9,0.17,2.53,7.38,12.31,0.92,10.85,8.14,1.32,6.48,0.23,2.31,10.56,7.93,6.47,0.09,9,0.12,11.5
01-10,4.14,11.71,4.76,0.1,0.5,4.8,2.21,0,2.76,3.7,5.57,2.15,0.03,0.45,0.96,1.65,15.09,0.07,8.65,0.2,0.83
01-11,0.36,0.5,7.69,4.67,0.01,1.82,0.81,0.03,1.01,3.79,0.16,3.18,10.31,0.02,15.54,11.42,7.93,0,11.33,0.01,11.97
01-12,2.92,0.09,11.61,3.26,1.28,0.86,1.69,0.1,5.4,2.99,4.86,1.26,3.35,0.79,1.05,5.18,6.47,4.03,3.73,0.16,1.43
01-13,0.4,9.37,6.22,12.05,7.85,1.07,3.05,13.27,19.4,2.97,1.75,2.43,0.01,0.44,19.71,0.12,2.87,9.2,1.9,0.2,1.32
01-14,3.97,3.21,3.5,0.81,20.33,6.01,1.2,15.83,23.07,3.06,3.73,0.02,0,9.55,8.59,10.52,0.08,2.03,20.29,0,0.17
01-15,1.04,3.21,4.3,0.06,15.79,2.14,4.97,3.56,1.68,22.69,1.42,0.1,5.22,13.67,3.42,2,0.59,21.49,5.78,0,0.97
01-16,33.87,10.09,3.26,0.05,2.58,9.14,20.28,2.67,5.82,4.24,5.98,0.52,1.96,2.53,0.22,0.04,4.7,11.39,11.67,0,0.03
01-17,18.86,7.11,1.24,0,1.69,3.33,2.19,2.63,7.11,11.92,5.24,0.39,0.18,3.35,0.41,13.93,0.71,2.1,28.02,0.01,0.32
01-18,10.31,0.09,8.26,0.02,2.05,1.05,2.2,20.52,10.7,1.77,2.2,0.35,0.23,2.04,0.15,16.34,5.47,0.48,5.14,0,4.62
01-19,6.53,5.72,5.6,0.01,3.15,0.98,4.31,10.31,0.27,4.85,1.73,12.62,0.32,6.22,0.01,14.2,18.93,1.76,0.72,0.66,4.77
01-20,19.05,0.01,5.7,0,0.02,2.65,5.54,8.66,9.02,0.99,0.77,3.61,1.89,5.99,0,9.77,6.72,0.19,4.35,38.3,3.12
01-21,1.48,0.15,12.86,0.09,1.07,2.13,11.93,9.52,0.08,0.29,2.05,6.35,2.24,6.61,0.03,4.38,17.35,0.07,14.42,3.48,0.46
01-22,8.47,1.35,3.48,0.88,13.24,3.24,2.5,9.95,0.01,0.64,7.31,7.92,15.76,5.31,16.65,1.15,24.99,0.39,8.15,3.01,0.27
01-23,5.16,1.85,0.67,1.01,5.61,2.72,6.79,11.41,4.67,0.82,1.9,6.14,8.77,16.74,0.89,0.31,1.73,0.19,4.8,0.78,5.06
01-24,0.03,5.6,4.6,0.96,8.23,1.01,14.06,3.97,15.78,6.17,9.21,20.09,11,9.12,0.62,6.39,7.38,0.01,5.73,8.4,14.15
01-25,0.02,3.35,5.41,1.97,7.67,1.73,25.55,1.86,2.9,1.81,3.72,9.07,8.98,7.61,0.01,0.27,12.13,4.21,12.43,1.07,22.91
01-26,0.8,1.19,13.03,2.29,4.22,4.35,3.32,1.55,0.48,19.86,0.38,11.41,5.57,1.71,4.78,0.01,8.02,0.91,2.83,25.32,9.66
01-27,0,2.59,10.3,8.36,12.16,4.68,0.57,8.38,10.37,0.69,1.11,8.24,5.07,7.53,6.12,4.98,2.08,0.06,13.21,2.36,5.62
01-28,0.07,4.43,12.57,13.84,3.93,6.41,1.61,1.84,20.17,2.21,0.09,0.49,0.7,0.02,3.15,2.32,0.03,0,6.25,20.18,6.66
01-29,0.02,16.37,23.47,12.46,2.25,0.88,0.15,28.58,11.93,1.26,0.64,0.05,0.1,1.43,2.32,0.01,0,0.06,1.41,2.54,11.57
01-30,0,16.39,2.59,4.35,2.06,0.38,0.02,7.89,1.2,4.29,5.9,0.01,0.14,8.75,3.71,0,0.03,0.07,6.78,11.1,6.98
01-31,0.06,2.53,5.36,7.02,0.7,0.05,0.29,11.23,14.43,0.89,1.87,1.84,0.04,3.52,0.04,0.02,0.01,1.33,8.46,4.93,2.7
