month-day,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
01-01,2.46,3.86,4.87,1.66,7.24,5.59,2.61,4.71,2.95,3.8,7.08,2.2,4.72,3.22,2.86,5.33,6.11,2.6,8.5,3.67,4.24
01-02,4.61,3.49,7.59,3.46,4.61,4.26,2.62,2.8,2.44,3.81,5.92,3.64,3.16,4.91,5.26,6.15,6.62,4.79,6.08,4.21,3.73
01-03,5.04,7.85,7.3,5.38,8.8,1.85,2.04,4.67,2.75,4.76,6.28,3.37,3.61,2.95,4.09,6.64,5.11,6.84,3.68,2.89,3.88
01-04,5.16,6.83,6.89,3.54,8.19,1.29,3.29,6.84,4.47,6.27,5.42,6.25,3.74,4.57,5.14,6.14,8.08,4.68,3.35,2.45,3.31
01-05,3.98,6.93,4.91,3.49,3.51,1.13,1.95,3.72,3.88,5.18,5.74,5.95,4.54,8.1,3.86,5.53,5.85,1.98,9.06,2.37,2.98
01-06,3.1,3.67,8.59,3.47,4.56,2.3,2.91,7.66,4.97,3.88,5.97,6.72,7.6,4.81,3.83,4.86,4.92,4.65,9.44,3.58,2.93
01-07,6.49,3.52,5.23,5.85,2.95,5.44,1.47,9.37,4.85,4.26,5.1,8.09,8.9,4.6,6.55,3.59,8.48,2.75,5.64,4.92,6.98
01-08,5.37,3.94,6.77,4.98,4.24,3.69,3.99,4.66,6.42,3.77,4.58,7.04,6.39,5.47,4.77,4.48,8.84,7.04,6.74,6.3,7.39
01-09,3.31,4.14,5.29,2.76,4.94,4.96,5.31,4.72,7.4,6.3,6.23,3.83,4.29,3.89,6.78,7.04,7.96,3.84,6.63,6.78,7.51
01-10,3.33,3.68,2.45,4.05,5.21,4.68,3.58,5.55,10.43,1.7,6.09,2.41,2.82,2.65,2.97,3.01,6.21,3.4,6.04,4.77,6.5
01-11,3.59,2.81,5.57,5.9,3.39,3.9,3.93,6.57,3.74,3.05,2.82,4.16,3.72,3.53,6.57,5.72,7.23,3.47,7.34,3.68,5.47
01-12,7.41,4.28,5.23,5.93,3.23,2.28,4.76,6.86,3.47,2.24,7.47,4.53,5.47,2.28,4.95,2.14,2.52,6.35,7.94,3.9,3.11
01-13,9.41,8.2,4.7,3.21,2.78,2.06,6.96,8.61,6.96,3.02,8.42,6.73,3.64,1.48,5.97,3.07,6.56,6.9,6.81,5.09,1.64
01-14,8.52,4.7,3.98,3.69,5.91,3.49,5.7,6.27,2.72,4.22,7.32,5.7,2.37,3.16,8.03,4.88,9.83,4.73,3.88,4.48,4.46
01-15,6.26,3.6,3.5,3.37,4.45,5.64,6.29,2.09,2.78,5.54,5.17,5.7,4.5,5.11,4.93,3.71,6.06,4.76,5.41,3.79,3.79
01-16,7.08,8.31,5.65,5.67,1.62,2.66,3.44,3.31,5.58,3.39,4.02,4.92,4.67,6.89,5.32,3.78,3.79,5.15,4.49,4.14,7.12
01-17,6.31,4.97,3.84,6.22,3.06,4.92,3.48,5.89,4.91,5.79,3.58,4.5,4.78,3.68,2.42,2.69,3.16,4.63,7.02,3.97,4.26
01-18,4.87,3.16,4.45,4.56,4.61,2.9,3.56,5.76,7.25,6.01,3.86,5.17,3.71,4.11,2.03,3.57,3.19,5.39,5.28,2.97,5.31
01-19,2.72,5.19,4.13,5.21,5.1,3.53,7.21,6.59,3.9,5.71,2.56,10.57,3.74,2.81,3.15,5.11,8.94,7.06,2.85,4.32,6.91
