month-day,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
01-01,0,0,0,0.01,0.07,0.5,0.14,0.03,0.26,18.84,0.29,0,0,0.12,1.36,0,1.72,0,0.03,0.02,0
01-02,0,0,0,0.61,0.01,0,7.71,0.12,0.02,13.86,0.05,0,0.94,0,0.5,0,4.19,0,0,0.05,0
01-03,0,0,0,0.07,0,0,1.28,0,0,0.21,0,0,0.14,0,0.08,0,0.01,0,0,0,0
01-04,0,0,0,0,0,0,0.02,0.76,0,0.04,0,0,0.01,0,0,0,0,0,0,0,0
01-05,0,0,0,0,0,0,0.01,0.11,0.27,0.19,0,0.02,0,0,0,0,0,0,0,0,0
01-06,0.1,0,0,0,0,0,0,0,0.02,0.02,0.06,0.1,0,0,0.12,0,0,0,0,0,0
01-07,0.02,0,0,0,0,0,0.17,0,0,0.33,0.01,0.32,0,0,0,0,0,0,0,0,0
01-08,0.07,0.03,0,0,0,0,1.56,0,0,1.43,0,0.36,0,0,0,0,0,0.01,0,0,0
01-09,1.82,0.04,0,0,0,0,0.02,0,0,0.34,0,10.06,0,0,0,0,0,5.42,0,0,0
01-10,0.55,0,0,0,0,0,0.01,0,0,0,0,1.48,0,0,0,0,0,1.51,0.03,0,0
01-11,0.64,0,0,0,0,0.1,0,0.03,0,0,0.19,0.02,0,0,0,2.14,0,0,0.06,0,0
01-12,0.34,0,0,0,0,0,1.59,0.07,0,0,0.37,0.01,0,0,0,0.72,0,0,0,0,0
01-13,0.34,0,0,0,0,0,0.49,0.02,0,0,0.01,0,0,0,0,1.66,0,0,0,0,0
01-14,5.98,0,0,0,0,0.02,0.77,0,0.01,0,0,0,0,0,0,0.64,0,0,0,0,0
01-15,1.84,0,0,0,0.25,0.95,5.28,0,0.02,0,0,0,0,0,0,0.06,0,0,0.01,0,0
01-16,4.38,0,0,0.01,0,0.17,0.02,0,0.01,0,0,0,0,0,0,0.02,0.02,0,0,0,0
01-17,0.11,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0.02,1.99,0.06,0,0,0,0
01-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.62,0.29,0,0,0,0
01-19,0,0,0,0,0.04,0,0,0,0,0.1,0,0,0,0,0.01,0,8.87,0,0,0.23,0
01-20,0,0,0,0.11,0.07,0,0,0,0,0.02,0,0,0,0,0,0,0.6,0,0,0,0.08
01-21,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
01-22,0,0.01,0,1.92,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0.01
01-23,0.01,1.15,0,3.25,0,0,0,0,0,0.04,0.05,0.01,0,0,0.17,0,0,0,0,0,0
01-24,0,0.08,0.74,2.61,0.03,0,0,0,0,0,0.17,0.28,0,0,8.7,0,0,0,0.19,0,0
01-25,0,0,5.79,0.4,0.12,0,0,0,0,0,0.18,0.72,0,0,1.25,0,0.68,0,0.08,0,0
01-26,0,0.01,0.52,3.83,0.02,0,0,0,0,0,0.01,0.03,0,0,0.28,0.01,0.97,0,0,0.02,0
01-27,0,0,0.01,0.44,0,0.11,0,0,0.04,0,0,0,0.27,0,0.22,0.01,0,0,0,0.02,0
01-28,0,0,0.03,0,0,0,0,0,0.1,0,0.05,0,0.02,0.01,3.31,0,0,0,0,0,0
01-29,2.6,0,0.02,0,0,0,0,0,4.12,0,0.01,0,0,0,0.72,0,0,0,0,0,0
01-30,4.16,0,0,0,0,0,0,0,1.39,0,0,0,0,0,0.04,0,0,0,0,0,0
01-31,0,0.01,0.03,0,0,0,14.1,0,0.13,0,0,0.12,0,0.05,0.09,0,0,0.03,0,0,0
02-01,0,0,0,0,0,0,2.1,0,1.63,0,0,1.27,0,0.45,0.34,0,0,0.01,0,0,0
02-02,0,0.38,0,0.3,0,0,27.07,0,0.33,0,0,3.35,0,0.01,0,0,0.18,0,0,0,0
02-03,0,5.31,0,2.38,0,0,48.56,0,0,0,0,2.35,0,0,0,0,15.55,0,0,0,0
02-04,0,2.64,0,9.8,0,0,9.14,0,0.44,0,0,0.03,0,0.01,0,0,0.99,0,0.02,0,0
02-05,0,0.6,0,3.62,0,0,0.08,0,2.99,0,0,0,0,0,0.05,0,1.06,0,0,0,0
02-06,0.01,0.08,0,0.42,0,0,0,0,0.29,0,0,0,0,0,0.05,0,0.08,0,0,0,0
02-07,0.02,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.92,0,0,0,2.16,0,0
02-08,0,0,0,0,0,0,0,0,4.23,0,0,0,0,0,10.37,0.01,0,0,0.11,0.05,0
02-09,0,0,0,0.79,0.02,0,0,0,4.39,0,0,0,0,0,8.48,0,0,0,0,0.02,0
02-10,0,0,0,0.24,1.66,0,0,0,3.7,0,0,0,0,0,0.06,0,0,0,0,0,0
02-11,0,0,0,0.01,0.18,0,0.07,0,29.24,0,0,0,0,0,0,0,0,0,0,0,0
02-12,0.1,0,0,0,0,0,0,0,8.73,0,0,7.21,0,0,0.01,0,0,0.02,0,0,0.03
02-13,1.97,0,0,0,0.02,0,0,0,2.26,0,0,1.48,0,0.21,0.01,0,0,0.08,0.02,0,1.11
02-14,0.01,0,0,0,0,0,0.38,0,2.01,0,0,0.1,0,0,0,0,0,0.16,0.09,0,1.42
02-15,0,0,0,0,0,0,0.36,0,6.29,0,0,0.37,0,0,0,0,0,0,0.04,0,4.28
02-16,0,0,0,0,0,0.01,1.06,0,0.71,0,0,0.17,0,0,0,0,0,0,0,0,12.66
02-17,0,0,0,0,0,0,3.25,0,0.01,0,0,0.04,0,0.02,0,0,0,0,0,0,1.22
02-18,0,0,0,0,0.02,0,18.18,0,0,0,0,0.01,0,0,0.3,0,0,0,0,0,0.03
02-19,0,0,0,0,0.01,0,0.31,0,0,0,0,0,0,0.22,1.6,0,0,0,0,0,0
02-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0
02-21,0,0,0,0.03,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0
02-22,0,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0
02-23,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0,0,0,0
02-24,0,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0
02-25,0,20.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.01,0,0,0,0
02-26,0,6.19,0,0,0,0,0,0,0,0,0,0,1.15,0,0.1,0,0.1,0,0,0,0
02-27,0,0.04,0.31,0,0,0,0,0,0,0,0,0.02,7.12,0,0.54,0,0,0,0,0,0
02-28,0,0,0,0,0,0,0,0,0,0,0,0,4.63,0,0,0,0,0,0,0,0
02-29,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0
03-01,0,0,0,0,0,0,0,0,0,0,0.25,0,0.7,0,0,0,0,0,0,0,0
03-02,0,0,0,0,0,0,0,0,0,0,0,0,1.25,0.01,0,0,0,0,0,0,0
03-03,0.02,0,0,1.11,0.04,0,0,0,0,0,0.11,0,0.01,0.03,0.33,0,0,0,0,0,0
03-04,0,0,0,11.49,0,0,0,0,0,0,0,0,0,0.5,0,0.01,0,0,0,0,0
03-05,0,2.58,0,0.71,0,0,0,0.02,0,0,0,0.01,0,0.08,0,0.01,0,0,0,0,0
03-06,0,3.63,0,3.23,0,0,0.02,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0
03-07,0,0.06,0,0,0,0,0.01,0,0.23,0,0,0.1,0,0.74,0.41,0,0.18,0,0,0,0
03-08,0.01,0,0,0,0,0,0,0,0.01,0.07,0.01,1.03,1.02,1.92,0.01,0,0.01,0,0,0,0
03-09,0,0,0,0,0,0,0,0.01,0.69,0,2.36,3.22,12.12,5.72,0,0,0.01,0,0,0,0
03-10,2.67,0,0,0,0,0,0,0,0.38,0,0.24,2.64,0.91,0.74,0,0,0,0,0,0,0
03-11,4.64,0,0,0.02,0,0,0,0,0.07,0,0,3.67,0.01,0.56,0,0,0.05,0,0,0,0
03-12,0.68,0,0,0.11,0,0,0,0,0.01,0,0,0.71,0,3.07,0.04,0,0,0,0,0.07,0
03-13,0.04,0,0,0.12,0,0,0,0,0,0,0,1.62,0,0,0,0,3.09,0,0,0.08,0
03-14,0.12,3.17,0,0,0,0.03,0,1.17,0.01,0,0,20.06,0,0.08,0,0,0.38,0,0,0.01,0
03-15,0.4,4.23,0.03,0,0,0.04,0,1.19,0,0.2,0,18.64,0,0.18,0,0.01,1.47,0,0,0.52,0
03-16,0.04,0.8,0.81,0,0,0.08,0.01,0.08,0,0,0,18.2,0,0.18,0,0,3.91,0,0.01,0.06,0.02
03-17,0,0,0.25,0,0,1.69,0,0,0,0.01,0.01,10.63,0.03,0,0,0.57,0.1,0,0,0,0
03-18,0,0,0.1,0,0,2.1,0.01,0,0.01,0.02,0,0.05,0,0.65,0,0.47,0,0,0,0,0
03-19,0,0,0,0,0,2.47,0,0,0,0,0,0,0.02,0.18,0,0.02,0,0,0,0,0
03-20,0.02,0,0,0,0.01,0.13,0,0,0,0,0,1.41,0.01,0,0,0,0.01,0,0,0,0
03-21,0.87,0,0,0,0,1.4,0,0,0,0,0.01,0.47,0,0,0,0,0.84,0,0,0,0
03-22,4.69,0,0,0.82,0,0.01,0,0,0.15,0,0.18,0.03,0,0,0,0.12,0.48,0,0,0,0
03-23,0.89,0,0,0.19,0.02,0,0,0,0,0,0.21,0.01,0.33,0,0,0,0,0,0,0,0
03-24,0.05,0,0.13,0.07,0.02,0,0,0,0,0,0.1,0.04,0,0,0,0,0,0,0,0,0
03-25,0,0,0.02,0.01,0,0.02,0,0,0,0,0.02,0.03,0,0,0,0,0,0,0,0,0
03-26,0.04,0,0,0,0,0.05,0,0,0.06,0,0,0.01,0,0.53,0,0,0,0,0,0,0
03-27,0.01,0,0,0,0,0,0,0,0.16,0,0,0.34,0,0,0,0,0,0,0,0,0
03-28,0.3,0,0.02,0,0,0,0.06,0,0.04,0,0,0.86,0.01,0,0,0,0,0.06,0,0,0
03-29,7,0,0,0,0,0,0.01,0,0,0,0.49,0.07,0,0,0,0,0,0.02,0,0.13,0
03-30,16.17,0,0,0,0,0,0,0,0.02,0,0.78,0,0,0,0.01,0,0,0,0,0.03,0
03-31,2.02,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0.23,0.01,0,0,0
