month-day,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
01-01,11.93,13.38,11.68,10.12,6.37,12.11,8.08,10.89,12.06,10.95,8.9,13.33,12.67,12.66,9.96,13.34,13.21,9.94,12.61,12.83,12.23
01-02,12.49,13.22,12.3,10.17,0.28,12.52,8.51,10.42,8.1,10.66,7.73,13.2,12.26,13.15,11.35,12.21,11.82,9.57,10.86,12.23,11.27
01-03,14.49,13.42,12.11,11.23,1.9,12.2,9.79,12.23,7.09,10.78,6.36,12.04,11.5,13.38,8.84,12.79,9.25,10.42,7.72,12.05,11.01
01-04,13.73,13.72,13.77,11.89,8.08,13.61,6.33,13.71,9.19,9.34,9.69,7.88,10.53,14.53,10.5,13.55,5.77,10.57,13.59,12.24,11.34
01-05,13.36,13.61,10.84,11.49,11.28,13.06,5.66,14.18,8.14,11.35,10.31,3.73,10.19,14.7,11.3,13.66,6.55,11.28,13.94,11.54,11.14
01-06,10.16,13.79,5.91,12.04,12.2,11.13,10.11,13.43,11.05,10.47,3.96,7.39,9.8,14.58,9.99,14.96,11.56,13,13.74,11.19,12.14
01-07,8.33,13.68,6.94,11.5,12.64,12.84,10.31,14.37,12.04,11.57,4.96,9.34,8.9,7.2,11.75,14.91,7.67,10.12,14.44,13.3,10.85
01-08,12.05,12.69,10.37,8.28,12.38,12.76,7.71,12.68,12.69,12.95,9.93,6.64,10.22,5.47,10.24,12.03,10.55,12.05,13.45,13.24,13.5
01-09,10.6,12.16,11.55,7.33,11.64,14.06,5.74,11.57,12.02,12.85,10.47,8.75,8.52,8.07,11.71,9.54,13.36,10.76,13.31,13.02,12.36
01-10,5.31,11.76,9.51,8.26,12.11,13.43,2.75,11.99,11.73,12.58,10.56,9.51,8.44,11.51,12.53,11.36,12.59,12.08,10.47,12.66,11.3
01-11,4.93,13.32,11.62,12.99,11.21,11.42,4.89,9.68,11.7,12.95,10.21,11.33,8.87,13.46,11.69,12.17,10.75,11.01,8.56,12.92,11.81
01-12,9.84,12.54,12.36,13.09,10.8,12.34,4.84,5.99,11.76,13.18,11.4,12,9.55,12.26,8.47,12.39,12.06,10.23,11.84,12.61,12.95
01-13,10.55,9.81,10.85,13.37,10.02,7.24,7.64,6.24,11.58,13,10.03,10.2,9.73,11.51,6.99,12.08,13.55,9.71,11.95,7.97,12.13
01-14,10.18,6.86,9.71,14.51,10.74,10.94,8.74,10,9.44,13.27,8.05,11.49,10.29,11.31,6.14,11.62,13.23,11.85,13.12,9.76,12.32
01-15,10.33,8.87,14.13,14.17,10.88,9.23,5.94,11.27,12.03,13.26,4.63,11.59,8.95,12.09,7.58,11.68,14.17,9.69,12.78,11.2,13.37
01-16,9.15,5.06,13.42,11.76,9.76,9.62,6.49,9.78,14.15,7.54,7.55,10.61,9.01,11.73,8.5,11.64,12.54,11.11,10.31,12.27,13.16
01-17,7.69,5.27,5.7,11.13,10.65,10.93,8.73,10.42,14.92,3.46,7.67,13.48,9.09,12.25,7.02,11.05,14.05,12.57,12.96,13.43,12.98
01-18,7.14,5.75,7.07,12.57,9.11,11.52,10.58,12.48,13.28,3.69,8.34,10.84,7.9,12.06,8.66,11.53,12.97,12.79,12.62,12.95,14.72
01-19,8.63,7.61,11.05,12.19,6.86,12.5,11.13,11.91,15.09,9.63,9.36,12.63,9.2,11.96,10.73,11.16,11.08,13.64,12.71,13.99,13.33
01-20,9.66,10.56,13.05,13.03,7.47,10.96,10.98,12.18,16.03,9.59,10.85,14.88,11.27,12.04,11.61,6.63,8.93,13.48,12.93,13.62,11.2
01-21,11.37,12.14,11.45,12.59,11.21,9.51,10.69,11.96,16.07,10.28,8.62,14.07,10.56,11.39,11.97,11.66,11.26,15.48,11.26,13.57,13.1
01-22,11.85,13.15,13.95,11.91,12.7,12.81,11.27,10.35,15.97,9.93,10.34,13.25,7.06,11.08,12.51,12.48,13.05,15.69,11.02,12.58,13.79
01-23,13.04,8.6,13.08,12.56,14.81,13.97,11.48,11.16,15.23,10.19,12.96,12.26,8.81,11.51,9.03,11.77,11.05,17.1,11.98,13.34,13.6
01-24,12.07,10.03,11.27,10.99,14.9,14.2,10.67,10.21,15.09,11.15,9.87,9.03,10.39,13.09,7.69,12.34,11.1,16.07,12.95,13.29,13.85
01-25,11.07,12.67,7.75,6.88,14.08,14.2,10.24,9.83,13.09,10.87,12,11.95,9.99,13.72,7.25,11.18,12.5,14.54,13.1,11.55,14.72
01-26,9.92,14.71,9.96,10.34,13.42,14.38,11.7,11.13,9.39,11.98,13.08,9.76,10.41,12.89,10.78,11.43,12.4,15.34,12.72,8.42,13.9
01-27,8.35,13.34,11.92,10.71,11.43,16.01,12.48,12.22,10.83,12.8,13.41,12.52,7.78,12.68,12.46,8.03,11.28,12.7,14.15,10.93,13.68
01-28,8.97,13.45,13.95,9.15,14.19,14.6,12.15,12.4,11.68,13.49,12.46,11.76,5.41,10.55,11.02,9.77,10.69,8.7,11.31,12.77,10.66
01-29,9.64,14.05,13.94,10.23,13.74,14.55,11.58,12.85,8.48,12.99,9.58,12.49,8.7,6.16,6.62,8.05,11.57,12.66,10.06,14.68,9.86
01-30,9,13.7,14.21,10.95,15.04,9.77,10.18,12.45,9.9,10.8,11.1,7.83,11.55,8.33,3.65,10.93,12.29,16.87,12.66,15.14,11.79
01-31,8.06,13.92,14.83,12.14,13.23,10.78,10.59,13.2,12.01,8.47,12.64,11.85,12.99,11.62,9,10.99,10.27,15.16,12.27,15.09,13.2
02-01,9.42,13.78,13.64,11.53,10.98,12.67,10.85,13.27,12.56,12.31,13.65,11.54,13.19,12.91,13.01,12.45,9.86,9.01,11.25,14.75,14.63
02-02,9.69,10.25,12.55,10.89,13.9,10.75,9.46,11.78,13.27,13.55,13.71,10.11,12.42,13.23,12.34,14.18,11.84,12.44,13.24,13.87,14.37
02-03,11.53,6.23,12.46,10,13.84,8.1,9.59,11.94,14.69,11.34,13.29,11.2,10.28,11.91,13.36,13.98,10.15,16.63,13.32,8.44,11.94
02-04,12.2,4.98,9.76,9.06,13.82,8.36,8.02,13.14,15.57,13.81,14.39,10.64,5.49,14,15.21,15.27,12.12,16.96,11.75,10.83,10.4
02-05,10.98,9.45,13.51,7.33,13.15,7.83,8.04,12.73,11.92,13.96,13.14,9.17,9.61,14.67,14.86,15.66,12.11,16.54,8.49,14.11,9.78
02-06,10.81,12.22,13.48,9.62,12.15,8.32,10.44,12.99,11.54,14.24,12.17,7.94,8.69,14.82,14.91,16.52,11.66,16.02,12.73,14.43,11.31
02-07,6.33,13.4,7.28,11.47,12.19,10.2,10.89,10.35,10.47,14.65,13.39,11.55,7.32,16.35,11.85,16.14,11.95,15.9,10.44,15.67,14.77
02-08,11.56,15.16,11.24,13.5,13.89,12.68,11.01,13.01,8.45,15.57,13.94,12.37,8.33,16.54,10.13,11.57,13.19,16.32,8.08,15.13,16.01
02-09,13.41,15.69,13.4,13.77,14.02,13.86,10.86,14.27,8.58,15.21,13.93,11.31,6.61,13.68,10.68,10.4,13.89,15.62,10.81,15.68,15.33
02-10,14.39,12.4,14.5,12.06,12.75,13.63,11.65,12.91,11.1,14.57,14.98,10.87,6.96,14.19,10.98,13.91,14.56,15.16,11.58,13.75,15
02-11,13.05,11.15,11.72,12.75,13.5,11.54,11.59,12.69,8.27,14.6,13.79,13.17,9.22,14.56,12.69,14.68,15.27,13.54,11.6,8.58,14.3
02-12,14.17,13.21,7.15,11.49,13.26,13.72,9.78,7.67,8.3,15.47,12.08,10.6,10.44,15.46,12.12,11.79,12.71,11.3,11.15,13.47,10.85
02-13,11.4,13.32,9.7,11.61,11.5,14.83,11.44,10.27,11.6,15.05,14.33,7.75,8.69,15.66,12.66,12.18,13.36,10.97,7.49,15.71,13.17
02-14,11.14,12.91,15.12,12.79,13.37,14.9,11.93,12.94,12.44,13.13,13.62,9.97,12.71,13.63,13.63,15.25,11.5,11.29,9.84,14.75,12.4
02-15,10.13,15.55,16.22,12.03,14.02,15.14,8.98,13.74,12,12.45,13.53,11.32,13.88,12.81,15.05,17.11,15.07,11.84,13.06,14.78,13.74
02-16,8.44,16.02,17.18,9.67,14.26,15.75,8.76,15.05,11.95,9.49,14.58,12.97,13.31,12.35,14.05,18.79,16.68,13.42,14.49,15.11,12.22
