month-day,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
01-01,26.96,26.53,25.98,27.34,26.83,26.66,27.15,26.83,26.98,26.67,26.25,26.4,27.83,27.4,27.12,26.92,26.62,26.81,27.07,26.44,28.62
01-02,26.73,26.75,26.55,26.97,26.41,26.84,27.54,26.8,26.22,26.08,27.09,26.01,27.37,27.46,27.13,27.24,27.44,26.66,26.9,26.58,29.01
01-03,27.27,27.2,26.45,26.84,26.82,27.22,27.32,26.04,27.1,26.73,27.15,25.88,27.82,27.58,27.54,27.2,27.14,26.78,27.12,26.24,28.14
01-04,26.87,26.86,26.23,27.01,26.64,27.12,27.65,26.67,27.35,26.52,27.03,26.62,27.81,26.69,27.13,27.43,27.23,26.88,27.39,26.3,27.16
01-05,26.32,26.5,26.24,27.06,26.84,27.22,27.23,26.34,27.05,26,26.25,26.53,27.34,26.62,26.87,27.63,27.17,26.72,27.87,26.43,28.34
01-06,26.92,26.42,26.14,27.06,26.82,26.73,26.67,26.09,26.92,26.23,26.08,26.68,27.73,26.95,27.02,27.79,27.55,26.92,27.03,26.73,28.36
01-07,27.01,25.96,26.64,27.52,26.56,25.98,27.29,26.08,26.7,27.03,26.46,26.76,27.95,26.88,26.87,27.8,27.37,26.65,26.89,26.59,27.48
01-08,26.67,26.92,26.15,27.47,26.89,26.02,26.54,26.35,27.1,27.06,26.1,26.32,28.05,27.29,27.14,27.66,27.62,26.75,27.27,26.35,27.76
01-09,26.98,26.56,25.94,27.67,26.9,26.17,25.9,26,26.89,25.82,26.6,26.87,28.31,27.16,26.76,27.23,26.57,26.67,27.28,27.2,28.19
01-10,27.38,26.39,26.09,27.87,26.87,25.49,26.19,26.17,27.01,26.79,27,26.62,28.29,26.67,27.16,27.19,26.08,26.56,27.27,26.86,28.11
01-11,26.93,27.6,26.82,27.99,26.94,26.22,26.28,26.37,27.11,27.14,26.9,26.88,28.34,26.72,26.82,27.65,26.83,26.78,26.27,27.13,27.72
01-12,27.33,27.58,26.95,27.85,27.14,26.27,26.64,26.83,26.81,26.9,25.97,26.88,28.15,26.94,26.93,27.7,27.76,26.44,26.11,27.46,27.36
01-13,27.03,26.69,26.66,28.22,27.31,25.97,26.23,26.57,27.02,26.89,25.86,26.66,27.96,26.5,26.95,27.88,27.63,26.34,26.27,27.32,28.1
01-14,27.09,27.38,26.75,28.26,27,25.74,26.23,26.46,26.58,26.62,25.85,26.14,28.14,26.36,26.58,26.82,27.5,26.44,26.71,27.27,28.31
01-15,26.71,26.99,26.55,27.79,26.71,26.04,26.74,26.03,27.26,26.36,25.55,26.6,27.82,26.86,26.89,27.02,26.89,26.55,26.75,27.35,28.11
01-16,26.73,26.98,26.3,28.04,26.49,26.41,26.62,26.11,27.44,26.39,25.91,27.09,27.81,26.61,26.36,26.67,27.91,27.11,26.94,27.09,28.26
01-17,26.83,26.47,25.75,28.26,27,26.12,26.99,26.56,27.49,26.5,25.98,27.14,28.77,26.33,27.1,27.1,28,26.99,27.09,26.47,27.85
01-18,26.25,26.54,26.42,28.29,26.94,26.32,27.13,26.13,27.41,26.16,25.76,26.01,28.2,26.61,26.86,27.33,27.85,26.39,26.59,26.47,27.6
01-19,26.6,26.41,26.54,28.32,26.67,26.91,26.56,26.08,27.22,26.5,26.12,25.86,28.18,26.66,26.69,27.51,27.82,26.21,26.77,25.9,26.69
01-20,26.58,26.23,26.38,28.27,26.91,26.88,25.93,25.92,27.52,27.03,25.87,25.99,27.46,26.8,26.7,27.51,27.96,26.65,26.24,26.62,27.95
01-21,26.35,26.36,27.03,28.38,27.07,26.68,27.01,25.68,26.68,26.75,25.61,26.18,27.57,27.06,26.85,26.53,27.7,26.32,26.71,26.64,27.89
01-22,26.64,26.69,27.16,27.3,27.25,26.63,26.69,25.65,26.63,26.69,25.74,25.63,27.97,26.64,26.59,26.5,27.73,26.93,25.98,26.55,27.95
01-23,26.59,27.07,26.52,26.47,26.86,26.67,27.21,25.76,27.19,26.48,25.76,25.98,27.22,26.89,26.73,27.31,27.96,26.67,26.78,26.57,27.99
01-24,26.49,26.55,26.31,26.27,26.99,26.88,26.82,26.31,26.99,26.67,25.93,26.25,27.37,26.59,26.68,27.2,27.54,26.01,27.02,26.59,27.86
01-25,26.38,26.29,26.22,26.85,27.1,26.82,26.25,25.71,26.7,26.21,25.98,26.17,27.1,26.49,26.69,26.35,26.92,26.53,27.08,25.98,27.9
01-26,26.28,26.75,26.47,27.08,26.78,26.66,26.62,26.12,26.92,26.1,26.19,26.09,27.66,26.69,26.77,27.17,27.36,26.57,26.53,26.14,27.78
01-27,26.33,27.49,26.31,27.18,27.15,26.36,27,26.47,27.12,26.41,25.74,26.44,28.26,26.3,27.16,26.87,27.56,25.98,26.92,26.16,27.81
01-28,26.33,27.07,27.15,26.6,27.43,25.98,26.99,25.87,26.6,26.49,26.27,26.74,28.24,26,26.9,27.36,27.73,25.82,27.08,26.32,27.6
01-29,26.5,26.63,26.74,26.93,27.3,25.94,26.96,26.16,26.61,26.29,25.66,26.88,28.42,26.52,26.5,26.93,28.17,26.35,27.04,26.72,26.81
01-30,26.56,26.65,26.1,26.89,26.81,25.84,26.71,25.96,26.42,26.08,26.13,26.9,28.07,26.71,27,27.2,27.5,26.14,27.36,26.86,27.04
01-31,26.8,26.53,26.96,26.84,26.48,25.99,26.62,26.22,26.5,26.85,26.05,26.24,27.7,26.73,27.15,27.3,27.49,26.49,26.54,26.59,27.53
02-01,26.66,26.4,25.79,26.53,26.29,25.79,27.14,26.17,26.92,27.14,26.02,25.71,27.52,26.33,27.11,27.17,27.03,26.42,27.08,26.64,27.57
02-02,26.35,26.94,27.05,26.25,26.33,25.63,27.3,26.35,26.44,27.16,26.02,26.34,27.03,26.54,27.21,27.26,26.96,26.46,26.91,26.31,27.43
02-03,26.53,27.16,26.8,26.61,26.28,26.03,27.49,26.23,25.6,26.96,25.93,26.69,26.82,26.28,26.97,27.92,27.05,26.22,27.04,26.46,27.4
02-04,26.37,27.45,26.79,26.75,26.48,25.81,27.56,25.44,25.85,27.39,25.56,26.46,27.52,26.74,26.88,27.29,26.93,26.37,27,26.8,27.32
02-05,25.95,28.03,26.19,26.42,27.13,26.04,27.56,25.58,26.55,26.84,26.34,26.45,27.35,26.58,25.83,27.84,27.39,26.61,26.26,26.98,27.73
02-06,25.96,26.53,26.14,27.01,26.77,25.8,26.89,25.74,26.65,26.26,26.16,26.38,28.05,26.83,26.32,27.29,26.94,26.93,26.56,27.26,27.08
02-07,26.43,27.08,26.26,26.54,26.5,26.14,27.29,26.27,27.06,26.74,26.46,26.15,26.86,26.61,25.98,27.33,26.85,26.79,26.77,26.45,27.42
