month-day,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
01-01,7.13,6.23,8.02,6.24,6.55,6.12,4.86,8.38,3.24,8.26,6.65,6.66,5.87,3.89,6.08,7.91,7.13,2.82,4.74,4.84,5.24
01-02,6.25,8.88,5.54,6.95,7.08,3.39,4.51,4.44,9.46,5.88,5.29,10.17,3.79,2.91,8.23,10.47,8.21,4.37,5.79,5.01,6.79
01-03,2.49,6.3,1.93,6.06,7.35,3.46,4.12,1.28,5.86,4.34,4.89,12.54,4.92,1.65,5.74,7.19,10.5,4.2,3.76,5.39,7.82
01-04,3.36,4.74,3.39,7.5,7.01,3.9,4.76,1.27,10.88,2.96,6.4,8.19,4.38,11.17,5.98,5.45,8.51,3.11,5.03,3.74,9.59
01-05,3.86,9.17,2.02,6.4,8.84,4.38,3.74,2.68,7.67,6.09,4.7,6.37,2.76,9.91,7.09,5.46,6.22,3.36,3,7.78,7.45
01-06,2.37,5.45,2.1,3.14,9.22,10.76,2.5,7,3.81,4.1,4.73,2.69,2.7,3.47,6.06,3.14,5.49,4.78,5.88,3.52,3.53
01-07,5.75,8.8,1.79,2.97,6.97,4.08,5.37,7.07,5.16,2.51,6.48,8.28,3.79,8.07,9.37,6.04,7.08,5.06,6.22,7.06,1.96
01-08,5.74,8.42,2.85,6.93,5.85,5.56,3.75,5.75,3.75,7.15,6.77,8.73,3.78,5.06,8.02,5.41,10.76,4.1,4.5,7.82,5.9
01-09,3.93,13.88,4.21,9.77,3.76,6.84,2.13,6.92,2.53,5.64,4.16,3.24,5.15,6.14,5.17,2.45,6.88,2.76,3.44,8.75,7.39
01-10,2.99,7.57,7.49,9.71,6.63,5.97,1.44,9.02,3.41,5.76,6.42,4.74,4.13,7.84,2.48,3.6,1.42,4.57,4,7.15,5.93
01-11,2.64,8.31,9.3,4.55,9.51,9.93,1.25,8.68,7.3,9.78,3.14,7.71,8.85,10.03,3.3,8.93,6.39,6.83,3.61,8.98,7.44
01-12,6.1,7.69,8.75,5.3,6.51,11.14,2.74,4.52,7.79,3.14,4.83,5.51,7.31,10.28,3.6,5.07,10.43,10.25,8.11,8.75,6.11
01-13,5.6,11.07,5.42,6.01,9.36,9.02,1,5.36,7.45,3.11,5.79,9.13,6.65,7.09,3.03,4.43,6.23,7.98,8.96,6.77,7.02
01-14,6.38,6.92,6.09,6.44,7.48,6.83,2.36,5.14,9.55,5.38,2.16,7.16,6.16,2.34,3.82,4.91,8.62,6.31,9.92,8.12,3.77
01-15,5.56,3.8,4.7,7,7.96,4.26,1.56,3.1,4.22,3.63,3.07,6.58,4.2,2.76,6.08,4.08,10.44,5.31,6.86,9.42,3.42
01-16,3.22,8.11,2.03,7.97,9.06,5.94,3.13,6.22,2.78,3.2,4.99,11.18,2.39,1.78,10.29,4.72,7.9,3.56,8.01,9.67,7.29
01-17,2.97,8.55,7.67,8.01,8.49,3.39,5.35,6,2.62,5.44,4.15,8.26,3.49,3.29,7.97,7.28,7.81,3.1,8.26,6.98,6.69
01-18,2.1,8.13,9.68,10.15,6.05,4.67,6.17,3.86,3.6,4.27,4.25,7.73,1.91,6.76,3.67,4.22,8.07,4.11,6.1,5.55,8.48
01-19,2.67,7.97,6.04,4.67,10.84,5.07,5.12,1.86,6.7,3.1,2.91,2.42,1.98,7.37,2.08,5.61,7.79,5.93,7.89,6.55,6.83
01-20,7.24,8.54,5.16,5.6,9.84,6.62,5.21,2.9,7.09,3.07,3.15,2.94,3.6,4.7,2.46,6.65,8.28,6.88,7.44,1.11,1.59
01-21,5.34,8.08,6.17,9.41,5.88,3.8,4.81,1.84,6.41,3.82,2.81,6.53,1.45,4.81,3.38,3.18,9.78,7.57,9.99,1.61,6.89
01-22,3.7,2.18,3.29,5.27,5.01,4.64,4.46,2.65,5.21,4.69,3.91,5.01,1.87,7.14,3.92,3.25,8.83,7.07,5.37,2.35,11.69
01-23,3.36,1.92,6.08,3.56,3.36,4.51,3.56,1.78,5.64,2.78,3.71,3.65,4.69,7.05,3.56,5.85,6.5,7.37,5.16,4.02,9.75
01-24,5.1,3.19,8.65,7.45,7.38,7.24,1.39,5.97,4.6,3.32,2.44,5,5.37,5.09,10.14,3.87,6.33,4.79,8.02,7.24,5.93
01-25,3.77,2.95,5.83,4.4,8.26,5.23,2.61,5.98,4.95,3.77,2.97,3.7,1.92,5.32,11.31,5.26,7.68,6.09,4.36,7.96,6.62
01-26,3.06,2.59,4.08,10.55,6.53,2.14,3.37,4.51,5.22,7.37,3.31,4.53,7.38,7.65,6.43,2.83,6.45,4.25,6.09,5.57,3.41
01-27,5.45,6.77,7.54,6.79,5.19,1.57,5.75,3.75,6.53,8.07,6.42,5.83,6.83,3.08,5.1,1.81,2.57,2.25,4.89,2.69,4.03
01-28,5,6.19,5.24,6.49,5.01,1.83,8.67,7.27,5.57,8.14,8.18,7.6,8.63,5.05,5.52,8.7,5.77,2.54,6.44,7.6,6.38
01-29,2.29,4.78,6.45,5.81,6.61,2.65,6.82,9.05,4.22,6.37,7.9,8.7,9.05,6.39,2.88,5.53,6.42,4.94,8.24,7.06,9.33
01-30,3.47,7.67,6.62,4.6,5.49,4.5,5.45,8.47,3.26,8.45,7.83,6.29,10.51,7.72,4.18,5.09,5.13,5.22,7.84,9.54,2.99
01-31,9.09,5.72,1.98,6.07,6.67,4.39,6.82,7.15,3.68,4.81,9.37,8.07,5.79,5.04,3.39,2.34,4.14,3,6.11,7.3,6.35
02-01,7.77,2.96,3.11,3.43,10.18,3.18,4.96,6.3,5.1,3.99,8.88,6.47,4.33,3.53,7.93,7.28,6.53,4.52,2.19,3.42,10.1
02-02,2.05,4.06,3.61,5.37,10.66,4.04,3.69,6.19,5.92,3.53,7.01,6.69,9.57,4.72,3.62,6.89,6.23,5.42,1.13,4.81,6.73
02-03,5.22,4.2,6,5.58,9.64,5.31,5.19,7.16,5.27,1.54,5,4.75,4.68,3.2,3.35,7.87,7.15,4.51,1.68,3.61,6.07
02-04,8.83,7.08,5,3.79,6.16,3.2,4.92,8.52,3.7,4.22,4.01,2.57,4.83,1.36,7.03,4.89,5.04,4.99,7.77,5.98,7.56
02-05,6.29,9.76,3.58,4.03,5.58,3.6,3.79,5.01,4.5,6.11,4.85,2.68,5.71,5.33,7.51,8.69,6.74,5.9,7.24,5.86,4.89
02-06,2.05,7.84,2.75,5.94,5.43,4.14,3.81,4.71,5.92,4.94,4.53,7.45,5.38,6.88,3.56,4.35,7.56,4.56,6.84,4.47,2.7
02-07,4.55,5.13,7.43,2.19,4.12,4.43,5.22,3.99,4.8,3.03,4.39,6.32,7.35,5.16,5.1,6.65,5.57,4,3.58,5.31,3.99
02-08,5.18,4.41,7.49,3.3,3.41,7.1,6.45,7.81,4.3,6.43,7.87,9.12,7.84,2.91,6.05,8.26,4.18,2.67,4.67,6.57,2.11
02-09,4.74,6.05,5.63,4.8,5.39,5.4,4.15,7.96,4.17,2.61,6.42,3.9,7.99,2.23,2.66,8.75,8.91,4,6.74,10.81,3.26
02-10,3.29,10.21,1.86,2.28,4.49,3.19,1.83,3.12,1.35,2.37,3.16,5.61,7.56,2.74,2.54,8.97,11.84,3.96,7.59,10.9,3.48
02-11,5.78,6.35,2.02,5.47,2.32,4.09,2.01,6.76,4.1,2.89,3.53,6.26,5.58,2.48,3.11,4.2,8.1,3.99,5.88,5.68,5.52
02-12,2.61,6.26,1.48,5.47,2.28,5.88,5.01,6.59,6.44,4.35,4.6,7.76,7,5.41,6.21,6.92,6.58,2.41,8.07,6.63,8.76
02-13,5.54,10.92,4.03,4.83,6.74,4.33,3.48,5.76,4.19,3.11,4.38,3.65,5.72,8.15,6.15,4.61,5.38,3.59,9.85,7.21,9.77
02-14,4.4,8.19,2.74,2.81,9.55,4.03,1.43,4.27,7.35,3.64,3.86,5.13,5.49,4.93,2.98,6.32,3.61,4.73,8.12,3.9,4.32
02-15,2.75,4.71,4.17,2.15,9.14,3.19,1.19,1.38,5.46,2.24,3.47,5.33,2.54,3.07,3.54,7.87,8.2,4,7.74,3.99,3.59
02-16,3.67,3.7,6.6,3.12,5.29,3.27,1.91,2.06,4.66,1.22,7.24,5.76,4.82,5.46,3.74,8.12,10.23,6.22,7.81,5.74,8.17
02-17,2.8,3.3,6.75,8.19,7.26,4.83,3.15,3.9,7.39,3.36,6.89,8.55,5.87,5.12,4.05,5.97,11.59,3.76,7.67,6.28,9.13
02-18,7.7,3.23,5.5,7.22,5.15,4.03,3.28,2.26,6.51,3.8,6.31,7.17,7.05,6.83,2.93,5.95,11.01,3.45,8.49,6,4.45
02-19,2.76,5.12,3.55,3.92,6.47,2.53,9.19,1.34,10.54,5.99,2.54,6.75,3.67,9.26,3.25,8.01,7.4,4.67,6.35,5.31,4.76
02-20,6.71,2.97,2.51,4.72,3.78,4.98,11.5,1.14,6.59,4.51,1.96,8.73,6.54,3.87,2.75,9.22,3.05,5.09,4.48,5.02,3.3
02-21,8.55,4.37,3.23,4.29,5.25,4.71,6.66,3,7.99,2.47,5.17,6.91,7.32,4.88,1.55,6.1,9.75,5.01,6.89,5.55,5.16
02-22,5.76,6.25,4.67,3.08,10.17,6.07,4.39,2.88,6.94,3.99,6.87,9.96,2.79,7.31,0.97,4.18,12.49,5.6,5.29,2.08,5.82
02-23,1.94,5.62,4,2.22,7.46,4.51,5.45,2.32,5.44,3.17,7.87,6.96,4.14,7.49,3.59,8.2,9.55,6.53,2.93,6.72,8.39
02-24,3.44,3.41,3.17,5.91,5.28,3.46,3.86,1.21,2.25,2.09,8.86,5.31,5.54,6.36,4.95,7.3,8.24,5.32,10.41,2.31,5.81
02-25,7.01,3.31,4.69,7.99,8.54,4.05,3.87,4.9,2.31,2.09,6.43,4.3,5.88,6.45,4.69,7.09,3.86,6.74,9.56,5.7,6.76
02-26,7.49,4.61,2.21,5.64,6.65,3.83,4.08,7.2,5.74,5.51,4.53,2.8,5.43,3.83,5.86,4.33,10.07,7.02,4.78,6.99,2.9
02-27,5.07,4.84,3.64,4.5,7.54,1.64,3.53,3.76,2.96,5.09,2.83,2.12,4.79,3.56,8.22,5.98,9.23,5.44,5.41,4.95,1.77
02-28,3.38,4.11,3.14,2.65,8,5.72,5.73,2.89,5.83,7.19,2.95,1.63,5.35,6.73,6.47,7.4,4.46,5.05,6.03,6.29,1.89
02-29,1.95,0,0,0,4.19,0,0,0,2.71,0,0,0,2.64,0,0,0,5.16,0,0,0,4.6
03-01,4.06,6.21,5.18,5.34,6.92,2.81,6.07,2.41,2.99,7.5,4.2,5.88,4.07,4.72,4.28,5.11,7.68,6.34,6.43,5.61,5.47
03-02,4.29,4.25,6.78,4.01,7.58,3.33,4.29,4.71,8.07,5.65,3.48,5.51,5.39,5.84,4.98,7.96,5.76,6.3,5.02,7.11,5.23
03-03,8.51,4.01,4.98,1.06,1.97,5.12,4.89,7.76,6.1,7.73,5.01,5.14,3.23,3.59,2.97,4.85,4.56,6.53,4.08,6.62,4.23
03-04,4.27,2.26,4.69,3.61,6.44,2.55,2.81,8.49,3.71,4.55,2.04,6.04,4.21,3.42,3.07,4.57,8.15,5.32,4.01,7.07,4.26
03-05,3.14,3.88,3.73,3.62,5.76,4.61,3.4,8.34,4.76,4.07,3.76,2.18,2.6,4.97,3.13,7.73,4.75,4.11,3.5,3.93,6.1
03-06,2.91,4.33,3.17,4.37,7.23,4.89,3.26,6.66,3.1,7.96,3.73,6.73,3.03,8.82,6.14,4.67,4.08,8.28,6.48,2.51,2.23
03-07,3.09,5.48,4.26,5.5,6.95,3.79,2.11,4.93,2.14,6.31,8.38,6.49,4.37,10.09,5.2,6.79,2.71,8.88,4.08,3.87,2.39
03-08,1.58,6.35,2.87,4.72,4.41,3.93,7.07,6.46,3.46,4.41,9.44,9.01,2.09,7.85,6.07,7.75,2.91,4.6,5.29,6.65,2.89
03-09,1.89,7.08,3.68,4.46,5.77,5.57,4.69,9.67,6.24,4.03,9.19,5.74,3.13,4.78,5.08,9.41,6.57,5.24,3.79,4.61,1.83
03-10,1.12,2.72,5.47,6.63,6.61,5.52,8.15,9.34,5.84,2.82,7.85,7.95,1.7,2.01,2.97,5.16,6.39,8.85,5.21,5.78,1.67
03-11,1.03,2.26,4.64,5.89,6.22,1.88,9.01,9.07,4.46,4.98,6.4,5.37,1.62,2.17,2.92,4.9,7.3,7.53,6.1,5.76,2.2
03-12,1.55,4.9,6.45,4.24,7.02,1.67,4.25,6.69,8.01,3.91,6.69,3.7,2.31,3.56,5.63,4.32,7.4,8.22,2.1,6.52,3.94
03-13,2.62,4.36,6.14,6.82,2.93,2.75,3.49,2.81,8.2,5.14,5.72,4.93,4.03,5.36,4.01,5.32,7.86,6.07,3.33,7.28,4.47
03-14,5.18,1.87,5.11,6.27,2.63,4.37,4.74,4.02,6.8,2.16,8.25,4.45,4.54,7.48,6.66,6.48,6.53,4.42,2.94,10,8.97
03-15,5.74,3.11,4.99,4.79,2.62,2.64,3.48,5.13,2.84,1.67,7.5,3.39,2.59,7.7,5.93,5.41,8.33,5.12,1.79,6.43,7.76
03-16,4.96,3.17,3.96,6.12,2.48,3.33,2.36,3.25,5.58,2.34,7.07,3.18,5.8,4.79,5.43,3.85,7.67,2.73,2.41,1.71,6.94
03-17,2.83,4.97,2,5.52,2.06,4.21,2.32,5.45,5.86,2.55,3.02,3.16,6.8,9.37,4.32,5.96,6.1,2.7,2.64,3.5,7.82
03-18,4.82,7.9,6.5,7.9,4.34,3.41,4.14,6.13,2.9,5.61,2.84,2.14,7.47,4.86,7.82,6.61,7.69,4.09,5.39,8.54,6.83
