month-day,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
01-01,3.56,5.18,4.15,7.22,4.75,3.24,6.22,2.67,3.2,3.06,6.36,6.37,4.11,7.15,4.62,6.8,3.6,3.53,6.09,6.23,5.24
01-02,4.09,7.62,5.09,6.85,4.67,5.72,4.23,2.29,2.8,2.81,7.75,3.67,4.22,6.77,5.17,7.82,3.5,4.52,4.89,6.61,5.23
01-03,4.22,5.97,4.99,5.25,4.83,3.02,2.99,2.62,2.05,2.52,7.6,2.63,3.26,8.18,5.01,6.97,3.19,5.03,5.45,6.25,4.88
01-04,5.39,4.84,3.84,3.97,4.6,2.97,4.15,5.3,2.3,2.95,3.46,2.47,3.56,8.37,5.52,3.13,5.35,6.08,6.21,2.53,3.01
01-05,6.38,6.95,4,2.25,2.51,5.27,5.69,6.68,2.36,4.08,2.93,2.16,2.45,5.02,7.52,2.44,5.05,4.4,5.17,3.5,3.03
01-06,5.36,7.19,5.54,2.53,3,6.52,6.22,3.29,2.42,5.91,4.25,2.61,2.01,2.85,5.39,1.83,5.76,4.39,5.33,2.45,4.88
01-07,3.82,5.31,4.94,2.75,3.45,5.75,4.98,2.76,2.7,6.49,5.69,3.11,3.72,3.69,3.14,2.1,3.74,5.34,3.36,3.65,7
01-08,4.19,6.95,6.1,4.86,5.02,4.99,6.9,3.61,2.23,6.39,4.29,5.36,2.89,4.4,3.55,3.19,3.15,3.99,2.75,3.95,6.87
01-09,5.95,7.01,3.13,4.97,5,5.67,6.77,3.06,3.05,4.21,5.93,4.44,3.77,4.41,2.94,4.96,6.23,5.42,2.56,3.49,6.55
01-10,6.23,5.55,5.95,4.74,8.1,6.33,4.82,3.91,6.38,2.83,6.45,4.54,4.08,5.52,3.21,4.57,6.35,5.38,2.53,5.23,5.31
01-11,3.57,4.76,6.91,7.22,8.27,6.53,3.94,5.73,6.73,3.73,4.48,4.23,3.49,5.54,4.01,2.92,5.53,6.81,3.8,6.87,4.56
01-12,2.71,5.11,7.45,4.77,4.36,6.09,8.3,5.85,3.01,2.45,3.24,5.46,3.5,5.22,3.93,3.64,3.89,4.8,4.68,6.1,3.63
01-13,3.11,5.33,5.76,2.58,4.65,6.22,7.63,5.27,3.44,2.69,4.05,5.49,3.97,6.13,1.95,3.9,6.46,4.97,5.6,5.88,4.89
01-14,3.37,6.69,6.13,2.98,5.27,5.46,3.54,5.08,2.92,2.49,4.47,4.53,3.63,5.98,2.16,4.43,6.58,5.86,5.77,5.52,6.64
01-15,3.28,5.36,8.06,2.87,6.17,5.47,2.35,3.43,2.51,2.53,3.38,3.32,5.73,5.12,2.79,5.21,8.08,7,4.75,5.23,6.95
01-16,2.33,2.39,5.3,2.82,4.67,5.41,3.89,5.6,2.98,3.35,3.25,2.62,7,5.39,4.59,6.2,3.1,6.02,4.86,4.31,6.37
