month-day,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
01-01,1.11,0.62,7.76,1.45,1.09,0.08,0.25,0.06,2.19,0.03,0.03,0.6,0.46,0,0.3,0.8,0.01,0.07,0.04,0,5.17
01-02,0.13,2.26,19.61,0.53,0.28,0.08,2,0.62,0.73,0.65,0.19,1.23,0.45,0.25,0.32,2.94,0.01,1.59,0,0.11,1.98
01-03,0.15,0.93,8.69,0.34,0.08,0.05,0.16,0.34,1.04,0.8,0.06,4.91,0.22,0.08,2.41,2.45,0.02,0.52,0.22,1.47,1.33
01-04,0.39,1.52,2.3,0.64,0.07,0.1,0.14,0.01,1.07,6.12,2.06,2.2,1.26,1.15,2.16,2.49,1.65,0.52,0.4,0.15,0.8
01-05,9.48,0.07,3.32,0.92,0.12,0.47,0.83,0.02,2.26,6.57,0.84,5.61,0.47,2.16,3.36,9.68,0.39,0.32,1.82,1.39,0.28
01-06,0.27,4.53,2.8,0.49,1.49,0.16,4.83,0.05,0.51,9.58,0.03,0.43,0.26,0.41,0.06,2.9,0,6.38,0.29,0.12,16.6
01-07,4.76,0.02,0.46,0.74,2.27,0.01,0.12,0.12,4.18,9.98,0.06,0.72,0.12,0.32,0.22,1.98,0.06,0.24,0,0.03,3.85
01-08,0.21,0,0.04,0.11,0.07,0.02,11.3,0.63,2.56,5.02,0.04,0.39,0.16,2.06,0.85,4.94,0.35,0.06,0.08,0.23,0.79
01-09,2.67,0.08,0.01,0.88,0.05,0,9.85,0.12,2.97,0.33,0.04,1.5,2.52,0.54,1.05,3.26,0.92,0.1,0.54,7.31,0.06
01-10,2.22,0,0.02,0.01,0.03,0.02,0.56,1.36,3.6,0.42,0.32,7,4.86,0.04,9.14,3.25,0.04,0.18,1.14,3.76,0.06
01-11,4.68,0,0.03,0.58,0.11,0.01,0.17,0.84,0.03,1,0.18,4.15,7.83,1.19,0.13,1.1,0.11,0.01,0.05,1.5,0.01
01-12,4.01,0.05,0.02,1.94,0.13,0.02,0.07,0.39,0.15,0.61,0.16,0.46,0.49,1.38,1.36,1.28,0,2.94,0.01,0.25,0.17
01-13,5.55,1.06,0.05,0.02,0.53,0.02,0.07,9.81,4.11,1.13,0.02,0.03,0.73,3.67,2.03,6.16,0.02,0.41,0,0.47,0.01
01-14,0.37,0.83,0.02,0.16,0.05,4.07,0.03,2.4,1.15,7.69,2.66,1.63,0.23,1.68,2.65,2.01,0.06,1.96,0.03,0.13,0
01-15,1.87,0.11,0,0,0.05,0.08,0.05,0.19,0.34,0.31,1.03,0.03,0.27,0.3,0.14,0.5,0.08,1.36,0.05,6.79,0.1
01-16,0.15,0,0,0.02,0.04,0.08,0.02,0,0.21,2.2,0.03,0.04,0.8,0.12,2.72,0.01,0.01,1.26,0.03,1.41,0.08
01-17,1.21,0,0.32,0.01,0.97,0.02,4.03,0.06,1.49,14.22,0.33,1.98,1.36,0.23,1.45,0.06,0.1,1.25,2.01,3.92,0.11
01-18,0.21,0.29,4.83,0.97,0.27,0.22,4.87,0.09,0.01,2.11,0.14,0.2,0.1,0.1,3.59,0.7,2.83,1.47,0.42,2.07,4.97
01-19,0.68,1.11,0.57,20.83,5.87,0.05,0.87,3.95,8.56,0.19,0.14,0.03,0.1,0.01,0.97,0.02,4.44,1.82,0.01,0.78,1.16
01-20,6.11,3.67,0.04,1.03,0.04,0.58,0.07,0.31,3.04,0.53,1.95,0.04,0.11,0,1.57,0.05,1.7,0.46,1.36,0.42,0
01-21,0.63,10.66,0.78,0.56,0,11.67,2.44,0.3,10.81,1.89,2.31,0.08,0.86,0,2.23,0.01,0.03,0.01,0.93,2.59,0
01-22,0.21,2.37,1.15,3.7,1.87,1.85,0.08,0.14,2.62,0.8,0.48,0.12,0,0,1.43,0.07,0.05,0.42,4.05,4.34,1.97
01-23,0.04,1.54,0.01,11.31,0.05,7.75,0.07,1.65,1.07,0.51,0.03,1,5.43,0.03,1.77,1.39,0.01,3.74,4.94,1.39,1.39
01-24,0,1.72,0,3.41,0,0.23,0.14,1.36,2.91,0.48,0.84,2.32,0.09,0.1,0.3,0.21,0.02,0.9,0.85,1.14,2.95
01-25,1.19,0.65,0.01,0.16,0.46,0.09,0.38,1.69,0.74,0.2,0.04,2.77,6.25,0.08,0.05,0.09,0.1,0.11,0.06,0.09,0.14
01-26,1.2,7.25,0.01,0.04,0,0.01,1.89,1.15,0.03,0.03,0.52,0.12,0,0.01,0.18,3.23,0.16,1.32,0.07,0.4,3.26
01-27,1.01,2.15,0.01,2.24,10.35,5.84,0,0.82,0,0.29,0.62,2.11,0,0.02,0.21,0.46,0.12,1,0.17,1.32,0.26
01-28,0.95,0.13,0.11,1.53,1.54,9.21,2.01,0.14,0,2.03,0.31,0.07,0.23,0.08,0.01,5.79,3.25,6.68,1.06,1.73,0
01-29,0.3,0.11,0.24,1.34,0.31,3.89,0.89,0.04,0.03,2.97,0.43,1.93,3.91,0.09,0.02,0.07,1.58,9.25,1.67,0.06,0
01-30,0.12,0.06,0.2,0.33,0.06,0.36,0.39,0.03,0,2.88,1.25,9.7,0.11,0.2,1.15,0.03,0.19,1.37,0.63,0.61,0
01-31,0.07,2.82,0.01,0.02,0.75,0.42,0.2,0.06,0,0.62,0.7,0.05,2.76,3.08,0.08,0.06,0.8,0.7,1.07,1.42,0.05
02-01,0.02,2.5,0.01,0.45,0.01,0.74,0.25,0.02,0,1.06,0.57,0.48,10.72,4.15,3.1,0.65,0.69,0.01,3.65,2.76,1.6
02-02,12.32,2.37,0.02,0.09,1.87,1.62,0.58,0.03,0,5.99,3.09,0.44,0,0.21,2.09,2.37,3.56,0.73,2.31,4.64,0.23
02-03,4.66,8.93,0.04,2.32,0.01,3.19,2.13,0.24,0,0.11,0.21,0.07,9.84,0.17,0.41,1.6,5.06,1.31,0.15,6.61,0.23
02-04,0.1,0.21,0.59,0.11,0.07,1.48,1.1,0.06,0.12,3.16,0.07,0.14,0.91,0.36,0.23,0.48,3.26,0.13,0.03,2.99,1.26
02-05,0,0.25,0.09,0.24,0.15,0.09,0.68,0,0.06,1.85,0.06,0.06,1.48,0.81,0.12,0,2.32,0.2,0.45,0.29,0.3
02-06,0,0,0.03,5.05,1.2,0.04,1.32,0.01,0.85,1.53,0.66,0.06,0,15.28,0.15,0,0,0.54,0.89,0.01,0
