month-day,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
01-01,17.2,14.98,16.54,11.18,15.18,17.83,15.46,15.32,14.87,16.78,15.91,15.21,18.22,16.82,18.01,18.4,16.28,15.9,17.8,14.4,15.23
01-02,18.15,14.4,18.78,11.4,16.05,18.53,16.24,17.03,14,17.16,15.96,16.42,17.07,14.07,19.4,18.69,16.85,17.12,18.99,15.63,16.07
01-03,18.32,14.93,16.38,11.21,17.13,17.13,16.62,17.58,14.28,15.6,16.84,15.48,15.16,14.64,19.58,19.4,16.06,16.45,18.79,17.06,17.24
01-04,17.77,15.64,16.24,12.64,14.58,16,16.95,17.7,15.59,14.47,16.69,16.73,12.4,13.41,18.97,17.37,13.39,16.23,19.18,17.46,16.83
01-05,17.39,15.56,15.15,14.31,17.1,16.22,14.59,18.13,15.85,17.13,18.16,17.05,13.82,12.11,17.81,17.75,14.7,16.78,17.09,17.63,15.95
01-06,17.27,16.77,14.81,15.68,17.99,16.22,15.44,18.98,16.07,16.88,16.5,17.52,15.43,14.18,14.85,18.72,15.81,17.71,15.49,17.8,14.33
01-07,17.93,16.04,16.21,13.24,18.18,17.07,15.76,18.02,15.67,16.46,16.16,16.29,16.26,14.59,15.14,17.79,13.74,17.64,13.74,16.22,16.02
01-08,19.06,15.53,17.5,15.35,16.93,18.96,15.22,14.62,15.19,15.93,16.09,14.26,17.93,14.98,18.32,17.58,13.57,16.04,15.75,14.12,17.87
01-09,19.09,14.7,17.61,15.89,17.29,18.1,13.51,14.02,17.09,17.08,13.31,16.62,17.17,16.4,18.16,18.4,15.67,15.61,17.36,15.54,17.81
01-10,17.44,13.36,17.57,15.62,14.73,15.9,15.23,15.17,18.05,18.37,15,17.29,15.56,16.48,17.87,19.39,15.65,16.67,17.84,16.36,18.6
01-11,17.43,13.1,17,17.24,14.77,14.84,12.86,14.6,17.05,17.34,16.81,17.29,15.73,16.91,16.67,18.81,15.58,16.33,18.28,15.28,19.13
01-12,18.29,15.26,15.68,16.87,16.75,15.57,12.38,15.04,17.39,16.93,16.34,17.55,15.68,17.18,16.58,17.7,16.48,17.55,17.53,14.79,18.87
01-13,16.71,15.57,17.47,19.05,17.62,15.54,12.92,12.72,16.65,18.12,16.43,17.5,14.96,16.48,18.8,17.91,14.78,18.36,14.12,14.6,18.15
01-14,18.13,17.31,17.32,17.28,17.84,15.59,15.14,15.03,16.86,16.74,15.59,17.41,15.96,15.51,19.91,15.91,13.19,18.54,14.37,15.15,18.41
01-15,18.04,17.08,16.75,16.45,18.12,16.88,13.88,16.8,16.2,16.12,15.82,18.56,16.66,17.55,20.5,15.21,13.04,18.13,15.77,16.06,16.37
01-16,18.11,17.39,15.98,17.04,18.65,17.88,13.48,17.89,14.36,15.25,17.61,18.23,17.6,16.52,19.84,15.58,13.6,17.88,17.17,16.71,16.64
01-17,19.03,16.36,16.39,13.86,18.43,17.71,14.84,17.84,15.6,14.38,13.84,18.68,17.93,17.03,19.9,18.4,14.4,17.83,17.25,17.64,18.44
01-18,18.68,15.75,16.99,14.38,15.64,16.24,15.83,19.68,16.33,12.56,13.56,18.49,18.26,17.08,18.85,17.7,14.54,16.63,16.83,16.81,18.4
01-19,17.55,13.18,14.62,16.18,15.49,16.27,16.93,18.54,16.07,15.17,15.83,18.33,17.98,16.28,19.49,18.58,15.38,17.03,18.35,17.23,19.82
01-20,13.21,15.16,15.49,16.51,17.67,15.81,18.08,14.08,17.15,16.86,16.17,17.53,17.6,12.9,19.87,19.05,16.5,14.43,15.53,17.94,20.04
