month-day,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
01-01,8.22,7.34,5.17,5.05,5.74,5.79,3.38,0.68,11.08,9.18,7.56
01-02,7.55,6.46,8.58,0.94,6.25,1.58,7.04,1.18,10.29,4.84,10.54
01-03,7.77,3.4,6.55,1.05,7.41,0.59,6.24,1.93,8.12,7.7,8.6
01-04,6.75,0.48,7.05,2.86,6.96,-1.17,3.96,2.32,3.79,11.06,6.85
01-05,5.29,5.88,7.32,0.46,5.03,0.9,5.33,1.69,0.97,9.94,4.98
01-06,10.29,5.37,6.17,2.61,2.75,4.27,6.36,2.05,1.67,8.65,3.03
01-07,9.15,5.08,5.51,6.41,1.42,6.51,8.48,-1.19,3.38,8.98,1.08
01-08,8.17,7.77,4.92,6.39,2.6,4.37,9.52,-0.95,5.38,6.96,0.7
01-09,6.87,10.53,8.18,6.24,4.51,2.03,10.09,-0.38,3.19,5.21,-0.63
01-10,5.69,7.8,5.29,4.34,6.18,1.79,4.22,-0.32,4.75,7.77,-0.59
01-11,4.68,4.38,5.03,6.36,4.82,4.13,7.64,4.79,7.39,8,0.91
01-12,3.81,9.19,4.18,3.01,5.28,6.12,8.24,4.22,3.29,9.75,3.46
01-13,5.74,6.1,3.25,0.77,4.62,8.47,7.81,3.36,2.48,6.64,0.95
01-14,3.01,4.15,2.28,0.48,3.11,5.36,9.35,3.34,1.41,8.23,1.52
01-15,8.43,6.77,0.62,3.64,6.92,5.27,7.65,0.23,2.33,4.29,-1.87
01-16,7.78,2.07,0.04,2.57,4.04,6.41,7.87,2.56,3.75,0.92,-1.35
01-17,7.05,0.46,1.26,-0.18,3.44,1.77,6.39,3.31,2.82,-2.48,-0.56
01-18,7.06,0.44,0.65,-0.9,5.85,1.01,2.62,4.2,3,-0.42,-2.35
01-19,4.77,0.04,-0.66,0.08,2.36,1.92,1.15,9.48,4.03,-0.53,-1.06
01-20,3.61,0.5,0.03,0.01,2.02,-1.05,0.54,9.09,1.24,0.63,1.6
01-21,3.15,1.34,1.35,-0.97,2.67,0.24,1.95,4.38,0.58,0.68,7.86
01-22,5.89,-0.37,4.97,0.48,6,2.14,4.54,2.41,2.54,-0.29,8.45
01-23,4.38,0.55,6.36,0.46,8.51,-0.98,5.21,0.58,2.69,-0.34,7.79
01-24,4.56,2.07,10.31,0.73,9.12,-0.16,4.62,-0.39,1.69,0.55,8.2
01-25,6.06,3.19,9.04,0.61,6.13,4.9,4.38,-0.66,0.89,0.79,8.46
01-26,3.87,5.86,8.31,-1.29,4.2,7.21,7.58,1.43,2.1,2.67,6.49
01-27,3.88,4.16,9.99,1.78,5.72,4.3,6.44,5.95,5.19,2.91,3.74
01-28,5.54,4.94,4.55,4.77,10.16,0.06,3.55,9.44,4.96,1.8,5.87
01-29,3.83,1.47,9.69,5.54,7.17,0.88,4.4,7.64,8.58,3.74,8.69
01-30,3.74,1.34,6.13,6.13,3.68,-0.57,8.44,3.42,3.3,4.42,6.8
01-31,4.66,0.98,7.52,5.34,5.47,-0.47,9.61,1.35,4.47,4.56,6
02-01,5.94,0.86,9.98,8.33,3.32,0.52,8.59,2.96,8.22,5.1,4.37
02-02,5.24,-1.7,6.12,8.77,2.72,0.26,8.99,8.42,7.85,7.36,7.6
02-03,4.69,0.14,3.51,7.26,1.7,-0.5,7.65,6.66,7.31,8.47,10.52
02-04,5.41,0.61,7.85,3.65,1.34,4.87,5.03,6.34,5.77,6.64,10.16
02-05,6.57,0.23,8.63,4.03,0.12,5.19,3.41,6.05,5.45,3.95,8.89
02-06,6.63,0.34,9.2,3.49,-0.46,8.11,2.58,4.88,8.03,3.75,10.66
02-07,6.47,1.81,6.82,5.06,-0.39,6.77,4.56,-0.43,5.69,1.95,5.18
02-08,6.97,2.03,7.04,2.41,1.61,8.16,7.39,-1.91,8.95,1.02,7.15
02-09,4.64,3.18,4.02,0.39,2.94,7,9.63,-1.41,8.06,3.1,9.94
02-10,4.38,3.23,4.01,0.26,3.47,4.78,6.05,-1.55,4.27,3.03,8.38
02-11,3.37,2.56,1.72,0.2,3.84,4.27,3.82,-2.06,3.12,6.6,6.35
02-12,4.77,1.58,2.8,2.21,1.38,4.46,3.93,-2.37,4.69,6.57,4.71
02-13,4,5.25,2.2,4.01,2.61,6.48,6.3,-2.63,7.34,4.52,7.34
02-14,5.92,5.83,2.04,5.1,2.58,4.94,6.74,0.9,6.48,5.1,11
02-15,6.94,5.28,0.66,7.51,5.79,5.43,10.67,5.98,6.01,7.31,11.5
02-16,4.42,4.57,1.18,6.68,3.03,7.79,9.4,7.02,11.56,8.65,9.54
02-17,6.93,2.56,3.19,6.58,3.62,8.27,6.48,8.66,7.93,10.56,9.45
02-18,7.23,3.16,2.45,6.22,5.21,7.17,5.76,6.33,7.5,10.22,10.53
02-19,6.41,5.12,4.22,7.67,7.23,5.74,5.01,7.09,5.07,8.1,8.26
02-20,8.65,4.05,9.39,10.9,6.39,7.44,6.86,9.93,8.67,8.71,7.59
02-21,5.18,2.04,11.24,10.19,2.97,8.68,6.4,10.01,6.54,7.5,9.38
02-22,5.89,2.82,6.44,10.51,1.34,7.48,9.15,8.25,7.13,6.06,7.78
02-23,8.73,4.09,2.64,8.03,-0.06,8.36,9.25,8.7,6.21,4.71,5.05
02-24,8.55,4.66,1.52,3.95,0.2,6.71,8.31,10.27,5.35,3.15,4.24
02-25,7.29,6.68,0.73,7.24,-0.55,7.12,4.55,8.3,4.65,3.39,4.86
02-26,5.31,6.9,1.38,9.53,-1.37,8.16,3.19,4.74,4.3,2.23,5
02-27,6.08,2.91,2.45,6.69,-2.12,7.51,2.74,4.5,4.13,2.72,4.15
02-28,4.49,6.23,2.3,4.35,-3.29,7.78,5.23,5.12,8.05,4.51,7.96
02-29,0,0,2.85,0,0,0,6.73,0,0,0,8.77
03-01,3.23,7.27,7.34,5.73,-2.43,7.59,4.96,4.92,7.47,4.38,5.23
03-02,5.38,3.32,4.3,6.14,-1.11,9.54,4.88,4.64,6.06,3.13,4.75
03-03,4.93,3.79,4.75,6.54,1.71,10.05,3.78,5.18,7.37,3.79,3.58
03-04,4.38,3.52,3.4,7.07,3.13,5.82,3.61,4.15,6.28,3.85,5
03-05,5.31,3.98,1.79,5.91,5.3,6.83,4.6,2.56,4.74,1.68,5.73
03-06,7.71,5.36,1.9,5.58,5.26,9.74,3.93,1.62,4,3.15,5.98
03-07,8.33,7.15,1.27,5.66,4.23,6.84,6.26,1.65,3.37,2.57,6.37
03-08,8.74,7.26,3.07,9.75,5.3,6.38,8.52,2.63,4.87,1.21,6.28
03-09,9.62,6.61,6.08,9.74,6.02,7.78,6.66,4.9,8.23,5.19,8.77
03-10,7.25,5.92,4.52,7.34,8.87,6.66,11.2,6.57,9.55,3.47,8.07
03-11,6.43,5.17,3.62,10.22,8.28,5.62,10,7.96,8.65,2.54,6.91
03-12,7.41,7.01,5.43,9,7.57,6.17,6.11,6.07,9.03,9.22,9.11
03-13,8.08,5.29,4.2,9.03,5.83,7.11,6.49,5.72,8.06,11.29,10.46
03-14,8.05,4.1,4.31,10.22,7.36,8.78,8.28,6.46,7.27,5.83,10.8
03-15,9.67,5,5.9,10.59,7.88,10.79,8.1,7.63,8.22,4.57,10.92
03-16,10.18,5.03,5.62,8.13,7.83,9.91,5.65,7.75,8.4,9.8,8.42
03-17,9.36,6.62,4.33,7.3,0.54,5.54,7.51,5.65,6.68,10.43,10.98
03-18,8.5,4.73,3.98,11.53,-0.31,5.42,10.03,6.06,8.36,10.11,9.53
03-19,8.7,5.2,5.57,11.24,-0.23,7.61,6.93,5.94,8.44,7.82,9.95
03-20,9.32,6,5.7,9.83,2.32,9.3,6.15,6.18,5.95,9.12,11.32
03-21,7.2,5.88,5.75,6.02,3.57,10.32,4.89,7.71,7.14,10.17,9.44
03-22,5.61,3.88,6.01,5.59,6.17,8.78,4.64,6.12,10.53,10.54,8.37
03-23,4.43,4.98,6.7,6.92,7.11,7.9,4.43,5.98,10.33,10.68,5.48
03-24,4.33,4.96,6.58,7.49,6.63,6.8,5.2,7.21,9.75,9.74,7.12
03-25,5.38,3.7,8.76,7.43,7.52,6.47,4.25,7.32,8.39,9.41,7.48
03-26,3.56,6.07,8.35,8.09,6.25,6.34,4.71,7.72,8.78,6.65,8.26
03-27,4.49,5.94,7.57,8.46,7.36,7.48,5.87,6.49,8.36,4.68,7.49
03-28,7.32,9.83,7.27,10.3,4.14,7.83,5.77,8.55,8.59,6.76,8.14
03-29,10.74,9.23,7.01,11.47,4.64,8.96,3.68,9.98,8.24,10.94,8.97
03-30,11.01,7.18,6.98,13.38,5.95,11.23,4.12,11.5,6.9,11.56,8.75
03-31,10.93,8.53,6.3,11.38,5.39,7.78,4.93,13.03,2.54,10.58,9.52
04-01,11.14,5.98,6.33,10.04,5.31,7.01,4.43,8.71,2.8,8.27,9.62
04-02,11.47,7.05,8.31,9.99,7.52,4.82,7.03,5.81,2.63,6.74,10.28
04-03,11.97,8.24,10.34,9.56,9.07,3.58,7.51,5.76,3.47,5.34,10.62
04-04,11.24,6.83,8.94,10.15,8.67,5.37,7.97,6.24,8.09,5.93,11.98
04-05,10.83,6.33,8.15,9.05,5.96,8.11,11.17,4.33,10.52,6.84,13.09
04-06,13.12,7.34,7.04,10.14,8.29,8.12,11.14,1.42,9.68,9.32,13.92
04-07,11.58,9.59,5.94,10.07,10.26,8.88,10.36,1.9,8.28,7.82,11.68
04-08,7.81,10.39,7.22,10.8,8.97,9.54,13.01,5.43,5.22,8.01,11.52
04-09,9.63,9.55,6.62,13.06,8.1,8.42,12.23,7.47,5.3,9.36,8.75
04-10,10.04,10.66,6.38,9.82,9.98,6.37,12.52,4.39,6.75,10.48,8.99
04-11,10.55,8.75,9.75,9.59,9.48,4.96,14.19,3.28,10.02,8.19,13.94
04-12,9.17,9.01,9.22,9.7,8.87,4.99,14.73,3.59,11.55,6.81,13.07
04-13,9.94,8.83,10.08,8.91,8.33,4.1,6.93,5.23,11.94,7.64,12.98
04-14,8.84,12.05,10.11,9.96,11.2,4.22,5.82,4.91,12.75,7.25,9.65
04-15,6.77,13.62,9.1,9.75,10.29,7.87,8.09,3.81,13.62,9.06,7.87
04-16,7.68,10.11,5.36,9.03,10.17,9.9,10.71,4.73,11.5,10.49,8.2
04-17,9.83,8.52,5.25,8.52,12.22,10.41,9.31,5.66,11.02,10.69,6.49
04-18,7.42,7.66,7.19,6.51,14.61,12.17,9.48,7.25,10.32,8.39,8.08
04-19,7.12,6.58,8.75,6.7,16.68,12.65,9.29,8.55,10.02,9.98,9.07
04-20,9.48,8.71,7.49,8.77,16.33,12.61,9.99,9,10.53,8.24,5.9
04-21,11.53,9.19,8.79,10.58,14.91,12.45,10.84,8.02,10.97,7.42,6.03
04-22,11.03,9.2,7.43,9.27,15.12,13.5,11.52,6.04,10.74,9.16,5.41
04-23,11.25,9.29,5.8,9.04,10.86,13.03,12.75,6.96,11.98,9.99,5.8
04-24,11.3,10.72,5.69,9.01,11.23,11.42,11.87,8.17,11.09,7.65,5.98
04-25,10.7,12.11,6.9,4.47,9.71,10.71,9.42,6.92,9.08,6.43,6.93
04-26,10.42,8.27,3.88,4.58,9.08,10.67,10.71,5.71,9.08,7.74,7.29
04-27,10.16,7.06,5.07,5.37,8.82,8.84,11.41,8.02,8.28,8.96,8.28
04-28,11.13,7.02,6.32,9.13,8.1,9.39,7.62,7.07,9.23,12.44,8.18
04-29,11.57,7.72,6.25,10.15,6.67,10.02,8.96,6.35,8.57,10.99,10.27
04-30,11.83,7.88,5.89,11.39,5.21,10.65,8.72,6.58,10.02,11.32,11.87
05-01,10.85,6.73,8.28,10.05,7.75,11.28,9.13,6.37,10.42,11.89,13.47
05-02,9.21,8.39,11.13,10.79,8.73,10.97,10.32,7.68,11.71,10.51,13.32
05-03,7.38,12.59,8.93,9.05,9.65,9.21,10.76,8.39,11.7,9.27,10.34
05-04,9.06,13.11,9.93,10.45,12.5,6.41,11.18,8.61,11.54,12.99,10.99
05-05,11.09,12.7,11.37,10.27,12.8,7.51,8.92,6.44,13.17,12.87,11.77
05-06,12.76,10.48,13.59,10.9,14.43,8.43,9.85,6.17,14.33,12.17,12.05
05-07,11.96,10.93,15.02,10.83,16.25,9.98,12.49,7.49,13.01,14.86,12.7
05-08,12.28,11.7,16.14,8.86,16.05,10.71,14.95,11.44,11.54,12.66,12.44
05-09,12.31,12.3,15.7,9.53,13.54,10.83,14.87,13.94,13.31,13.8,15.42
05-10,12.09,12.15,14.73,9.58,11.91,10.25,11.13,11.63,14.64,12.86,14.95
05-11,10.12,14.51,15.12,13.02,11.86,9.84,6.85,10.8,13.07,12.51,14.92
05-12,10.18,11.47,15.26,13.73,10.88,10.24,7.91,11.13,12.34,10.42,16.72
05-13,10.15,11.26,12.55,12.86,11.4,9.94,7.17,10.37,13.55,11.76,14.9
05-14,11.43,8.64,8.77,13.38,12.56,10.74,7.46,9.97,14.02,12.79,14.1
05-15,12.9,10.67,10.69,13.17,14.18,11.77,10.28,10.49,14.23,11.31,14.48
