month-day,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
01-01,0.14,0,0.05,0.17,0.03,0,0.09,0.01,0.48,0.04,1.02
01-02,0.02,0,0.49,0.01,0.03,0.04,0.19,0.01,0.03,0.06,0.75
01-03,0,0,0.45,0.01,0.02,0.15,0.24,0.01,0.08,0.14,0.42
01-04,0,0,0.05,0.02,0.03,0.09,0.23,0.01,0.09,0.3,0.05
01-05,0.01,0.02,0,0,0.1,0.08,0.12,0.01,0.02,0.27,0
01-06,0.03,0.11,0,0,0.09,0.07,0.04,0.01,0.04,0.48,0
01-07,0.03,0,0.01,0,0.21,0.03,0.11,0,0.06,0.1,0
01-08,0.05,0.01,0,0,0.21,0.2,0.01,0.01,0.11,0.07,0
01-09,0.23,0.01,0,0.01,0.05,0.16,0.02,0.01,0.7,0,0.04
01-10,0.01,0,0,0,0,0,0.12,0.01,0.35,0.03,0.25
01-11,0.03,0.01,0,0.02,0.02,0.01,0.45,0,0.29,0.07,0.1
01-12,0.16,0.09,0.02,0,0.44,0,0.14,0,0.51,0.01,0
01-13,0.05,0.19,0.01,0,0.24,0.04,0.02,0,0.13,0.07,0.02
01-14,0.17,0.07,0.38,0.13,0.41,0.22,0.02,0.01,0.3,0.03,0.02
01-15,0.09,0.05,0.94,0.36,0.08,0.03,0.02,0.01,0.05,0.11,0
01-16,0.07,0.13,0.12,0.29,0.07,0.13,0.01,0.15,0.23,0.01,0
01-17,0.37,0.15,0.02,0.16,0.04,0.23,0.01,0.19,0.05,0.01,0
01-18,0,0,0,0.46,0,0.11,0,0.03,0,0.04,0
01-19,0.03,0.18,0,0.19,0.01,0.04,0.01,0,0.15,0.22,0.04
01-20,0.02,0.17,0,0.09,0,0.36,0.07,0,0.33,0.07,0.03
01-21,0,0.32,0,0.01,0,0.77,0.07,0,1.29,0.08,0.13
01-22,0.01,0.83,0,0.18,0,0.89,0,0.06,1.47,0.1,0.03
01-23,0.17,0.08,0,0.33,0,0.28,0,0.1,0.24,0.05,0.07
01-24,0.13,0,0.1,0,0,0,0.14,0.27,0.04,0.15,0.09
01-25,0.11,0.01,0.14,0,0.02,0.07,0.14,0.07,0.01,0.03,0.09
01-26,0.01,0,0.01,0.03,0.06,0.03,0.02,0.05,0.12,0.01,0.13
01-27,0.1,0,0,0.09,0.16,0,0,0.09,0.14,0,0.01
01-28,0.13,0.02,0,0.06,0.16,0.07,0.04,0.16,0,0,0.06
01-29,0.07,0.09,0.01,0.03,0.01,0.15,0.01,0.2,0,0,0.07
01-30,0.1,0.1,0,0.03,0.04,0.05,0.03,0.16,0.04,0.01,0.11
01-31,0.06,0.01,0.05,0,0.03,0.1,0.08,0.03,0.03,0.15,0.1
02-01,0.08,0,0.05,0.01,0,0.13,0.06,0.12,0.01,0.37,0.01
02-02,0.07,0.04,0.07,0.05,0.03,0.02,0.06,0.04,0,0.05,0.07
02-03,0.04,0.01,0.02,0.01,0.05,0.05,0,0.04,0.02,0.03,0.12
02-04,0.08,0.08,0.04,0.1,0.07,0.03,0,0.17,0.03,0.24,0.01
02-05,0.03,0,0.07,0.03,0.05,0.03,0.21,0.11,0.01,0.13,0.02
02-06,0.07,0,0.02,0.03,0.44,0.07,0.41,0.06,0,0.05,0.1
02-07,0.05,0.01,0.06,0.01,0.22,0.01,0.03,0.01,0.02,0.1,0.35
02-08,0.02,0.03,0.03,0.02,0.02,0.01,0.04,0.01,0,0.2,0.17
02-09,0.08,0.09,0.01,0.32,0.07,0.02,0.01,0,0.01,0.18,0.01
02-10,0.07,0.06,0.01,0.24,0.09,0.06,0.01,0.04,0,0.04,0.03
02-11,0.01,0.01,0.01,0.05,0.06,0.33,0,0.15,0,0.35,0.12
02-12,0.02,0,0.02,0,0,0.4,0,0.01,0,0.3,0.3
02-13,0.02,0.16,0.02,0.04,0.07,0.02,0.04,0,0.02,0.05,0.28
02-14,0.03,0.2,0.05,0.02,0.17,0.01,0.01,0,0.04,0.01,0.1
02-15,0.04,0.03,0.04,0.05,0.33,0.02,0.07,0.02,0.03,0.01,0.02
02-16,0,0,0.02,0.09,0.38,0.02,0.09,0.05,0.06,0,0.15
02-17,0.02,0.04,0.02,0.06,0.14,0.06,0.04,0.01,0.12,0.03,0.11
02-18,0.13,0.04,0.03,0.12,0.05,0.05,0.09,0.02,0.08,0.01,0.03
02-19,0.03,0.09,0.01,0,0.01,0.03,0.32,0.03,0.16,0.01,0.1
02-20,0.01,0.24,0.11,0,0.09,0.19,0.11,0.04,0.02,0.04,0.17
02-21,0.01,1.75,0.16,0.04,0.03,0.2,0.02,0.04,0.09,0.01,0.37
02-22,0.06,0.82,0.12,0.06,0.01,0.13,0.01,0.04,0.03,0.01,0.42
02-23,0.05,0.08,0,0.03,0.05,0.06,0,0.03,0.11,0.06,0.28
02-24,0.18,0,0.12,0.22,0.02,0.08,0,0.1,0.03,0.1,0.21
02-25,0.06,0.1,0.07,0.04,0.19,0.04,0.02,0.15,0.05,0.05,0.09
02-26,0.05,0.04,0.05,0.2,0.02,0.05,0.03,0.04,0.07,0.07,0.16
02-27,0.04,0.01,0.03,0.35,0,0.14,0.04,0.13,0.01,0.07,0.14
02-28,0.01,0.02,0.02,0.54,0.03,0.01,0.07,0.09,0.03,0.05,0.22
02-29,0,0,0.07,0,0,0,0.2,0,0,0,0.11
03-01,0.11,0.03,0.1,0.02,0.03,0.08,0.56,0.03,0.11,0,0.1
03-02,0.29,0.03,0.02,0.23,0.05,0.06,0.69,0.03,0.02,0.01,0.14
03-03,0.27,0.27,0.13,0.75,0.07,0.02,0.5,0.09,0.02,0.26,0.12
03-04,0.06,0.9,0.19,0.86,0.36,0.01,0.63,0.22,0,0.29,0.01
03-05,0.01,0.1,0.32,0.33,0.49,0.11,0.29,0.05,0.01,0.09,0.08
03-06,0,0.12,0.38,0,0.11,0.11,0.04,0.2,0.06,0,0.23
03-07,0.03,0.13,0.11,0,0.25,0.34,0.05,0.39,0.02,0.02,0.03
03-08,0.08,0.18,0.08,0.06,0.29,0.79,0.22,0.06,0.02,0.02,0.04
03-09,0.03,0.13,0.07,0.05,0.14,0.67,0.26,0.01,0.07,0.1,0.02
03-10,0,0.12,0.07,0.08,0.31,0.57,0.19,0.02,0,0.1,0.01
03-11,0.04,0.27,0.18,0,0.39,0.56,0.84,0.11,0.03,0.39,0.02
03-12,0.02,0.14,0.18,0.01,0.06,0.27,0.45,0.2,0.13,0.23,0
03-13,0.09,0.19,0.16,0.02,0.01,0.04,0.22,0.11,0.3,0.2,0.02
03-14,1.1,0.04,0.08,0.08,0.01,0.01,0.27,0.06,0.62,0.13,0.19
03-15,0.06,0.1,0.12,0.33,0.01,0.06,0.18,0.12,0.68,0.19,0.31
03-16,0.05,0.13,0.07,0.64,0.03,0.13,0.34,0.2,0,0.09,0.16
03-17,0.26,0.04,0.07,0.43,0.91,0.08,0.35,0.07,0,0.03,0.27
03-18,0.57,0.17,0.06,1.39,0.75,0.09,0.2,0.05,0.05,0.02,0.4
03-19,0.07,0.19,0.01,0.74,0.04,0.25,0.3,0.15,0.06,0.06,1.54
03-20,0.09,0.1,0.12,0.28,0,0.43,0.59,0.24,0.18,0.04,0.48
03-21,0.02,0.09,0.37,0.49,0.23,0.04,0.44,0.19,0.09,0.11,0.15
03-22,0.04,0.03,0.38,0.29,0.44,0.01,0.13,0.08,0.09,0.03,0.35
03-23,0.08,0.28,0.07,0,1.52,0.01,0.05,0.22,0.06,0.19,0.16
03-24,0.13,2.36,0.04,0.01,1.94,0.06,0.07,0.04,0.02,0.59,0.02
03-25,0.12,0.85,0.06,0.07,0.05,0.03,0.02,0.03,0.03,1.85,0.09
03-26,0.09,0.36,0.04,0.03,0.03,0.12,0.17,0.01,0.09,2.87,0.13
03-27,0.06,0.08,0.03,0.06,0.24,0.03,0.14,0.02,0.29,1.14,0.01
03-28,0.08,0.1,0.08,0.39,0.13,0.22,0.09,0.03,1.37,0.42,0.06
03-29,0.02,0.03,0.02,0.26,0.1,0.12,0.04,0.14,0.37,0.27,0.11
03-30,0.05,0.01,0.04,0.2,0.08,0.12,0.15,0.23,0.01,0.16,0.09
03-31,0.05,0.03,0.26,0.3,0.01,0.12,0.13,0.18,0,0.13,0.14
04-01,0.07,0.03,0.05,0.24,0.01,0.02,0.08,0.55,0.03,0.27,0.12
04-02,0.26,0.12,0.14,0.17,0.01,0.15,0.08,0.11,0.52,0.09,0.18
04-03,0.23,0.26,0.21,0.07,0.02,0.28,0.12,0.08,0.1,0,0.1
04-04,0.16,0.27,0.28,1.35,0.05,0.08,0.05,0.08,0.02,0.01,0.04
04-05,0.52,0.51,0.51,0.03,0.25,0.24,0,0.07,0.02,0.01,0.01
04-06,0.64,0.11,0.14,0.04,0.38,0.35,0.13,0.01,0.02,0.01,0.02
04-07,0.24,0.15,0.14,0.17,0.1,0.02,0.04,0.02,0.01,0,0.11
04-08,0.02,0.02,0.07,0.23,0.09,0.02,0.06,0.1,0,0.02,0.17
04-09,0.04,0,0.46,0.29,0.01,0.03,0.05,0.14,0.02,0.01,0.05
04-10,0.07,0.04,0.2,0.6,0.04,0.03,0.11,0.02,0.12,0.01,0.12
04-11,0.42,0.11,0.13,0.18,0.02,0.14,0.05,0,0.02,0.01,0.11
04-12,0.85,0.35,0.13,0.21,0.01,0.08,0.31,0.21,0.01,0.12,0.69
04-13,0.64,0.76,0.19,0.23,0.14,0.15,0.65,0.16,0.08,0.74,0.38
04-14,0.25,0.11,0.35,0.05,0.05,0.34,0.15,0.32,0.25,0.29,0.12
04-15,1.08,0.25,0.67,0,0.01,0.32,1.18,0.39,0.18,0.05,0.13
04-16,1.05,0.14,0.17,0,0,0.6,1.55,0.2,0.22,0.04,0.07
04-17,0.95,0.12,0.01,0.01,0.31,0.23,0.22,0.03,0.06,0.17,0.02
04-18,0.02,0.15,0,0.07,0.23,0.05,0.16,0,0,0.21,0
04-19,0,0.54,0,0.02,0.02,0.01,0.36,0.02,0.02,0.43,0.03
04-20,0.02,1.22,0.04,0.03,0.35,0.08,0.33,0.08,0.31,0.49,0.03
04-21,0,2.09,0.42,0.02,0.42,0.12,0.29,0.08,0.69,0.05,0.05
04-22,0.01,1.37,0.5,0,0.09,0.03,0.08,0.04,0.68,0,0.01
04-23,0.07,0.05,0.05,0,0.02,0.01,0.03,0.01,0.2,0.13,0.01
04-24,0.58,0.01,0.01,0.04,0.04,0.02,0.35,0.15,0.12,0.39,0
04-25,0.1,0.05,0.02,0.26,0.44,0.04,0.42,0.46,0.34,0.46,0.01
04-26,0.17,0.03,0.03,0.72,0.16,0.2,0.07,0.58,0.36,0.75,0.07
04-27,0.6,0.01,0.01,0.79,0.05,0.58,0.49,0.28,0.06,1.12,0.32
04-28,0.59,0,0.08,0.01,0.02,0.14,0.53,0.05,0.01,0.38,0.33
04-29,1.23,0.01,0.11,0.03,0.06,0.01,0.55,0.12,0.32,0.48,0.23
04-30,1.44,0.02,0.15,0.04,0.07,0,0.39,0.07,0.62,0.01,0.92
05-01,1.52,0.23,0.23,0.01,0.01,0.01,0.04,0.06,0.01,0.03,0.26
05-02,1.09,0.75,0.14,0,0.01,0.08,0.03,0.03,0.69,0.06,0.16
05-03,0.48,0.14,0.01,0.02,0.03,0.29,0.01,0.08,0.72,0.02,0.41
05-04,0.18,0.1,0.01,0.17,0.02,0.19,0.01,0.63,0.45,0.02,0.32
05-05,0.01,0.2,0.13,0.01,0.07,0.05,0.06,0.73,0.22,0.07,1.21
05-06,0.03,0.08,0.46,0.35,0.46,0.13,0.05,0.27,0.03,0.04,1.09
05-07,0.01,0.18,0.25,0.24,0.66,0.18,0.08,0.19,0.02,0,0.62
05-08,0.06,0.11,0.34,0.02,0.63,0.2,0.68,0.27,0.04,0.11,0.41
05-09,0.03,0.08,0.02,0.01,0.39,0.19,0.08,0.2,0.02,0.27,0.29
05-10,0.63,0.04,0,0.07,0.58,0.04,0.02,0.04,0.01,0.21,0.03
05-11,1.54,0.89,0,0.44,0.7,0,0.08,0.2,0.01,0.04,0
05-12,0.35,1.04,0.01,1,0.31,0.02,0.15,0.27,0.01,0.19,0.05
05-13,0.15,0.38,0.01,0.55,1.01,0.23,0.04,0.13,0.01,0.14,0.33
05-14,0,0.45,0,0.41,0.35,0.52,0.22,0.2,0.36,0.39,1.78
05-15,0.01,0.45,0,0.61,0.36,0.15,0.49,0.12,0.11,0.64,1.97
05-16,0.03,0.23,0,0.45,0.44,0.42,0.89,0.13,0,0.03,0.31
05-17,0.04,0.05,0.01,0.36,0.19,0.15,0.47,0.74,0.24,0.01,0.07
05-18,0.02,0.04,0.01,0.1,0.03,0.14,0.33,2.27,0.51,0.27,0
05-19,0.01,0.39,0.04,0,0.24,0.09,0.34,1.21,0.07,0.47,0.05
05-20,0.01,0.46,0.55,0.03,0.26,0.02,0,0.36,0,0.3,0.1
05-21,0,0.19,0.28,0.25,1.31,0.07,0,0.02,0,0.08,0.23
05-22,0.01,0.1,0.08,0.05,1.33,0.75,0.08,0.03,0.22,0.16,0.09
05-23,0.21,0.08,0.09,0.05,0.05,0.06,0.01,0.05,0.74,0.4,0.07
05-24,0.66,0.07,0.11,0.06,0.02,0,0.02,0.03,0.77,0.42,0.01
