month-day,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
01-01,3.7,7.01,5.12,4.5,5.99,6.82,5.97,4.19,2.36,3.38,2.65
01-02,6.82,5.48,4.95,5.14,6.23,3.49,4.32,5.64,3.11,1.97,4.09
01-03,8.42,4.36,5.35,5.77,3.02,4.14,2.5,5.88,7.88,3.89,3.09
01-04,4.18,5.15,7.39,5.92,11.1,4.08,2.64,4.03,4.16,3.02,4.93
01-05,3.11,7.76,5.37,5.4,10.02,5.52,7.18,3.56,5.02,2.7,4.52
01-06,7.02,3.62,3.26,4.19,8.34,6.26,5.06,6.1,4.62,3.52,5.14
01-07,9.13,8.2,2.01,7.06,4.88,4.48,3.59,5.78,7.28,4.74,6.36
01-08,5.01,6.6,4.29,7.53,6.5,3.01,7.36,4.82,4.8,3.33,4.05
01-09,3.07,7.77,4.7,4.08,4.9,8.05,4.03,6.56,6.93,3.92,7.68
01-10,1.79,5.9,7.95,4.42,2.69,8.78,4.64,4.65,6.44,3.57,8.43
01-11,6.77,4.45,6.96,5.33,3.55,7.13,6.49,2.12,5.61,3.55,5.1
01-12,5.69,3.7,5.5,6.28,5.9,2.52,6.94,2.61,5.87,4.87,4.86
01-13,4.31,6.69,7.94,5.65,7.72,5.14,3.34,2.9,1.65,6.69,7.97
01-14,3.73,5.09,4.79,2.25,6.48,5.33,2.96,1.58,7.76,7.88,7.93
01-15,1.74,4.32,2.34,3.56,5.37,3.1,3.12,6,7.43,8.24,2.99
01-16,2.9,7.03,5.54,2.82,2.3,5.03,8.07,4.58,5.92,6.14,5.42
01-17,2.62,3.87,4.25,2.62,5.09,3.45,7.77,7.03,9.7,3.06,7.03
01-18,4.47,4.59,8.4,3.8,5.88,2.41,4.55,5.74,7.03,4.59,4.91
01-19,6.22,6.05,9.14,2.74,4.65,4.22,6.48,5.63,5.89,3.17,4.82
01-20,5.2,3.92,4.71,1.95,4.85,8.59,6.98,5.16,5.84,5.39,7.28
01-21,7.12,3.28,5.3,2.46,2.18,10.33,4.29,4.31,7.02,3.85,6.8
01-22,7.88,3.34,5.04,3.33,1.85,4.73,2.03,5.85,4.16,2.13,4.54
01-23,5.69,3.5,11.07,10.77,5.86,5.76,1.93,7.88,4.13,6.43,3.15
01-24,6.23,5.62,6.27,8.67,5.72,8.87,2.97,6.7,3.23,5.39,2.94
01-25,8.46,5.72,2.63,4.87,5.42,5.94,7.33,3.5,4.46,4.78,2.83
01-26,6.45,8.35,5.25,5.28,2.73,2.86,4.7,5.04,5.13,6.95,2.77
01-27,6.58,8.84,4.7,7.23,5.3,4.91,5.34,4.66,3.11,4.07,2.38
01-28,4.22,6.31,2.53,6.1,2.85,4.44,5.5,8.21,3.47,4.51,6.38
01-29,5.31,3.55,5.11,4.48,5.82,4.44,5.09,9.15,10.69,4.07,6.19
01-30,2.99,6.95,4.99,4.37,6.03,8.03,3.31,5.42,5.52,2.3,3.39
01-31,3.57,8.42,4.36,2.47,5.38,6.33,2.13,4.3,2.83,4.23,2.5
02-01,2.54,3.5,3.89,4.92,4.32,3.73,1.81,11.22,4.31,3.85,2.92
02-02,2.69,6.36,2.9,4.37,7.62,4.8,3.61,7.67,1.95,3.77,3.42
02-03,5.54,5.06,6.52,4.71,5.61,2.57,3.27,5.8,3.15,9.5,5.46
02-04,2.87,4.46,3.38,5.78,4.78,1.96,2.34,4.98,6.1,5.75,3.99
02-05,5.15,7.55,7.24,5.26,5.88,2.48,4.15,4.29,7.1,5.82,5
02-06,4.7,5.25,3.37,4.06,2.58,3.88,3.39,4.96,3.35,5.2,4.87
02-07,4.44,3.44,3.22,2.49,5.62,3.05,6.67,5.46,2.8,4.05,2.83
02-08,3.29,3.45,6.43,4.48,5.38,5.81,5.24,4.29,4.94,3.35,1.82
02-09,3.23,7.26,3.06,9.44,3.7,7.33,2.77,3.25,3.09,3.6,3.53
02-10,5.55,7.24,4.66,5.88,3.85,3.29,4.75,3.23,3.4,5.48,2.88
02-11,5.06,5.15,8.65,3.5,4.15,2.77,2.01,4.09,3.38,4.08,2.31
02-12,4.16,5.09,4.37,5.26,4.96,6.63,4.08,3.7,4.45,2.83,2.3
02-13,8.25,7.17,8.65,9.58,4.17,6.74,4.44,5.29,4.79,5.38,6.94
02-14,7.33,4.58,5.66,4.14,3.53,4.83,6.68,4.05,6.91,3.84,7.56
02-15,6.69,11.24,3.51,4.19,3,5.49,3.89,4.82,3.6,5.14,4.75
02-16,6.44,6.58,8.75,7.77,4.63,5.06,4.09,6.08,4.29,2.77,6.15
02-17,4.54,3.94,4.21,5.24,3.69,3.08,2.67,4.83,7.82,6.87,4.56
02-18,4.22,2.68,5.95,3.51,3.95,5.23,4.01,5.86,8.49,5.2,6.31
02-19,3.57,8.55,4.16,3.14,3.88,4.87,5.14,5.55,6.75,4.52,4.46
02-20,2.97,7.24,5.85,4.27,4.4,3.79,4.28,6.08,5.39,2.83,3.71
02-21,3.49,5.41,2.66,3.28,4.9,4.05,4.77,4.38,3.76,3.92,3.17
02-22,4.57,2.3,2.71,2.7,5.41,3.5,4.85,5.35,4.77,3.18,3.02
02-23,2.33,7.18,7.19,3.37,4.33,2.99,3.69,5.05,5.9,3.25,2.59
02-24,5.9,3.74,7.51,3.82,2.63,6.38,2.77,5.19,4.77,6.61,5.37
02-25,4.98,4.91,7.84,4.88,3.2,10.37,1.99,4.85,6.61,2.84,3.65
02-26,4.4,5.59,7.28,5.9,2.85,6.89,3.6,2.81,4.69,4.4,3.77
02-27,5.96,4.82,4.45,4.12,3.43,3.53,9.37,4.65,6.06,4.48,5.07
02-28,3.72,3.51,5.64,2.26,4.6,4.14,7.12,3.26,4.5,5.33,8.01
02-29,0,0,5.89,0,0,0,6.27,0,0,0,6.74
03-01,2.7,2.27,5.28,5.92,2.37,4.12,5.03,4.52,4.14,3.53,3.22
03-02,3.4,5.93,8.36,8.54,11.13,4.95,5.73,7.83,3.11,3.45,4.63
03-03,6.57,4.32,3.55,6.33,9.13,3.29,4.23,4.02,6.65,4.86,2.67
03-04,2.8,3.78,5.69,7.96,7.36,6.23,5.62,6.01,3.65,6.19,3.31
03-05,3.22,5.44,3.13,5.74,6.74,4.69,3.56,7.19,2.65,4.18,4.57
