month-day,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
01-01,0.77,0.19,2.47,4.13,11.05,11.58,3.83,12.51,6.81,0.35,27.26,2.54,0.32,4.21,48.15,9.06,2.01,2.64,5.89,6.5,1.76
01-02,0.12,4.79,2.5,10.41,26.79,5.23,2.22,34.41,5.38,12.44,6.67,10.7,0.19,8.05,56.98,0.61,6.39,14.83,25.16,8.61,0.16
01-03,0.06,3.54,2.78,1.25,9.63,2.2,0.57,11.8,0.24,37.66,3.77,11.63,0.72,6.44,7.05,1.31,3.12,8.8,7.53,23.76,0
01-04,1.89,5.32,4.94,6.86,0.44,0.79,0,1.02,3.98,8.16,0.5,3.9,0.34,2.95,0.85,48.33,1.51,5.82,4,21.09,0.35
01-05,1.4,1.49,2.21,5.79,0,0.46,0.33,12.69,9.15,1.66,11.49,5.86,0.28,5.81,1.41,1.51,1.75,1.64,2.98,7.16,3.77
01-06,0.92,0.21,2.09,5.62,6.51,0.43,0.69,3.9,14.3,1.67,4.37,0.73,0.52,5.79,17.27,0.08,5.94,5.92,1.09,7.5,0.69
01-07,0.32,0.43,0.45,9.22,6.92,1.15,0.83,6.88,13.6,0.83,6.36,0.61,0.03,3.4,3.45,0.75,0.37,11.52,1.48,4.82,1.33
01-08,1.51,2.59,0.31,64.39,7.32,0.52,4.48,5.92,5.53,5.12,10.54,5.54,0.01,11.32,3.57,1.14,5.43,3.41,0.31,3.59,0.4
01-09,0.25,0.9,35.42,17.11,4.2,2.76,1.74,17.89,1.85,2.03,4.49,2.43,0.53,18.87,0.53,0.9,3.26,6.27,0.2,12.78,4.96
01-10,1.3,0.04,9.47,10.38,14.28,4.48,0.39,33.71,14.89,6,3.11,1.72,4.72,52.4,3.46,30.05,0.65,17.77,0,22.35,2.47
01-11,0.41,14.98,0,6.92,22.68,1.65,1.46,26.49,14.39,4.64,35.58,3.64,0.47,20.03,1.05,22.51,0.93,11.03,0,46.03,2.28
01-12,0.21,0.88,1.94,7.13,7.12,0.85,4.08,8.98,13.4,0.68,32.07,6.67,10.78,6.62,3.61,5.07,0.49,11.82,0.38,20.69,5.77
01-13,1.19,0.01,1.52,17.96,22.69,3.61,2.36,2.62,12.52,0.72,8.15,2.16,6.34,5.51,10.65,0.65,0.13,1,1.72,10.75,6.07
01-14,0.72,0.11,0.92,4.62,2.03,2.34,6.12,0.87,1.06,4.04,13.69,2.1,0,16.12,27.91,0.32,0.16,1.46,0.26,4.16,2.68
01-15,1.39,0.04,2.44,0.85,1.22,0.23,21.96,23.06,0.69,5.05,1.16,0.5,0.01,15.48,19.94,0.5,1.88,3.51,0.07,2.58,0.46
01-16,0.43,0.14,1.97,0.06,4.48,0.23,21.29,20.43,0.1,1.26,3.39,3.18,0.01,45.14,24.69,0.37,4.45,13,0.08,3.27,1.69
01-17,0.36,1.39,3.83,0,11.04,1.74,5.12,6.53,0.16,1.67,6.57,10.96,0,16.19,8.11,9.79,0.27,6.54,0.11,0.56,1.78
01-18,0.32,7.61,5.56,5.34,5.45,3.51,4.63,19.79,2.34,2.64,4.45,1.56,0.01,6.54,6.94,13.41,1.35,10.31,3.13,0.64,1.9
01-19,0.09,2.96,1.34,0.07,6.87,2.14,2.68,6.74,0.08,1.46,1,0.02,0.1,10.7,8.81,1.56,3.22,10.77,1.22,5.11,0.95
01-20,0.56,0.09,0.01,0.26,19.14,4.07,0.84,4.42,7.55,0.07,2.35,0.67,0.91,8.65,6.27,7.97,12.1,5.43,0.03,2.36,3
01-21,1.18,0.32,0.21,0.3,10.48,0.99,2.28,0.06,5.79,0.05,2.88,0.72,0.19,10.39,4.26,2.6,0.38,4.89,0.08,14.94,0.16
01-22,0.84,0.15,0.38,1.68,2.72,0.11,0.11,10.35,0.02,0.4,0.45,0.07,0.03,4.93,3.17,0.83,0.92,7.31,0.95,4.62,0.53
01-23,16.69,0.86,4.06,0.61,0.48,0.46,2.44,7.89,0.01,0.28,0.04,7.38,0,0.73,0.4,7.25,0.21,0.08,2.32,7.61,0.29
01-24,3.8,0.15,2.18,4,1.03,5.48,3.09,4.41,0.3,14.56,0.01,8.59,1.3,0.78,0.7,8.89,2.64,0,5.63,5.08,0.54
01-25,7.51,4.55,5.93,0.52,0.51,3.14,0.14,22.42,1.5,8.16,0,8,16.48,0.89,0.35,20.98,5.2,0.01,30.58,0.67,5.82
01-26,4.93,1.15,6.04,0.01,0.29,9.69,2.01,21.62,5.44,6.08,1.65,1.8,27.07,0.81,2.31,30.93,0.19,4.24,9.78,20.38,3.4
01-27,3.92,0.26,0.41,0.57,2.27,2.57,0.23,24.29,12.48,0.98,0.61,0.89,21.4,0.24,8.64,1.02,0.25,5.49,3.31,2.6,0.13
01-28,1.71,0,4.85,0.52,0.24,0.66,0.05,20.8,4.67,1.1,3.84,0.58,7.83,3.1,16.58,0.03,0.15,11.82,1.13,9.25,1.16
01-29,0.94,0.52,1.41,0.3,0.02,0.19,0.16,0.72,15.11,5,2.34,14.35,1.25,6.09,4.4,0.01,0,8.88,0.55,8.4,1.22
01-30,0.17,1.08,0.81,0.04,1.84,0.25,0.76,0.16,8.32,16.45,0.02,9.41,0.18,1.45,5.25,0.2,0,17.27,0.49,4.31,4.58
01-31,3.64,1.53,0.95,0.21,1.47,0.23,0.07,5.38,0.25,8.86,38.99,0.2,1.29,2.97,0.7,0.58,0.09,1.67,2.01,15.75,1.15
02-01,1.67,0.22,2.08,1.59,0.2,6.11,0,12.84,0.83,3.31,22.57,5.95,7.54,3.57,0.93,8.42,0.41,9.24,9.42,8.85,0.91
02-02,0.13,0.6,0.48,0.28,0.8,1.89,1.53,4.22,6.79,1.71,0.15,1.83,7.19,1.8,6.55,15.77,1.03,22.28,1.07,1.44,1.6
02-03,0,1.4,5.98,0.05,0.54,0.83,0,2.44,10.01,4.8,0,2.63,0.9,4.49,17.69,0.09,0.07,7.74,3,5.6,0.87
02-04,0.89,1.11,2.46,0.09,0.31,4.62,7.24,2.91,1.76,1.21,0.08,1,0.04,1.89,2.04,0.38,0,3.49,4.89,2.34,1.21
02-05,0.38,0.3,1.24,3.69,0.94,3.03,1.24,1.13,9.26,1.1,0.04,0.12,0.41,1.02,4.07,0.08,18.06,3.28,1,11.68,0.6
02-06,0.64,0.18,1.55,1.87,0.07,24.54,0.03,0.09,6.77,0.14,0.01,0.01,0.06,1.27,1.72,0.03,34.14,1.33,1.81,6.28,4.8
02-07,1.21,0.12,5.89,1.03,0.11,22.74,0.01,8.7,2.93,0.93,1.84,0.08,2.41,0.55,1.34,0,21.86,16.18,0.44,2.69,7.28
02-08,1.42,0.12,2.68,0.82,7.06,3.78,0,1.08,36.16,1.12,9.4,27.27,2.7,0.21,0.45,0,9.78,23.19,2.95,1.17,0.21
02-09,4.43,0.55,20.77,0.14,2.68,8.24,0,0.05,18.25,1.99,0.29,3.73,2.49,0.79,0.01,5.71,8.55,6.21,1.32,11.17,0.4
02-10,3.73,0.06,17.19,0,4.23,1.48,0.14,0.03,2.65,0.16,0.71,0.5,0.64,0.06,0,3.33,28.01,3,3.32,7.05,0.28
02-11,0.98,0.38,20.48,0,0.77,10.46,0.25,0.18,16.16,9.64,3.74,0.51,0.93,0.43,3.93,0.78,0.6,18.33,3.09,3.83,0.29
02-12,0.63,0.01,25.17,0,7.35,0.4,0,4.59,20.92,4.05,7.09,0.25,0.01,0.05,29.13,0.12,1.92,14.62,5.92,0.23,1.07
02-13,1.4,0.01,5.94,0.28,4.8,17.54,0.48,7.27,12.88,3.03,2.18,2.49,1.71,0,84.47,0.35,1,7.71,0.41,4.5,3.68
02-14,0.14,9.46,1.03,1.23,23.49,13.26,0.73,1.01,18.84,5.31,0.44,4.5,10.87,0.51,4.28,17.37,0.15,3.5,0.22,11.58,0.2
02-15,0.18,6.67,0.77,1.36,3.4,7.47,0.03,5.13,23.14,5.86,0.19,0.69,2.05,1.38,1.4,8.58,0.01,10.64,0.01,7.26,3.1
02-16,0.27,1.17,2.56,0.33,8.24,4.66,0.01,4.04,5.43,0.37,0.28,0,2.12,9.38,0.02,0.07,0.33,5.39,0,4.59,12.29
02-17,0.02,1.23,2.17,3.98,14.57,0.84,0.09,1.17,2.03,0.04,0.65,0,2.93,5.33,1.16,0,1.94,10.36,0.03,0.29,0.22
02-18,0.44,0.58,8.21,0.25,8.92,5.59,0.01,1.56,0.97,0.31,0,0.01,4.86,0.98,0.16,0.02,2.95,6.93,0.04,29.43,3.41
02-19,0.46,0.17,0.49,0.91,8.77,1.06,0.18,1.63,2.5,54.4,0,0.54,1.16,1.8,6.2,0.07,3.76,0.4,1.16,3.8,0.77
02-20,5.18,0.01,1.99,0.1,10.05,0.12,1.5,0.92,1.67,19.87,0,1.6,1.3,3.53,14.09,0,1.06,0.39,2.07,1.33,1.84
