month-day,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
01-01,0.02,-3.22,1.39,-0.03,-9.08,-3.64,5.68,-1.8,-5.86,-0.06,1.59,-16.84,-4.97,-4.4,0.16,-4.23,-4.71,0.51,4.33,6.84,4.6
01-02,-1.11,-1.83,1.28,2.36,-11.13,-3.67,3.05,-2.52,-1.13,0.69,1.9,-7.3,-1.91,-2.41,0.77,-5.15,-5.87,0.91,4.1,5.5,4.36
01-03,-3.88,-3.27,-1,-2.14,-9.7,-7.44,-3.65,-6.09,1.11,-0.02,2.56,-1.83,-1.46,-2.16,-1.27,-6.99,-1.7,2.8,2.73,5.29,4.47
01-04,-6.65,-3.07,-1.74,-3.18,-8.44,-9.29,-4.92,-9.48,1.13,0.3,2.16,-2.31,-2.83,-3.22,-1.08,-9.74,0.15,1,3.82,3.58,5.5
01-05,-6.98,-0.73,-1.27,-3.08,-2.05,-10.82,-0.78,-5.76,1.23,0.39,3.91,-8.7,1.44,-4.65,0.32,-9.55,-3.01,0.52,5.67,3.29,4.05
01-06,-11.38,-0.18,-3.55,-1.36,1.18,-9.71,4.36,-2.62,-0.81,-3.21,3.62,-8.99,2.08,-13.91,3.01,-6.23,-7.04,3.16,5.31,3.09,5.58
01-07,-11.03,-2.28,-6.89,-0.57,1.48,-4.66,3.78,-0.12,-4.37,-4.99,4.16,-12.71,-1.9,-20.18,3.91,-10.74,-8.07,1.68,-2.02,3.25,3.82
01-08,-6.99,1.64,-9.21,0.55,-0.87,-3.63,3.32,1.62,-4.39,-7.91,4.91,-7.37,-1.5,-20.83,3.88,-9.98,-6.65,1.54,-0.56,2.12,-0.55
01-09,-5.59,2.45,-10.3,1.84,-2,-8.4,3.12,2.64,-3.69,-3.65,3.99,-3.09,2.15,-18.04,4.18,-7.15,-2.21,-3.48,-0.69,4.45,-5.26
01-10,-2.87,1.28,-8.77,2.93,-0.14,-6.26,1,3.06,-5,-2.32,3.09,0.89,4.05,-18,2.85,-6.97,0.09,-1.34,-4.01,1.79,-6.22
01-11,-6.75,2.14,-8.71,2.34,0.3,-9.76,0.33,2.11,-4.74,0.69,3.37,1.57,5.73,-15.74,2.02,-10.87,-0.52,-0.22,-4.87,-1.36,-4.17
01-12,-3.93,1.68,-11.38,1.33,0.42,-7.4,-1.43,1.76,-5.23,-4.62,3.58,-5.08,4.91,-10.48,-0.26,-12.92,-1.9,-3.99,-8.29,-1.69,-7.26
01-13,1.35,0.51,-11.94,1.11,0.48,-2.3,-3.81,1.67,-3.1,-2.5,2.98,-2.98,0.7,-1.53,-1.12,-7.63,-0.2,-4.86,-12.5,0.12,-5.95
01-14,3.27,-3.3,-11.44,3.78,0.06,0.01,-3.87,3.93,-5.61,1.76,3.03,-0.76,0.06,-3.03,-2.46,-4.9,0.99,-8.87,-4.73,0.19,-3.19
01-15,1.61,-5.1,-10.51,0.49,-0.18,1.57,-3.17,3.37,-8.77,2.44,1.87,-1.59,2.41,-8.28,-0.74,-10.22,1.05,-10.11,-4.51,-0.04,1.21
01-16,-2.71,-6.12,-8.26,1.45,1,-1.56,-3.74,0.02,-10.51,1.39,1.83,0.52,-3.37,-6.6,0.53,-7.74,0.6,-12.08,-3.68,2.31,-0.37
01-17,-0.18,-7.03,-5.25,0.7,1.62,-6.12,-2.5,2.35,-10.96,-0.1,3.08,0.5,-7.28,-4.13,2.42,-4.65,-0.47,-10.9,-1.09,4.99,3.62
01-18,2.73,-3.87,-0.43,2.71,2.21,-1.73,-2.74,5.17,-7.34,0,5.77,2.01,-11.28,-5.64,-3.45,0.32,0.15,-13.95,-5.29,6.62,5.92
01-19,3.1,-2.18,-5.11,4.12,1.75,1.72,-5.37,3.39,-6.02,-2.32,4.34,2.14,-11.89,-6.46,0.09,-0.59,-1.83,-9.59,-5.58,4.78,5.36
01-20,3.47,-1.98,-7.64,4.43,3.5,2.35,-5.44,1.4,-0.08,2.51,4.92,2.56,-9.15,-7.22,0.04,-0.27,-5.04,-2.08,-2.41,0.4,-4.77
01-21,-5.01,-0.34,-3.97,4.8,2.06,2.46,-4.95,-1.27,-5.71,2.62,3.3,2.86,-6.28,-7.2,-1.47,-2.5,-4.47,0.96,-5.09,0.37,-6.54
01-22,-10.66,-3.25,-3.17,5.54,1.26,2.9,-7.54,-4.28,-3.93,1.5,2.57,3.28,-12.03,-9.3,-7.01,-1.52,-0.19,2.25,-9.31,0.58,-3.46
01-23,-14.23,-4.91,-11.59,5.77,-3.16,1.85,-9.21,-6.57,1.35,0.47,2.36,2.59,-11.7,-6.95,-5.93,0.58,-2.92,2.78,-10.18,1.59,-2.41
01-24,-13,-5.7,-17.27,3.53,-4.36,2.14,-9.14,-10.49,0.46,-0.05,1.77,0.89,-6.23,-5.51,-7.91,-1.84,-0.64,2.33,-11.99,0.32,-1.08
01-25,-10.04,-3.63,-17.31,1.68,-1.46,2.84,-10.08,-13.93,-4.88,-1.33,-3,-1.96,-4.06,-9.14,-3.34,-6.05,1.93,1.86,-13.55,-1.48,0.97
01-26,-8.21,-2.19,-13.62,-0.31,-1.82,1.75,-5.93,-9.74,-7.27,-6.38,-6.6,-2.73,0.61,-11.34,0.02,-8.48,2.65,-3.19,-7.72,-2.27,-0.4
01-27,-2.55,-5.57,-9.53,-1.62,0.26,1.48,-6.34,-5.75,-9.59,-6.99,-6.42,-2.2,2.84,-8.12,1.16,-4.58,1.85,-6.85,-5.35,-5.64,-0.71
01-28,0.63,-8.22,-3.56,-4.89,-3.2,0.61,-4.77,-4.65,-8.63,-3.04,-4.28,-3.23,1.8,-5.07,0.94,0.96,2.05,-6.53,-2.98,-7.01,-2.46
01-29,-2.77,-9.78,-0.64,-1.18,-4.98,-1.01,-6.35,-7.98,-7.73,-1.93,-2.56,-1.39,2.89,-3.79,2.51,0.52,2.91,0.15,-5.97,-7.08,-3.12
01-30,-8.53,-13.85,-1.47,-1.17,-2.04,-1.56,-1.21,-6.25,-12.15,0.24,-0.86,1.49,2.26,-4.08,2.16,-0.3,0.19,1.21,-3.48,-5.22,-3.41
01-31,-8.24,-13.46,-2.34,-0.62,-0.12,-3.45,0.44,-10.26,-14.74,-0.16,-1.51,-0.11,3.38,-1.72,1.81,-0.82,0.86,2.41,-3.93,-4.22,-0.39
02-01,-4.84,-7.2,-3.33,-0.69,1.21,-1.75,-3.76,-10.66,-11.23,-0.01,-2.16,-0.19,4.59,0.86,1.98,0.25,3.13,2.45,-4.16,-3.55,1.91
02-02,-1.99,-9.79,-0.53,-2.68,1.77,-0.37,-13.01,-8.95,-10.69,4.1,-4,-0.96,6.06,1.87,4.32,2.36,4.23,2.44,-5.76,-0.28,-0.48
02-03,-0.79,-11.25,0.45,-2.43,2.21,1.78,-10.06,-10.36,-3.73,2.86,-5.98,-3.57,5.62,3.12,5.11,3.04,5.17,3.49,-5,-2.81,0.41
02-04,0.01,-10.48,-0.43,-3.31,2,3.19,-3.69,-8.06,-0.51,-1.52,-4.99,0.08,1.3,4.12,1.12,1.54,4.12,4.65,-3.58,-3.02,3.66
02-05,4.01,-12.83,-7.4,-3.3,1.94,2.95,-2.16,-3.36,-7.74,0.88,0.12,1.79,-2.96,4.68,-0.81,0.32,-2.74,4.86,-0.39,-9.57,3.21
02-06,5.59,-15.69,-10.39,-2.06,3.15,3.24,0.01,0.34,-11.69,1,0.23,1.09,-1.43,4.42,0.42,-1.02,-7.01,5.29,-0.63,-10.73,4.15
02-07,1.64,-16.68,-12.45,1.44,1.09,3.79,-2.58,1.18,-12.15,0.05,0.27,-2.79,0.31,1.4,1.78,-1.7,-3.85,5.72,0.48,-11.45,4.28
02-08,2.63,-13.25,-6.09,2.73,-1.78,2.15,-7.35,4.41,-14.3,-3.35,2.39,-4.12,1.95,-1.27,1.47,-1.44,-2.39,5.19,-4.26,-11.31,4.69
02-09,1.52,-13.26,-3.39,3.47,-3.58,0.34,-6.51,-0.02,-13.56,-3.71,3.19,-9.42,4.43,-1.05,1.13,-0.9,-1.01,4.29,-0.65,-10.07,4.77
02-10,-4.52,-13.31,-4.16,2.66,-5.47,-1.09,-3.41,-1.5,-12.6,-3.89,2.45,-8.24,4.21,-0.78,-1.03,1,1.32,5.03,1.71,-8.12,5.34
02-11,-5.12,-8.18,-5.7,4.27,-5.82,1.85,-0.49,0.53,-4.28,-4.65,5.25,-5.73,-0.31,-1.16,-2.01,2.69,4.49,2.12,1.77,-6.37,6.27
02-12,-10.52,-3.83,-7.71,4.05,-6.61,-4.17,0.09,1.39,-3.55,0.1,3.78,-8.43,0.17,-0.95,-1.55,-2.81,2.49,-5.47,-0.64,-3.63,3.8
02-13,-14.91,0.3,-9,3.02,-4.91,-6.3,-3.27,1.5,-9.36,0.73,1.76,-4.33,3.07,-2.09,-1.08,-5.33,1.07,-10.25,0.06,-3.55,2.57
02-14,-9.05,1.25,-8.84,0.93,-2.27,-7.19,-1.44,1.44,-11.37,-0.43,2.26,-1.55,6.81,-3.42,-3.18,-3.77,1.92,-10.31,1.34,-3.32,-0.09
02-15,-4.16,-0.72,-6.01,1.14,-1.51,-6.7,-3.37,0.52,-9.97,-1.14,2.03,-1.06,8.35,-0.66,-5.2,-2.12,0.44,-7.95,2.17,-1.28,0.09
02-16,-5.48,-2.84,-0.63,-0.31,-9.04,-7.17,-0.44,0.96,-7.57,-1.62,3.96,-2.04,9.32,1.61,-2.71,-2.63,2.29,-5.99,1.8,0.36,2.24
02-17,-6.82,-5.16,1.93,-0.2,-12.04,-4.66,0.83,2.64,-8.85,-1.63,5.15,-4.29,8.79,1.98,0.74,0.34,4.38,-2.25,1.93,1.17,5.16
02-18,-3.78,-6.05,2.04,-0.85,-6.82,-3.71,2.11,1.81,-5.56,-1.18,6.32,-8.03,5.26,1.39,1.67,3.75,4.32,0.31,2.57,2.23,3.23
02-19,-1.86,-5.49,2.75,1.2,-1.34,-8.48,2.83,1.41,-3.26,-2.2,5.01,-4.66,4.55,-1.48,-1.77,3.04,2.98,1.36,3.85,2.72,3.26
02-20,-0.91,-3.17,2.67,3.64,-0.04,-10.25,4.05,-0.4,0.68,-1.85,4.67,0.64,0.72,-1.67,-0.96,3.05,-0.63,1.99,4.9,4.44,1.55
