month-day,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
01-01,0.82,1.23,1.08,2.24,0.92,1.37,1.5,0.92,1.33,2.93,0.89
01-02,1.16,1,1.37,1.51,1.11,0.92,1.39,1.05,1.59,2.09,2.37
01-03,0.82,0.83,1.33,4.02,1.43,1.25,1.47,0.69,2.42,1.53,1.78
01-04,1.04,0.95,2.73,2.31,2.03,1.39,1.42,2.55,1.37,5.58,1.36
01-05,1.41,1.49,2.73,1.61,1.45,3.57,1.92,0.89,1.11,3.5,1.59
01-06,0.98,1.29,2.8,1.16,1.18,3.87,1.49,1,0.87,1.65,2.26
01-07,1.23,1.24,0.95,3.33,1.07,1.58,1.3,1.28,1.66,4.26,1.83
01-08,1.44,0.76,0.77,5.72,1.67,2.45,1.51,1.38,1.13,3.23,1.03
01-09,1.7,0.7,1.65,2.55,1.49,2.32,2.43,1.44,1.47,3.55,1.78
01-10,1.21,0.75,1.12,4.17,1.42,1.02,0.99,0.92,1.09,4.19,3.26
01-11,1.68,0.87,1.14,2.21,0.9,1.95,1.98,0.95,1,3.1,1.89
01-12,2.39,1.14,1.53,1.11,1.49,1.52,1.61,0.78,1.02,2.17,1.25
01-13,1.49,1.41,3.03,1.4,1.66,1.72,1.79,1.17,1.08,2.89,2.2
01-14,1.5,1.11,2.02,1.13,1.26,2.69,2,1.38,1.35,3.56,1.29
01-15,1.56,0.94,0.85,1.32,0.93,3.6,1.1,1.35,1.22,2.12,0.84
01-16,1.58,0.93,1.87,1.22,0.67,4.87,3.36,1.27,1.01,2.83,1.25
01-17,1.19,0.73,2.17,1.05,0.99,2.9,0.98,1.33,0.69,1.3,1.25
01-18,1.08,0.96,1.38,3.55,2.06,0.97,1.14,3.35,1.01,1.21,1.11
01-19,1.24,1.25,2.91,1.74,1.53,0.82,1.29,4.03,1.13,1.93,1.94
01-20,1,1.07,0.73,3.84,1.78,3.03,1.27,1.39,0.94,1.43,2.27
01-21,1.23,1.34,1.78,2.79,1.24,2.05,2.05,1.23,2.64,1.06,2.86
01-22,1.2,1.55,2.94,3.28,1.77,1.56,0.87,1.95,1.66,2.97,1.76
01-23,1.21,1.35,2.48,1.33,0.72,1.18,1.05,1.53,1.01,1.85,1.43
01-24,1.53,1.28,1.36,1.43,2.38,1.25,0.92,2.72,1.2,1.09,1.81
01-25,0.89,1.49,1.21,1.09,1.59,1.36,0.68,3.62,1.08,1.6,1.33
01-26,1.06,1.24,0.99,1.18,1,1.35,1.81,3.63,1,1.31,0.83
01-27,1.41,1.15,0.79,1.14,1.51,1.2,1.52,2.84,1.15,1.01,1.05
01-28,1.25,1.21,0.85,1.4,1.51,0.85,1.38,1.75,1.37,1.41,1.2
01-29,1.88,0.99,2.35,1.53,1.38,0.9,1.78,1.05,1.06,2.28,1.29
01-30,1.93,1.2,1.82,1.33,1.11,0.9,1.37,1.3,0.97,1.62,1.81
01-31,1.84,1.53,3.19,1.2,1.19,0.99,0.95,1.34,1.12,0.85,4.12
02-01,1.37,0.91,2.96,1.77,1.29,3.34,0.91,2.7,3.12,0.93,1.55
02-02,2.04,1.07,1.17,2.84,1.5,5.41,3.72,1.81,2.86,1.38,1.81
02-03,1.71,1.02,1.36,3.25,1.13,3.53,2.88,1.76,1.24,1.21,1.5
02-04,1.37,1.88,1.26,1.68,1.06,3.72,1.94,1.56,1.16,2.85,6.64
02-05,1.46,2.07,1.21,2.91,1.39,2.02,1.39,1.21,0.85,2.95,2.17
02-06,1.59,5.52,1.34,3.09,1.85,1.3,1.01,1.12,1.09,1.65,1.18
02-07,2.8,2.14,1.42,3.29,0.99,1.34,1.09,1.04,1.23,0.89,2.99
02-08,3.68,3.75,1.42,2.13,0.93,1.81,2.29,1.17,1.13,1.09,1.12
02-09,2.96,1.88,1.23,2.95,1.23,2.6,5.17,1.26,1.25,0.77,1.11
02-10,1.49,1.43,0.96,1.51,2.26,1.91,1.99,1.63,1.2,2.31,1.45
02-11,1.17,1.28,0.98,1.76,2.55,1.01,1.76,2.05,1.24,1.67,0.8
02-12,1.14,1.14,1.06,1.09,1.77,2.52,1.11,2.62,1.04,1.19,0.8
02-13,1.12,0.93,1.5,1.01,0.92,5.02,1.5,2.89,0.88,2.05,1.24
02-14,1.37,1.03,2.27,1.06,1.62,4.4,0.78,1.89,2.87,3.5,2.21
02-15,1.89,1.03,1.68,1.62,2.11,2.42,1.18,2.69,3.12,1.56,0.93
02-16,1.44,0.81,1.18,2.52,1.27,2.7,1.88,2.14,2.47,1.38,0.98
02-17,1.8,1.29,3.98,3.94,1.06,2.05,2.08,2.34,1.03,1.08,2.57
02-18,1.18,0.82,2.43,2.39,3.88,2.16,1.35,0.9,0.88,0.9,2.81
02-19,2.19,0.92,2.03,3,2.51,1.64,0.83,2.06,1.25,1.14,3.81
02-20,1.54,1.29,1.14,4.84,1.23,2.35,0.92,2.63,2.72,1.05,1.68
02-21,1.3,0.98,1.5,2.5,1.06,2.69,1.38,1.84,2.78,4.56,1.27
02-22,1.16,2.13,1.83,2.33,3,1.52,2.3,1.16,2.6,3.54,0.78
02-23,1.08,1.74,0.95,1.62,2.26,1.2,2.36,2.28,1.97,2.86,1.24
02-24,1.08,1.42,0.84,1.35,2.22,1.06,1.94,3.33,1.11,2.54,1.01
02-25,1.67,1.36,0.61,0.81,1.69,3.28,1.7,1.75,1.01,0.7,1.46
02-26,3.3,1.9,1.5,1.42,2.55,4.38,0.96,2.11,0.9,2.05,1.77
02-27,2.3,3.17,1.2,1.43,2.38,3.49,1.09,2.67,1,2.79,1.76
02-28,3.35,1.32,1.53,1.57,2.03,1.22,1.04,1.32,1.07,2.87,1.15
02-29,,,1.14,,,,3.48,,,,3.27
03-01,3.32,1.03,1.66,1.24,4.19,0.77,2.14,1.83,1.19,3.23,4.14
03-02,2.09,1.42,1.42,1.23,2.64,2.11,2.9,0.87,1.28,1.45,3.99
03-03,1.49,1.3,0.97,0.81,1.74,1.84,1.47,1.9,1.09,1.26,2.2
03-04,0.79,1.1,1.66,2.64,1.18,1.24,1,1.62,3.23,2.73,1.36
03-05,2.13,1.08,4.28,2.96,1.54,2.35,1.52,2,2.25,2.55,1.67
03-06,1.88,1.39,3.14,1.6,1.15,3.72,1.74,2.11,1.54,1.8,0.98
03-07,1.78,1.2,2.49,0.87,1.68,1.88,1.75,1.95,2.03,1.63,1.67
03-08,0.75,1.33,1.34,1.52,1.31,2.46,1.42,2.11,1.45,1.67,0.84
03-09,0.91,1.09,1.67,1.1,1.3,2.33,1,2.2,1.83,3.44,1.47
03-10,2.16,1.46,2.39,1.14,0.66,1.44,1.25,1.7,2.46,1.92,1.75
03-11,2.25,1.5,3.75,1.2,0.86,1.45,0.84,1.5,0.96,1.81,1.54
03-12,2.12,1.58,2.8,1.4,2.29,3.35,1.41,1.58,1.93,2.39,2.49
