month-day,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
01-01,0,2.48,0,0.04,0.17,1,0,0.01,0,0,0.98
01-02,0.01,4.3,0.11,0,0.13,1.09,0.01,0.04,0,0,0.17
01-03,0.02,0.09,0.48,0,0,2.42,0,0.05,0,0.04,0
01-04,0,0.24,0.02,0.88,0,7.91,0.21,0,0,1.35,0
01-05,0.12,0.61,0.42,1.74,0,3.45,0.18,0,0.41,2.85,1.43
01-06,0.01,0,5.13,5.78,0,0.5,0.27,0.13,8.61,0.01,9.15
01-07,0.01,0,0.03,2.9,0.11,1.77,0.16,0.06,8.4,0,1.37
01-08,0,0,0,1.46,0.09,0.77,5.12,0.32,1.82,0,2.03
01-09,0,0,0.1,5.45,0.03,3.59,3.52,0.74,1.31,0.79,0.14
01-10,0,0,0,4.67,0.12,6.53,0.17,0.73,19.2,0.09,4.76
01-11,0.05,0.33,0,14.81,1.88,9.08,3.75,5.92,3.97,0.01,1.26
01-12,1.13,0.59,0.53,0.33,6.77,4.4,7.62,3.96,4.99,0.07,2.1
01-13,0.95,0,0.29,2.36,0.84,0.89,4.37,0.15,5.1,0.02,0.44
01-14,2.06,0,0,12.04,0,0.3,0.1,0.64,0.82,0.05,0
01-15,1.62,0.39,12.36,7.53,0.05,0.36,0,3.21,0.23,0,0
01-16,0,1.78,13.95,16.98,0.04,0,0,7.34,0.01,0.06,0
01-17,0,10.85,5.54,7.77,0.41,0,0,0.18,0,0.1,0
01-18,0.01,9.37,0.02,5.9,0.16,0.39,0.12,0.39,0,3.89,0
01-19,0.51,0.02,1.03,0.33,0.36,0.74,0.58,0,0,4.94,0.01
01-20,0.78,1.83,0.12,0.68,2.39,0.39,0.6,0,0,2.54,1.79
01-21,0.3,0.59,4.54,0.15,0,8.97,0,0.81,0.14,2.97,0.33
01-22,0.37,3.21,4.29,1.75,0,3.35,0,2.21,1.57,2.04,0.09
01-23,5.5,12.86,0.14,3.2,0,13.65,0,0.69,0.38,1,0.01
01-24,1.84,3.84,0.03,2.75,0,21.01,0,0.74,0,2.03,0.12
01-25,5.5,15.24,0,2.01,0,5.68,0.04,0.91,0,3.02,0
01-26,5.09,16.37,0,0,0.61,4.47,1.72,0.98,0,5.99,0
01-27,4.48,3.61,0,0.01,2.43,0.64,0.15,0.18,0,1.38,0
01-28,7.56,4.25,0,6.2,0,13.53,0,0.03,0.01,0.75,0
01-29,0.21,0.96,0,2.47,0.01,4.32,0,0,0.01,0.59,0
01-30,8.49,1.06,0.03,0.19,0.01,2.96,0,0.06,0.02,1.02,0
01-31,11.28,5.8,0.16,0,0,0.25,0.02,3.95,0.09,0.1,0.02
02-01,0.88,5.91,0.03,0,1.32,0.03,0.04,2.64,2.68,0.17,0.16
02-02,3.31,2.33,0,0,1.5,1.22,0.01,0.31,1.71,0.13,2.22
02-03,0.05,0.31,0.48,0,3.11,10.23,0,0,0.17,0.03,0.26
02-04,1.02,1.9,0.07,0,0.02,18.35,0.04,0,0,0.01,0
02-05,0.59,1.47,0.04,3.5,0.03,2.45,0.15,0,0,0.42,0
02-06,0.83,0.09,0,1.81,3.25,1.02,0.13,0.36,0.01,1.01,0
02-07,0.58,0.05,4.6,0.54,0.49,0.11,0,2.02,0.01,0.4,0
02-08,0.01,0.84,0.18,9.62,0.03,0.03,0.18,0.75,0.02,0.51,0
02-09,0.36,2.38,0,3.13,1.01,0.02,0,0.01,0,4.22,0.17
02-10,0.86,0,0.09,0.01,4.12,0,0,0.53,0,1.69,3.02
02-11,9.4,0,0.38,0,1.5,2.44,0,0,0.12,0.16,0.63
02-12,2.21,0.13,0.93,0,0.51,0.86,0,1.2,0.28,0.05,3.1
02-13,0.04,2.85,0.91,0,1.79,0.03,0.01,1.71,0,0,0.27
02-14,0.01,7.08,2.82,0,1.34,0,0.04,3.38,0.06,0,0.21
02-15,0,1.84,0.28,0,0.65,0,0.01,0.19,0.76,0,0
02-16,0,5.43,10.08,0,0.06,0,0,0,0.2,0,10.81
02-17,0,7.76,2.32,0,2.98,0,0,0,0.03,0,8.16
02-18,0.01,6.25,0.02,0.01,4.94,0,0.03,0,0,0,0.78
02-19,0.88,0.7,0.05,0,3.8,0,0.01,0,0.03,0,0.25
02-20,1.63,5.32,0.11,0.02,5.98,0.04,0,0,0.34,0,3.19
02-21,0.2,6.55,0.03,0,10.57,0.11,0,0,0.04,0,1.42
02-22,6.05,14.69,0,0.52,5.21,0.19,0,0.61,0.65,0,0.01
02-23,0.53,1.33,0.19,2.38,0.68,1.7,0,0.13,0.11,0,4.26
02-24,0,1.88,0.02,0.5,0.39,0.63,0,0,0,0.18,3.19
02-25,2.41,7.51,0.09,4.76,0.92,0.6,0,0,0,0.7,1.03
02-26,0.88,7.4,0.16,4.37,0,11.61,0,0,7.98,0.37,0.74
02-27,5.66,12.94,1.29,0.02,0.75,0.09,0.02,0.02,6.08,1.66,1.59
02-28,1.43,11.97,0.65,0.01,0.02,0.03,0,0,20.55,0.88,15.19
02-29,0,0,0.47,0,0,0,0,0,0,0,32.12
03-01,8.72,0.05,1.01,0.01,0,0,0,0,1.37,2.18,1.19
03-02,7.04,0,0.07,0,0,0,7.53,0,0.01,1.71,0
03-03,4.74,0,0.71,0,0.39,0,2.43,0.21,0,1.64,0.66
03-04,6.21,2.49,0.02,0.01,2.82,0,2.41,5.31,8.95,3.5,0.23
03-05,5.91,8.19,0.65,0,7.72,0,0,1.6,5.17,0.08,0.71
03-06,6.78,6.47,2.5,0,0.11,0,1.77,1.27,3.2,0.94,0.12
03-07,2.98,1.89,0.36,0.09,0.55,0,11.72,1.85,0.54,0.01,0
03-08,0.35,3.9,5.53,1.25,2.85,0,2.21,2.11,2.22,0,0.79
03-09,0.67,3.82,0.81,0.36,0.02,0.01,4.49,5.77,2.61,0.02,0
03-10,1.28,3.59,5.77,0,0,0,9.06,0.9,0.11,0,0.28
03-11,1.58,0.09,21.78,0.01,0.02,0.01,1.34,0.17,0.02,0,0.13
03-12,0.1,0,14.61,0,0.01,0.14,0,0,3.63,0,0.06
03-13,16.86,0,4.94,0.3,0.03,1.64,0,0.65,0.05,0,0
03-14,13.12,0.2,0.01,0.13,0.04,0.87,0.66,0.16,0,0,0
03-15,10.39,2.3,0,0.31,0.03,0.01,1.18,0.08,0,0,0
03-16,0.6,0.1,0.29,0.17,3.92,0,0.26,0.31,0.12,0,0
03-17,0.27,1.46,1.07,0.17,3.08,0,4.13,1.9,0.04,0,0
03-18,0,0,0.01,0,3.56,0.97,1.12,0.48,4.25,0,0
03-19,0.13,0,0,0,0.38,11.44,0.27,10.3,7.51,0.01,0
03-20,6,0.01,0,0.3,0.77,21.61,6.75,3.84,1.11,0.02,0
03-21,4.01,0.05,0.12,0.33,8.55,51.83,17.92,10.19,4.63,0,0.06
03-22,0.1,1.28,3.66,0,16.07,4.54,2.73,10.01,1.05,0.01,0
03-23,1.39,0.1,3.74,0.01,0.36,5.38,1.56,1.12,0.93,0,0
03-24,0,22.45,3.24,0.01,10.18,0,13.27,0.12,0.52,0,0
03-25,1.45,1.9,0.68,0.12,9,0.29,10.39,0,0,0,0.1
03-26,5.97,18.34,0,0,7.55,7.42,2.06,0,0,0,6.08
03-27,0.81,0.18,0,0.03,0.62,2.35,0.54,0,0.07,0,0.23
03-28,0,0.31,0,0.25,0,2.91,10.64,0,0.01,0,0
03-29,0.15,0.23,0,0.2,0,0.17,7.83,0,1.9,0,0
03-30,10.62,0,0,0.02,0.02,0.07,0.56,0,2.74,0,0
03-31,1.56,0,0,0,0.01,4.24,4.04,0,1.59,0,0
04-01,0,0,20.95,3.08,0,4.85,0.04,0,1.86,0.52,0
04-02,0,0,11.68,0.98,0,0.68,2.83,0.01,0.01,8.84,0
04-03,1.26,0,0.09,7.61,0.36,1.98,3.91,0.02,0.18,3.09,0
04-04,2.58,0,0,2.03,0.01,13.6,0.54,0.93,0.02,0.14,0
04-05,0.7,0,0.16,0.03,0.03,24.02,0,2.45,0.02,0.44,0
04-06,0,0.02,6.86,18.46,0,6.91,0.03,0,0.05,0,0
04-07,0,0,6.72,1.9,0,4.05,0.09,0,0.04,0,0
04-08,0,0,4.1,2.78,6.11,0.41,0.3,0,0,0,0
04-09,0,0,2.18,1.9,0,2.38,1.84,0,0.02,0,3.97
04-10,0,0,0,0.07,0.13,0.38,5.48,0,0.04,0,0.23
04-11,0,0,0,0.01,0.98,1.17,0.02,1.23,0,0,6.87
04-12,0.34,0,0,0.08,0.64,1.12,0.09,0.31,0,0,5.18
04-13,0.05,0,0,0,1.6,0.04,0,0.05,0.76,0.77,3.59
04-14,0.02,0,0,0,7.63,0,0,7.42,4.64,0.02,1.87
04-15,0.05,0,0,0,9.71,0,0,1.84,14.25,0.11,0.61
04-16,0,0,0,0,1.45,0,0.36,21.3,1.19,0.1,0.13
04-17,0,0,0,0,5.06,0,2.15,4.81,0.5,0,0.02
04-18,0,0,0,0,0.69,0,3.78,0.46,0,0,0.13
04-19,0,0,0.01,0,2.35,0,2.19,0,0.02,0,0.17
04-20,0,0.23,0.01,0,0.28,0,6.21,0.42,3.38,0.41,0
04-21,0,0,0.74,0,0.08,0.13,8.12,0.92,3.22,0.04,0
04-22,1.25,0,0.09,0,0,1.01,5.3,4.21,0.01,0.03,0.2
04-23,0.04,0,0.07,0,0,0.02,0.9,2.63,0.03,0.09,2.09
04-24,0,0,0.35,0,0,1.45,0.12,0.04,0.01,0,1.89
04-25,0.39,0,0.32,0,1.33,0,0.89,0.55,0.04,0.01,0
04-26,0,0.39,0,1.35,2.33,0.2,3.13,0.42,0,0,0.9
04-27,0.01,2.3,0.01,0.61,3.2,0.03,0.62,0.03,0.12,0,0
04-28,0,0.02,0.04,1.13,0.09,0.02,2.83,0,4.58,0,0
04-29,0,1.22,0.16,0.12,0.86,0.05,1.52,0.02,4.93,0.05,0.15
04-30,0,0.06,1.12,0.22,1.8,0.78,0,0.98,0.03,0.27,14.23
05-01,0,0,2.34,0.52,10.65,0.01,0,1.45,0.87,0.13,0.08
05-02,1.02,0,0.61,1.48,14.91,6.76,0,6.14,1.07,0.08,0.11
05-03,0.29,0,0,0.33,0.1,5.99,0,11.43,2.15,0.02,0.01
05-04,0.12,0,0,0.38,0.05,5.84,0,5.06,0.22,0,0
05-05,0.02,0,2.32,0.06,2.67,0.92,0,1.67,4.23,0,0
05-06,0,0,2.28,0,1.44,0,0,17.91,0.62,1.07,0.01
05-07,0,0,27.61,0,2.45,0,0,1.43,4.45,3.42,7.23
05-08,0,0,0.11,0,1.68,0,0,0,0.78,0.58,1.38
05-09,0,0,0,0,1.22,0,0.04,0,0.46,0.17,0.35
05-10,0,0,0.05,0,0.53,0,0.11,0.37,1.52,0.13,0.04
05-11,0,0,4.74,0,1.82,0.17,0.01,0,0.27,0.48,0
05-12,0,0,0.17,0,0.11,0.16,0,0,0,0.72,0.02
05-13,0,0,2.95,0,1.28,0.58,0,0,0,6.61,0.96
05-14,0,0,1.2,0.4,0.14,0.74,0,0,0,32.78,0.09
05-15,0,0.1,0,0.01,0.13,0,0.01,0,0.46,16.42,0
05-16,0.03,2.08,0.03,0,2.05,0.07,0.21,0,4.18,0.31,1.06
05-17,8.02,6.59,0,0,5.42,0.04,6.52,0,0.11,3.05,2.11
05-18,0.11,0.18,0.33,0,10.35,0.06,3.54,0,0.01,3.21,0.89
05-19,4.21,0.2,0.08,0,34.72,0.35,0.13,0,0,26.31,2.82
05-20,0,3.42,0.06,0,10.82,0.02,0.01,0,0,6.46,5.23
05-21,0.08,10.45,0,0,0.17,5.05,0,0,0,0.83,0.05
05-22,1.47,0.04,0,0.69,2.42,3.82,0,0,0,3.14,0.02
05-23,4.74,0.16,0,0.83,0,0,0,0.01,0,1.89,0.18
05-24,2.8,0.05,0,0,0,10.48,0,0.02,0.01,17.98,2.19
05-25,6.42,0.11,0,0.02,0,33.24,0,0.01,3.89,4.4,0.4
05-26,1.14,3.09,0,0.51,0,4.79,0.01,1.52,2.76,0.23,0
05-27,11.26,0.18,0,1.39,0.28,2.19,1.21,0.23,2.22,0.06,0.05
05-28,22.56,0,0.04,0.02,1.05,0.03,0.69,0.07,0.03,4.89,0.07
05-29,0.58,0.14,0.01,0.02,0.9,0.23,2.72,0.02,0.01,11.29,0.04
05-30,0.02,0.92,0,1.49,0.37,0.04,0.27,0.01,1.74,7.47,0
05-31,0.24,5.23,14.32,5.11,0.58,0,8.15,1.15,0.36,9.78,0.02
06-01,3.71,0.71,1.7,2.78,0.13,0,0.96,5.12,0,4.25,0.34
06-02,3.64,0,0,2.37,1.34,0,0.01,0.18,0,1.59,8.21
06-03,0.51,0,0,0.05,0.83,0,0.06,0.73,0,2.6,0.28
06-04,0,0,0.15,9.79,0.63,0,1.29,1.78,0,19.41,0.29
06-05,0,0,0.12,14.91,0.07,0.01,0.06,0.3,0,0.82,0
06-06,0,0,0.02,1.5,0.55,0.02,0.28,0.03,0.03,0.17,0
06-07,0,0.6,0,0.01,1.42,0,2.42,0,0.8,0.97,0
06-08,0,12.68,0,0.02,0.02,0,2.92,0,0,2.41,0
06-09,0,5.82,0,0,0,0,0.47,0,0.06,0.61,0
06-10,4.69,0.12,0,0,0.01,0,0.03,0,0,1.38,0
06-11,8.76,0,0.1,0,0.07,0.01,0,0,0,0.21,0
06-12,2.4,0.38,0,0,0,0,0.69,0,0,10.28,0
06-13,0.51,0.47,0,0,0.33,0,0.56,0,0,15.33,0
06-14,0.27,0,0,0,0.18,0,0.04,0,0,16.98,0
06-15,6.77,0.25,0,0,0.01,0,0,0,0,0.05,1.91
06-16,6.9,1.41,0.18,0,0,0.02,0,0,0,0,0.93
06-17,2,0.06,0.23,0.01,0,0.78,0,0.21,0,0,0
06-18,0.8,0.1,0.9,0.02,0.01,0,0,0.19,0,0.01,0
06-19,0.25,0.48,1.83,0.05,0.04,0.01,0.01,0,0,0.12,0
06-20,0,0.11,0.16,0.03,0.76,0.01,0.03,0,0,0,0
06-21,0.45,0,0,1.68,6.76,0,0,0,0,0,0
06-22,0.06,0,0,1.76,0.62,0,0.01,0.01,0,0,0
06-23,0,1.41,0,0.09,0.15,0,0.06,0.03,0,0,0.05
06-24,0.77,0.01,0,0,0,0,0,1.09,0,0,0.65
06-25,0.18,0,0,0,0,0,0,0,0.01,0.01,0.05
06-26,0,0,0.01,0.1,0,0,4.9,0,0,0.13,0
06-27,0,0,0.87,0.23,0,0,1.46,0,0.09,0.01,0
06-28,0,0,0.08,0.07,0,0,0.89,0.02,0.08,0.05,0
06-29,0.01,0,0.03,0,0,0,0.06,0.04,0.06,0.07,0
06-30,0,0,0.01,0.36,0,0,0,0,0.01,0.09,0
07-01,0,0,0.02,0.05,0.01,0,0,0,0.06,0.02,0.08
07-02,0,0,0.04,0.13,0.05,0.08,0,0,0.08,0.01,0.24
07-03,0,0,0,0.08,0,0.14,0.01,0,0.14,0.12,0.01
07-04,0,0,1.83,0,0,2.21,0.09,0,1.71,0.02,0
07-05,0,0,0.01,0,0,0,0,0,4.04,0.03,0
07-06,0.04,0,0,0,0.16,0,0,0,9.5,0.1,0
07-07,0.06,0,0,0,0.29,0.05,0,0,0.58,0,0
07-08,0.03,0,0,0,0.44,0.03,0,0.01,0.04,0,0
07-09,0,0,0.25,0,0,0,0,0.05,0.02,0.38,0
07-10,0.09,0,0,0,0,0,0,0,0,0,0
07-11,0,0,0,0,0,0,0.01,0,0,0,0
07-12,0.1,0,0,0,0,0,0.07,0,0,0,0
07-13,0.04,0,0.04,0,0,0,4.18,0.01,0,0,0
07-14,0,0,0.03,0,0,0,3.8,0.01,0,0,0
07-15,0,0,0,0,0,0.13,0.7,0.01,0,0,0
07-16,0,0,0,0,0,0.02,0.11,0,0,0,0
07-17,0,0,0,0.05,0,0.01,0.02,0,0,0,0
07-18,0,0,0,0,0,0.63,0.14,0,0,0,0
07-19,0,0,0,0,0,0,0,0,0.02,0,0
07-20,0.01,0.03,0,0.01,0,0.12,0.03,0,0.41,0,0
07-21,0,1.08,0,0.28,0,0,0,0,0,0,0
07-22,0,0.51,0,0.02,0.01,0,0,0,0.01,0,0
07-23,0,9.68,0.16,0.86,0.22,0,0.09,0,0.23,0,0
07-24,0,0,0.22,0.12,0,0,0.57,0,0,0,0
07-25,0.79,0,0,0.02,0,0,0,0,0,0,0
07-26,0.32,0,0,0,0,0,0,0,0,0,0
