month-day,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
01-01,0.003,3.087,0.037,0.027,0.157,1.030,0.003,0.020,0.000,0.000,0.980
01-02,0.010,2.290,0.197,0.013,0.100,1.503,0.003,0.033,0.000,0.013,0.170
01-03,0.010,1.543,0.203,0.293,0.043,3.807,0.073,0.030,0.000,0.463,0.000
01-04,0.047,0.313,0.307,0.873,0.000,4.593,0.130,0.017,0.137,1.413,0.000
01-05,0.043,0.283,1.857,2.800,0.000,3.953,0.220,0.043,3.007,1.403,1.430
01-06,0.047,0.203,1.860,3.473,0.037,1.907,0.203,0.063,5.807,0.953,9.150
01-07,0.007,0.000,1.720,3.380,0.067,1.013,1.850,0.170,6.277,0.003,1.370
01-08,0.003,0.000,0.043,3.270,0.077,2.043,2.933,0.373,3.843,0.263,2.030
01-09,0.000,0.000,0.033,3.860,0.080,3.630,2.937,0.597,7.443,0.293,0.140
01-10,0.017,0.110,0.033,8.310,0.677,6.400,2.480,2.463,8.160,0.297,4.760
01-11,0.393,0.307,0.177,6.603,2.923,6.670,3.847,3.537,9.387,0.057,1.260
01-12,0.710,0.307,0.273,5.833,3.163,4.790,5.247,3.343,4.687,0.033,2.100
01-13,1.380,0.197,0.273,4.910,2.537,1.863,4.030,1.583,3.637,0.047,0.440
01-14,1.543,0.130,4.217,7.310,0.297,0.517,1.490,1.333,2.050,0.023,0.000
01-15,1.227,0.723,8.770,12.183,0.030,0.220,0.033,3.730,0.353,0.037,0.000
01-16,0.540,4.340,10.617,10.760,0.167,0.120,0.000,3.577,0.080,0.053,0.000
01-17,0.003,7.333,6.503,10.217,0.203,0.130,0.040,2.637,0.003,1.350,0.000
01-18,0.173,6.747,2.197,4.667,0.310,0.377,0.233,0.190,0.000,2.977,0.000
01-19,0.433,3.740,0.390,2.303,0.970,0.507,0.433,0.130,0.000,3.790,0.010
01-20,0.530,0.813,1.897,0.387,0.917,3.367,0.393,0.270,0.047,3.483,1.790
01-21,0.483,1.877,2.983,0.860,0.797,4.237,0.200,1.007,0.570,2.517,0.330
01-22,2.057,5.553,2.990,1.700,0.000,8.657,0.000,1.237,0.697,2.003,0.090
01-23,2.570,6.637,1.487,2.567,0.000,12.670,0.000,1.213,0.650,1.690,0.010
01-24,4.280,10.647,0.057,2.653,0.000,13.447,0.013,0.780,0.127,2.017,0.120
01-25,4.143,11.817,0.010,1.587,0.203,10.387,0.587,0.877,0.000,3.680,0.000
01-26,5.023,11.740,0.000,0.673,1.013,3.597,0.637,0.690,0.000,3.463,0.000
