month-day,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
01-01,5.39,0.15,8.16,3.75,5.9,7.57,3.48,3.17,11.28,10.59,7.57
01-02,6.41,3.27,9.19,3.52,6.11,7.48,5.4,2.37,11.81,8.79,7.5
01-03,8.7,5.85,9.32,5.6,8,6.44,5.89,0.37,12.11,8.61,8.87
01-04,9.79,6.54,11.53,5.28,8.85,4,4.47,0.48,9.6,8.04,9.29
01-05,5.55,6.6,11.66,6.33,9.26,4.92,5.91,2.05,6.95,7.62,7.88
01-06,7.21,5.77,5.04,3.98,8.57,6.58,5.81,5.23,3.97,7.17,4.56
01-07,10,6.52,6.53,4.3,6.98,6.07,5.79,9.53,3.21,7.44,4.05
01-08,9.87,6.56,9.05,5.06,5.16,3.93,6.57,13.53,5,7.41,2.64
01-09,8.72,6.36,10.92,4.1,4.64,4.93,5.29,13.56,5.9,10.94,4.12
01-10,8.61,7.78,9.02,4.73,3.88,2.71,4.42,9.45,7.53,8.45,4.43
01-11,9.9,8.33,10.45,3.84,4.52,1.35,5.16,6.58,4.62,8.5,6.01
01-12,8.51,7.31,8.74,5.27,4.12,1.97,5.95,4.08,4.2,8.21,6.17
01-13,8.7,7.19,7.04,5.99,4.82,4.48,5.95,4.52,5.12,8.48,6.55
01-14,5.83,9.52,8.7,3.18,6.56,6.16,5.43,5.64,5.59,8.89,8.15
01-15,4.93,10.62,8.42,1.19,7.18,5.73,5.54,5.8,3.94,8.19,10.74
01-16,6.78,8.5,1.98,1.66,6.61,4.97,5.88,4.87,3.81,7.63,11.84
01-17,7.15,4.4,2.36,0.03,7.26,4.44,4.96,4.71,4.74,8.82,13
01-18,7.09,1.58,3.78,0.96,8.08,4.75,5.37,4.58,5.27,6.64,11.69
01-19,7.03,2.18,3.97,1.66,7.38,5.23,5.72,4.86,4.68,2.51,11.89
01-20,4.84,3.99,5.41,3.8,7.01,5.08,6.05,6.42,4.37,3.14,9.08
01-21,3.78,3.99,5.98,2.46,7.95,5.19,8.43,5.63,4.87,2.43,6.49
01-22,5.3,2.56,7.24,2.71,8.69,2.76,9.06,8.31,5.23,0.73,4.95
01-23,5.57,2.84,7.53,3.66,7.57,2.64,9.35,6.52,5.97,1.44,5.37
01-24,5.46,3.37,7.51,3.73,7.76,2.27,7.35,8.07,5.61,1.51,7.85
01-25,5.54,3.2,8.15,4.49,7.75,2.07,5.58,9.37,4.9,1.86,10.13
01-26,7.39,2.72,9.49,5.27,7.99,4.46,6.23,6.47,5.15,2.39,12.15
01-27,6.83,3.63,10.27,4.76,6.38,6.61,6.72,7.28,5.67,2.46,12.76
01-28,4.48,4.35,8.85,4.23,5.82,4.26,6.78,10.82,5.4,2.06,12.03
01-29,5.49,5.95,9,5.77,6.02,3.94,8.58,12.38,5.01,2.88,10.01
01-30,5.31,8.79,8.41,6.75,6.18,4.6,10.25,13.36,6.74,3.82,9.5
01-31,3.46,10.02,7.78,6.65,6.4,6.72,8.87,6.92,7.28,3.5,8.59
02-01,4.35,3.8,8.8,7.1,8.33,9.76,8.37,8.71,4.43,5.51,8.2
02-02,4.57,2.57,10.48,8.16,7.8,5.77,9.92,9.85,6.78,5.96,7.65
02-03,3.92,4.42,10.13,9.24,2.11,1.65,11.56,11.78,10.29,5.36,7.74
02-04,4.37,6.1,5.95,8.02,2.23,2.59,11.16,12.35,11.27,4.8,9.28
02-05,7.66,0.52,6.03,8.83,2.31,4.7,5.46,12.24,9.75,7.43,10.83
02-06,10.68,0.53,6.77,5.45,2.94,6.38,5.67,13.07,8.94,7.12,10.15
02-07,10.45,1.69,8.35,7.31,3.02,7.14,6.67,8.46,7.53,6.45,8.25
02-08,6.62,1.66,6.61,5.95,4.2,6.8,9.61,8.23,7.38,5.08,8.91
02-09,9.7,2.3,9.51,4.27,2.47,8.91,9.54,9.01,5.89,2.75,11.07
02-10,8.98,3.72,9.42,5.69,2.61,9.26,9.66,11.16,7.03,2.46,8.95
02-11,3.08,6.29,11.07,7.66,1.95,7.36,11.19,8.82,7.16,4.09,6.79
02-12,4.12,8.76,11.54,8.02,5.3,4.11,12.48,12.08,7.98,4.52,8.64
02-13,7.2,7.4,12.98,10.77,3.98,4.57,11.79,8.35,7.72,4.08,9.16
02-14,11.49,5.7,10.86,8.98,5.6,6.79,9.72,5.28,8.49,5.87,9.38
02-15,12.85,6.9,6.18,8.53,6.81,6.84,11.44,2.71,6.89,6.88,12.05
02-16,11.24,5.25,4.41,8.87,9.7,6.74,11.02,5.05,6.56,8.3,11.22
02-17,11.71,5.22,4.47,9.41,8.89,7,11.39,9.2,7.63,8.24,9.98
02-18,9.95,6.74,5.23,8.04,7.53,7.23,9.59,9.73,10.93,10.08,9.92
02-19,7.57,5.96,6.88,8.62,6.66,7.14,7.44,8.83,10.98,11.01,9.27
02-20,6.9,5.07,7.59,9.07,6.5,7.97,8.47,10.17,8.42,12.17,7.71
02-21,8.68,5.91,12.52,10.14,6.26,8,9.16,12.05,7.82,12.37,8.21
02-22,7.81,2.25,14.65,12.15,2.81,6.4,7.91,10.1,7.21,12.96,9.55
02-23,7.52,5.65,8.63,13.71,3.11,8.06,9.33,9.39,8.02,12.51,8.94
02-24,8.68,5.25,9.48,13.42,5.68,2.73,10.87,9.18,10.71,14.05,4.96
02-25,6.63,3.33,8.89,7.36,4.47,3.39,11.36,10.16,10.66,8.09,6.69
02-26,7.73,4.6,8.64,7.45,5.29,4.07,9.66,9.85,8.89,4.27,9.78
02-27,5.47,5.51,7.26,9.02,5.29,4.99,9.27,10.35,7.14,5.73,6.67
02-28,7.4,3.67,3.67,10.14,11.76,7.52,10.06,10.48,2.34,2.93,5.9
02-29,0,0,5.15,0,0,0,13.13,0,0,0,6.69
03-01,6.32,4.96,5.6,9.71,13.51,7.87,13.59,11.91,4.07,4.79,6.63
03-02,7.25,9.87,7.55,11.53,12.18,6.99,12.16,12.04,6.07,4.52,7.29
03-03,8.44,13.52,6.11,12.42,13.67,7.93,8.7,9.38,7.62,4.04,7.81
03-04,5.31,14.29,8.12,10.88,10.62,10.89,9.21,10.39,6.43,3.86,5.79
03-05,5.73,3.99,10.82,9.33,10.73,11.47,12.62,9.25,6.17,6.53,8.25
03-06,5.44,3.73,5.37,10.8,8.41,13.1,10.24,10.89,6.08,8.44,9.88
03-07,5.4,4.88,5.92,9.85,9.28,13.44,4.91,11.68,6.56,10,11.53
03-08,7.03,3.92,4.92,8.7,8.34,10.3,6.09,11.23,7.07,12.8,12.57
03-09,5.72,4.68,4.75,10.25,12.95,9.89,7.75,9.6,7.07,15.86,12.03
03-10,6.23,6.09,4.48,11.26,15.65,10.06,7.01,7.47,9.32,13.35,10.41
03-11,5.69,8.23,4.64,10.83,13.51,8.95,10.23,8.09,11.7,13.43,7.78
03-12,6.88,9.7,6.28,13.65,9.16,8.27,14.53,9.97,10.44,13.64,7.64
03-13,4.84,8.61,5.27,12.94,9.85,11.36,15.62,9.18,11.24,15.56,10.69
03-14,8.23,10.41,6.9,12,12.14,6.45,11.58,8.69,13.33,13.26,11.67
03-15,8.19,6.29,8.33,9.5,14.44,8.17,14.32,7.82,12.68,9.84,11.85
03-16,8.32,8.83,7.54,6.62,11.89,12.8,14.01,6.84,12,12.94,11.47
03-17,10.17,8.35,7.85,8.97,6.96,13.63,11.31,7.03,11.81,15.12,12.77
03-18,12.46,12.05,9.77,10.33,8.83,9.41,12.06,7.73,10.41,14.41,16.14
03-19,12.36,14.24,12.49,12.57,7.36,6.23,12.52,5.82,8.94,12.87,14.16
03-20,11.08,12.88,14.67,10.15,7.28,4.64,13.39,7.7,9.48,11.18,16.96
03-21,11.64,11.96,13.44,9.22,2.24,6.6,9.75,5.07,9.32,9.6,17.84
03-22,13.43,9.55,10.78,12.04,2.9,6.81,10.58,4.28,9.2,10.78,16.31
