month-day,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
01-01,4.555,1.740,0.000,0.000,4.447,1.991,0.000,0.000,7.822,2.827,0.000
01-02,2.278,1.740,3.612,1.912,2.223,1.991,1.808,0.322,3.911,2.827,0.000
01-03,2.506,1.740,3.612,1.912,2.964,1.991,1.808,0.322,2.280,2.827,8.680
01-04,2.506,2.099,3.612,1.912,2.964,1.952,1.808,0.322,2.280,2.470,0.000
01-05,2.506,2.099,2.291,1.482,2.964,1.952,2.019,3.143,2.280,2.470,0.000
01-06,3.177,2.099,2.291,1.482,1.864,1.952,2.019,3.143,1.568,2.470,3.750
01-07,3.177,2.300,2.291,1.482,1.864,1.286,2.019,3.143,1.568,2.978,0.000
01-08,3.177,2.300,3.377,1.408,1.864,1.286,1.652,3.288,1.568,2.978,0.000
01-09,3.002,2.300,3.377,1.408,1.391,1.286,1.652,3.288,1.817,2.978,4.853
01-10,3.002,2.537,3.377,1.408,1.391,0.867,1.652,3.288,1.817,2.799,0.000
01-11,3.002,2.537,2.720,1.604,1.391,0.867,1.926,1.582,1.817,2.799,0.000
01-12,2.162,2.537,2.720,1.604,2.062,0.867,1.926,1.582,1.628,2.799,6.957
01-13,2.162,3.182,2.720,1.604,2.062,1.873,1.926,1.582,1.628,2.746,0.000
01-14,2.162,3.182,1.418,0.320,2.062,1.873,1.820,1.709,1.628,2.746,0.000
01-15,2.336,3.182,1.418,0.320,2.439,1.873,1.820,1.709,1.536,2.746,11.860
01-16,2.336,0.907,1.418,0.320,2.439,1.602,1.820,1.709,1.536,1.997,0.000
01-17,2.336,0.907,1.462,0.713,2.439,1.602,1.904,1.762,1.536,1.997,0.000
01-18,1.739,0.907,1.462,0.713,2.482,1.602,1.904,1.762,1.547,1.997,10.887
01-19,1.739,1.171,1.462,0.713,2.482,1.448,1.904,1.762,1.547,0.700,0.000
01-20,1.739,1.171,2.306,0.981,2.482,1.448,2.982,2.273,1.547,0.700,0.000
01-21,1.814,1.171,2.306,0.981,2.669,1.448,2.982,2.273,1.868,0.700,5.603
01-22,1.814,1.046,2.306,0.981,2.669,0.776,2.982,2.273,1.868,0.534,0.000
01-23,1.814,1.046,2.794,1.499,2.669,0.776,2.129,2.657,1.868,0.534,0.000
01-24,2.196,1.046,2.794,1.499,2.458,0.776,2.129,2.657,1.747,0.534,10.043
01-25,2.196,1.189,2.794,1.499,2.458,1.703,2.129,2.657,1.747,0.768,0.000
01-26,2.196,1.189,3.124,1.640,2.458,1.703,2.453,3.387,1.747,0.768,0.000
01-27,1.698,1.189,3.124,1.640,2.002,1.703,2.453,3.387,1.906,0.768,11.600
01-28,1.698,2.751,3.124,1.640,2.002,1.696,2.453,3.387,1.906,1.133,0.000
01-29,1.698,2.751,2.777,2.278,2.002,1.696,3.054,3.221,1.906,1.133,0.000
01-30,1.376,2.751,2.777,2.278,2.503,1.696,3.054,3.221,2.054,1.133,8.763
01-31,1.376,1.199,2.777,2.278,2.503,1.909,3.054,3.221,2.054,1.870,0.000
02-01,1.376,1.199,2.951,2.824,2.503,1.909,3.627,3.776,2.054,1.870,0.000
02-02,1.772,1.199,2.951,2.824,0.739,1.909,3.627,3.776,3.479,1.870,8.223
02-03,1.772,0.794,2.951,2.824,0.739,1.519,3.627,3.776,3.479,2.150,0.000
02-04,1.772,0.794,2.350,2.399,0.739,1.519,1.978,3.752,3.479,2.150,0.000
02-05,3.083,0.794,2.350,2.399,1.129,1.519,1.978,3.752,2.650,2.150,9.743
02-06,3.083,0.628,2.350,2.399,1.129,2.539,1.978,3.752,2.650,1.587,0.000
02-07,3.083,0.628,2.838,1.768,1.129,2.539,3.201,3.156,2.650,1.587,0.000
02-08,2.418,0.628,2.838,1.768,0.781,2.539,3.201,3.156,2.231,1.587,9.643
02-09,2.418,2.086,2.838,1.768,0.781,2.303,3.201,3.156,2.231,1.230,0.000
02-10,2.418,2.086,3.954,2.939,0.781,2.303,3.940,3.250,2.231,1.230,0.000
02-11,2.534,2.086,3.954,2.939,1.653,2.303,3.940,3.250,2.688,1.230,8.197
02-12,2.534,2.222,3.954,2.939,1.653,2.022,3.940,3.250,2.688,1.870,0.000
02-13,2.534,2.222,2.383,2.931,1.653,2.022,3.576,1.449,2.688,1.870,0.000
02-14,3.978,2.222,2.383,2.931,2.822,2.022,3.576,1.449,2.342,1.870,10.883
02-15,3.978,1.912,2.383,2.931,2.822,2.330,3.576,1.449,2.342,2.958,0.000
02-16,3.978,1.912,1.842,2.897,2.822,2.330,3.158,3.084,2.342,2.958,0.000
02-17,2.713,1.912,1.842,2.897,2.299,2.330,3.158,3.084,3.370,2.958,9.723
02-18,2.713,1.882,1.842,2.897,2.299,2.568,3.158,3.084,3.370,3.950,0.000
02-19,2.713,1.882,3.862,3.484,2.299,2.568,2.838,3.591,3.370,3.950,0.000
02-20,2.668,1.882,3.862,3.484,1.353,2.568,2.838,3.591,2.561,3.950,8.490
02-21,2.668,1.461,3.862,3.484,1.353,1.910,2.838,3.591,2.561,4.391,0.000
02-22,2.668,1.461,3.000,3.832,1.353,1.910,3.507,3.192,2.561,4.391,0.000
02-23,2.560,1.461,3.000,3.832,1.716,1.910,3.507,3.192,3.362,4.391,6.863
02-24,2.560,1.493,3.000,3.832,1.716,1.383,3.507,3.192,3.362,2.010,0.000
02-25,2.560,1.493,2.174,2.957,1.716,1.383,3.221,3.409,3.362,2.010,0.000
02-26,2.132,1.493,2.174,2.957,3.396,1.383,3.221,3.409,1.506,2.010,7.450
02-27,2.132,2.056,2.174,2.957,3.396,2.487,3.221,3.409,1.506,1.360,0.000
02-28,2.132,2.056,2.033,0.000,3.396,2.487,4.320,0.000,1.506,1.360,0.000
02-29,0.000,2.056,2.033,3.740,0.000,2.487,4.320,3.703,0.000,1.360,6.870
03-01,2.333,0.000,2.033,3.740,4.052,0.000,4.320,3.703,2.236,0.000,0.000
03-02,2.333,3.533,2.783,3.740,4.052,3.366,3.392,3.703,2.236,1.603,0.000
03-03,2.333,3.533,2.783,3.446,4.052,3.366,3.392,3.392,2.236,1.603,7.283
03-04,1.841,3.533,2.783,3.446,3.158,3.366,3.392,3.392,2.090,1.603,0.000
03-05,1.841,1.392,1.801,3.446,3.158,4.093,2.360,3.392,2.090,3.471,0.000
03-06,1.841,1.392,1.801,3.200,3.158,4.093,2.360,3.612,2.090,3.471,11.327
03-07,2.109,1.392,1.801,3.200,4.104,4.093,2.360,3.612,2.607,3.471,0.000
03-08,2.109,2.111,1.541,3.200,4.104,3.211,2.777,3.612,2.607,4.738,0.000
03-09,2.109,2.111,1.541,3.971,4.104,3.211,2.777,2.837,2.607,4.738,10.073
03-10,1.934,2.111,1.541,3.971,3.613,3.211,2.777,2.837,3.709,4.738,0.000
03-11,1.934,3.191,2.050,3.971,3.613,2.898,4.637,2.837,3.709,4.718,0.000
03-12,1.934,3.191,2.050,3.827,3.613,2.898,4.637,2.854,3.709,4.718,10.000
03-13,2.749,3.191,2.050,3.827,4.274,2.898,4.637,2.854,4.223,4.718,0.000
03-14,2.749,2.608,2.636,3.827,4.274,3.844,4.404,2.854,4.223,4.211,0.000
03-15,2.749,2.608,2.636,2.880,4.274,3.844,4.404,2.400,4.223,4.211,12.030
03-16,3.888,2.608,2.636,2.880,2.572,3.844,4.404,2.400,3.462,4.211,0.000
03-17,3.888,4.352,4.103,2.880,2.572,2.253,4.219,2.400,3.462,4.273,0.000
03-18,3.888,4.352,4.103,3.549,2.572,2.253,4.219,2.066,3.462,4.273,15.753
03-19,4.017,4.352,4.103,3.549,1.380,2.253,4.219,2.066,3.111,4.273,0.000
03-20,4.017,3.726,3.588,3.549,1.380,2.332,3.590,2.066,3.111,3.668,0.000
03-21,4.017,3.726,3.588,4.249,1.380,2.332,3.590,2.109,3.111,3.668,16.230
03-22,2.847,3.726,3.588,4.249,1.710,2.332,3.590,2.109,3.476,3.668,0.000
03-23,2.847,2.557,2.764,4.249,1.710,3.397,1.978,2.109,3.476,5.437,0.000
03-24,2.847,2.557,2.764,4.044,1.710,3.397,1.978,3.779,3.476,5.437,15.490
03-25,2.330,2.557,2.764,4.044,2.613,3.397,1.978,3.779,4.238,5.437,0.000
03-26,2.330,2.980,4.783,4.044,2.613,2.599,2.276,3.779,4.238,4.139,0.000
03-27,2.330,2.980,4.783,3.346,2.613,2.599,2.276,5.193,4.238,4.139,12.200
03-28,3.291,2.980,4.783,3.346,4.246,2.599,2.276,5.193,4.446,4.139,0.000
