month-day,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
01-01,1.77,3.53,2.02,1.39,3.49,3,1.36,4.36,1.24,1.64,2.07
01-02,2.27,2.8,2.92,2.16,3.12,3.8,1.37,3.69,1.31,2.89,1.35
01-03,1.78,1.67,2.99,2.51,2.28,2.64,1.56,3.23,1.48,1.62,2.46
01-04,3.03,2.61,3.72,2.35,2.47,2.28,1.66,2.87,2.9,1.32,2.17
01-05,3.52,2.02,3.67,4.54,2.34,2.77,1.62,2.88,3.57,0.86,3.01
01-06,2.14,2.26,3.95,3.4,4.81,4.44,0.94,2.61,2.55,1.13,5.81
01-07,1.4,1.17,3.52,2.44,4.66,2.68,1.41,4.24,5.15,1.4,4.93
01-08,1.47,1.04,2.11,2.97,3.82,2.38,2.28,4.9,5.07,2.61,3.51
01-09,2.29,1.15,2.65,3.16,1.52,3.52,1.24,4.19,4.13,4.28,1.49
01-10,2.69,1.8,2.36,2.78,2.34,2.7,1.46,1.68,5.66,3.12,2.88
01-11,2.03,2.34,3.04,2.6,3.72,2.63,2.12,2.01,4.44,1.86,2.79
01-12,0.92,1.93,2.27,1.21,5.27,3.77,2.24,4.15,3.53,2.36,3.48
01-13,1.32,3.13,1.69,3.53,1.79,3.24,2.06,2.9,3.26,1.84,1.2
01-14,2.51,1.7,2.84,2.19,2.39,4.17,1.65,2.31,1.31,1.97,3.15
01-15,2.16,2.18,2.48,4.16,1.29,2.42,1.83,2.67,1.3,2.83,4.13
01-16,3.48,3.25,6.33,4.55,1.99,2.4,0.97,3.55,1.36,3.34,2.76
01-17,4.74,1.31,6.02,4.28,2.93,1.77,1.79,2.61,1.47,4.96,3.39
01-18,4.38,1.76,2.27,2.68,1.26,1.73,1.36,2.2,1.3,4.7,3.05
01-19,5.83,3.39,2.91,1.78,2.11,1.45,3.76,2.14,1.42,4.11,2.28
01-20,5.15,2.18,2.05,3.85,3.82,3,4.06,5.14,1.27,4.64,2.86
