month-day,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
01-01,1.94,0,0,0,2.963,0,0,0,1.343,0,0
01-02,0,2.36,0,0,0,2.907,0,0,0,1.943,0
01-03,0,0,3.46,3.133,0,0,1.613,2.993,0,0,2.547
01-04,2.897,0,0,0,3.207,0,0,0,3.007,0,0
01-05,0,1.817,0,0,0,3.297,0,0,0,1.13,0
01-06,0,0,3.193,2.937,0,0,1.543,3.917,0,0,4.75
01-07,1.72,0,0,0,3.333,0,0,0,4.783,0,0
01-08,0,1.33,0,0,0,2.867,0,0,0,3.337,0
01-09,0,0,2.683,2.847,0,0,1.607,2.627,0,0,2.387
01-10,1.88,0,0,0,3.777,0,0,0,4.543,0,0
01-11,0,2.467,0,0,0,3.213,0,0,0,2.02,0
01-12,0,0,2.267,2.31,0,0,1.983,3.12,0,0,2.61
01-13,1.997,0,0,0,1.823,0,0,0,1.957,0,0
01-14,0,2.377,0,0,0,2.997,0,0,0,2.713,0
01-15,0,0,4.943,4.33,0,0,1.53,2.943,0,0,3.427
01-16,4.2,0,0,0,2.06,0,0,0,1.377,0,0
01-17,0,2.153,0,0,0,1.65,0,0,0,4.59,0
01-18,0,0,2.41,2.77,0,0,3.06,3.16,0,0,2.73
01-19,4.787,0,0,0,3.307,0,0,0,1.343,0,0
01-20,0,2.537,0,0,0,2.88,0,0,0,3.507,0
01-21,0,0,1.41,3.727,0,0,5.417,3.953,0,0,2.13
01-22,3.03,0,0,0,2.2,0,0,0,1.543,0,0
01-23,0,4.857,0,0,0,6.123,0,0,0,2.167,0
01-24,0,0,1.663,2.6,0,0,2.35,3.92,0,0,1.987
01-25,4.383,0,0,0,2.55,0,0,0,1.123,0,0
01-26,0,4.147,0,0,0,4.213,0,0,0,2.38,0
01-27,0,0,1.19,3.6,0,0,1.783,2.533,0,0,1.403
01-28,3.48,0,0,0,1.43,0,0,0,1.81,0,0
01-29,0,4.95,0,0,0,3.677,0,0,0,1.727,0
01-30,0,0,1.697,2.43,0,0,1.64,4.113,0,0,1.51
01-31,2.947,0,0,0,3.843,0,0,0,4.96,0,0
02-01,0,4.34,0,0,0,4.287,0,0,0,1.387,0
02-02,0,0,2.833,2.1,0,0,2.127,3.12,0,0,2.127
02-03,2.817,0,0,0,2.543,0,0,0,2.247,0,0
02-04,0,4.19,0,0,0,5.56,0,0,0,1.963,0
02-05,0,0,3.443,5.753,0,0,3.407,4.303,0,0,2.38
02-06,2.637,0,0,0,2.473,0,0,0,1.89,0,0
02-07,0,2.593,0,0,0,1.733,0,0,0,2.103,0
02-08,0,0,3.487,4.127,0,0,1.5,4.3,0,0,5.13
02-09,4.26,0,0,0,2.3,0,0,0,1.783,0,0
02-10,0,1.38,0,0,0,3.213,0,0,0,2.08,0
02-11,0,0,3.32,4.35,0,0,1.657,2.73,0,0,3.573
02-12,2.703,0,0,0,3.303,0,0,0,1.567,0,0
02-13,0,1.78,0,0,0,1.43,0,0,0,1.457,0
02-14,0,0,3.67,2.053,0,0,1.683,2.59,0,0,2.103
02-15,3.6,0,0,0,1.63,0,0,0,2.863,0,0
02-16,0,2.943,0,0,0,1.683,0,0,0,1.477,0
02-17,0,0,2.483,1.39,0,0,1.917,2.097,0,0,1.973
02-18,3.617,0,0,0,2.15,0,0,0,2.123,0,0
02-19,0,2.58,0,0,0,1.34,0,0,0,1.663,0
02-20,0,0,2.153,1.49,0,0,1.523,3.983,0,0,3.68
02-21,1.79,0,0,0,2.34,0,0,0,3.867,0,0
02-22,0,5.247,0,0,0,3.54,0,0,0,2.78,0
02-23,0,0,2.83,3.187,0,0,1.803,2.127,0,0,3.537
02-24,1.893,0,0,0,2.09,0,0,0,2.227,0,0
02-25,0,4.923,0,0,0,2.523,0,0,0,3.387,0
02-26,0,0,3.517,2.567,0,0,2.267,1.373,0,0,3.287
02-27,2.677,0,0,0,4.307,0,0,0,2.037,0,0
02-28,0,2.437,0,0,0,1.943,0,0,0,3.387,0
02-29,0,0,3.497,0,0,0,3.81,0,0,0,4.407
03-01,0,0,0,2.55,0,0,0,1.96,0,0,0
03-02,5.157,0,0,0,3.447,0,0,0,2.107,0,0
