month-day,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
01-01,1.75,2.95,2.18,2.01,0.54,4.9,5.33,8.64,0.11,4.39,1.38,6.18,0.56,17.66,1.57,0.14,6.49,5.07,3.24,19.45,2.09
01-02,3.67,1.42,3.36,0.42,0.75,2.78,8.73,3.88,0.23,2.62,1.54,4.3,3.14,1.89,1.23,3.16,12.57,3.34,5.3,5.36,3.22
01-03,1.19,0.51,4.79,1.13,0.43,2.63,10.99,8.81,0.07,6.09,2.09,4.59,3.54,7.01,10.84,0.37,7.59,0.89,17.99,4.33,0.65
01-04,0.93,1.27,4.38,2.77,0.42,3.97,9.88,11.4,0.12,6.82,1.84,3.83,4.49,12.99,96.72,2.11,15.31,4.59,17.56,6.8,0.25
01-05,2.69,1.71,0.85,3.35,0.68,5.21,8.68,4.17,0.38,4.97,1.52,1.51,4.66,15.37,3.31,5.4,7.24,3.89,5.55,11.53,0.42
01-06,6.18,7.48,3.98,2.33,1.74,9.96,6.56,4.75,3.57,0.13,6.31,3.09,7.15,8.82,2.74,1.74,2.93,6.29,0.23,2.2,0.19
01-07,10.42,2.21,5.17,2.58,1.24,3.89,4.79,6.07,5.13,0.64,4.55,4.2,14.64,0.67,2.99,0.4,6.19,31.91,0.2,16.08,3.9
01-08,3.01,4.46,11.42,7.07,4.37,12.23,1.4,0.68,1.09,7.14,3.88,3.72,3.67,0.87,1.5,2.43,44.03,5.44,1.87,7.35,1.93
01-09,2.53,6.53,1.43,2.64,2.37,17.63,5.01,1.61,2.42,4.84,3.31,2.09,7.42,2.46,4.37,19.62,16.4,5.46,4.9,2.86,1.09
01-10,3.88,1.51,5.06,6.94,4,7.08,2.32,7,8,6.02,18.5,1.1,9.95,2.73,5.09,2.35,77.19,2.29,4.02,3.12,1.13
01-11,15.35,0.49,2,1.52,5.53,6.5,10.82,20.13,4.38,5.41,6.94,2.46,1.06,4.66,34.98,2.81,3.15,2.4,4.8,4.94,2.59
01-12,12.45,0.22,1.37,2.09,3.51,4.15,5.65,10.59,2.06,5.01,5.09,3.65,0.4,21.48,3.43,3.51,0.18,1.77,6.52,13.05,0.12
01-13,12.07,0.1,4.48,5.17,8.25,2.14,6.39,14.19,4.56,2.06,5.39,3.22,1.04,1.52,11.84,5.43,0.1,2.72,3.4,3.05,0.65
01-14,4.71,0.18,2.72,1.04,5.42,0.81,5.03,3.46,3.96,2.53,1.38,1.47,3.44,0.25,2.88,9.43,0.11,2.98,6.7,1.2,0.33
01-15,4.66,0.29,0.75,0.96,5.66,3.16,8,1.29,1.38,3.37,3.09,1.37,2.95,0.52,0.29,2.69,14.95,1.27,9.05,2.8,2.09
01-16,4.63,0.32,2.17,3.03,0.37,9.63,2.2,1.64,11.05,7.23,9.28,4.91,3.64,1.53,0.48,5.12,4.57,2.71,5.14,0.45,6.9
01-17,2.53,0.28,4.32,4.21,1.11,7.84,2.58,2.15,6.18,4.01,1.51,6.89,2.27,4.23,0.65,0.9,2.62,6.9,47.95,0.18,1.02
01-18,1.15,0.37,2.27,6.1,0.5,5.52,3.85,5.08,8.97,1.93,14.85,2.89,2.04,11.9,11.29,0.89,1.55,12.59,1.6,0.12,0.83
01-19,1.78,0.29,0.32,3.78,0.82,3.8,2.45,2.81,4.71,2.03,3.22,0.82,3,3.56,7.44,4.46,0.76,13.35,4.6,0.11,4.81
01-20,10.77,0.38,2.08,6.09,2.18,5.97,1.41,1.66,5.81,1.3,4.1,2.07,2.89,1.85,2.33,0.25,8.76,5.98,24.25,0.34,15.51
01-21,1.87,17.07,3.62,11.36,5.9,19.35,1.66,8.75,16.71,3.45,5.53,1.82,2.64,6.56,5.03,0.87,23.48,9.62,27.06,3.71,1.26
01-22,4.12,5.65,3.5,7.44,2.43,14.24,2.94,6.04,8.12,2.82,1.41,3.77,1.71,9.31,15.54,3.15,1.28,4.17,26.92,2.8,3.27
01-23,3.94,2.9,3.5,5.55,5.24,7.07,1.97,9.99,5.5,1.02,9.52,6.75,3.5,3.57,8.51,1.17,15.26,19.57,0.31,5.2,0.72
01-24,1.92,25.64,2.78,2.59,4.46,26.92,2.78,9.71,6.24,2.04,10.52,4.05,1.62,3.06,1.56,0.56,2.33,6.33,1.55,8.64,0.11
01-25,2.06,6.76,3.5,4.15,2,15.7,2.53,8.34,15.25,3.19,1.86,1.39,1.45,0.92,1.03,1.87,1.47,9.24,8.74,3.86,5.4
01-26,7.16,1.68,8.95,5.28,3.65,8.32,8.64,6.9,1.65,2.68,8.51,2.66,4.17,0.37,3.47,3.98,10.13,0.75,17.54,3.64,12.22
01-27,6.94,1,1.9,1.83,8.85,14.68,9.56,5.78,0.59,5.96,6.3,5.68,1.72,0.8,0.7,2.23,22.92,5.74,0.07,12.73,1
01-28,4.02,0.51,1.06,6.45,7.71,33.55,11.33,6.18,1.08,3.48,6.19,9.59,0.33,4.09,1.05,1.19,0.49,12.26,1.12,8.39,3.13
01-29,2.21,0.91,2.66,4.04,6.01,10.64,6.96,5.05,1.23,8.27,5.67,3.79,0.71,10.36,8.28,1.22,3.87,9.97,2.24,9.65,1.07
01-30,2.1,1.28,5.56,3.37,2.55,7.86,4.47,8.02,0.62,7.87,4.8,1.16,1.01,0.13,0.43,1.85,37.04,21.96,6.19,14.99,1.12
01-31,5.24,8.31,0.41,8.85,3.03,3.9,8.02,4.66,17.44,5.05,8.11,4.05,1.85,0.47,1.81,6.87,1.09,3,10.77,1.98,17.41
02-01,7.13,10.58,0.9,3.99,0.78,11.92,10.82,3,10.37,13.56,2.82,2.75,6.52,1.56,1.71,5.25,1.12,2.08,8.1,3.36,0.29
02-02,6.28,7.82,1.6,5.07,3.35,8.32,9.98,7.69,13.18,2.57,4.41,2.61,2.3,1.19,3.27,0.02,3.77,2.32,7.03,1.47,1.5
02-03,3.83,10.04,2.06,24.77,2.35,3.07,1.82,6.29,19.83,2.08,2.05,3.34,0.9,0.31,2.02,0.96,53.01,6.1,11.27,1.59,4.28
02-04,4.44,14.02,1.95,11.88,4.79,4.06,3.92,7.12,18.94,0.5,7.44,1.58,1.94,0.38,1.85,0.88,0.67,2.29,13.9,5.12,3.91
02-05,29.16,4.19,0.95,3.15,2.25,13.49,4.23,11.63,2.05,8.58,7.16,3.8,11.83,6.27,2.87,5.11,2.78,15.01,1.26,5.42,7.13
02-06,32.06,1.61,1.29,4.19,0.51,12.18,7.68,10.26,0.5,8.74,7.4,6.18,22.57,4.77,0.78,7.96,4.89,10.66,2.43,2.53,3.62
02-07,2.17,3.07,1.15,10.37,3.71,9.85,2.77,11.08,0.63,2.29,4.21,6.2,2.03,7.88,1.19,0.31,9.02,16.33,0.81,9.79,2.41
02-08,12.88,1.84,3.97,8.3,3.72,2.06,7.89,5.5,0.79,3.26,6.83,2.44,3.52,3.27,0.3,2.44,35.85,12.08,2.3,6.98,1.96
02-09,38.18,0.93,2.01,5.02,1.31,0.76,8.1,5.25,2.22,8.81,8.29,5.57,4.59,8.88,5.3,7.02,23.44,14.85,2.68,6.89,4.01
02-10,19.09,0.54,5.04,8.05,1.59,4.51,9.83,5.91,1.66,17.03,1.27,1.41,6.42,9.56,16.32,0.45,5.32,1.51,1.57,0.07,17.03
02-11,15.99,1.08,3.82,5.27,1.76,10.81,7.2,3.73,0.41,14.63,2.61,0.35,4.19,14.69,1.6,0.01,2.59,0.77,1.12,2.08,4.57
02-12,6.1,1.5,0.86,2.69,0.67,16.82,4.5,2.55,0.78,4.24,0.67,2.84,2.82,1.47,1.14,0.83,2.76,0.43,2.88,2.76,0.7
02-13,9.93,1.19,2.32,3.59,1.24,11.7,4.45,6.52,2.69,8.9,0.31,4.09,3.5,1.97,1.98,6.94,9.41,0.52,6.92,0.75,18.29
02-14,5.86,1.27,1.77,3.54,1.62,2.89,4.92,9.05,0.57,25.66,1.93,3.34,12.2,4.57,0.57,0.23,46.4,0.61,4.49,12.99,26.11
02-15,6.84,6.23,16.61,1.83,2.11,10.53,1.18,3.43,6.7,6.4,4.03,1.12,1.55,35.55,3.48,0.05,1.27,3.08,2.52,8.11,3.91
02-16,8.82,9.39,22.28,2.19,1.79,31.34,1.34,1.06,7.69,10.8,2.64,3.73,0.09,3.58,24.12,0.11,7.81,3.08,3.1,0.56,3.7
02-17,18.47,4.15,14.22,1.21,1.67,5.87,1.06,1.24,3.17,12.92,1.95,16.05,1.87,0.67,9.41,0.09,18.86,3.48,1.46,1.64,2.6
02-18,7.75,3.17,3.68,2.36,4.89,8.81,0.98,2.67,3.37,10.95,2.59,12.4,2.62,1.72,2.08,0.01,3.45,5.16,4.68,1.03,1.47
02-19,19.28,3.22,24.4,2.99,2.05,13.07,1.13,2.93,5.45,1.25,2.16,7.95,1.74,2.5,10.71,0.06,12.31,10.81,4.57,1.73,1.82
02-20,4.4,3.63,1.66,11.66,2.86,13.01,0.54,1.79,3.92,0.63,1.16,1.52,5.98,19.81,3.93,0.29,0.17,15.52,0.26,1.51,1.64
02-21,0.6,6.17,1.06,2.5,5.13,31.3,0.33,1.83,4.09,1.1,4.34,7.73,16.96,9.32,4.16,1.06,0.87,17.89,6.79,3.04,1.4
02-22,1.9,5.26,1.21,5.61,2.68,5.21,0.23,1.17,3.12,3.26,10.02,10.63,19.14,0.16,5.93,0.15,1.05,30.98,11.58,6.78,5.62
02-23,2,1.85,0.89,2.84,4.15,10.73,0.47,4.99,1.4,5.65,14.15,5.74,13.59,2.99,3.52,0.04,6.8,1.3,0.95,3.18,6.64
02-24,1.01,4.05,0.91,1.54,1.53,11.9,0.73,2.51,1.71,6.57,9.33,3.78,48.18,4,4.64,0.01,7.57,5.37,3.33,21.06,4.53
02-25,2.54,3.63,2.09,1.84,3.04,10.32,1.91,6.65,5.03,1.78,4.61,7.6,3.08,0.46,20.06,0.27,5.36,6.36,23.19,6.21,1.93
