month-day,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
01-01,25.04,24.1,24.72,24.87,25.18,25.36,25.28,25.03,24.99,24.94,23.95,24.45,25.8,25.23,24.21,24.8,25.97,24.39,25.7,25.17,26.35
01-02,25.07,24,25.57,25.4,25.37,24.28,25.8,23.68,25.15,25.9,25.18,24.27,26.94,26.02,25.28,24.53,26.1,24.05,25.95,24.91,25.47
01-03,26.31,24.29,25.75,25.87,25.05,25.76,25.4,24.67,24.92,25.56,24.96,23.5,26.26,26.22,25.45,25.78,25.76,25.19,25.16,25.24,24.11
01-04,27.21,25.45,24.57,25.73,25.33,25.78,25.35,25.21,24.8,25.68,24.4,24.58,26.33,26.02,23.41,24.85,24.94,25.7,23.64,24.88,25.4
01-05,27.54,26.24,25.07,25.67,24.94,25.95,24.54,24.93,25.77,24.19,25.04,25,26.45,24.56,23.7,24.14,25.31,26.32,24.72,23.51,26.01
01-06,26.11,26.68,25.21,24.9,24.63,24.47,23.77,24.55,24.67,23.78,24.6,24.56,24.6,24.75,23.93,23.76,26.15,25.86,25.16,25.12,26.38
01-07,26.19,26.77,25.46,26.15,24.42,25.7,24.42,23.91,25.47,24.98,23.9,24.63,24.49,24.24,23.54,24.33,25.17,24.28,26.1,25.19,25.77
01-08,25.37,25.99,24.62,25.89,24.64,26.2,24.64,24.35,24.46,24.08,24.87,24.4,26.97,24.95,24.97,24.65,25.48,24.8,25.75,24.62,25.88
01-09,26.17,25.75,23.89,25.7,25.62,25.53,25.93,25.55,25.39,24.91,25.06,24.27,25.72,25.62,24.75,24.8,24.25,24.6,25.05,25.01,26.16
01-10,26.62,26.38,24.95,25.45,25.49,24.19,26.49,25.17,25.61,26.06,25.36,24.43,25.6,24.32,24.85,24.88,23.48,24.77,24.87,24.74,26.24
01-11,25.18,26.35,24.92,26.24,25.05,24.78,26.07,24.79,24.99,25.64,25.12,24.77,25.94,24.96,24.12,25.42,24.02,24.79,24.26,24.45,23.97
01-12,24.47,25.4,25.1,25.73,24.82,25.12,25.5,24.41,25.1,25.86,26.08,24.92,26.66,24.09,23.42,25.56,26.17,24.05,24.07,22.99,25.14
01-13,25.31,24.95,25.45,24.24,24.56,26.55,23.93,23.47,25.95,26.52,24.22,23.86,26.16,23.84,22.95,24.69,26.85,24.6,24.38,24.38,25.81
01-14,26.68,26.58,25.05,24.49,23.8,26.3,23.3,24.14,24.09,26.38,24.37,24.95,25.76,25.57,23.84,24.22,26.85,23.39,24.51,24.71,25.91
01-15,25.63,26.54,26.11,26.41,24.25,26.75,24.71,24.23,24.93,26.43,24.88,25.72,25.58,26.14,24.77,24.76,27.38,23.21,23.43,24.89,25.75
01-16,25.86,26.55,25.68,27.35,25.13,26.56,24.93,25.54,25,25.46,24.78,25.58,25.19,26.11,25.33,23.84,26.81,24.22,24.03,24.98,24.45
01-17,24,26.71,25.6,26.81,25.39,25.46,25.52,25.57,23.67,25.54,24.98,25.01,24.98,25.41,25.64,24.89,25.36,24.67,23.89,24.74,25.09
01-18,25.36,27.19,24.99,25.6,25.19,25.5,25.74,24.38,23.25,24.65,25.83,24.03,26.03,25.34,24.24,24.93,24.8,25.39,24.55,25.39,26.11
01-19,25.36,27.59,26.37,25.88,26.08,24.28,24.9,23.41,24.3,25.33,24.19,24.84,25.35,25.3,23.89,24.37,25.71,25.35,24.72,25.7,26.5
01-20,24.97,26.94,26.87,26.4,25.26,25.1,25.04,25.14,24.76,24.64,24.94,26,25.28,25,24.36,25.38,26.17,25.5,24.25,24.93,26.13
01-21,24.69,25.49,25.52,26.16,24.28,25.67,25.37,26,24.83,25.79,26.04,26.3,25.7,25.18,24.32,26.29,26.34,25.36,24.5,24.18,26.19
01-22,24.14,24.59,26.16,25.69,24.41,25.13,25.63,26.39,25.1,26.71,26.12,26.62,26.01,24.4,24.38,25.1,26.03,25.03,25.52,23.84,26.11
01-23,23.38,24.67,26.66,25.35,23.64,24.45,26,25.04,26.06,26.99,24.81,26.13,24.81,24.44,23.21,24.92,26.39,24.3,26.65,24.9,26.15
01-24,24.84,25.35,26.73,25.36,23.58,24.39,25.88,25.2,26.04,24.59,24.27,24.89,25.25,24.62,24,24.38,26.57,24.11,26.54,24.33,26.81
01-25,26.12,25.1,25.63,25.61,24.06,24.82,24.69,25.39,25.14,25.66,24.82,24.71,25.41,25.42,24.44,25.48,26.63,24,24.52,25.34,26.62
