month-day,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
01-01,0,3.26,0.13,0,0.95,0.12,0.55,0,0.01,0,1.7,0,0,0,0,0,0,0.56,5.63,0,0.23
01-02,0,0.48,0.27,0,0.36,0.05,0.8,0,0.18,0,2.08,0,0,0,0,0,0,1.01,12.66,0,0.6
01-03,0,0,0.34,0,0.11,0.03,1.06,0,0.09,0,2.21,0,0,0,0,0,0,1.01,8.27,0,0.23
01-04,0,0.35,0.19,0,0.08,0.04,1.11,0,0.06,0,0.97,0,0,0,0,0,0,0.91,0.1,0,0.23
01-05,0,1.05,0.24,0,0.33,0.09,1.28,0,0,0,1.02,0,0,0,0,0,0,0.92,0.01,0,0.33
01-06,1.57,0,1.32,0,0,4.76,0.18,0.11,0,0,6.3,0,0.19,0,0.01,0,0,0.48,0,0,0.22
01-07,0.84,0,1.04,0,0,5.11,0.15,0.09,0,0,5.31,0,0.06,0,0.07,0,0,0.41,0.03,0,0.31
01-08,2.13,0,1.17,0,0,4.59,0.15,0.09,0,0,4.45,0,0.17,0,0.06,0,0,0.84,0.13,0,0.32
01-09,2.03,0,0.91,0,0,4.5,0.12,0.01,0,0,4.07,0,0.94,0,0.05,0,0,0.26,0.16,0,0.56
01-10,0.14,0,1.19,0,0,8.24,0.11,0,0,0,7.78,0,0.35,0,0.07,0,0,0.16,0.05,0,0.57
01-11,0,0,0.17,0,0,0,0.8,0,0,0,0,0,0,0.09,0,0,0.74,0.02,0,0,0
01-12,0,0,0.21,0,0.09,0,1.75,0,0,0,0,0,0,0.34,0,0,0.5,0.03,0,0,0
01-13,0.01,0,0.23,0,0.28,0,1.78,0,0,0,0,0,0,0.55,0,0,0.47,0.04,0,0,0
01-14,0.06,0,0.16,0,0.29,0,1.39,0,0,0,0,0,0,0.11,0,0,0.38,0.02,0,0,0
01-15,0.01,0,0.16,0,0.28,0,1.3,0,0,0,0,0,0,0,0,0,0.2,0.02,0,0,0
01-16,2.51,0,0.86,0,10.93,0,0.01,0,0,0.71,0.75,0.07,1.96,0,0,2.84,0,0.11,0.07,0,0
01-17,1.58,0,0.56,0,2.94,0,0,0,0,0.5,0.8,0.06,1.84,0,0,2.49,0,0.06,0.03,0,0
01-18,0.93,0,0.38,0,3,0,0.01,0,0.02,0.52,1.06,0.14,1.19,0,0,0.49,0,0.09,0.05,0,0
01-19,5.34,0,0.37,0,2.15,0,0.01,0,0.01,0.78,1.25,0.62,3.97,0,0,1.34,0,0.13,0.03,0,0
01-20,9.95,0,0.42,0,1.56,0,0,0,0.02,0.51,1.05,0.61,1.89,0,0,3.17,0,0.03,0,0,0
01-21,1.81,0,0.03,0,0,0,0,0,0.92,7.18,5.05,0.2,0,0.65,0,0.53,0,0,0,0.67,0.11
01-22,1.16,0,0.03,0,0,0,0,0,0.83,10.97,4.95,0.23,0,0.86,0,0.41,0,0,0,0.94,0.22
01-23,0.54,0,0.03,0,0,0,0,0,0.81,14.2,6.72,0.23,0,1.01,0,0.47,0,0,0.02,0.75,0.08
01-24,0.7,0,0.02,0,0,0,0,0,0.59,5.81,9.6,0.29,0,0.48,0,1.08,0,0,0.08,0.88,0.24
