month-day,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
01-01,25.96,26.77,27.61,24.83,26.58,26.51,27.15,24.11,26.07,23.81,26.58,25.51,26.04,26.66,25.53,26.97,25.07,27.51,27.18,24.77,27.58
01-02,26.54,25.22,27.54,24.76,25.97,26.51,27.27,25.58,26.82,24.64,27.2,26.11,25.25,27.04,25.06,27.17,24.09,27.4,27.38,25.27,27.95
01-03,27.38,24.87,27.19,23.13,25.7,26.79,27.34,26.42,26.28,25.9,26.78,25.84,25.43,26.97,24.78,27.43,22.79,27.45,25.27,25.24,27.87
01-04,27.9,25.99,27.1,23.7,26.17,26.35,26.91,26.38,25.03,25.89,26.44,24.24,25.27,26.47,24.37,27.32,23.71,27.39,26.01,25.78,28.05
01-05,28.27,26.97,27.03,24.51,26.65,26.39,27.16,26.86,25.65,26.11,26.74,23.3,26.35,26.91,23.56,26.89,24.58,27.34,26.45,25.71,27.86
01-06,28.14,25.64,26.82,24.55,26.03,26.7,27.07,26.6,26.26,25.68,26.67,22.64,26.73,27.18,24.71,26.45,25.78,27.1,26.26,26.52,27.77
01-07,28.27,22.87,26.39,25.36,25.75,26.67,27.26,26.25,26.09,26.03,26.73,23.45,26.82,27.29,26.1,26.88,25.91,27.09,27.25,26.76,28
01-08,28.05,22.03,26.97,25.36,23.89,27.1,27.14,25.6,26.36,26.94,26.5,23.98,27.23,27.4,26.92,26.91,26.74,26.73,27.46,25.42,28.07
01-09,27.49,22.15,26.74,25.34,24.65,26.37,26.95,25,26.78,26.82,26.6,23.23,27.46,26.95,26.45,26.16,26.49,27.13,27.72,25.36,27.97
01-10,25.62,22.96,26.54,24.98,25.69,26.5,27.33,25.43,27.06,26.05,26.86,21.96,27.58,27.45,26.81,27.63,26.66,27.17,26.57,25.38,28.14
01-11,26.11,22.17,26.87,25.33,25.33,26.51,27.86,25.11,26.87,26,26.95,21.89,27.79,27.82,27.08,27.45,26.72,27.18,27.01,26.16,28.18
01-12,26.14,22.3,27.27,24.03,25.89,26.24,27.7,24.13,26.04,26.48,26.75,22.26,27.91,28,26.74,27.66,26.81,27.43,27.2,25.88,27.83
01-13,26.85,22.75,27.26,23.6,26.42,26.98,27.79,24.85,26.43,25.1,26.96,21.14,28.02,27.31,26.66,27.93,27.38,27.29,27.22,26.97,27.76
01-14,26.38,23.88,26.63,23.15,26.23,27.07,27.6,25.99,24.44,26.84,27.03,22.22,28.14,27.65,26.69,28.28,27.72,27.11,26.87,25.29,27.95
01-15,27.03,24.48,26.86,23.59,26.41,26.23,27.51,26.16,24.65,27.5,27.09,23.39,28.26,27,26.3,28.09,26.65,27.14,27.12,26.4,28.01
01-16,26.87,24.51,27.07,24.51,26.15,26.91,27.66,24.99,25.4,27.52,26.85,24.45,28.07,27.57,27.12,27.97,27.11,26.77,26.3,26.46,26.85
01-17,26.66,25.69,26.73,25.06,25.25,26.99,27.44,23.34,25.71,27.4,27,25.33,28.15,28.23,27.1,27.99,26.9,26.89,26.83,26.29,26.8
01-18,27.24,24.24,27.11,24.54,24.36,26.59,27.34,24.62,26.26,26.94,27.08,25.74,27.95,28.04,27.37,28.3,26.47,27.19,26.44,26.26,27.16
01-19,27.06,23.47,27.64,24.64,26.12,26.15,27.26,25.42,26.22,27.28,27.32,26.24,27.55,27.46,27.67,27.93,25.72,27.36,25.61,26.95,27.38
01-20,26.1,25.34,27.87,25.45,24.8,26.33,25.66,26,26.44,27.36,27.22,26.32,28.12,27.83,27.72,27.85,26.78,27.19,24.87,27.4,27.65
01-21,26.03,24.82,27.81,24.83,22.48,25.42,26.25,26.21,26.62,27.61,27.34,26.73,28.06,28.11,27.24,28.09,26.89,26.44,24.56,27.61,27.54
