month-day,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
01-01,0.03,0.17,2.73,5.6,1.2,0.08,1.57,1.53,0.37,9.65,0.66,0.47,0.08,0.2,3.56,5.5,0.06,0.45,1.84,0.12,0.59
01-02,0.03,5.48,3.29,4.44,0.23,0.29,0.32,0.24,6.6,5.12,0.43,6.71,0.13,2.5,1.81,3.77,0.04,6.58,1.86,2.48,0.74
01-03,0.02,0.86,0.1,0.15,0.04,0.3,1.67,0.49,0.61,0.76,0.37,3.67,3.3,2.51,1.14,0.1,1.56,2.42,2.46,4.86,0.99
01-04,0.47,0.18,0.13,3.62,0,0.34,0.45,0.43,12.78,1.84,3.26,1.58,0.54,0.62,1.34,2.09,0.66,0.08,4.24,0.28,1.06
01-05,0.82,8.14,0.27,1.76,0,0.08,0.79,0.55,2.81,0.09,0.64,0.04,1.1,0.23,7.36,0.28,0.78,0.36,1.58,0.22,2.71
01-06,0.54,2.13,0.07,0.51,1.12,1.72,1.63,2.81,0.54,0.29,0.84,0,0.97,0.02,2.01,0.3,3.6,0.7,2.22,0.12,0.53
01-07,0.06,6.86,0.01,1.01,6.75,0.17,3.92,4.97,4.88,0.45,11.93,0.03,0.06,3.29,0.36,1.64,1.07,1.52,0.31,0,0.04
01-08,0.74,8.73,0.05,3.77,1.43,3.77,0.11,0.31,0.96,2.88,2.42,4.87,0.04,0.35,0.07,8.95,3.43,0.39,4.23,1.85,0.08
01-09,0.17,5.76,0.05,9.1,2.83,0.6,0.08,10.26,3.56,1.9,1.75,0.27,0.09,0.47,0.06,3.77,0.01,0.14,1.11,7.04,0.16
01-10,0.5,5.31,0.73,1.32,1.44,0.18,0.23,0.48,0.49,0.42,10.85,1.83,0.07,0.74,0.31,0.29,0.01,1.81,0.06,4.41,0.19
01-11,0.6,0.18,3.13,12.51,8.86,1.18,0.48,0.38,6.54,0.96,0.3,6.35,1.44,0.6,0.36,1.22,1.72,5.68,0.09,5.22,0.12
01-12,1.52,1.35,0.39,0.05,1.52,0.93,0.38,2.74,6.21,0.05,0.5,1.7,6.47,4.44,0,0.04,4.1,16.74,0.77,8.81,6.18
01-13,3.51,2.57,0.38,1.51,1.66,1.59,0.45,3.1,2.23,0.23,0.2,4.61,2.42,3.23,0.25,2.16,0.14,4.5,0.12,7.77,0.56
01-14,1.91,0.22,0.25,8.97,2.32,0.44,0.63,0.13,1.94,0.08,0.04,2.69,0.79,0.45,0.22,4.41,4.63,0.42,0.07,4.69,1.22
01-15,3.64,0.01,0.47,2.54,1.26,0.52,1.04,0.11,0.62,0.75,1.04,0.35,0.98,0.4,0.71,0.54,2.47,0.39,0.01,9.79,2.15
01-16,0.13,5.38,0.48,1.37,0.71,0.02,0.49,5.49,0.07,1.05,0.21,9.96,0.23,0.16,0.26,1.03,1.1,0.25,1.69,2.75,0.45
01-17,1.69,0.55,1.21,0.03,1.52,0.19,0.22,6.36,2.8,0.36,0.6,0.97,0.26,0.28,1.68,11.24,0.2,0.95,1.76,5.94,0.06
01-18,0.67,1.81,0.13,12.47,2.39,1.38,0,2.37,0.79,0.02,0.49,1.38,1.69,0.73,2.96,0.69,1.04,1,0.07,2.17,8.84
