month-day,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
01-01,-4.97,2.07,-0.4,2.74,1.09,-3.25,-8.21,-3.45,-1.3,2.26,2.32,2.28,-4.68,1.33,1.11,2.28,3,2.13,-4.16,1.12,-8.58
01-02,-7.84,1.93,0.94,3.32,-0.36,-4.89,-12.15,-8.66,0.41,2.23,0.19,3.43,-5.9,-2.39,3.99,-1.89,4.02,0.04,-3.54,-0.05,-9.02
01-03,-6.87,2.16,-1.55,2.49,-2.98,-5.74,-8.68,-8.51,3.45,0.77,0.69,2.06,-6,-4.16,2.35,-7,4.68,-1.58,-1.76,-0.39,-9.01
01-04,-3.08,0.93,-1.86,3.33,-4.24,-6,-2.9,-7.76,2.86,1.25,1.68,-1.7,-7.22,-8.81,1.8,-0.81,3.13,-2.98,0.57,-2.97,-9.29
01-05,-2.66,1.42,-0.7,4.2,-5.48,-5.52,-7.51,-5.97,3.33,-2.82,3.17,-6.68,-10.68,-11.76,2.68,-4.51,-0.48,-2.25,-0.51,-5.08,-9.66
01-06,-3.8,2.25,-1.37,2.12,-5.55,0.62,-7.05,-5.17,0.24,-4.41,1.72,-7.77,-11.26,-11.32,1.7,-2.73,2.17,-1.16,-4.35,-5.25,-9.94
01-07,-3.8,4.33,-3.59,2.79,-3.25,-5.46,-6.36,-4.91,-1.27,-4.09,2.15,-3.3,-14.95,-3.78,-0.33,1.35,3.94,-1.02,-5.8,-6.51,-10.91
01-08,-5.03,4.81,-3.75,4.3,-2.14,-3.26,-10.95,-2.66,-2.38,-0.19,3.67,0.32,-11.85,-0.12,-0.27,0.35,4.91,-2.03,-4.59,-6.49,-3.71
01-09,-6.27,2.65,-2.25,4.52,-0.6,0.78,-7.57,0.12,-1.38,-0.24,3.4,0.5,-8.31,0.72,0.93,-2.03,3.41,-4.93,-2.92,-3.98,-0.12
01-10,-7.43,2.49,-0.01,5.86,1.59,0.92,-6.25,0.85,-2.5,-4.2,0.78,-0.98,-8.3,1.36,-1.53,-4.03,0.97,-2.98,-8.95,-1.89,0.14
