month-day,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
01-01,5.03,5.31,6.07,4.49,5.29,5.43,5.23,5.99,2.51,5.54,5.14,4.64,4.92,3.19,4.38,5.31,5.13,2.63,4.4,4.23,5.16
01-02,4.34,7.12,4.56,4.64,5.96,3.5,4.32,3.6,7.02,4.09,4.04,6.79,3.35,2.55,5.8,7.83,5.69,4.04,4.51,4.06,5.58
01-03,2.76,5.31,2.03,4.93,5.92,3.76,3.55,1.43,4.5,3.19,3.77,8.3,4.51,1.69,4.51,5.47,8.06,4.04,3.1,4.35,6.23
01-04,3.06,4.05,3.36,5.76,5.47,3.99,4.02,1.34,7.96,2.68,4.49,5.92,4.29,7.76,4.63,4.63,6.71,3.43,3.56,3.6,7.44
01-05,3.13,6.28,2.11,5.04,6.79,4.37,3.49,2.13,6,4.93,3.35,4.91,3.96,6.57,5.18,4.54,5,3.36,2.14,6.38,6.4
01-06,2.37,4.26,2.73,2.77,6.6,7.68,2.34,4.96,3.45,3.78,3.66,2.72,3.18,3.03,4.6,3.1,4.44,4.32,4.98,3.64,4.21
01-07,4.41,6.44,2.15,2.67,5.24,3.75,5.26,4.53,4.12,2.58,4.32,6.93,3.67,6.32,7.09,4.38,5.27,4.62,5.29,5.83,2.49
01-08,4.2,5.84,2.83,5.33,4.42,4.95,3.84,3.92,3.19,5.85,4.35,6.1,3.16,4.15,6.18,3.54,7.74,4,3.28,5.73,4.86
01-09,2.92,8.8,3.56,7.34,2.87,5.11,2.2,4.58,2.68,4.2,2.58,2.49,4.33,4.52,4.1,2.61,5.1,3.36,2.69,6.39,5.15
01-10,2.28,5.39,5.93,6.72,4.94,4.76,1.31,6.42,2.87,4.9,5.05,3.86,3.42,5.72,2.2,3.47,1.55,3.99,3.56,5.4,4.24
01-11,2.16,5.32,6.69,4.38,7.05,7.53,2.3,6.57,5.3,7.05,2.98,7.14,6.65,7.79,3.06,6.77,5.54,5.16,3.39,6.58,5.57
