month-day,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
01-01,4.88,0.66,2.7,3.34,0.31,1.78,-0.41,0.42,3.59,0.21,4.93,-0.5,4.22,5.2,2.47,2.63,2.57,0.09,-0.4,2.78,4.51
01-02,4.69,0.73,3.4,4.91,1.67,2.63,1.87,1.93,2.3,2.5,3.45,-0.56,5.29,5.36,3.11,2.43,4.04,0.48,1.12,3.15,4.16
01-03,3.93,4.3,1.55,4.91,2.54,2.5,2.71,1.31,1.78,-0.81,3.42,-0.21,7.28,5.61,1.43,2.16,5.1,1.63,2.79,2.36,5.1
01-04,4.23,4.95,0.97,3.89,3.52,4.33,3.8,2.09,0.94,-0.92,3.35,1.52,7.67,4.64,1.25,3.63,5.33,2.84,2.21,2.38,5.79
01-05,3.59,0.57,-0.68,3.89,3.81,4.81,2.85,2.28,1.16,0.24,0.31,3.7,5.89,2.82,1.45,4.89,3.16,3.71,0.77,2.61,4.84
01-06,2.85,2.22,-0.79,5.21,4.42,3.38,1.17,1.33,2.32,1.38,0.86,5.54,5.7,2.19,2.24,1.59,3.25,1.63,1.76,3.55,6.39
01-07,4.62,3.45,-0.35,1.54,5.76,2.6,1.26,-0.15,1.05,2.62,2.35,1.36,3.92,3.11,2.37,2.32,5.61,-1.28,1.46,2.97,2.57
01-08,1.15,1.4,-0.49,2.61,5.38,4.24,1.87,1.12,1.29,2.34,3.14,1.26,2.3,2.39,5.5,3.74,10.4,-3.01,2.35,4.28,1.12
01-09,1.3,0.37,0.77,2.98,5.28,4.62,2.26,1.48,2.51,1.63,2.41,1.87,2.74,5.81,4.39,0.95,6.36,-3.04,3.98,4.53,2.21
01-10,3.72,0.19,1.14,3.29,5.51,1.51,2.4,-0.83,3.52,0.96,-0.58,1.89,2.93,5.14,0.97,1.26,4.66,-1.31,4.79,2.27,2.85
01-11,0.7,0.65,1.57,3.26,7.97,0.48,3.75,0.61,1.98,0.71,0.95,2.25,3.75,2.54,-1.89,3.36,5.04,-0.13,3.27,2.99,3.27
01-12,2.2,-0.01,1.64,3.74,6.11,0.15,2.7,0.67,0.34,2.81,1.24,1.07,2.64,2.29,-1.79,2.43,5.15,0.28,0.19,5.4,3.92
01-13,2.08,1.17,3.83,2.15,0.55,0.32,-1.84,0.6,2.01,4.2,0.45,2.09,1.77,1.5,-0.98,3.09,3.73,0.68,0.8,8.62,1.97
01-14,0.41,2.73,8.95,2.36,0.14,0.59,-1.79,0.71,1.96,2.56,-0.06,3.75,1.37,-0.45,0.52,3.47,3.12,3.54,0.13,11.86,1.68
01-15,0.8,3.21,4.72,4.03,1.86,-0.2,-0.04,0.04,2.42,0.97,1.39,4.32,1.46,-0.91,1.62,3.49,3.37,4.5,1.59,7.48,2.84
01-16,-0.03,3.17,4,5.7,2.07,0.53,0.47,-2.51,1.06,1.09,1.76,3.89,2.07,0.45,4.89,2.39,4.05,5.19,2.68,4.79,0.56
01-17,0.82,3.45,2.97,4.57,0.53,2.47,1.27,-0.12,1.34,0.92,1.19,2.25,2.82,0.74,9.32,2.54,4.84,2.08,1.72,2.75,2.69
01-18,3.17,3.09,1.06,4.68,0.79,3.11,2.98,0.17,2.47,-0.9,1.38,1.97,4.92,2.53,6.26,2.82,3.6,0.66,0,3.34,6.54
01-19,3.22,3.39,-0.17,1.89,1.07,5.14,4.55,-0.02,2.27,1.18,-0.43,2.93,-1.64,1.96,3.29,3.93,3.57,-0.15,0.38,3.68,6.08
01-20,2.78,-0.09,0.44,3.49,0.54,3.27,7.4,0.04,3.75,1.58,1.86,2.21,1.12,1.75,4.17,4.15,4.02,0.53,0.24,2.87,6.07
01-21,0.72,0.32,1.26,4.26,1.23,4.02,6.97,0.81,3.81,2.34,1.46,3.24,1.44,1.98,3.64,2.55,2.96,3.87,-0.49,0.92,8.66
01-22,-4.4,1.04,0.4,4.25,0.87,4.38,2.49,1.09,4.35,6.63,0.6,6.03,1.17,1.25,0.85,2.97,4.48,5.79,0.45,2.72,5.9
01-23,-1.38,0.81,-0.96,2.74,2.37,5.42,1.03,1.22,2.79,2.79,1.88,3.66,1.05,-0.71,0.84,3.59,6.14,5.93,1.58,3.39,0.48
01-24,-1.16,2.48,-0.25,3.4,0.42,-1.15,1.84,1.38,0.01,3.46,3.06,2.85,-3.93,-0.91,-2.82,1.78,7.37,5.34,1.86,0.71,-1.18
01-25,-0.03,3.06,0.05,2.73,-0.39,-0.07,3.05,0.88,-0.89,0.14,6.65,4.18,-1.47,-0.4,-2.38,2.39,4.09,5.72,1.78,-3.48,-0.5
01-26,0.8,1.63,1.41,4.62,-0.23,1.84,1.73,0.05,-0.77,-1.25,4.48,7.18,-0.38,0.68,-2.25,0.55,6.36,8.05,3.31,-1.68,0.64
01-27,0.84,2.33,1.72,4.15,-0.21,1.69,3.43,0.15,0.02,-0.4,0.5,6.59,2.19,3.14,-1.93,1.26,4.25,7.86,2.92,0.32,1.71
01-28,1.45,3.77,0.57,2.96,0.39,3.19,7.69,-0.11,0.63,-0.19,3.52,0.22,4.35,3.61,-0.62,2.95,7.7,4.45,2.77,-0.47,2.19
01-29,2.55,5.89,2.63,2.73,1.26,6.35,2.55,-0.16,-0.28,1.65,4.11,-0.17,4.11,5.9,0.02,1.16,7.74,-0.45,2.9,-1.23,3.28
01-30,2.54,2.12,6.69,4.68,2.72,9.3,3.68,-2.6,0.05,2.79,7.33,1.32,3.9,7.31,-1.25,2.58,4.87,0.44,1.85,-0.24,5.12
01-31,1.98,0.12,4.24,3.32,1.29,6.36,4.45,-2.57,-0.25,2.92,5.95,0.44,3.81,0.77,-0.36,2.91,2.97,2.92,1.48,-0.06,6.19
02-01,2.94,-2.57,5.08,0.5,0.45,2.69,2.74,-0.21,0.44,5.52,6.22,-0.01,2.43,2.18,0.71,0.54,2.88,6.23,2.24,3.08,5.4
02-02,6.75,-0.47,3.56,0.13,1.09,2.78,2.29,2.61,-2.58,10.7,10.99,0.91,1.8,1.55,1.65,2.1,5.02,5.27,1.7,1.19,1.22
02-03,2.67,0.18,1,2.06,1.48,3.75,0.32,3.77,-2.22,3.51,10.14,1.46,0.92,3.58,1.25,7.01,4.42,0.29,1.94,1.37,2.79
02-04,0.28,1.09,-2.21,2.2,1.34,3.02,-0.33,3.82,-1.45,6.9,1.51,1.95,3.03,5.07,-0.85,8.24,3.51,1,1.59,2.64,3.39
02-05,-0.4,1.3,-1.79,4.27,1.38,4.37,0.12,3.79,0.85,2.48,-1.15,2.39,3.28,4.47,-1.86,4.78,2.16,3.42,-0.24,3.29,2.4
02-06,-0.32,0.2,-0.09,7.02,1.61,3.34,-0.25,4.21,2.56,2.86,-1.61,1.91,2.23,3.86,-3.49,5.42,-1.13,6.07,-0.38,4.41,2.76
02-07,-0.73,1.22,4.01,3.93,1.13,3.22,0.99,2.77,3.64,3.07,-0.15,2.69,0.57,0.75,-2.43,7.14,0.52,5.57,1.01,5.83,2.38
02-08,0.32,2.84,1.36,4.86,0.52,2.75,4.14,3.04,-0.79,-2.22,0.74,2.48,1.54,1.49,-1.03,1.42,3.17,2.28,2.61,4.38,1.86
02-09,1.48,6.41,-0.51,9.57,-0.18,3,11.47,3.14,-1.3,-0.51,2,-1.61,2.54,1.34,0.18,1.86,0.39,0.21,2.26,2.14,2.99
02-10,0.73,4.59,1.11,6.72,3.36,3.83,10.06,0.91,-0.13,0.7,0.32,0.35,1.52,0.19,2.32,0.47,1.42,2.66,2.78,3.46,3.28
