month-day,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-02,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01
01-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02
01-04,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.23,0,0.02
01-05,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,5.23,0,0.07
01-06,0,0,0,0,1.78,0,0,0,0,0,0,0,0,0,0,0,0,0,2.74,0,0.01
01-07,0,0,0,0,2.15,0,0,0,0,0,0,0,0,0,0,0,0.05,0,7.14,0,0
01-08,0,0,0,0,13.63,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0,0.24
01-09,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.88
01-11,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0
01-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.93,0,0,0,0
01-13,0,0.06,0,0,0,0,0,0,0,0,0,0,0,14.61,0,0,0.01,0,0,0,0
01-14,0,0,0,0,0,0,0,0,0.02,0,0,0,0,13.14,0,0,0,0,0,0,0.03
01-15,0,0,0,0,0,1.99,0,0,0.94,0,0,0,0,8.41,0,0,0,0,0,0,0.03
01-16,0.01,0,0,0,0,0.02,0,0,0,0.04,0,0,0,0,0,0.1,0,0,0,0,0.03
01-17,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0.24,0,0,0,0,0
01-18,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0
01-19,0.01,0,0,0,0,0,0,0,0,0,0,0,0.74,0,0,0.01,0,0,0,0.02,0
01-20,1.89,0,0,0,0,0.04,0,0,0,0,0,0.34,0,0,0,5.22,0,0,0,0,0
01-21,0.43,0,0,0,0,0.12,0,0,1.02,0,0,0.01,0,0,0,15.37,0,0,0.09,0,0
01-22,0,0.01,0,0,0,0,0,0,0.94,0,0,0,0,0,0,0,0,0,0,0,0
01-23,0,0.06,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-24,0,4.03,0,0,0,0.04,0,0,0.09,0,0,0,0,0.02,0,0,0,0,0,0,0
01-25,0,11.61,0,0,0,0,0,0,0,0,0,0,0,2.7,0,0,0,0,0,0,0
01-26,0,0.02,0,0,0,0,0,0,0,0,0,0,0,1.21,0,0,0.01,0,0,0,0.02
01-27,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.31,0.02,0,0,0,0
01-28,0.01,0,0,0,0.01,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02
01-29,1.6,0,0,0,0.05,0,0,7.04,0,0,0,0,0,0,0,0,0,0,0,0,0.22
01-30,0.38,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,1.67,0,0,0,0,0.97
01-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.02,0,0,0,0,0.7
02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05
02-02,0,0,0,0,1.91,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,3.58
02-03,0,0,0,0,0.06,0,0,0,0,5.67,0,0,0,0.04,0,0,0.02,0,0,0,38.19
02-04,0,0,0,0,0,0,0,0,0,1.37,0.01,0,0,0.22,0,0,2.53,0,0,0,14.56
02-05,0,0.07,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,4.13
02-06,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0.01,0,0
02-07,0,0,0,0,0,0,0.11,0,0,0,0,0.38,0,0,0,0,0,0,0.33,0,0
02-08,0,0.01,0,0.26,0,0,0.87,0,0,0,0,0,0,0,0,0,0,0,0.35,0,0
02-09,0,0,0,9.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02-10,0,1.05,0,2.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01
02-11,0,7.83,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0
02-12,0,0.01,0,0,0,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0
02-13,0,0,0,0,0,0.32,0,1.58,0,0,0,0,0,0,0,0,0,0,0,0,0
02-14,0,0.35,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0
02-15,0,0.19,0,0,0,0,0,0.6,0,10.22,0,0,0,0,0,0,0,0,0,0,0
02-16,0,0,0,0,0,0,0,0,0,0.71,0,0,0,0,0,0,0,0,0,0,0
02-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02-18,0,0,0,0,0,0,0,0.02,0,0.16,0,0,0,0,0,0.55,0,0,0,0,0
02-19,0,0,0,0,0,0,0,0.01,0,0.05,0,0,0,0,0,0.48,0,0,0,0,0.01
02-20,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0.15,2.48,0,0,0,0,0
02-21,0,0,0,0,0,0,0,0,0,0.65,0,0,0,0,0.41,0.03,0,0,0,0,0
02-22,0,0,0,0,0,0,0.21,0,0,1.14,0,0,0,0,0.63,0,0,0,0,0,0
02-23,0,0,0,0,0,0,0,0,0,0.41,0,0,0,0,0.02,0,0,0,0,0,0
02-24,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0
02-25,0,0.03,0.14,0.01,0,0,0,0,0,0.14,0,0,0,0,0.04,0.04,0,0,0,0,0
02-26,0,0.17,0,0,0,0,0,0,0,0.16,0,0,0,0,0,0.03,0,0,0,0.02,0
02-27,0,0.02,0,0.06,0,0,0,0,0,0,0,0.55,0,0,0,0,0,0,0,0.08,0.01
02-28,0,0.92,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0,0,0,0,0.12,0
02-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03-01,0,0.63,0,0,0,0,0,0.08,0,0,0,0.12,0,0,0,0.75,0,0,0.01,0.09,11.63
03-02,0,0.59,0,0,0,0,0,0.08,0,0,0.05,0,0,0,0,1.67,0,0,0.08,0.02,0.03
03-03,0,0.09,0,0,0,0,0,0.66,0,0,8.1,0,0,0,0,0.02,0,0,0,0.01,0
03-04,0,0.13,0,0,0,0,0,0.01,0,0,0,0,0.01,0,0,0.01,0,0,0,0,0
03-05,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0
03-06,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0
03-07,0,0,0.13,0,0,0,0,0,0,0,0,0.01,0.02,0,0,0,0,0,0,0.04,0
03-08,0,0.17,0.1,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04
03-09,0,0.11,0.08,0.18,0,0,0,0,0,0,0,0,0.04,0,0,0.01,0,0,0,0,0
03-10,0,0,0,0.04,0.01,0,0,0,0,0,0,0,0.22,0.14,0,0.07,0,0,0,0,1.94
03-11,0,0,0,15.32,0.17,0,0,0,0.04,0,0,0,0.44,0,0,0,0,0,0,0,0.27
03-12,0,0,0,2.76,0,0,0,0,0.01,0.02,0,0,0.06,0,0,0.01,1.22,0,0,0,0.08
03-13,0,0,3.23,0,0,0,0,0,0,0.15,0,0.5,0.01,0,0,0.87,0,0,0,0,0.07
03-14,0,0,0.84,0,0,0,0,0,0,0,0,1.25,0,0,0,0.13,0.65,0,0,0,0
03-15,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.01,0,0,0.69,0,0,0,0
03-16,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0.01,0,0,0,0,0,0.01,0
03-17,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0.01,0,0.13,0
03-18,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0.02,0,0.18,0
03-19,0,0,0,1.87,0,0,0,0,0,0,0,0,0,0.03,0.01,0.02,0,0.01,0,0.23,0
03-20,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0.02,0,0.18,0
03-21,0,0.23,0,0,0,0.01,0,0,0,0,0,0,0,0.01,0,0,0.12,0.34,0,0.3,0
03-22,0,0,0,0,0,0.05,0,0,0,0.06,0.01,0,0,0,0,0,0.18,0.81,0,0.46,0
03-23,0,0,0,0,0,0.15,0,0,0,0.16,0.05,0,0,0,0,0,1.46,0.05,0,2.66,0
03-24,0,0,0.15,0,0,0.91,0,0,0,0,0.1,0,0,0,0,0.06,0.53,0,0,0,0
03-25,0,0.04,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03-26,0,0,0,0,0,0.01,0,0,0,0.11,0,0,0,0,0,0,4.22,0,0,0,0
03-27,0,0,0,0,0,0,0,0,0,1.88,0.01,0,0,0,0,0,2.71,0,0,0,0
03-28,0,0,0,0,0,0,0,0,0,0.08,0,0.01,0,0,0,0,0,0,0,0.06,0
03-29,0,0,0,0,0,0.29,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.56,0
03-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59,0
03-31,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0.29,0
04-01,0.02,0,0,0,0,0.01,0,0,0,0,0,0.02,0,0,0,0,0.1,0,0,0,0
04-02,0,0,0,0,0.01,0,0,0,0,0.45,0,0.04,0,0,0,0,0.04,0,0,0.02,0
04-03,0,0,0,0,0.62,0,0,0,0,0.38,0,0.32,0,0,0,0,0,0,0,0.16,0
04-04,0,0,0,0,0.58,0.01,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0.03,0
04-05,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0.24,0,0,0,0
04-06,0,0,0,0,0,0.03,0,0,0,0,0,0.02,0,0,0,0,0.11,0,0,0,0
04-07,0,0,0,0,0,0.02,0,0,0,0,0,0.13,0,0,0,0,0,0,0,0,0
04-08,0.28,0,0,0,0,0.01,0,0,0,0.41,0,0.01,0,0,0,0,0,0,0,0,0
04-09,0,0,0,0,0,0.02,0,0,0,0.09,0,0,0.04,0,0,0,0,0,0,0,0
04-10,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.05,0,0,0,0,0,0
04-11,0,0,0,0,0,0,0,0.01,0,0,0,0.01,0.01,0,0.04,0.03,0,0,0,0.01,0.06
04-12,0,0,0,0,0,0,0,0.08,0.02,0,0,0,0,0,0,0.03,0,0,0,0.01,0.22
04-13,0,0,0,0,0,0,0,0.05,0.51,0,0,0,0,0,0,0,0,0,0,0,0.56
04-14,0,0,0,0,0,0,0,0.01,0.23,0,0,0,0,0,0,0,0,0,0,0,10.67
04-15,0,0,0,0,0,0,0,0.02,0.25,0,0,0,0,0,0,0.1,0,0.04,0,0.02,0.21
04-16,0,0,0.09,0,0,0,0,0,0,0,0.01,0,0,0,0,2.05,0,0.43,0.05,0.01,0.06
04-17,0,0,0.89,0,0,0,0,0,0,0,0.11,0,0,0,0.01,0.08,0,0.62,0.09,0.02,0.05
04-18,0,0,0,0,0,0,0,0,0.01,0,0.24,0,0,0,0,0,0,0.77,0.13,0.02,1.49
04-19,0,0,0.01,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,1.47,0.13,0,0.08
04-20,0,0,0.01,0.03,0,0,0,0,0.02,0.01,0.01,0,0,0,0,0.02,0,0.66,0.08,0,0.02
04-21,0,0,0.07,0,0,0,0,0,0.01,0.54,0.06,0,0,0,0,0.02,0.09,3.86,0.01,0.01,0.1
04-22,0,0,0.02,0,0,0,0,0,0,0.92,0.03,0,0,0,0,0,0.14,0,0,0.02,0.13
04-23,0,0,0,0,0,0,0,0,0.01,0.09,0,0,0,0,0,0,0.03,0,0,0.04,0.06
04-24,0,0,0,0,0,0,0,0,0.02,0.05,0,0,0,0,0,0,0.1,0,0,0.12,0.21
04-25,0,0,0,0,0,0,0,0,0.02,0,0.02,0,0,0,0,0,0.02,0,0,0.01,0.16
04-26,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0.02,0.01,0,0.07,0.12
04-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.04,0,0.9,0.06
04-28,0,0.12,0,0,0,0.52,0,0,0,0,0,0,0,0,0,0,0.03,0.06,0,2.77,0
04-29,0,0.09,0,0,0,0,0,0.69,0,0.05,0,0,0,0,0,0,0.03,0.13,0,2.87,0
04-30,0,0,0,0,0,0,0.02,0.79,0,0,0,0,0,0,0,0,0.04,0.08,0,5.38,0
05-01,0,0,0,0,0,0,0,0.02,0,0,0,0,0.01,0,0,0,1.38,0.22,0,4.34,0
05-02,0,0.22,0,0,0,0,0,0.02,0,0,0,0,0.03,0,0,0,6.82,0.13,0,0.26,0
05-03,0,0.19,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,8.99,0.21,0,0.1,0.54
05-04,0,0.01,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,11.72,0.06,0,0.03,0.21
05-05,0,0,0,0,0,0,0.02,0,0,0,0,0,0.45,0,0,0,14.53,0.19,0,0.04,0.24
05-06,0,0,0,0,0,0,0.02,0,0.06,0,0,0.07,0.01,0,0,0,1.97,0.93,0,0.01,0.02
05-07,0,0,0,0,0,0,0,0,0.06,0,0,0.1,0,0,0,0,0,0,0,0,0
05-08,0,0,0,0,0,0,0,0,0.08,0,0,0.17,0,0,0,0,0,0,0,0,0
05-09,0,0,0,0,0,0,0,0,0.28,0,0,0.16,0,0,0,0,0,0,0,0,0
05-10,0,0,0,0,0,0,0.03,0,0,0,0,0.18,0,0,0,0,0,0,0,0,0
05-11,0,0,0,0,0,0,0,0,0,0,0.03,0.06,0,0.14,0,0.01,0,0.02,0,0,0.08
