month-day,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
01-01,19.96,17.37,19.32,21.03,18.43,21.05,20.37,18.4,19.42,18.92,14.26,17.18,22.63,21.44,19.18,19.83,14.98,17.55,18.98,20.75,21.44
01-02,17.9,17.1,15.47,19.77,18.11,21.78,20.81,17.94,18.81,18.06,14.76,18.55,22.66,21.33,19.23,22.38,15.95,18.64,19.8,20.75,20.82
01-03,17.87,17.77,14.41,18.89,17.53,22.06,20.86,18.19,19.17,18.38,16.09,20.22,21.94,21.06,19.05,21.22,17.73,18,20.7,18.88,21.42
01-04,18.25,17.55,15.72,17.82,17.94,22.77,20.13,17.55,21.63,18.11,18.68,20.38,21.93,21.27,20.32,21.02,19.9,18.12,21.18,18.07,20.11
01-05,19.55,18.14,15.91,16.36,19.04,20.32,20.3,16.84,21.98,17.22,18.88,20.34,22.9,21.66,21.01,22.13,20.46,18.25,20.43,17.27,19.79
01-06,18.36,21.1,15.53,16.51,18.64,19.17,19.81,17.23,19.85,17.79,18.2,20.8,21.84,21.71,20.52,18.56,20.79,18.47,18.69,17.71,20.15
01-07,18,20.26,15.1,15.95,19.55,19.1,20,17.4,17,18.86,18.01,22.31,21.81,19.03,20.2,18.88,18.06,17.95,18.99,19.24,19.96
01-08,19.52,21.21,15.9,17.33,18.1,18.17,19.41,18.71,16.69,18.96,17.78,21.5,21.1,17.7,20.28,19,17.28,16.55,17.02,20.3,20.24
01-09,20.24,20.79,17.76,19.51,17.07,18.6,19.43,18.42,17.72,20.4,16.49,20.99,21.06,17.13,20.36,20.35,16.61,17.07,16.81,21.76,18.82
01-10,20.63,19.75,18.86,19.12,18.41,18.98,19.58,18.84,18.6,20.89,16.88,21.17,21.64,17.37,20.86,20.83,16.64,17.67,16.5,21.31,17.53
01-11,22,20.79,19.64,18.73,17.74,18.66,19.51,19.84,19.04,21.37,16.35,20.52,21.98,18.9,21.92,22.73,17.68,18.92,17,22.1,18.53
01-12,21.37,20.19,20.07,19.93,16.6,20.03,18.57,21.08,19.67,21.94,18.29,21.69,22.48,18.86,21.94,22.03,17.35,19.29,17,18.61,19.05
01-13,23.03,20.61,20.35,19.28,19.19,20.72,19.25,20.29,20.77,20.34,19.72,22.83,20.88,20.2,22.17,20.55,15.51,19.65,17.75,16.41,18.99
01-14,21.98,20.5,21.34,19.68,20.13,20.91,19.08,19.26,21.82,19.76,19.08,19.97,20.79,20,21.67,19.19,14.94,20.28,18.24,16.79,20.65
01-15,21.35,19.93,20.92,20.96,20.31,20.28,19.2,17.05,22.25,21.14,19.53,18.47,20.53,18.14,22.14,19.06,15.6,20,17.67,16.47,20.56
01-16,22.04,19.31,21.81,21.23,19.99,18.95,20.02,17.45,19.73,20.85,19.17,18.45,20.02,17.75,20.49,21.81,15.62,20,18.25,17.63,21.56
01-17,21.4,19.23,21.75,20.94,18.96,18.4,20.04,19.55,18.05,18.57,19.76,18.93,21.77,18.69,21.64,22.37,16.96,19.47,19.68,18.83,21.88
01-18,20.94,18.3,20.8,21.05,15.21,19.18,20.85,21.24,18.1,16.2,19.14,19.29,21.83,18.87,20.97,21.53,17.08,19.49,20.13,19.63,21.52
01-19,21,19.21,20.67,21.3,16.53,18.68,20.42,20.57,16.99,18.11,18.58,19.78,20.95,17.58,20.87,21.07,17.68,18.95,20.62,19.48,21.29
01-20,18.27,20.29,19.26,20.02,16.78,19.03,20.59,20.59,17.58,17.71,17.66,19.48,20.36,17.14,20.15,21.38,17.66,20.26,22.12,17.93,21.78
01-21,17.47,20.47,18.63,19.66,16.59,21.51,20.87,21.63,17.28,18.22,18.9,19.98,20.25,18.95,19.75,18.43,19.54,20.79,22.06,17.92,21.62
01-22,18.32,20.58,19.23,19.91,17.68,21.09,19.89,21.83,16.05,18.59,19.17,19.28,20.69,20.12,20.91,17.11,19.07,21.41,16.11,17.41,21.19
01-23,19.12,18.87,19.48,21.14,16.61,21.57,20.68,21.5,18.43,19.04,19.55,17.89,21.06,20.39,19.62,17.16,18.42,20.35,14.81,17.03,21.27
01-24,19.28,19.71,19.57,21.04,16.22,20.42,22.24,20.98,16.91,19.1,18.99,17.54,19.94,20.6,20.25,17.57,18.92,19.4,16.6,16.15,19.93
01-25,18.71,17.23,19.42,21.39,16.21,19.45,21.67,20.82,17.35,19.64,19.51,18.49,19.91,19.13,20.12,16.89,20.06,18.46,17.02,15.58,19.87
01-26,20.43,17.4,20.46,20.72,15.38,19.84,21.34,19.75,18.78,20.64,20.34,18.87,20.95,19.33,20.14,17.94,21.89,18.36,17.48,16.55,20.64
01-27,20.37,17.15,20.36,20.94,15.76,20.72,21.11,19.21,18.48,19.83,20.96,18.01,22.78,19.16,20.21,17.98,20.48,18.35,18.1,17.39,21.05
01-28,19.94,15.82,19.58,21.59,17.67,20.11,21.55,19.91,19.26,20.76,21.12,17.75,22.38,19.58,20.59,18.41,17.36,18.49,18.1,18.08,20.52
01-29,20.1,15.43,20.39,21.78,20.66,19.85,22.18,21.28,19.31,21.31,20.96,18.84,23.03,19.3,21.23,18.4,17.33,18.75,19.36,18.7,22.83
01-30,19.48,16.79,20.44,22.04,18.45,21.3,21.94,19.6,18.8,22.01,21.06,20.1,22.71,19.42,21.82,20.42,17.97,18.79,20.7,18.84,22.21
01-31,18.13,17.28,20.76,22.96,18.7,21.31,20.98,19.37,20.22,22.53,21.52,19.95,22.64,21.57,21.22,20.48,17.82,19.78,21.34,18.63,22.39
02-01,17.9,17.81,21.91,22,18.4,20.67,21.73,20.6,19.95,22.43,22.03,21.65,21.25,20.53,21.58,17.74,18.64,21.02,21.29,18.74,22.39
02-02,17.97,18.35,22.16,21.58,19.48,20.87,22.12,21.33,20.2,22.98,21.61,22.25,21.12,21.35,21.12,17.64,18.98,20.73,21.26,19.65,22
02-03,18.15,19.97,23.11,21.91,15.47,21.62,22.09,21.26,19.79,21.24,21.49,21.25,21.13,20.82,20.78,18.26,18.62,21.37,19.53,20.19,22.1
02-04,20.05,21.74,23.22,23.19,16.47,21.44,22.48,20.97,20.15,19.27,20.97,21.12,20.44,18.17,21.22,19.46,20.25,20.99,19.1,21.23,22.28
02-05,21.86,22.12,22.25,22.54,15.13,21.82,23.46,20.99,17.78,16.86,21.29,20.97,21.09,16.08,21.81,20.27,19.1,20.34,19.67,20.94,20.72
02-06,21.87,22.52,21.93,23.17,12.61,21.18,23.87,21.54,17.52,17.96,21.68,21.19,21.29,17.29,21.47,18.22,18.96,20.04,20.41,22.57,21.53
02-07,21.76,22.64,22.32,23.01,13.94,19.62,23.13,21.77,15.38,18.08,18.83,20.01,22.39,18.45,20.28,15.55,20.19,20.57,21.33,21.41,21.9
02-08,21.54,22.27,24.03,22.65,15,19.8,20.99,19.81,13.93,19.45,17.82,20.64,21.62,19.59,21.6,16.7,19.75,20.76,21.04,21.19,20.4
02-09,20.95,22.32,24.11,21.96,15.63,20.97,17.27,20.44,17.26,19.9,18.2,20.48,20.85,20.16,21.24,17.56,19.81,21.18,21.06,21.32,19.87
02-10,19.79,21.61,24,21.92,17.31,21.02,18.11,21.51,18.46,20.7,19.1,21.13,21.92,19.65,21.9,19.27,20.09,22.92,20.69,22.21,21.36
02-11,20.28,22.02,23.07,19.32,18.75,21.61,18.29,22.03,19.87,20.53,18.52,21.14,19.41,19.84,21.09,20.75,21.4,23.33,20.24,22.29,21.44
02-12,20.93,21.83,23.15,20.9,18.65,21.05,19.25,21.63,21.11,21.33,18.53,22.07,20.79,21.14,20.88,20.24,22.91,22.58,19.82,22,21.51
02-13,21.35,21.87,22.77,20.85,18.63,22.32,21.24,20.51,20.65,22.03,19.31,22.2,21.14,21.8,22.08,20.44,22.4,21.92,19.62,21.42,21.8
02-14,22.29,22.65,21.78,20.9,19.07,22.14,21.02,20.33,18.54,21.95,19.76,23.53,20.5,22.87,23.14,20.41,21.75,21.69,20.66,22.14,21.78
02-15,22.42,22.77,22.88,21.52,21.54,21.52,20.12,20.35,17.9,20.12,18.47,22.93,20.77,23.78,22.87,20.59,21.57,21.74,21.83,22.73,21.69
02-16,21.46,18.96,23.37,21.86,21.09,21.48,19.12,20.07,19.09,17.96,19.61,23.6,20.61,24.47,23.06,20.62,22.55,22.15,22.25,22.74,22.35
02-17,21.25,17.29,23.52,21.5,21.72,22.17,19.58,20.68,19.84,19.5,19.71,23.89,20.81,25.6,23.69,20.79,24.05,22.21,21.86,23.2,21.69
02-18,22.92,14.18,23.45,21.6,22.38,23.28,19.68,20.37,19.98,21.33,19.52,23.25,22.61,25.49,24.28,21.75,23.9,22.78,21.83,23.31,22.33
02-19,23.09,14.06,22.69,22.04,22.42,23.15,22.07,21.27,20.1,21.82,20.41,22.95,23.12,23.66,23.75,22.53,23.68,24.42,22.27,23.09,23.61
02-20,22.8,17.3,24.18,22.63,21.94,23.42,22.85,22.1,21.07,22.41,21.81,24.03,23.36,21.93,23.43,22.35,22.9,24.08,23,23.31,22.13
02-21,22.34,17.78,24.51,22.48,21.34,24.71,21.78,21.25,21.74,21.2,21.69,25.14,22.53,20.87,23.13,21.6,22.37,24.11,23.02,23.89,22.09
02-22,24.53,18.82,24.02,23.08,22.06,23.1,21.37,20.82,19.45,21.65,20.96,25.18,22.48,20.87,23.22,20.16,22.84,23.66,22.84,22.55,21.5
02-23,24.08,19.97,24.24,23.23,19.75,23.43,22.39,21.55,17.34,21.48,20.7,24.15,22.5,22.39,22.99,19.99,22.88,22.92,22.91,22.94,20.24
02-24,23.76,21.72,24.59,22.57,19.88,24.25,22.49,22.1,18.15,20.26,20.43,22.31,22.71,23.46,23.63,21.82,22.84,23.12,23.03,22.73,21.49
02-25,23.56,23.14,24.01,22.37,20.33,25.3,22.59,22.09,19.37,21.16,21.31,20.14,23.37,24.17,25.69,21.52,22.97,23.86,22.45,22.86,20.83
02-26,23.46,23.9,23.56,22.46,22.09,24.98,23.18,22.4,20.44,20.76,21.61,19.82,25.48,24.47,24.94,22.09,23.2,25.32,23.85,23.45,20.84
02-27,23.61,23.83,24.06,23.59,21.75,24.82,23.15,22.38,20.9,19.97,21.66,21.8,25.82,24.41,24.28,21.1,23.17,24.49,23.44,23.44,20.54
