month-day,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
01-01,25.78,25.12,26.39,17.18,26.36,22.21,22.05,20.83,24.24,20.83,19.37,25.18,18.43,24.28,20.1,22.84,22.01,23.43,20.96,21.79,22.38
01-02,26.15,24.91,26.3,17.41,26.18,20.97,22.25,22.02,21.65,22.9,20.67,23.92,18.17,23.24,18.74,22.12,22.79,23.67,19.19,22.12,21.69
01-03,26.61,23.54,26.3,17.84,25.95,21.55,22.94,22.81,20.25,24.19,21.27,22.73,18.98,22.66,19.01,21.51,20.41,24.8,17.92,21.98,21.69
01-04,27.46,22.07,26.41,19.02,24.81,21.36,22.99,22.65,20.72,22.85,21.06,19.15,19.77,21.8,17.45,24.88,18.82,25.44,18.73,20.43,21.35
01-05,27.98,20.3,27.07,18.94,24.9,22.33,22.29,21.71,20.55,21.41,19.38,17.54,20.4,23.22,17.32,26.16,17.5,25.76,19.9,20.1,20.22
01-06,28.12,17.52,27.34,18.65,23.36,23.07,23.23,21.48,20.1,21.09,18.24,17.18,20.8,24.67,18.04,24.34,18.37,25.44,20.79,20.04,20.57
01-07,25.52,16.65,26.45,18.93,21.89,23.76,25.13,22.87,20.73,19.72,18.32,17.02,21.34,24.13,19.64,21.04,20.04,25.23,21.83,20.67,22.05
01-08,22.42,17.15,26.06,18.13,22.18,24.2,25.25,21.55,21.55,19.04,19.47,16.18,21.65,22.09,20.06,21.12,19.3,25.02,23.77,21.3,24.26
01-09,21.85,17.11,26.09,18.91,23.84,24.32,25.64,19.3,20.89,17.66,20.09,14.29,20.28,20.36,20.89,21.48,17.1,24.73,26,20.1,26.01
01-10,21.59,16.64,26.37,19.44,25.09,23.85,26.98,19.17,20.9,17.5,18.29,13.18,19.98,22.17,21.45,23.77,15.41,24.53,25.58,19.74,25.29
01-11,21.8,16.52,25.97,18.34,24.24,23.09,27.47,19.63,19.93,17.15,17.67,14.21,21.13,24.67,23.71,24.65,15.41,24.69,25.61,20.18,24.19
01-12,21.28,17.4,24.32,16.64,23.41,22.77,26.63,20.04,19.53,19.23,17.97,16.82,21.63,26.14,24.77,25.49,17.22,24.8,27.73,20.4,23.06
01-13,19.22,18.87,22.12,17.43,22.84,24.13,26.16,20.17,18.13,20.22,19.57,19.42,22.4,25.23,24.61,24.77,19.91,25.25,28.11,20.4,22.93
01-14,17.58,19.89,20.32,18.14,21.65,24.63,25.78,20.89,18.11,21.33,20.13,19.08,22.84,25.14,23.85,20.91,22.37,24.44,25.63,20.75,21.86
01-15,19.07,20.59,19.35,18.33,20.33,25.2,24.65,18.88,18.53,22.6,20.64,17.87,21.53,25.88,22.74,21.39,23.63,22.15,23.4,21.16,20.18
01-16,21.16,21.3,19.61,17.92,19.52,25.4,24.78,17.55,18.92,23.75,22.85,17.52,20.82,25.01,22.45,21.82,24.38,21.26,21.74,20.8,20.13
01-17,21.6,20.37,20.11,17.75,21.06,25.95,28.77,18,19.22,24.75,22.87,17.91,21.01,25.15,21.52,20.65,21.74,21.19,18.71,20.61,19.44
01-18,21.96,19.65,20.19,18.4,22.39,25.43,26.04,16.74,19.53,25.74,21.57,18.1,19.87,25.42,20.93,21.03,19.59,21.71,17.75,21.94,18.94
01-19,22.33,18.28,19.55,18.83,23.67,23.19,22.61,17.13,19.66,26.32,22.42,18.32,17.55,25.47,19.28,20.64,18.76,21.69,17.19,23.09,19.51
01-20,23.27,20.36,21.2,19.7,25.1,22.61,21.8,17.51,19.47,28.12,23.16,20.1,18.24,26.04,19.98,20.76,19.36,19.99,16.64,23.87,21.03
01-21,24.21,25.29,23.63,18.54,25.61,23.29,21.22,18.87,19.07,27.91,23.91,22.18,20.22,26.94,22.29,21.82,18.06,20.87,18.5,23.02,22.79
