month-day,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
01-01,13.62,15.33,14.89,13.12,11.66,7.83,17.3,15.1,15.87,15.14,14.76,17.04,9.21,13.16,15.2,15.31,15.28,17.26,15.34,15.81,17.59
01-02,15.33,15.34,15.31,14.54,13.3,10.35,18.83,15.57,14.71,14.96,14.93,16.02,8.44,13.01,17.22,15.27,14.38,17.32,15.13,15.19,17.97
01-03,15.18,15.24,14.16,15.06,14.82,14.74,17.78,16,14.91,15.5,14.71,15.16,9.7,12.67,17.65,16.16,14.85,16.66,15.55,15.08,18.01
01-04,15.94,15.26,14.86,14.35,14.59,15.27,17.82,16.65,14.7,15.4,14.61,15.45,12.28,12.64,16.14,17.15,14.59,17.12,16.81,15.09,18.65
01-05,16.13,13.33,16.32,11.73,11.22,16.26,16.06,15.44,14.99,15.2,13.55,16.65,15.42,14.62,14.34,16.13,14.24,16.91,16.96,16.78,18.92
01-06,14.93,13.15,15.78,11.3,11.26,16.08,15.86,16.19,15.07,15.35,13.81,15.46,17.34,14.89,14.85,14.44,15.46,17.01,17.21,16.24,18.8
01-07,12.35,14.07,15.05,11.85,12.37,15.95,16.57,15.29,15.86,14.3,14.79,11.97,16.93,15.38,16.66,12.48,15.76,17.81,16.67,16.33,18.4
01-08,9.02,13.17,14.13,11.58,13.57,14.43,16.3,13.83,15.49,11.11,14.88,8.77,16.31,14.47,16.29,13.05,13.86,17.21,16.26,15.19,19.25
01-09,9.95,12.38,13.92,12.29,10.98,15.06,16.89,14.21,15.91,9.75,12.94,7.21,14.49,12.52,15.52,12.1,13.22,17.05,16.43,13.55,17.47
01-10,10.69,14.01,12.17,11.78,9.59,12.21,17.22,15.87,15.52,10.44,12.92,9.42,14.68,13.46,16.07,12.9,13.13,16.76,16.67,13.13,17.54
01-11,12.69,14.69,11.74,11.33,9.5,13.08,17.65,14.6,14.09,12.64,14.42,9.39,14.39,13.32,16.38,12.82,14.21,17.78,16.52,14.82,16
01-12,13.45,15.12,12.27,10.95,9.88,10.63,16.34,13.81,13.02,13.8,15.81,11.01,14.49,13.36,17.14,12.91,15.23,18.89,17.06,14.6,16.64
01-13,13.44,15.83,12.92,12.16,9.47,11.99,16.28,13.12,12.07,13.04,15,11.89,16.08,13.38,17.18,12.18,15.86,19.36,15.81,12.57,14.32
01-14,13.31,15,12.75,13.2,9.78,13.14,17.27,12.78,14.91,14.05,15.73,12.68,16.85,12.19,15.73,13.59,14.74,16.43,12.58,13.49,14.35
01-15,14.97,14.33,12.24,13.79,10.71,14.41,17.48,12.57,15.94,13.95,15.39,10.45,15.26,11.62,15.23,15.82,13.78,16.64,14.41,15.23,16.29
01-16,16.65,14.37,11.77,14.33,11.81,14.75,17.16,14.83,15.33,13.16,15.4,12.63,15.13,12.38,15.73,14.35,12.83,16.88,11.36,15.69,16.98
