month-day,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
01-01,3.91,4.54,4.71,2.63,8.15,5.03,5.17,1.86,7.48,4.1,1.68,4.96,5.87,1.93,3.99,4.96,2.75,3.73,4.58,6.74,0.91
01-02,3.27,3.51,7.59,1.95,2.36,2.09,8.77,4.36,2.74,3.19,3.27,5.74,3.9,4.72,3.79,6.05,2.61,6.11,3.84,7.92,2.47
01-03,5.26,2.9,8.53,2.71,2.22,1.64,8.34,7,1.95,2.34,5.81,4.05,3.79,3.58,5.72,7.17,6.28,7.78,3.27,7.53,4.67
01-04,4.6,3.75,9.12,3.17,6.02,4.1,8,4.45,1.11,1.9,6.74,4.29,5.43,1.62,7.11,8.04,4.27,7.28,5.77,4.38,5.74
01-05,6.02,5.08,5.53,5.62,5.53,4.74,2.18,2.29,2.91,4.88,6.28,10.62,4.43,4.31,6.02,4.84,3.11,6.4,3.38,3.88,6.29
01-06,6.01,4.72,4.47,1.74,3.08,3.51,3.07,3.46,4.75,6.12,3.01,12,5.15,4.14,3.89,8.64,5.79,4.75,2.5,2.84,2.66
01-07,8.75,1.56,3.68,4,1.99,4.36,3.87,4.23,4.67,8.68,2.38,8.29,5.19,7.44,1.68,4.36,7.76,4.25,4.8,1.54,3.42
01-08,4.57,5.61,4.38,2.5,2.55,1.94,3.93,2.24,7.38,5.77,6.19,7.02,8.83,9.36,1.16,7.78,4.89,4.08,6.93,3.22,4.31
01-09,2.55,6.87,2.6,3.9,6.9,3.35,5.83,2.36,8.19,6.27,8.52,5.28,3.04,5.45,1.59,5.87,5.16,5.13,6.2,6.23,3.7
01-10,6.39,2.98,3.43,6.47,8.06,3.73,5.04,1.86,4.53,4.37,6.36,3.5,1.49,4.04,3.27,2.91,4.56,2.76,8.35,2.58,5.47
01-11,4.47,4.53,5.09,7.26,4.1,3.9,4.76,3.33,4.36,3.09,3.01,6.18,1.98,2.27,2.9,3.94,2.63,1.74,4.86,4.65,3.71
01-12,4.34,2.68,4.53,5.52,3.82,6.43,2.12,6.89,3.06,4.07,3.82,3.3,2.42,3.39,2.49,5.17,4.16,2.87,4.86,5.61,6.64
01-13,3.12,3.19,2.17,1.85,4.87,5.24,3.68,9.21,1.79,2.13,2.57,6.36,2.99,4,3.49,4.17,2.39,6.29,3.62,6.45,3.22
01-14,2.09,5.43,1.12,1.69,3.91,6.58,6.96,8.34,6.08,2.45,4.85,6.6,7.11,3.46,5.11,5.1,3.69,7.29,4.75,6.45,2.89
01-15,3.33,4.05,3.89,4.54,3.41,4.38,5.14,4.94,9.2,4.81,5.35,4.82,2.33,4.72,2.1,11.2,5.89,6.59,5.76,4.91,3.49
01-16,5.02,2.99,2.6,4.04,3.64,4.31,4.34,2.2,9.1,6.41,5.34,2.15,3.01,4.39,2.43,8.33,9.43,6.83,7.2,4.65,6.41
01-17,3.32,3.6,1.92,1.81,7,2.53,6.75,8.4,6.5,2.81,4.61,5.13,4.05,4.9,4.27,5.84,8.66,8.72,3.75,3.48,5.06
01-18,1.35,2.69,3.45,1.89,8.23,1.06,5.22,6.87,2.95,6.79,1.77,1.59,9.29,2.33,10.58,2.26,3.18,7.4,9.1,2.24,2.73
01-19,2.47,2.4,4.94,4.59,7.78,2.42,7.33,2.61,5.83,5.27,2.88,2.01,9.74,1.59,6.74,3.12,2.02,5.14,7.54,2.44,3.33
01-20,2.14,2.56,8.87,7.75,5.88,1.68,5.18,0.95,2.47,4.94,1.6,1.36,1.83,1.71,3.15,5.87,3.52,5.54,3.85,3.96,2.49
01-21,1.99,7.09,3.25,7.74,5.41,4.86,5.88,2.95,4.85,4.1,2.17,2.79,2.65,3.82,3.32,4.54,6.04,2.94,2.32,4.69,3.61
01-22,9.98,3.8,4.35,1.98,7.78,8.62,2.58,3.14,8.35,5.72,3.69,2.46,1.9,2.85,6.31,3.27,3.62,6.42,4.83,5.73,5.13
01-23,10.49,9.01,4.55,2.39,3.85,4.95,5.71,1.66,2.33,4.72,4.19,7.01,2.29,4.79,6.3,4.93,5.34,5.98,9.24,3.43,2.68
01-24,6.68,5.48,5.04,3.59,2.24,4.75,4.61,2.45,1.94,3.08,2.44,5.96,5.89,6.09,3.56,6.64,7.87,3.57,4.21,3.94,3.83
01-25,6.24,2.53,6.47,3.63,3.52,5.42,5.7,1.51,5.73,4.9,3.51,3.56,6.36,4.32,5.64,4.14,2.87,2.39,5.76,3.63,1.59
01-26,6.47,5.81,6.93,4.09,5.81,4.57,4.8,5.68,7.13,3.53,5.51,2.21,4.22,5.28,4.79,3.75,3.16,3.6,3.71,3.69,4.45
