month-day,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
01-01,0.15,0.02,0.07,0.15,0,0.02,0.78,0.7,0.03,0.07,0,0.06,0.45,0.46,0.02,0.7,1.92,4.36,0.52,0.78,0.08
01-02,0.21,0.01,0.19,0.13,0.01,0.04,1.55,0.18,0.02,0.09,0,0.07,2.58,0.26,0.09,1.24,4.52,2.91,0.63,0.72,0.93
01-03,0.07,0.01,0.15,0.05,0.01,0.03,4.48,3.49,0,0.13,0,0.21,0.19,0.08,0.01,0.16,18.02,0.37,6.23,0.44,0.55
01-04,0.11,0.02,0.48,0.17,0.02,0.01,4.74,3.21,0.02,0.21,0.06,0.01,1.02,0.13,0.11,0.23,8.29,0.34,1.43,2.92,0.22
01-05,0.13,0.01,0.27,0.51,0.05,0.05,2.52,0.34,0.03,0.34,0.09,0.03,0.21,0.24,0.21,2.04,0.69,0.27,0.1,6.49,0.03
01-06,0.18,0.51,0.21,0.04,0.15,4.34,0.56,0.14,0.01,2.58,0.12,0.06,1,0.4,0.05,0.39,0.48,0,0.16,1.64,0.04
01-07,0.19,0.8,0.23,0.03,0.14,2.04,3.6,0.33,0.01,1.53,0.21,0.03,0.52,0.43,0.02,0.56,1.31,0.02,0.48,0.34,0.05
01-08,0.39,1.4,0.04,0.28,0.02,2.36,5.41,0.28,0.01,0.25,0.1,0.03,0.58,0.08,0.02,0.12,1.04,0.01,0.18,1.24,0.03
01-09,0.31,0.81,0.08,0.49,0,1.26,2.48,0.09,0.02,0.61,0.02,0,0.32,0.06,0.02,0.29,0.14,0.02,0.1,0.54,0
01-10,0.09,2.85,0.07,0.48,0.02,2.2,0.25,0.12,0.03,0.66,0,0.12,0.35,0.04,0.01,0.11,0.34,0.02,0.08,0.82,0.15
01-11,0.38,1.13,0.03,1.51,0.21,0.04,0.09,0.15,0.88,0.48,0.66,2.69,7.34,0.02,0.58,0.03,0.12,0,0.01,0.22,0.31
01-12,0.75,0.9,0.02,2.94,0.91,0.12,0.25,0.3,0.69,0.65,0.27,0.71,0.5,0.06,0.48,0.05,0.01,0,0.08,0.63,0.32
01-13,1.68,0.82,0.04,3.5,2.36,0.06,0.77,0.28,0.67,0.61,0.05,0.41,1.37,0.17,2.72,0.14,0,0.01,0.02,2.16,0.21
01-14,0.61,0.51,0.04,4.19,5.39,0.01,0.98,0.15,0.54,0.17,0.21,0.83,0.47,0.01,0.46,0.23,0.04,0,0.01,0.01,1.9
01-15,0.21,0.18,0.04,0.91,3.72,0.02,6.74,0.34,0.33,0.28,0.24,0.18,0.64,0.01,0.02,0,0.01,0,0.19,0.05,0.71
01-16,1.47,0.01,0,0.08,0.22,0.05,6.18,3.82,0.04,0.47,0.07,0.02,0.17,0.01,0.22,0.04,0.03,0.04,1.66,0.94,0.26
01-17,1.59,0.03,0.02,0.64,0.04,0.03,2.05,2.71,0.06,0.19,0.02,0.07,0.13,0.06,0.55,0,0.02,0.01,0.48,1.19,0.08
01-18,0.2,0.07,0.01,0.41,0.01,0.07,2.14,17.27,0.03,0.69,0.08,0.71,0.02,0.03,0.44,0.02,0.04,0.01,1.09,0.8,0.02
01-19,0.93,0.02,0,0.24,0,0.07,0.71,4.96,0,0.33,0.04,0.07,0.06,0.05,1.03,0.2,0.02,0.04,0.08,0.53,0.01
01-20,4.57,0.01,0,0.22,0,0.04,4.23,0.32,0,0.12,0.03,0,0.05,0.23,2.28,0.15,0.03,0.02,0.15,0.31,0.03
01-21,1.14,1.13,0,3.07,0.07,0.05,1.95,0.24,0.01,0.05,0.04,0.08,0.04,0.01,0.2,0.44,0.11,0.02,0.01,0.66,0.12
01-22,1.31,3.12,0.01,8.11,0.06,0.19,3.68,1.11,0.01,0.18,0.03,0.07,0.01,0.02,0.08,0.36,1.22,0.03,0.01,0.87,0.1
01-23,0.24,1.09,0.03,1.91,0.19,0.31,3.24,0.86,0,0.04,0.14,0.14,0.02,0.03,0.03,0.14,0.16,0.06,0.01,0.93,0.12
01-24,0.41,1.06,0.04,3.32,0.07,0.19,4.18,3.06,0.36,0.01,0.45,0.04,0.03,0.16,0.1,0.32,0.33,0.14,0.03,2.52,0.08
01-25,0.21,1.44,0.08,4.14,0.08,0.03,1.55,4.59,3.93,0.03,0.57,0.05,0,0.08,0.2,0.05,0.15,0.01,0.07,2.09,0.48
01-26,0.06,5.7,0.76,4.82,0.02,0.01,3.55,0.24,0.16,2.65,0.02,0.38,0.03,0.05,0.07,0.05,0.04,0.72,0.85,1.1,0.09
01-27,0.2,4.35,0.16,2.43,0.03,0.01,5.17,0.04,0.01,0.54,0.34,1.05,0.15,0.18,0.08,0.08,0.16,1.69,0,1.59,0.32
01-28,0.18,0.62,0.21,1.03,0.01,0.12,6.31,0.14,0.01,3.62,0.39,0.73,0.2,0.11,0.39,0.01,0.06,2.54,0.01,1.28,0.42
01-29,0.01,0.45,0.09,1.35,0.19,0.19,1.43,0.23,0.02,8.71,0.25,0.85,0.46,0.2,0.2,0.03,0.94,1.25,0.05,0.63,0.55
01-30,0.01,2.87,0.09,0.48,0.06,0.01,1.32,0.07,0.03,0.8,0.25,0.21,0.34,0,0.08,0.05,1.61,1.55,0.24,1.01,0.95
01-31,0.02,0.09,0,3.88,1.09,0.04,4.75,0.15,0.08,0.02,0.82,0.26,3,0.02,0.01,0.39,1.69,0.78,0.06,0.96,2.51
02-01,0.45,0.16,0,3.79,2.12,0.34,2.27,0.18,0.18,0.68,0.48,0.06,12.23,0.01,0.17,1.68,4.6,0.22,0,1.45,3.26
02-02,0.24,0.11,0.01,2.72,2.96,0.28,0.3,0.25,0.14,4.22,0.12,0.02,9.42,0.04,0.13,3.41,0.39,0.03,0.01,0.82,0.79
02-03,0.04,0.32,0.04,4.05,1.36,0.04,0.37,0.03,0.19,0.31,0.04,0.04,0.94,0,0.08,0.41,2.08,0.02,0.03,2.61,0.69
02-04,0.7,0.56,0.02,3.93,0.94,0.02,0.28,0.06,0.06,2.28,0.02,0.2,0.22,0.01,0.07,1.4,8.7,0.1,0,4.78,1.05
02-05,0.19,0.5,0.06,1.23,5.85,0.02,0,8.61,0.2,0.43,0.03,0.03,0.18,0,0.26,1.11,0.19,0.38,0.57,0.4,0.97
02-06,2.97,1.09,0.01,2.64,0.78,0.09,0,12.68,0.1,0.12,0.05,0.03,1.06,0,0.3,1.2,0,0.09,0.14,0.54,4.1
02-07,2.87,0.48,0.02,2.95,5.47,0.17,0,6.78,0.1,0.1,0.05,0.04,0.38,0.01,0.01,0,0.01,0.01,0.26,0.05,0.33
02-08,2.51,0.07,0.02,1.4,3.56,0.12,0,9.6,0,0.31,0.01,0.1,0.58,0,0,0.03,0.31,0.06,0.89,0.03,0.09
