month-day,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
01-01,28.06,27.1,27.82,27.29,26.47,27.17,26.99,26.96,25.92,27.17,26.36,26.01,28.48,26.59,26.64,27.44,28.91,27.05,26.66,26.95,28.47
01-02,28,26.95,26.57,27.5,26.6,27.19,27.11,27.11,25.95,27.65,26.44,26.03,28.19,27.48,26.69,27.08,27.87,26.63,26.43,26.95,28.54
01-03,28.08,26.81,26.97,27.66,26.35,27.29,27.22,27.05,25.75,27.52,26.63,26.02,28.61,27.94,27.47,27.27,27.81,27.09,26.24,27.56,28.1
01-04,28.37,27.27,27.1,27.62,26.4,27.73,26.88,26.54,26.07,27.44,26.95,26.11,28.11,27.9,26.87,27.2,27.3,27.56,25.47,27.35,28.28
01-05,27.65,27.82,27,27.14,26.68,27.39,26.87,27.11,26.34,27.32,27.16,26.18,28.36,27.58,26.02,26.51,28.22,27.55,26.46,27.06,28.29
01-06,26.98,27.6,27.07,27.77,26.69,26.83,27,26.39,26.62,26.6,27.05,26.01,28.35,27.3,26.36,27.1,28.41,27.78,26.87,26.86,27.79
01-07,27.32,28.06,27.12,27.73,26.46,27.25,26.79,26.28,25.95,27.12,26.74,26.05,28.34,27.29,26.77,27.24,28.24,27.46,26.81,27.33,27.57
01-08,27.53,27.59,27.3,27.96,26.27,27.56,27.08,26.53,26.48,27.18,26.5,26.65,28.31,27.88,27.1,27.17,27.67,26.94,26.72,26.66,27.47
01-09,27.41,27.44,27.12,27.96,26.15,27.7,27.53,27.31,26.66,27.47,26.17,26.81,28.32,28.02,27.08,27.34,28.08,26.98,26.68,26.71,27.86
01-10,27.65,28.1,26.88,27.68,26.11,27.35,27.57,27.74,26.61,27.9,26.15,26.91,28.01,27.72,26.99,27.44,27.12,26.92,26.75,26.92,28.1
01-11,27.35,28.2,26.98,27.33,26.16,27.36,27.42,27.48,26.89,28.01,26.01,26.63,27.53,27.39,27.18,27.6,27.23,26.91,26.87,27.01,28.34
01-12,26.74,27.59,26.96,27.37,26,27.53,27.71,27.5,26.95,27.91,26.49,26.78,28.59,26.97,26.73,27.45,28.19,27.31,26.54,26.77,28.61
01-13,27.31,27.67,26.75,27.21,25.99,27.68,27.26,26.71,26.78,27.77,26.15,26.85,28.61,27.34,26.22,26.71,28.43,27.13,26.28,26.38,28.89
01-14,27.03,27.6,26.54,27.32,25.51,27.65,27.49,26.87,26.35,28.01,25.9,26.71,28.57,27.43,26.54,27.23,28.82,27.36,26.1,27.42,28.35
01-15,27.33,28.29,26.55,27.96,25.72,27.59,27.28,27.35,26.49,28.35,25.88,27.23,28.67,27.22,27.42,27.15,28.85,27.74,25.76,27.1,28.01
01-16,27.46,28.51,26.22,28.29,26.23,27.68,26.65,27.58,26.29,27,26.25,27.33,28.58,27.5,27.78,27.35,29.07,27.76,26.05,27.4,27.79
01-17,26.37,28.52,25.74,28.01,26.61,27.6,27.66,27.62,25.87,27.48,26.68,26.85,28.7,27.06,27.62,27.61,28.97,27.69,26.05,27.73,28.18
01-18,27.26,28.44,25.81,28.39,25.91,27.75,27.93,26.85,25.56,27.49,26.62,26.68,28.65,27.43,27.44,27.62,28.84,27.66,25.71,27.86,28.16
01-19,27.31,28.63,26.17,28.38,26.1,27.65,27.76,26.54,25.85,27.41,26.42,26.99,28.82,27.72,27.22,27.11,28.85,27.91,26.03,27.76,27.84
01-20,26.48,28.55,26.32,28.05,26.18,27.58,26.8,26.7,25.41,27.57,26.71,27.49,28.83,27.92,27.09,27.99,28.82,27.9,26.48,27.33,27.6
01-21,26.82,28.01,26.4,28.1,26.22,27.61,27.67,27.51,25.13,27.81,26.8,27.6,28.43,28.01,27.13,27.67,28.98,27.75,26.3,27.48,27.51
01-22,26.94,26.72,26.23,27.13,26.5,27.41,27.88,27.71,25.2,27.99,27.08,27.75,28.52,27.93,27.91,27.9,28.79,27.5,26.55,27.62,27.52
01-23,27.06,27,26.8,27.28,26.48,27.33,28.18,27.04,25.68,27.18,27.29,27.42,28.61,27.88,27.84,27.75,28.87,27.2,26.29,27.69,27.86
01-24,27.54,27.64,26.39,27.88,26.62,27.38,27.88,27.55,26.02,27.25,27.03,27.17,28.33,27.6,27.66,28,28.73,27.25,26.43,27.51,28.24
01-25,27.44,28.09,26.48,28.07,26.43,27.58,27.86,27.95,26.26,27.26,26.49,27.43,28.68,27.95,27.8,28.31,28.69,27.97,26.63,28.07,28.33
01-26,27.15,28.07,25.83,27.43,26.65,28.03,28.1,27.55,26,27.18,26.9,27.78,28.7,28.12,27.98,27.47,28.97,28.03,26.68,28.11,28.64
01-27,27.14,27.47,25.65,28.18,27.2,28.01,27.55,27.7,25.84,27.12,27.13,27.72,28.59,27.81,28.23,27.76,29.14,27.93,27.13,27.8,29.05
01-28,26.73,28.29,25.41,28.43,27.36,27.7,27.83,27.69,26.17,27.28,27.59,27.43,28.85,27.16,27.83,28.16,28.97,27.85,27.28,27.52,29.11
01-29,27.23,28.76,25.45,27.7,27.3,27.81,27.98,27.54,26.1,27.21,27.52,27.82,28.72,27.26,27.73,28.59,28.59,28.22,27.23,28.31,29.04
01-30,26.92,28.88,25.36,28.11,27.39,27.91,28.31,28.04,25.93,27.31,27.91,27.99,28.51,27.04,28.35,28.03,28.42,28.2,27.21,28.03,29.14
01-31,26.71,28.46,25.21,28.1,27.71,27.61,28.03,27.8,25.82,27.49,27.42,27.74,28.62,27.28,28.79,28.3,28.7,27.61,27.22,28.44,28.39
02-01,26.51,28.38,25.71,28.24,27.55,27.79,27.9,28.33,26.11,27.65,26.95,27.92,28.05,26.99,29.1,27.67,28.54,28.29,27,27.64,27.8
02-02,26.74,29.06,26,28.11,27.22,27.8,27.97,27.99,26.03,26.56,27.51,27.73,28.24,26.99,28.7,28.37,28.99,28.46,26.67,28.33,28.62
02-03,26.53,29.38,26.32,28.15,27.64,27.45,27.66,28.17,26.02,27.04,27.87,28.01,28.94,27.42,29.19,28.26,28.07,28.7,26.67,28.56,28.91
02-04,27.36,29.15,26.52,27.4,27.84,27.69,27.56,28.15,26.07,27.51,27.47,27.92,29.43,27,28.82,27.9,27.47,28.66,26.49,27.8,28.94
02-05,28.09,28.86,27.16,27.89,27.78,28.21,27.25,27.96,26.12,28.11,27.39,28.4,29.02,26.87,28.74,28.06,28.11,28.37,26.43,27.46,28.88
02-06,28.19,28.77,28.07,28.17,28.05,28.07,27.14,27.59,25.86,28.12,27.34,28.28,28.23,26.81,28.27,28.49,28.47,28.47,26.46,27.63,27.97
02-07,27.59,29.02,28.33,28.72,27.58,27.81,27.08,27.6,25.88,28.23,27.17,28.36,29.03,26.45,28.33,29.37,28.98,27.86,26.46,27.83,28.76
02-08,28.69,28.76,28.11,28.67,27.48,27.71,27.24,27.8,26.41,28.12,26.84,28.28,29.03,26.55,28.69,29.05,28.81,28.31,26.53,27.63,29.43
02-09,28.04,29.29,27.93,28.49,27.66,28.02,27.27,27.81,26.52,28.24,26.98,28.13,28.25,26.79,28.34,28.61,28.67,28.36,26.46,27.79,29.43
02-10,28.03,29.17,27.96,27.84,27.9,28.36,27.63,27.37,26.15,28.07,26.98,28.25,27.68,26.85,28.14,28.74,29.02,28.23,26.48,27.9,29.1
02-11,27.82,28.89,27.9,27.6,27.64,28.62,27.55,27.02,25.89,27.93,27.2,28.79,27.79,26.77,28.11,29.32,29.07,28.34,26.39,27.72,29.07
02-12,27.58,28.07,26.98,27.35,27.99,28.36,28.76,27.77,26.36,26.8,27.33,27.22,28.63,28,28.06,28.2,29.42,28.34,26.46,27.81,29.7
02-13,27.36,28.74,26.75,27.85,27.68,27.87,28.58,28.15,26.11,27.74,27.33,26.76,29.35,28.08,28.65,28.32,29.5,28.46,26.65,28.07,29.59
02-14,27.51,28.6,27.01,28.2,27.93,27.87,27.4,27.73,25.51,27.62,27.34,25.86,28.71,27.87,28.95,28.75,28.64,28.52,26.42,27.74,28.46
02-15,27.42,28.81,27.4,28.09,27.75,28.17,27.63,27.55,25.92,27.74,27.54,26.97,28,27.21,28.37,28.51,27.94,28.46,27.28,27.59,28.94
02-16,27.79,29.26,27.18,28.28,28.08,27.93,27.98,27.4,25.98,27.69,27.35,27.2,28.75,27.53,28.85,28.22,28.82,28.69,27.21,28.03,29.15
02-17,27.79,29.36,26.8,28.3,28.2,26.97,28.39,28.16,25.93,27.45,27.74,27.47,29.58,27.8,27.96,28.55,28.51,28.55,27.21,28.11,28.59
02-18,27.77,29.94,27.31,28.14,27.79,28.22,28.59,28.35,25.61,27.32,28.02,27.2,29.17,27.67,28.3,28.9,28.73,28.39,27.44,28.17,29.43
02-19,27.52,29.62,27.54,27.76,28.26,27.92,28.56,28.44,25.92,27.59,28.46,27.29,28.82,27.92,27.61,28.59,28.97,27.93,27.43,27.48,29.24
02-20,27.25,29.24,27.4,27.93,28.43,28.19,28.26,28.06,26.24,28.28,28.96,27.39,28.88,27.45,27.68,28.91,29.51,27.83,27.28,28.19,28.9
02-21,28.02,28.53,27.46,27.22,27.8,27.98,28.01,28.57,26.07,28.69,28.98,27.43,29.06,28.05,28.29,28.41,29.64,27.78,27.16,28.13,29.27
02-22,28.14,28.78,27.62,27.1,27.81,28.15,28.32,28.14,26.34,28.81,29.1,27.16,29.1,27.83,27.66,26.61,29.5,27.65,27.39,27.94,29.14
02-23,27.89,28.66,27.46,27.5,27.76,28.26,27.83,28.06,26.16,28.87,28.33,27.16,29.68,28.15,28.51,28.13,27.82,28.24,27.62,28.11,28.51
02-24,27.99,28.82,27.56,27.52,27.69,28.55,27.36,28,26.32,28.46,28.28,27.91,29.16,28.04,28.39,28.44,29.3,27.78,27.78,27.2,28.14
02-25,27.94,28.09,28.01,27.94,27.93,28.68,27.02,28.38,26.4,27.74,28.1,27.46,29.27,27.97,27.97,28.66,29.24,27.24,27.45,28.04,27.61
02-26,27.6,27.82,28.08,27.94,27.44,28.34,27.2,28.08,26.59,28.49,28.03,26.8,28.56,27.9,27.4,28.55,28.87,27.41,28.84,28.26,27.87
02-27,27.21,27.27,27.69,27.01,27.58,28.52,27.61,27.86,26.86,28.55,28.64,27.18,29.19,28.06,27.63,27.76,28.83,28.33,28.93,28.06,28.58
02-28,27.19,27.7,28.26,27.47,27.89,28.99,27.79,28.5,26.73,28.92,28.26,27.82,28.94,28.01,27.42,28.73,28.92,28.44,28.65,28.26,28.92
02-29,27.54,0,0,0,28.44,0,0,0,26.75,0,0,0,28.9,0,0,0,28.53,0,0,0,29.16
03-01,27.59,27.6,28.6,28,28.18,29.09,27.67,28.06,26.95,28.19,27.82,28,29.94,27.73,27.47,28.67,28.77,28.17,28.27,27.83,27.78
03-02,27.5,27.53,28.47,28.03,28.1,28.42,27.54,28.31,27.29,27.58,27.97,27.23,29.4,27.56,27.73,28.2,29.13,28.38,28.4,27.91,28.58
03-03,27.28,28.13,28.19,28.15,28.11,28.34,26.98,28.31,27.49,27.58,28.1,27.55,29.32,27.56,27.2,28.76,28.86,28.64,28.68,27.77,29.07
03-04,26.87,28.65,28.11,28.37,28.05,28.81,26.82,28,27.4,27.9,27.84,27.44,29.46,27.42,26.96,28.99,28.35,28.19,28.6,27.48,28.78
03-05,25.84,28.28,28.25,28.58,28.16,28.9,27.02,28.06,27.49,27.83,27.68,27.42,29.75,27.31,27.02,28.87,28.47,28.12,28.41,27.65,28.71
03-06,25.31,28.57,28.04,28.2,27.07,28.79,27.09,28.69,27.53,27.13,28.21,27.75,28.51,27.71,27.67,29,28.59,27.9,27.82,27.61,28.79
03-07,26.18,29.06,28.18,27.75,26.7,28.99,27.55,28.76,27.6,27.51,28.27,27.65,28.02,28.22,27.65,28.71,28.83,27.58,28.54,27.73,28.56
03-08,26.37,28.96,27.94,27.45,27.22,28.67,27.76,28.9,27.38,27.6,28.43,28.3,29.45,28.34,28.01,28.7,28.81,28.31,28.35,27.73,28.9
03-09,26.55,28.93,28.69,27.37,27.25,28.7,28.13,28.84,27.55,27.26,27.73,27.96,29.22,28.17,28.04,29.37,28.3,28.38,28.4,27.74,28.71
03-10,26.43,27.84,28.9,28.16,27.36,28.8,28.07,28.44,28.01,27.07,27.74,27.81,28.77,28.1,28.22,29.42,28.82,28.54,28.2,27.85,28.54
03-11,26.9,28.18,28.76,28.3,27.38,29.03,27.79,28.78,28.21,27.25,26.56,28.31,29.02,28.34,28.23,29.46,28.29,28.52,27.49,27.95,29.28
03-12,27.06,27.95,28.26,27.87,27.61,29.18,27.81,28.55,28.42,27.2,27.51,28.51,28.76,28.13,28.21,29.23,28.89,28.07,28.34,27.79,29.79
03-13,27.16,27.71,27.82,27.62,27.1,29.11,27.92,27.95,28.33,27.43,28.01,28.6,28.76,28.55,28.52,29.58,29.32,28.1,27.69,28.07,29.57
03-14,27.11,27.19,28.33,28.74,27.52,28.79,27.25,28.58,28.59,27.95,28.26,28.7,29.19,28.62,28.08,29.87,29.04,28.1,28.28,28.16,29.39
03-15,26.86,27.94,27.93,27.6,27.55,28.63,26.84,28.55,28.39,27.47,28.69,28.24,28.66,28.5,28.04,29.76,29.18,27.92,28.09,27.98,29.2
03-16,27.02,28.39,26.86,28.23,27.98,27.73,27.22,28.43,28.43,27.42,28.48,28.53,28.4,29.01,28.3,28.97,28.92,27.45,27.57,27.85,29.87
03-17,27.45,28.75,27.81,28.66,27.45,27.08,27.1,28.49,27.76,27.38,28.18,27.57,28.89,28.3,28.58,28.74,28.89,28.32,27.65,26.96,29.8
03-18,27.46,28.39,28.29,28.17,27.42,27.81,27.29,27.48,28.71,27.68,27.87,28.55,28.6,28.74,28.51,29.15,28.71,28.29,28.09,27.78,29.26
03-19,26.99,28.45,27.71,27.97,27.61,28.25,27.43,27.26,27.79,27.67,27.84,27.48,28.24,28.66,27.89,28.89,28.51,28.16,28.15,28.07,29.24
03-20,27.25,27.95,28.21,27.9,27.7,27.92,27.66,26.99,27.49,27.29,28.53,28.14,28.33,28.28,27.6,28.26,27.98,27.97,28.54,28.17,29.06
03-21,27.44,28.47,28.15,27.76,27.61,28.32,27.45,27.32,28.15,27.8,29.4,28.74,28.33,26.87,28.42,29.44,28.24,27.42,27.42,28.07,28.77
03-22,27.54,28.54,27.83,28.94,27.73,28.52,27.64,28.29,28.01,27.45,28.3,27.82,28.68,26.34,28.46,29.12,28.33,27.94,27.48,27.39,28.01
03-23,27.87,28.72,28.23,29.28,28.21,28.13,27.45,28.47,27.82,27.17,28.68,27.76,28.34,27.95,28.36,28.69,28.41,28.07,28.52,27.77,28.61
03-24,27.67,28.3,28.55,28.77,28.16,27.63,27.42,28.7,27.74,26.32,28.75,27.69,28.58,27.89,28.17,29,28.82,27.2,28.56,27.42,29.27
03-25,27.52,28.5,28.61,28.2,28.2,28.16,27.45,28.78,27.89,27.08,28.96,27.11,28.69,28.42,28.21,28.54,28.89,27.66,28.45,27.77,29.2
03-26,27.46,28.75,28.34,27.91,27.72,27.91,27.39,28.52,27.64,27.67,28.07,27.41,28.26,28.39,28.53,27.76,27.3,27.29,27.85,27.58,28.94
03-27,27.11,28.54,28.23,28,27.42,27.79,27.49,29.06,27.8,27.55,28.38,27.05,28.66,28.62,28.92,29.15,27.65,28.15,28.24,28.26,29.28
03-28,27.39,28.69,27.91,27.95,27.65,27.84,26.74,28.69,28,26.97,28.63,26.46,28.69,28.5,28.46,29.23,28.75,28.21,28.1,27.8,29.66
03-29,27.4,28.48,28.55,28.41,27.8,27.31,27.47,28.39,27.58,27.31,28.65,26.7,28.5,28.27,28.4,27.96,28.57,28.37,26.72,28.3,28.87
03-30,27.03,28.72,28.95,28.66,28.04,27.33,27.4,29.06,27.52,27.39,28.74,27.26,28.53,28.2,28.71,28.77,28.82,28.25,27.37,28.53,28.5
03-31,26.6,28.55,29.03,28.5,28.17,27.52,27.29,29.08,27.26,27.54,29.04,27.42,27.91,28.37,29.16,28.86,28.9,28.32,28.06,28.26,28.8
04-01,26.78,28.77,28.73,29.01,27.38,27.34,27.36,27.89,27.59,27.56,28.98,27.19,27.78,27.99,29.04,29.09,28.85,28.83,27.27,28.2,28.7
04-02,26.32,28.19,28.6,28.11,27.6,27.82,27.64,28.11,27.83,26.97,28.55,27.12,27.43,26.65,28.49,29.12,28.42,29.06,26.85,28.71,29.04
04-03,25.7,28.56,28.27,27.17,28.13,27.69,27.47,27.82,27.39,27.12,28.43,26.72,28.29,28.64,28.74,29.23,27.95,28.08,27.03,28.71,28.99
04-04,25.55,28.4,28.73,27.37,27.91,26.91,26.99,27.99,27.94,27.23,28.31,26.8,28.3,28.42,28.79,28.53,28.56,26.99,26.93,28.16,28.58
04-05,24.97,27.89,27.79,27.6,27.66,27.94,27.42,26.8,27.52,27.11,28.2,26.74,28.28,28.22,28.21,28.58,28.66,28.23,26.77,27.86,28.17
04-06,24.74,27.71,28.47,27.48,27.26,28.37,27.15,27.78,27.73,25.76,27.86,26.55,28.13,28.18,28.67,28.48,28.63,26.78,26.95,29.17,28.79
04-07,24.7,27.07,29.03,27.34,27.21,28.77,27.42,28.16,27.6,26.58,28.05,26.75,27.65,27.82,28.47,27.89,28.73,27.25,26.84,27.64,28.18
04-08,24.68,27.87,28.44,27.08,28.15,28.16,27.53,28.4,27.21,26.68,27.9,26.72,27.33,28.34,28.53,28.88,28.67,27.43,26.9,27.98,27.57
04-09,25.18,28.15,28.49,27.02,27.06,28.1,27.33,28.4,27.49,26.7,28.35,26.62,28.68,28.4,27.9,28.84,28.74,27.53,26.86,28.03,27.97
04-10,25.38,27.51,28.43,27.09,26.78,26.92,27.52,27.38,27.64,26.64,28.2,27.33,27.99,28.04,27.56,28.69,28.55,27.83,26.76,27.9,28.25
04-11,26.06,27.75,28.36,27.04,27.43,27.39,26.98,27.91,27.17,26.51,28.04,27.23,27.94,28.01,26.77,27.75,27.85,27.11,27.32,28.09,28.11
04-12,26.58,27.92,26.95,26.96,27.42,27.55,26.91,27.15,27.96,26.52,28.57,27.06,28.48,27.26,27.31,28.22,28.02,27.21,27.04,27.67,27.7
04-13,27.36,28.14,26.79,27.35,27,27.41,27.56,28.64,27.26,26.79,28.64,27.05,28.8,27.75,27.71,28.53,28.05,27.13,26.7,28.65,28
04-14,27.06,28.52,27.67,27.38,26.93,26.95,27.1,28.1,27.13,27.35,27.9,26.92,29.13,27.14,27.15,28.65,28.39,27.41,26.56,28.3,28.13
04-15,27.04,28.55,28.24,27.31,26.71,27.72,27.1,27.45,26.15,27.1,28.53,27.32,29.11,27.66,27.04,28.54,28.34,27.17,26.37,27.74,28.23
04-16,26.72,28.64,28.07,26.64,27.76,27.86,27.16,28.19,26.73,26.97,28.1,27.64,28.68,27.69,28.07,28.48,27.9,26.82,26.63,27.48,28.18
04-17,26.26,27.85,28.29,27.04,27.96,27.82,27.1,28.02,27.08,27.08,28.59,27.76,26.98,27.7,28.57,28.32,27.39,27.37,26.43,27.63,28.77
04-18,26.12,27.11,27.91,26.58,28.24,27.43,26.77,27.52,26.12,26.87,28.11,27.79,27.25,28.06,28.19,28.35,27.11,27.63,26.85,27.56,28.54
04-19,26.21,27.26,27.81,26.55,27.48,27.88,26.67,27.3,26.68,26.55,28.06,27.14,27.98,27.77,28.39,28.7,27.33,26.89,26.89,28.42,28.87
04-20,26.16,27.35,28.09,27.42,27.71,27.84,26.38,27.16,26.86,26.56,27.64,28.17,27.59,27.32,27.88,28.34,27.64,26.72,26.11,27.93,28.58
04-21,26.65,27.23,27.26,26.92,27.65,27.07,25.87,27.45,26.72,26.2,27.43,28.13,28.59,27.32,28.48,28.48,26.11,27.79,26.96,26.85,28.31
04-22,26.46,26.91,27.16,26.95,27.8,27.51,25.39,27.56,26.66,26.2,27.86,28.2,28.52,27.41,29.08,28.2,27.1,27.54,27.26,27.31,28.7
04-23,25.95,26.94,27.25,26.93,28.19,27.96,24.99,26.83,26.4,26.28,28.1,27.99,28.72,27.03,29,28,27.14,27.29,27.28,27.68,28.19
04-24,26.07,27.56,27.29,27.17,28.28,27.25,24.81,26.66,26.06,26.27,27.82,27.44,28.65,26.31,28.83,28.18,27.36,27.3,26.78,28.06,28.21
04-25,26.73,27.33,27.1,26.92,26.49,27.47,24.96,27.25,26.31,26.68,27.63,26.79,28.87,26.14,28.4,28.24,27.42,27.72,27.18,27.05,28.35
04-26,26.71,26.92,27.34,27.15,27.82,27.63,25.36,26.81,26.42,26.06,27.33,27.3,29.01,25.87,28.4,28.17,27.37,27.59,26.58,26.57,28.62
04-27,26.86,26.81,27.33,26.99,27.6,27.57,25.47,26.84,26.32,26.54,27.37,27.7,28.99,26.24,28.63,28.44,27.11,27.93,26.46,27.43,29.1
04-28,26.99,26.66,27.43,26.84,27.26,27.02,25.4,26.53,26.59,26.71,27.62,27.5,28.69,27.53,28.79,28.85,26.14,26.94,26.74,27.59,29.4
