month-day,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
01-01,0.41,0.13,0.13,0.11,0.23,0.17,1.34,0.02,0.03,0.02,1.81,3.25,0.08,1.94,0.09,0.04,2.71,0.22,0.05,2.33,3.07
01-02,0.17,0.88,0.04,0.49,1.58,0.05,0,0.01,0.03,0.1,0.9,0.19,0.11,1.22,0.02,0.15,4.53,0.07,0.31,0.25,1.28
01-03,0.11,0.88,0.25,0.3,0.12,1.7,0.02,0.02,0,0.17,3.59,0.05,0.02,0.62,0.02,0.28,0.73,0.01,0.21,2.22,0.19
01-04,0.15,0.23,0.05,0.33,0.58,0.14,0,0,0.04,0.58,0.08,0.48,0.01,0.78,0.01,0.99,0.63,0.01,2.68,1.27,0.67
01-05,0.19,0.19,1.22,0.2,1.13,2.96,0.14,0,0.07,0.26,1.09,0.71,0.04,0.51,0.06,0.04,0.08,0.01,0.08,0.64,1.22
01-06,0.16,1.19,0.32,0.07,0.67,0.12,0.01,0,0.09,0.08,1.73,0.18,0.16,0.04,0.02,0.04,0.3,0,0.75,0.27,0.2
01-07,0.19,0.12,0.04,0.14,0.17,1.12,0,0.01,0.22,0.1,0.01,1.82,0.11,2.77,0.03,0.22,0.35,0,0.64,2.56,1.3
01-08,0.2,3.56,0.1,0.18,0.07,0.02,0.01,0,0.03,0.1,0.25,3.04,0.09,3.87,0.01,1.37,0.24,0.01,3.52,6.53,3.81
01-09,0.07,0.6,0.52,0.06,0.21,0,0,0.02,0,0.91,1.01,1.81,0.03,0.35,0.53,1.5,0.77,1.44,1.5,0.33,0.19
01-10,0.27,2.13,0.22,1.86,0.15,0.51,2.3,0.39,0.06,2.28,1.96,0.13,0.07,0.16,0.62,0.08,0.28,3.12,0.03,0.35,6.77
01-11,3.55,0.99,0.12,0.31,0.1,1.4,1.7,1.79,0.08,0.93,0.04,0.01,0.06,0.61,8.21,0.46,0.37,3.58,0.04,0.6,0.18
01-12,0.77,4.99,1.77,2.38,0.6,0.52,0.16,0.22,0.06,3.85,0.05,0.06,1.48,0.27,0.26,0.85,0.59,2.6,0.15,1.19,0.23
