month-day,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
01-01,-13.37,-23.57,-27.47,-23.15,-15.79,-12.02,-30.62,-32.43,-18.68,-14.46,-9.56,-10.3,-30.18,-9.4,-20.97,-20.38,-11.07,-30.3,-23.6,-21.16,-9.92
01-02,-11.31,-20.53,-28.27,-21.87,-16.11,-14.77,-37.3,-34.96,-19.9,-17.77,-9.94,-27.41,-26.23,-9.8,-21.75,-21.64,-2.92,-33.62,-17.78,-19.76,-10.82
01-03,-13.02,-13.74,-17.74,-12.6,-31.8,-12.27,-29.43,-32.47,-19.31,-19.18,-18.38,-29.05,-29.89,-12.02,-26.43,-21.65,-9.3,-40.34,-15.5,-12.53,-26.5
01-04,-16.55,-14.84,-16.73,-8.39,-28.87,-17.01,-29.88,-37.94,-20.05,-17.17,-33.8,-15.1,-28.24,-7.05,-29.63,-17.2,-10.42,-35.07,-10.7,-14.46,-19.62
01-05,-15.97,-14.98,-13.2,-9.25,-22.38,-13.47,-27.28,-35.86,-19.34,-21.12,-26.08,-8.04,-24.85,-11.93,-27.72,-13.91,-10.08,-28.63,-21.98,-19.17,-10.33
01-06,-16.82,-16.79,-21.84,-9.82,-13.9,-18.15,-30.17,-34.5,-18.27,-23.42,-19.91,-10.3,-27.23,-25.06,-28.47,-17.93,-10.84,-31.39,-18.32,-19.71,-21.33
01-07,-18.31,-17.66,-30.55,-12.36,-15.15,-13.92,-35.1,-32.4,-11.37,-27.53,-20.8,-9.8,-28.16,-14.45,-26.49,-15.35,-12.2,-31.25,-11.77,-9.32,-20.87
01-08,-18.35,-16.77,-26.25,-13.56,-14.1,-20.09,-34.94,-30.94,-13.19,-23.88,-19.46,-10.29,-29.26,-14.82,-26.57,-17.85,-21.12,-30.73,-2.66,-13.63,-12.76
01-09,-23.88,-11.43,-29.63,-15.06,-17.39,-20.79,-34.27,-28.98,-17.71,-21.93,-14.67,-19.4,-29.51,-26.75,-15.32,-15.75,-14.82,-19.04,-10.34,-29.9,-22.89
01-10,-20.32,-3.56,-39.25,-15.91,-20.87,-15.21,-20.04,-27.28,-15.46,-17.7,-7.77,-22.76,-25.51,-23.73,-13.23,-23.27,-15.28,-14.69,-23.43,-30.38,-18.49
01-11,-11.39,-3.21,-39.01,-14.57,-24.04,-17.06,-16.63,-16.37,-18.63,-21.68,-12.96,-21.78,-16.89,-18.63,-10.9,-20.22,-15.39,-19.26,-20.47,-22.11,-26.74
01-12,-18.01,-2.8,-30.54,-4.7,-21.92,-18.11,-24.79,-16.14,-20.46,-17.6,-16.11,-22.6,-9,-21.04,-23.66,-16.92,-14.34,-25.41,-20.09,-18.07,-25.05
01-13,-26.81,-9.64,-30.78,-2.99,-24.54,-15.29,-20.69,-16.77,-19.76,-17.84,-17.25,-17.37,-14.11,-18.39,-24.77,-15.52,-13.91,-30.66,-23.71,-14.84,-11.69
01-14,-17.91,-12.34,-13.13,-7.76,-27.65,-16.87,-18.79,-18.43,-16.63,-14.01,-10.47,-8.16,-20.66,-14.42,-24.54,-12.35,-11.07,-27.31,-23.89,-10.27,-18.21
01-15,-19.03,-13.8,-13.73,-17.56,-28.87,-20.85,-21.5,-15.09,-13.7,-20.17,-7.66,-9.01,-21.65,-19.47,-19.84,-14.22,-10.34,-25.4,-15.92,-11.22,-24.28
01-16,-25.78,-11.42,-12.13,-16.8,-28.69,-16.74,-31.74,-16.42,-19.39,-19.59,-8.92,-6.08,-21.68,-17.13,-12.08,-20.25,-14.38,-15.52,-10.37,-12.47,-27.51
01-17,-28.76,-8.81,-17.46,-17.24,-30.03,-17.25,-35.91,-24.27,-32.16,-23.41,-11.23,-6.31,-23.21,-19.67,-16.5,-17.73,-6.38,-12.58,-12.5,-15.17,-24.73
01-18,-29.83,-9.07,-22.31,-9.45,-22.25,-18.47,-35.74,-26.65,-31.07,-27.52,-12.4,-14.72,-31.46,-22.15,-16.98,-13.43,-16.03,-19.37,-13.71,-21.29,-24.42
01-19,-28.19,-16.2,-35.26,-8.12,-16.58,-16.88,-33.88,-27.92,-27.8,-19.05,-14.66,-11.22,-32.58,-19.16,-19.31,-13.13,-14.16,-28.32,-13.98,-18.46,-23.73
01-20,-23.18,-18.99,-40.18,-8.89,-17.58,-28.17,-34.11,-25.84,-24.9,-16.45,-14.04,-10.75,-31.99,-19.08,-23.41,-12.23,-23.19,-25.25,-14.11,-15.64,-26.94
01-21,-19.16,-20.72,-34.19,-8.76,-18.59,-33.34,-30.93,-28.72,-27.54,-15.8,-22.87,-17.25,-28.25,-15.08,-35.11,-8.91,-18.52,-17.24,-17.7,-17.08,-23.09
01-22,-16.33,-25.66,-28.65,-12.85,-19.95,-27.61,-27.58,-27.15,-26.81,-13.36,-19.8,-18.7,-23.55,-12.23,-41.08,-18.64,-11.55,-24.8,-19.13,-14.59,-19.27
01-23,-19.76,-29.76,-44.87,-8.54,-22.45,-25.09,-27.59,-31.11,-24.32,-7.76,-19.55,-29.54,-20.11,-13.05,-36.64,-13.9,-5.1,-32.09,-22.74,-8.94,-22.2
01-24,-19.71,-29.64,-46.39,-6.67,-18.59,-19.03,-25.66,-31.69,-24.23,-17.58,-20.98,-31.66,-19,-14.9,-33.94,-12.86,-4.19,-40.74,-20.5,-11.64,-22.15
01-25,-19.96,-28.21,-41.85,-18.12,-15.26,-9.41,-22.55,-26.24,-21.16,-11.62,-33.38,-27.75,-19.46,-14.27,-32.88,-23.34,-12.49,-27.06,-17.01,-10.05,-18.88
01-26,-16.47,-20.29,-39.5,-7.69,-16.7,-10.41,-33.98,-16.54,-22.94,-11.13,-28.4,-25.51,-21.75,-27.11,-32.06,-17.31,-10.58,-17.2,-16.05,-14.64,-10.61
01-27,-20.86,-22.24,-36.35,-14.82,-21.81,-22.67,-34.45,-16.94,-23.75,-21.1,-24.84,-19.03,-21.62,-19.83,-27.33,-22.74,-8.64,-8.9,-18.49,-12.51,-19.72
01-28,-20.93,-23.33,-24.62,-5.19,-23.45,-18.7,-32.06,-17.94,-24.22,-25.01,-27.47,-17,-27.27,-19.82,-18.29,-28.52,-15.67,-10.39,-17.57,-11.83,-18.2
01-29,-14.52,-23.22,-25.74,-4.52,-23.14,-17.82,-27.73,-14.77,-28.5,-20.27,-30.45,-20.46,-22.32,-24.57,-21.48,-26.03,-21.11,-9.97,-19.04,-12.89,-19.93
01-30,-19.68,-21.56,-25.33,-7.01,-25.89,-27.27,-18.73,-15.06,-33.25,-16.02,-36.55,-21.28,-23.68,-21.02,-23.4,-23.21,-23.82,-14.5,-20.18,-14.69,-16.01
01-31,-17.05,-26.07,-21.38,-12.5,-21.37,-28.12,-15.13,-10.71,-36.48,-15.19,-27.26,-24.08,-18.21,-17.83,-24.94,-26.4,-24.19,-13.88,-12.71,-16.11,-17.28
02-01,-11.87,-24.64,-23.23,-13.18,-18.38,-21.96,-18.77,-8.93,-35.53,-12.54,-26.43,-24.34,-15.31,-16.74,-22.96,-29.89,-22.5,-14.96,-8.1,-17.32,-16.47
02-02,-14.08,-23.28,-25.19,-8.93,-16.77,-23.84,-19.24,-14.2,-32.92,-15.8,-28.31,-22.75,-13.73,-15.16,-23.71,-23.13,-21.95,-13.13,-12.35,-19.43,-16.01
02-03,-14.86,-26.55,-21.81,-18.08,-15.7,-16.99,-25.82,-13.22,-22.96,-13.6,-28.44,-22.11,-14.45,-15.74,-20.43,-26.28,-15.37,-8.27,-10.58,-16.14,-15.44
02-04,-15.18,-28.62,-15.95,-22.87,-15.25,-13.96,-28.76,-17.17,-18.15,-15.6,-27.87,-23.49,-12.4,-15.84,-18.64,-34.72,-11.39,-15.79,-11.92,-12.2,-9.53
02-05,-16.15,-27.3,-14.33,-11.63,-15.42,-11.09,-22.45,-18.05,-24.65,-17.16,-27.02,-21.6,-4.46,-18.11,-22.5,-35.95,-5.51,-9.41,-11.73,-14.5,-5.88
02-06,-15.85,-25.68,-12.04,-8.93,-13.6,-9.21,-30.18,-18.76,-24.48,-14.1,-22.77,-19.1,-2.65,-18.03,-18.95,-34.55,-7.29,-2.76,-19.01,-15.76,-5.5
02-07,-14.09,-22.26,-9.57,-13.3,-13.15,-27.85,-30.14,-16.46,-16.83,-10.59,-24,-15.9,-6.52,-13.66,-14.04,-35.79,-7.53,-8.84,-20.49,-15.88,-7.43
