month-day,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
01-01,-3.7,-5.14,2.65,1.88,1.4,3.45,-4.9,2.37,-0.74,-3.25,0.03,0.39,0.25,0.37,-4.31,0.31,1.57,-0.95,-3.36,-4.12,0.45
01-02,-0.46,-5.27,4.08,2.24,2.03,5.49,-6.81,4.6,-5.87,2.84,-0.15,-0.44,-0.36,3.41,-2.55,5.97,-3.38,4.78,-6.45,1.48,1.96
01-03,3.04,1.37,1.53,0.87,5.63,4.95,-5.29,1.21,-5.5,3.14,0.89,-0.46,-3.66,-0.82,-5.74,6.58,-5.64,5.31,-5.79,-2.98,1.71
01-04,3.68,-0.06,7.2,1.63,3.7,2.67,-7.03,-4.67,-4.48,5.13,0.62,1.35,0.57,2.27,-4.69,7.26,1.01,2.08,-5.75,-7.63,-3.48
01-05,2.33,0.16,2.25,2.21,0.65,2.72,-8.24,-5.52,-3.68,3.55,-0.42,1.23,-3.58,1.01,-3.97,3.86,2.35,1.37,2.26,-8.85,0.48
01-06,1.85,-4.8,2.91,0.98,1.22,3.45,-0.82,-8.72,2.03,3.03,-1.31,1.51,-2.24,0.88,-0.16,2.89,1.3,-1.88,2.78,-5.28,-0.99
01-07,2.29,-6,-0.31,-3.67,-0.22,6.28,-1.31,-4.2,1.54,2.29,0.07,2.13,2.51,2.18,2.27,1.71,-0.02,-4.89,1.53,-2.41,5.03
01-08,3.75,-5.07,0.99,-4.9,-0.35,4.7,2.29,-4.12,2.59,3.2,-0.74,0.09,0.67,2.27,2.29,3.5,-1.23,1.84,2.42,-0.1,6.35
01-09,1.87,-4.69,1.55,-6.25,-1.07,2.05,5.14,-5.85,0.23,4.03,1.14,-1.65,-1.84,-0.11,3.93,6.94,-2.36,-6.22,1.74,-1.2,5.91
01-10,1.51,-2.67,0.18,-5.57,-0.42,1,4.68,-5.73,-2.41,1.37,1.56,-2.17,-6.25,-1.04,1.92,1.77,1.24,-7.63,2.67,-2.28,5.17
