month-day,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
01-01,4.02,3.76,1.64,9.22,20.34,6.76,2.21,3.09,10.74,28.18,12.09,13.83,20.47,4.1,2.86,20.48,30.22,7.51,2.76,19.51,6.65
01-02,3.11,0.54,4.31,8.52,15.18,0.87,8.42,4.57,4.52,9.31,4.69,16.93,19.48,2.16,2.98,11.31,6.47,20.74,1.91,12.85,6.01
01-03,2.32,5.52,11.1,0.6,20.56,0.58,3.3,4.55,7.99,5.32,1.72,12.04,14.74,8.79,1.11,7.88,47.06,4.75,0.44,7.93,10.66
01-04,10.77,13.01,14.3,0.47,17.1,0.01,1.2,2.48,1.28,19.06,4.72,11.35,8.1,28.81,5.12,0.3,14.54,4.49,0.28,10.24,23.58
01-05,4.91,16.81,2.06,0.14,4.59,1.09,2.08,18.11,13.76,18.86,6.14,12.5,11.66,14.22,11,1.46,17.72,6.36,1.97,4.07,3.8
01-06,2.71,16.04,4.32,0.59,2.02,13.99,2.29,7.55,12.33,7.5,10.32,1.76,2.49,9.91,4.24,1.41,8.42,10.46,6.56,2.1,12.55
01-07,7.07,12.67,2.89,0.85,1.77,11.68,4.51,8.25,28.8,4.86,15.12,1.84,0.24,3.69,1.1,2.08,7.31,19.27,7.15,2.84,30.59
01-08,3.79,7.57,6.73,1.15,0.19,14.24,4.83,9.25,16.76,19.95,46.54,1.63,0.11,2.28,2.43,25,13.05,6.5,8.18,5.78,8.62
01-09,3.21,9.62,12.46,4.93,0.1,13.54,29.65,38.55,22.31,39.07,10.19,0.28,0.18,18.78,5.52,8.95,42.96,10.85,5.68,2.66,6.45
01-10,2.07,8.02,2.8,5.26,0.25,9.58,3.75,24.24,8.51,10.83,5.97,0.75,0.85,53.71,6.71,3.29,23.22,6.35,13.7,2.55,7.96
01-11,21.64,1.56,7.74,1.32,0.84,20.81,6.34,3.93,15.97,6.29,16.62,2.24,2.39,9.3,5.87,5.36,8.89,11.79,33.36,2.12,10.68
01-12,2.49,5.81,9.87,6.57,0.27,24.69,10.16,3.04,5.37,36.19,46.1,10.2,3.51,10.39,7.61,7.7,2.57,9.72,25.5,2.49,8.16
01-13,8.76,4.8,8.15,4.64,0.19,64.05,14.23,5.75,13.27,26.06,25.7,21.09,4.73,4.76,7.01,17.5,5.03,4.2,8.36,4.09,8.93
01-14,6.32,10.1,15.22,0.38,2.93,39.52,21.93,2,5.32,43.9,32.8,46.2,3.58,5.15,5.54,17.73,10.95,4.24,9.86,9.57,3.52
01-15,7.51,12.96,19.1,9.56,1.32,14.91,8.38,6.14,4.96,61.04,21.54,6.68,2.12,4.29,8.35,11.87,27.33,1.06,17.6,0.54,5.16
01-16,3.83,24.55,28.03,1.55,1.2,7.95,18.15,4.68,2.37,34.63,33.33,14.11,0.22,8.73,8.21,17.78,3.6,1.7,7.76,0.96,4.28
01-17,3.93,17.24,32.17,6.15,8.65,7.02,22.96,5.21,9.4,56.14,51.45,14.28,1.21,3.95,4.48,8.3,6.92,3.93,6.08,9.7,6.12
01-18,20.32,25.42,3.78,1.68,5.87,13.16,19.65,6.1,4.94,17.31,17.96,16.79,2.86,2.96,9.65,6.07,5.19,11.73,23.35,3.42,7.43
01-19,7.97,3.51,1.84,2.5,5.13,9.4,21.22,2.67,3.77,13,9.5,10.04,4.83,2.98,10.99,10.14,2.12,16.94,27.83,4.21,22.75
01-20,6.99,10.87,2.03,2.87,1.07,2.74,23.25,3.79,1.56,7.66,31.4,31.05,6.6,1.37,8.98,4.68,3.33,8.44,18.71,2.45,1.52
01-21,19.95,8.73,2.36,7.68,3.68,8.67,10.87,11.56,1.82,5.53,37.22,8.08,1.82,4.64,4.53,28.36,3.78,44.26,5.57,7.43,4.72
01-22,3.7,3.17,2.29,18.08,14.3,14.55,13.46,10.82,2.02,18.19,23.9,40.38,6.02,14.18,3.48,29.38,8.26,7.96,8.78,5.73,2.39
