month-day,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
01-01,0.15,0.45,1.44,5.11,0.95,0.06,1.86,1.54,0.4,8,0.48,0.52,0.01,0.63,2.88,7.42,0.05,0.34,4.12,0.13,0.67
01-02,0.04,3.36,2.85,3.38,0.11,0.73,0.82,0.31,4.19,5.12,0.3,6.39,0.03,2.04,1.43,3.92,0.12,5.14,1.81,3.78,0.2
01-03,0,1.09,0.18,0.28,0,0.35,1.54,0.71,0.42,1.66,0.3,5.67,3.35,1.92,0.59,0.01,1.52,2.48,2.46,7.11,0.15
01-04,0.42,0.29,0.28,2.79,0,0.41,0.8,0.77,9.59,2.1,3.29,2.4,0.72,0.34,0.94,2.04,0.58,0.19,3.36,0.3,0.58
01-05,0.79,7.8,0.22,1.3,0,0.07,2.12,0.9,3.56,0.39,0.68,0.08,1.48,1.01,4.38,0.61,0.54,0.19,2.96,0.5,3.91
01-06,0.48,2.08,0.13,1.17,1.28,3.25,2.56,3.23,0.99,0.51,0.51,0.02,0.83,0.06,2.04,0.24,4.06,0.34,1.92,0.33,0.45
01-07,0.09,7.16,0.07,1.01,5.94,0.6,4.11,5.09,4.61,0.27,11.51,0.01,0.31,2.75,0.54,1.76,1.1,0.57,0.3,0.01,0.04
01-08,0.33,7.58,0.14,3.3,1.3,3.12,0.24,0.33,1.36,2.2,2.89,4.6,0.03,0.48,0.06,7.5,3.4,0.19,4.58,0.75,0.13
01-09,0.18,8.29,0.22,5.77,2.82,0.63,0.13,9.16,1.98,3.42,1.91,0.48,0.01,0.57,0.14,3.33,0.02,0.47,1.82,5.71,0.12
01-10,0.29,4.46,0.64,1.92,1.32,0.32,0.12,0.37,0.55,0.4,10.75,2.98,0.03,0.85,0.3,0.22,0.12,0.84,0.08,4.12,0.31
01-11,0.35,0.35,2.55,15.02,6.33,0.61,0.26,0.25,6.39,1.47,0.27,8.01,1.56,0.23,0.36,1.5,1.92,3.91,0.19,4.98,0.1
01-12,1.39,1.27,0.4,0.5,1.77,0.57,0.51,2.39,5.18,0.09,0.73,2.27,5.73,1.74,0.04,0,5.67,12.02,0.62,8.1,5.23
01-13,2.18,2.55,0.53,1.58,0.97,4.24,0.54,2.69,2.74,0.28,0.41,4.27,2.53,2.37,0.26,1.99,0.29,2.8,0.17,5.55,0.33
01-14,3.05,0.14,0.3,6.37,1.38,0.58,0.61,0.38,2.88,0.32,0.14,1.7,0.99,0.26,0.17,3.89,3.27,0.59,0.1,3.22,1.08
01-15,4.71,0.01,0.83,4.09,0.72,0.75,1.21,0.04,0.76,1.38,0.66,0.45,1.7,0.39,0.27,0.79,3.01,0.47,0.01,6.47,2.07
01-16,0.2,4.82,0.72,0.99,0.26,0.09,0.44,4.51,0.15,0.65,0.29,7.25,0.79,0.21,0.09,1.42,3.76,0.39,1.94,1.43,1.2
01-17,0.52,0.75,0.71,0.16,0.81,0.12,0.15,6.97,2.3,0.35,0.62,0.82,0.54,0.51,0.9,8.99,0.13,1.3,1.48,3.57,0.07
01-18,0.79,1.01,0.02,7.81,2.5,1.26,0,2.08,0.83,0,0.47,2.23,1.58,0.75,1.99,1.98,0.76,1.05,0.04,2.35,5.63
01-19,0.2,0.54,0.54,0.87,13.83,0.87,0.01,1.31,6.04,0.18,0.12,2.25,0.8,0.5,0.72,1.69,0.59,0.43,0.7,14.28,0.77
01-20,0.55,3.37,0.05,0.2,2.56,0.46,0.07,3.84,3.15,1.2,0.09,0.61,0.25,2.76,0.47,0.47,0.04,0.87,5.32,0.16,0.08
01-21,0.8,3.99,0.12,5.23,3.47,4.78,0.04,0.63,1.94,0.19,0.04,0.03,0.23,0.11,0.14,0.03,1.07,4.7,4.3,0.36,0.5
01-22,0.65,1.59,0.27,0.31,0.85,7.51,0.09,2.29,0.42,0.02,0.36,1.09,0.02,0.5,5.87,0.11,0.19,1.23,0.3,0.43,9.06
01-23,0.06,1.48,0.87,0.47,0.44,0.72,0.1,0.21,1.66,0.28,0.27,1.16,0.47,0.76,0.82,1.25,0.99,1.01,1.65,0.34,0.75
01-24,0.16,1.83,1.15,5.4,5.47,0.44,0.16,2.51,1.19,0.07,0.1,0.13,5.01,0.06,6.21,0.88,0.82,7.24,0.99,2.61,1.25
01-25,0.32,1.16,1.67,0,2.16,1.38,0.44,7.65,1.17,0.2,0.09,0.04,0.37,0.02,6.5,1.57,0.02,3,0.03,2.2,0.65
01-26,0.34,1.87,0.65,7.32,0.15,3.85,0.41,0.14,0.17,0.5,0.13,0.19,12.99,1.16,0.38,1.58,2.81,6.22,2.97,1.32,0.17
01-27,0.8,1.02,0.06,4.64,0,0.58,0.18,0.49,0.01,0.27,0.03,1.01,4.85,0.34,1.32,0.3,3.93,1.97,4.37,0.08,0.25
01-28,0.66,3.36,0.26,0.53,0.01,0.89,0.98,0.13,0.04,0.82,0.02,0.71,5.42,0.49,3.52,3.35,3.21,0.73,2.66,1.34,0.55
