month-day,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
01-01,-3.6,-0.1,-3.3,2.24,-0.57,-4.6,-7.71,-3.89,-1.49,1.62,0.66,2.15,-7.72,1.82,-0.61,1.7,2.8,-0.6,-4.44,0.88,-8.71
01-02,-5.89,0.47,-0.75,2.92,-2.47,-6.62,-9.97,-7.21,-0.89,1.51,-0.85,3.07,-10.76,-1.96,2.9,-1.45,3.33,0.09,-5.41,-2.24,-14.05
01-03,-6.39,0.67,-2.43,2.44,-6.99,-7.41,-9,-7.66,1.97,1.09,-0.41,2.08,-6.59,-3.61,0.62,-6.15,3.52,-1.92,-2.63,-1.03,-15.88
01-04,-3.15,0.23,-2,2.2,-9.51,-7.67,-3.64,-7.63,2.12,1,0.87,-1.28,-8.8,-8.28,0.02,-2.23,2.36,-1.8,-0.45,-2.86,-14.58
01-05,-2.47,1.41,-4.14,3.19,-11.76,-7.19,-6.51,-7.66,2.06,-2.4,1.8,-5.91,-10.43,-10.89,1.66,-3.23,-0.63,-3.77,-1.91,-5.98,-11.61
01-06,-4.03,1.29,-3.52,1.41,-10.69,0.07,-7.66,-7.09,-0.3,-3.94,0.89,-7.92,-12.34,-10.63,1.01,-4.48,1.99,-4.13,-4.23,-7.52,-12.01
01-07,-6.5,3.21,-3.5,1.7,-5.93,-6.24,-7.14,-5.33,-1.8,-5.62,1.49,-6.99,-12.71,-7.84,-0.63,0.76,3.03,-3.55,-5.61,-12.97,-9.97
01-08,-9.12,4.22,-3.26,3.28,-4.98,-5.14,-9.64,-4.49,-3.62,-2.94,3.47,-1.33,-14.06,-1.16,-0.78,-0.96,4.09,-4.85,-5.77,-11.77,-3.95
01-09,-10.41,2.56,-1.34,3.77,-1.68,0.95,-6.75,0.22,-2.22,-0.49,3.15,0.73,-13.69,0.16,0.94,-3.54,2.65,-5.41,-3.01,-6.68,0.34
01-10,-11.52,2.51,-1.33,5.64,0.51,-0.38,-11.48,0.68,-2.73,-3.74,0.85,-1.23,-13.39,0.52,-1.26,-4.83,0.93,-5.51,-7.29,-3.31,0.85
01-11,-9.86,4.86,1.25,1.34,1.65,2.02,-11.35,-0.72,1.39,-4.38,-2.17,-3.33,-10.17,-4.63,-1.98,0.49,0.74,-3.05,-13.01,0.78,-3.63
01-12,-8.05,3.49,2.17,-0.46,1.67,3.07,-5.39,-4.51,1.05,-10.09,-4.01,-7.96,-7.53,-6.06,-6.09,-1.53,4.16,-3.39,-3.88,0.94,-7.1
01-13,-2.83,3.44,1.7,0.27,2.14,2.44,-5,-2.27,-1.15,-7.33,-6.78,1.54,-8.15,-0.24,-5.42,-2.02,2.4,-3.86,2.09,1.35,-11.29
01-14,-4.04,1.17,0.32,1.56,1.43,2.35,-7.22,-4.7,-3.8,-2.56,-6.94,1.25,-8.72,-1.68,-6.98,-2.23,2.18,-7.48,1.38,1.8,-9.32
01-15,-3.3,-1.22,-0.71,1.37,0.37,0,-6.26,-12.22,-4.55,-6.85,-5.81,0.66,-6.84,-2.41,-9.34,-4.68,5.12,-11.39,-0.92,1.4,-7.67
01-16,-6.62,0.72,-1.63,3.56,0.14,-4.52,-9.95,-12.34,-5.38,-8.38,-6.32,1.36,-8.1,-4.01,-10.02,-4.66,4.78,-8.8,-0.1,1.84,-11.5
01-17,-7.25,1.69,-6.14,1.92,1.44,-6.36,-10.88,-0.86,-2.74,-6.93,-6.46,1.69,-7.1,-3.43,-8.15,-1.63,3.48,-6.13,-1.14,-0.47,-9.71
