month-day,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
01-01,0.91,4.11,37.76,9.7,6.97,2.94,15.53,0.69,11.35,12.83,13.44,22.21,8.91,0.67,18.73,1.21,0.66,7.49,1.05,1.09,40.45
01-02,0.89,10.63,16.05,8.08,2.89,4.78,10.37,0.36,13.62,5.15,12.8,10.76,15.07,1.74,2.49,2.87,26.08,2.69,3.16,1.44,4.15
01-03,3.12,3.43,18.25,15.52,7.32,2.79,11.42,0.53,24.67,2.21,8.26,8.1,6.74,6.03,10.33,2.55,20.81,4.51,2.93,3.37,1.17
01-04,7.59,1.53,9.37,21.81,6.67,1.73,9.36,2.44,16.76,3.7,6.78,6.53,3.83,3.51,41.12,4.72,9.66,0.69,2.8,2.25,1.15
01-05,8.79,0.9,3.92,33.11,6.8,0.34,22.26,0.45,5.52,10.64,3.53,2.47,1.88,6.9,83.64,10.07,4.42,2.29,19.79,1.24,3.33
01-06,9.72,3.76,3.4,50.26,0.58,1.66,4.02,1,1.8,2.99,0.59,5.41,2.44,9.22,14.24,15.14,5.37,1.85,49.66,1.65,7.85
01-07,5.29,14.56,2.22,11.17,1.43,2.04,8.78,2.29,4.22,5.01,1.59,9.88,3.42,6.67,2.19,8.81,9.77,2.26,7.24,2.76,8.92
01-08,8.11,14.08,2.41,14.42,5.97,7.08,6.66,2.63,7.8,8.96,0.66,33.05,1.93,2.94,3.49,12.98,7.29,0.72,5.27,2.49,3.36
01-09,22.73,4.33,10.52,9.67,8.73,29.13,9.94,0.63,12.66,8.38,0.42,15.47,3.02,1.7,17.27,23.47,5.84,0.92,2.68,4.3,6.11
01-10,12.06,12.6,20.54,15.39,4.52,9.55,26.31,0.61,0.32,4.4,0.49,18.5,18.23,2.2,9.13,8.48,7.5,0.72,0.97,5.78,2.91
01-11,8.61,6.01,9,17.9,0.26,1.65,75.46,1.8,1.06,6.06,7.56,11,7.13,2.49,12.38,9.49,1.9,0.92,0.9,8.85,1.62
01-12,10.64,8.62,2.38,26.63,2.22,5.56,55.99,4.68,2.6,5.44,13.16,15.11,20.7,8.81,32.79,11.22,2.86,2.78,7.05,12.92,2.47
01-13,15.3,1.86,1.01,9.96,4.05,6.32,32.76,11.43,7.75,18.47,9.41,19.21,14.38,2.48,13,6.71,1.78,0.45,17.6,7.46,3.14
01-14,2.27,3.84,1.38,17.66,8.08,7.27,17.9,7.48,12.71,15.45,13.51,18.3,5.72,2.09,7.74,11.3,2.41,2.02,19.12,8.09,20.97
01-15,0.1,0.8,0.62,17.59,3.96,12.61,18.79,15.92,13.36,1.37,28.22,12.98,3.26,2.55,12.92,7.89,11.63,1.92,6.93,5.05,45.06
01-16,1.35,3.48,1.78,14.38,3.31,12.22,9.08,17.25,9.51,3.42,11.04,7.88,1.44,8.45,2.35,7.67,3.88,5.55,5.42,8.35,16.16
01-17,7.82,3.43,5.66,17.37,6.3,14.98,8.8,7.37,0.75,7.78,11.01,2.98,4.35,10.26,0.8,3.02,4.6,3.6,2.74,28.85,8.36
01-18,3.79,2.62,7.33,10.57,7.42,18.49,8.08,3.76,1.42,28.4,10.58,2.65,19.11,9.77,0.54,1.8,30.02,3.63,15.43,16.68,7.01
01-19,3.81,8.29,4.37,14.59,14.28,41.93,10.87,5.67,2.16,19,11.58,11.12,70.75,2.47,2.93,5.28,15.86,25.06,16.12,42.26,37.26
01-20,13.75,14.59,2.49,16.49,5.23,28.57,3.69,9.08,4.86,6.74,24.7,4.49,5.26,1.04,3.97,11.43,17.53,17.22,97.47,36.93,56.29
01-21,19.84,5.04,17.65,9.41,9.21,2.93,1.87,16.54,3.75,1.97,19.13,33.06,8.55,10.03,17.47,8.45,28.33,11.7,155.18,18.03,16.97
01-22,29.43,1.18,19.1,4.01,2.06,2.11,6.86,6.24,4.92,1.34,11.69,17.63,1.75,2.54,10.39,5.53,25.73,8.5,42.27,9.42,8.03
01-23,25.51,0.18,2.55,4.4,4.48,2.41,3.27,6.46,5.64,1.86,5.72,1.76,4.23,4.37,3.51,5.35,39.9,4.18,21.36,17.3,1.19
01-24,19.19,0.26,6.17,10.49,5.22,1.28,4.59,4.9,4.98,1.14,3.67,1.21,18.72,3.52,3.34,12.2,8.28,1.26,70.89,3.83,4.44
01-25,13.62,6.37,8.17,13.82,6.42,3.43,3.96,8.39,6.66,4.97,11.63,17.11,2.46,2.94,10.82,3.75,4.62,2.14,13.39,29.57,3.68
01-26,15.6,11.88,9.26,40.56,24.19,11.1,3.11,26.34,1.84,9.18,11.37,6.76,3.22,0.95,13.66,3.6,0.31,2.7,1.77,22.95,2.07
01-27,10.62,7.52,19.82,44.15,14.73,8.04,3.01,8.09,3.11,10.5,15.29,4.52,15.03,0.66,2.56,77.24,1.17,0.73,0.7,1.61,2.06
01-28,9.06,5.59,15.03,19.63,13.99,8.78,2.62,1.57,8.33,15.58,11.38,2.39,26.58,1.95,1.21,84.73,0.65,4.24,0.31,1.32,2.67
01-29,2.99,3.6,44.07,24.01,5.66,6.18,3.45,4.7,5.95,25.27,8.12,0.6,11.8,2.7,0.96,6.38,2.06,9.04,0.9,1.72,7.23
01-30,9.5,7.81,28.69,17.64,3.8,4.44,2.46,3.63,3.33,44.01,5.55,0.59,13.24,1.08,2.13,6.58,0.83,8.4,0.51,3.81,2.5
01-31,5.36,8.85,9.21,2.96,9.52,0.43,11.86,0.86,3.24,15.58,6.02,3.42,3.31,0.87,19.84,3.28,3.61,4.02,1.61,11.24,1.64
02-01,4.22,16.32,2.62,2.18,8.85,2.09,15.55,2.05,10.92,4.73,2.64,8.58,4.98,3.89,3.42,6.83,4.4,3,1.52,22.53,5.24
02-02,6.36,8.32,6.58,5.38,8.22,2.42,2.19,12.42,6.83,1.36,0.4,21.11,13.71,1.71,0.42,1.13,11.15,1.78,1.09,6.88,28.45
02-03,0.86,13.63,6.15,23.67,2.79,0.82,3.95,20.88,14.71,2.17,5.43,25.76,23.46,4.77,0.54,0.55,5.69,9.62,7.44,8.64,34.17
02-04,0.43,15.67,4.8,20.21,1.96,0.29,15.41,9.01,8.55,2.52,8.22,15.1,7.56,4.84,3.99,4.96,14.76,6.96,1.39,6.11,7.52
02-05,0.42,19.98,5.95,23.35,11.37,6.4,9.16,9.77,3.1,3.54,7.65,8.51,8.89,0.57,30.75,5.05,0.89,3.15,4.01,6.51,2.67
02-06,0.49,7.4,7.62,24.93,14.52,34.68,5.56,12.29,1.87,5.84,8.97,5.67,0.76,2.3,16.1,0.61,0.11,2.54,1.94,16.11,4.55
02-07,0.24,6.68,6.51,18.73,9.13,14.01,25.52,12.82,1.67,5.54,8.92,2.98,2.04,1.31,18.81,4.86,0.06,1.72,0.63,11.92,4.18
02-08,0.4,2.22,8.85,16.21,8.65,8.54,28.24,4.74,9.83,6.36,12.04,1.98,4.27,0.41,4.83,12.34,0.64,6.29,1.68,10.49,12.33
02-09,1.6,3.21,8.62,6.58,30.1,32.24,12.34,3.97,4.38,4.62,13.36,3.6,6.5,0.72,1.57,4.74,0.31,10.35,2.24,7.81,10.66
02-10,6.1,2.75,16.91,17.31,18.68,39.65,11.68,1.52,9.47,6.38,12.29,21.02,2.43,3.48,0.56,7.98,0.46,8.66,7.48,7.54,38.96
02-11,0.85,4.74,18.78,3.05,11.01,39.55,2.86,4.55,7.72,8.1,5.11,18.31,0.12,7.79,9.35,0.83,0.28,8.98,4.88,3.13,16.05
02-12,1.09,5.98,7.17,2.74,15.37,26.21,6.84,11.05,4.91,13.63,1.2,10.71,0.64,1.52,3.45,0.28,2.98,13.71,5.82,3.92,9.73
02-13,0.36,3.75,12.68,2.46,7.48,9.35,5.5,32.13,69.4,12.97,2.09,9.48,2.86,1.42,0.64,0.16,7.27,13.99,13.05,5.63,20.26
02-14,7.41,1.39,25.23,8.76,4.68,19.5,6.86,68.59,27.17,16.53,1.91,5.51,5.73,0.79,3.08,0.03,11.29,24.31,12.95,2.62,38.04
