month-day,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
01-01,0.02,0,0,0,0,0.01,0.24,0,0.57,0.08,0.03,0,0.84,0.32,0.05,0.11,0,0.09,0.02,0.02,0.02
01-02,0.03,0.24,0.07,0,0,0.1,0.21,0.07,0.21,0.01,0,0,0.29,0.02,0.05,0.24,0.03,0.02,0,0.01,0.03
01-03,0.03,0,0.04,0.01,0,0.01,0.02,0.15,0.01,0,0.01,0,0.08,0,0.04,0.14,0.04,0.03,0.01,0.03,0.78
01-04,0.03,0.01,0.01,2.3,0,0.01,0.01,0.04,0.01,0.01,0.38,0.14,0.02,0,0.02,0,0,0.12,0,0.03,0.47
01-05,0.03,0.05,0,0.12,0.81,0.01,0,0.02,0.04,0.04,0.01,0.05,0.03,0.02,0.03,0,0.06,0.19,0,0.07,0.15
01-06,0.02,0.04,0,0.04,2.02,0.01,0,0.01,0.07,0.02,0.16,0,0.03,0.02,0.61,0.02,0.05,0.05,0,0.05,0.01
01-07,0.02,0.01,0,0.02,0,0.04,0.32,0.04,0.01,0.02,0.01,0,0,0.16,1.35,0.02,0.03,0.06,0,0.05,0.03
01-08,0.01,0,0.02,0.09,0,0.02,0.92,0.07,0.02,0.04,0,0.01,0,0.07,0.06,0.01,0.09,0.07,0.04,0.01,0.06
01-09,0,0,0.02,0.37,0,0.01,0.19,0.02,0.07,0.02,0,0,0.01,0.08,0.02,0,0.08,0.04,0.11,0.04,0.02
01-10,0.03,0,0,0.1,0.01,0.06,0.12,0.04,0.11,0.06,0.01,0,0.05,0.03,0.01,0,0.01,0,0.02,0.02,0.05
01-11,0.04,0,1.77,0.07,0,0.02,0.07,0.01,0.06,0.12,0.01,0,0.02,0.02,0.01,0,0.01,0.08,0.18,0.04,0.03
01-12,0,0,0.44,0,0,0,0,0.14,0.04,0.08,0.01,0.02,0,0.02,0,0.02,0.03,0.56,0.02,0.29,0.05
01-13,0.13,0.01,0,0,0.02,0.01,0.1,0.17,0.03,0.04,0.01,0.02,0.01,0,0.49,0.02,0.02,0,0,0,0
01-14,0.1,0,0.2,0.03,0.02,0,0.16,0.01,0.03,0.04,0.01,0.09,0.09,0,0.06,0,0,0.02,0.05,0,0
01-15,0.04,0.03,0,0.03,0.01,0,0.03,0.05,0.03,0.05,0,0.05,0.03,0.07,0.01,0,0.01,0.01,0,0.01,0
01-16,0.06,0.27,0,0.04,0.03,0.01,0.08,0.07,0.03,0.03,0.02,0.02,0.02,0.1,0.02,0,0.01,0.01,0,0.04,0.16
01-17,0.01,0.08,0.01,0.02,0.03,0.03,0.03,0.05,0.12,0.01,0.03,0.41,0.02,0.23,0,0.01,0.17,0,0.02,0.06,0.82
01-18,0.1,0.02,0.01,0.02,0.12,0.02,0.21,0.02,0.11,0.02,0.17,0.17,0,0.04,0.02,0.02,0.13,0.08,0.02,0.23,0.59
01-19,0.06,0.01,0,0.28,0.23,0,0.81,0.01,0.01,0,0.29,0,0.01,0.01,0.01,0.04,0.25,0.02,0.03,0,1.73
01-20,0.01,0.02,0,0.1,0.8,0.51,0.02,0.03,0,0.02,0.01,0.02,0.04,0.06,0.03,0.01,0.02,0,0.03,0.05,0.25
01-21,0.03,0.07,0,0,0.74,0.17,0.33,0.53,0.02,0.01,0,0,0.07,0.03,0,0,0.03,0,0.02,0.1,0.02
01-22,0.07,0.77,0.02,0.03,0.08,0.01,0.02,0.18,0.11,0.06,0,0.05,0.28,0.02,0.01,0,0.04,0,0.09,0.01,0
01-23,0.04,0.42,0.18,0.03,0.05,0.05,0.02,0.02,0.15,0.05,0.02,0.01,0,0.01,0.02,0.01,0.01,0,0.43,0,0.01
01-24,0.01,0.16,0.03,0.02,0,0.01,0.01,0.05,0.02,0.01,0.09,0.01,0.01,0.02,0.01,0.02,0.01,0.58,0.25,0.04,0.01
01-25,0.06,0.95,0.02,0.01,0.01,0,0,0.01,0.05,0.05,0,0.03,0.08,0.06,0,0,0,0.58,0.07,0.02,0
01-26,0.04,0.04,0,0.02,0.01,0,0.06,0.04,0.02,0.06,0.02,0,0.02,0.04,0.02,0.15,0,0.04,0.03,0.03,0
01-27,0,0.98,0.15,0.03,0.04,0.05,0,0.06,0.02,0.02,0,0,0.04,0.24,0.02,0.08,0,0.05,0,0.01,0
01-28,0,0.23,0,0.05,0.19,0.03,0.01,0.02,0.02,0.08,0.09,0.35,0,0.8,0.07,0,0,0.05,0,0.06,0.02
01-29,0.03,0.11,0,0.01,0.06,0,0.02,0.01,0.01,0.15,0.04,0,0.03,0,0.01,0.13,0,0.09,0.03,0.03,0.06
01-30,0.31,0.05,0,0.21,0.01,0,0.09,0.01,0.01,0.58,0,0,0.01,0,0.02,0,0.04,0.06,0.02,0,0.01
01-31,1.23,0.03,0.01,0.04,0,0,0,0,0,0.56,0,0,0.01,0,0.11,0,0.06,0.09,0.01,0.17,0.01
02-01,0.11,0.02,0,0,0.01,0.06,0,0.03,0,0.03,0.54,0,0,0,0.08,0.22,0.02,0,0.02,0,0.04
02-02,0.15,0.03,0,0.02,0,0,0,0.03,0,0.15,0.1,0.02,0,0,0.04,0.29,0.01,0.01,0.07,0,0.01
02-03,0.35,0.03,0,0.02,0.05,0,0,0.05,0.01,0.1,0,0.02,0.13,0,0.02,0.01,0.01,0,0.06,0.01,0.01
02-04,0.24,0.02,0.03,0.06,0.06,0,0.04,0.03,0.01,0.01,0,0.02,0.05,0.03,0.01,0,0,0,0.02,0,0
02-05,0.7,0.05,0.09,0,0.02,0,0.94,0.53,0.18,0.05,0,0.02,0.01,0.16,0.01,0.01,0,0.07,0.02,0.01,0.05
02-06,0.1,0.16,0.72,0,0.05,0.01,1.84,0.1,0.1,0,0.12,0.01,0,0.14,0.03,0,0,0.13,0,0.01,0.02
