month-day,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
01-01,-19.87,-21.8,-18.98,-13.65,-21.13,-17.57,-21.38,-26.6,-16.96,-32.51,-14.33,-17.36,-12.68,-18.49,-20.77,-21.11,-17.48,-22.77,-21.83,-22.04,-18.54
01-02,-19.94,-19.13,-19.16,-13.88,-21.63,-17.71,-22.17,-23.01,-18.11,-31.36,-14.24,-15.72,-16.81,-19.42,-22.94,-20.69,-17.04,-27.75,-21.25,-20.09,-20
01-03,-20.41,-22.15,-22.95,-14.53,-19.29,-17.78,-27.94,-18.94,-22.89,-27.19,-13.45,-14.17,-20.46,-16.05,-23.38,-24.79,-15.61,-29.29,-20.46,-20.63,-15.17
01-04,-19.85,-19.66,-24.81,-17.26,-18.06,-18.97,-29.21,-22.28,-20.31,-27.69,-13.64,-14.45,-22.03,-15.48,-23.58,-24.12,-13.62,-28.84,-17.93,-21.23,-14.42
01-05,-17.43,-19.78,-26.21,-20.83,-23.44,-20.94,-27.93,-25.54,-21.42,-23.88,-15.52,-20.01,-21.04,-16.77,-21.44,-22.54,-14.56,-32.34,-15.67,-17.05,-21.65
01-06,-20.65,-22.12,-23.5,-20.81,-23.81,-21.07,-28.19,-24.23,-20.62,-24.56,-19.72,-16.13,-22.23,-15.15,-18.64,-25.18,-14.96,-32.92,-17,-19.53,-23.28
01-07,-20.48,-22.73,-21.32,-19.79,-24.57,-22.57,-25.88,-22.81,-21.63,-27.88,-25.81,-17.57,-21.72,-17.04,-18.74,-23.87,-16.5,-26.85,-15.41,-14.22,-17.28
01-08,-21.88,-20.71,-20.1,-17.41,-26.11,-20.7,-24,-23.74,-20.51,-26.82,-26.83,-18.07,-21.29,-19.75,-20.01,-21.72,-17.13,-21.17,-15.46,-15.19,-17.81
01-09,-27.07,-20.56,-20.99,-17.26,-26.21,-21.24,-25.16,-24.01,-21.04,-24.32,-24.48,-17.21,-21.74,-21.53,-21.83,-19.55,-19.61,-21.57,-19.15,-13.84,-18.04
01-10,-22.55,-19.51,-21.05,-19.08,-25.82,-19.63,-28.57,-23.96,-21.44,-21.66,-22.75,-12.65,-21.59,-22.69,-21.07,-17.5,-19.31,-22.2,-19.22,-11.82,-16.32
01-11,-25.72,-17.94,-15.36,-18.49,-24.83,-20.02,-30.92,-23.4,-19.54,-23.32,-22.6,-13.1,-23.36,-22.05,-20.08,-15.46,-19.24,-22.56,-18.55,-10.59,-17.59
01-12,-22.39,-18.95,-18.57,-17.27,-25.26,-19.18,-29.82,-21.32,-20.09,-21.92,-20.96,-14.82,-23.92,-20.3,-17.43,-18.41,-19.65,-20.38,-20.82,-20,-11.25
01-13,-19.47,-18.53,-20.77,-15.75,-25.22,-18.44,-24.24,-23.41,-20.6,-19.15,-20.31,-14.47,-21.73,-19.91,-17.49,-19.77,-19.65,-22.83,-17.98,-28.56,-20.71
01-14,-21.12,-16.17,-23.22,-14.55,-26.75,-17.84,-23.54,-26.38,-21.61,-18.43,-18.77,-14.24,-18.26,-21.07,-19.66,-24.79,-19.31,-23.39,-20.21,-29.14,-20.23
01-15,-21.85,-17.87,-24.54,-18.19,-25.95,-15.28,-22.15,-24.23,-20.37,-20.29,-17.86,-16.18,-20.82,-22.37,-21.24,-22.75,-18.42,-25.84,-21.48,-26.27,-15.25
01-16,-23.15,-19.36,-21.73,-17.18,-23.96,-17.81,-15.65,-24.49,-21.56,-20.87,-19.79,-16.01,-27.94,-22.44,-23.62,-18.62,-17.34,-26.38,-21.27,-23.44,-14.47
01-17,-23.64,-18.73,-20.07,-14.7,-23.36,-19.21,-15.8,-25.09,-21.51,-20.08,-17.55,-16.19,-30.46,-23.94,-24.24,-19.09,-17.62,-22.56,-17.04,-22.53,-16.44
01-18,-22.19,-18.41,-18.65,-16.22,-19.95,-20.03,-15.24,-25.72,-24.18,-17.23,-15.56,-16.26,-27.78,-26.5,-19.94,-17.5,-19.25,-16.88,-13.25,-22.78,-17.43
01-19,-24.27,-17.13,-15.52,-18.92,-19.93,-17.17,-25.28,-26.64,-30.27,-16.73,-18.71,-16.44,-25.38,-27.12,-22.56,-18.6,-17.97,-16.36,-13.82,-28.75,-19.06
01-20,-26.15,-17.07,-14.7,-17.07,-21.71,-17.46,-30.27,-26.43,-30.91,-20.39,-19.92,-18.66,-25.28,-23.78,-24.28,-17.9,-19.01,-15.1,-14.21,-24.2,-24.56
01-21,-21.96,-17.95,-16.02,-15.37,-23.97,-26.1,-24.01,-25.04,-29.69,-22.08,-16.53,-15.35,-31.63,-23.47,-31.65,-16.45,-17.74,-15.66,-14,-24.31,-25
01-22,-25.13,-17.2,-17.4,-15.98,-27.44,-32.36,-24.74,-25.89,-26.99,-18.33,-10.27,-11.93,-32.03,-21.9,-34.69,-11.83,-18.26,-13.95,-14.38,-33.59,-24.06
01-23,-23.83,-20.29,-16.57,-15.79,-26.91,-27.26,-23.55,-25.2,-24.72,-20.92,-14.19,-14.71,-31.11,-19.36,-31.12,-13.33,-19.16,-12.87,-15.56,-36.51,-21.53
01-24,-21.24,-20.9,-17.22,-16.96,-23.56,-24.09,-25.04,-24.02,-27.48,-21.02,-20.53,-14.22,-26.63,-16.23,-30,-15.63,-18,-14.75,-18.11,-27.41,-21.68
01-25,-20.77,-19.55,-17.26,-18.56,-21.4,-24.12,-22.58,-25.11,-26.56,-18.35,-20.94,-19.96,-22.91,-13.8,-27.77,-15.8,-14.71,-20.11,-20.56,-23.7,-20.36
01-26,-19.35,-24.21,-15.98,-17.37,-19.32,-21.66,-19.2,-24.75,-27.47,-17.38,-17.63,-23.4,-25.79,-20.54,-30.11,-15.26,-14.53,-22.36,-19.48,-24.25,-18.84
01-27,-18.49,-21.75,-16.72,-16.72,-22.84,-17.21,-28.95,-24.28,-29.54,-15.3,-20.99,-21.1,-25.05,-18.36,-34.23,-16.91,-11.07,-26.4,-18.88,-24.35,-19.41
01-28,-16.11,-25.37,-23.99,-15.44,-21.98,-20.12,-25.99,-24.72,-31.82,-14.24,-14.99,-21.05,-25.76,-23.95,-24.73,-16.22,-14.81,-23.52,-17.04,-19.3,-18.71
01-29,-14.74,-25.19,-22.17,-20.28,-21.73,-19.41,-22.89,-23.72,-30.94,-15.85,-20.33,-22.19,-26.28,-27,-24.67,-22.64,-14.91,-18.27,-18.33,-17.69,-20.89
01-30,-18.93,-26.91,-21.14,-16.22,-21.49,-17.04,-20.37,-21.52,-30.61,-18.12,-20.59,-19.87,-24.99,-26.53,-22.73,-24.23,-14.38,-15.75,-21.98,-18.02,-26.58
01-31,-22.31,-28.06,-25.71,-14.58,-21.39,-13.86,-25.8,-21.19,-31.18,-21.3,-16.19,-18.3,-22.23,-22.61,-22.19,-20.16,-18.23,-22.75,-20.81,-19.78,-24.54
02-01,-26.51,-26.03,-30.96,-10.24,-20.95,-17.68,-28.14,-19.28,-28.81,-24.93,-19.6,-15.62,-19.67,-20.96,-24.97,-15.41,-20.85,-28.81,-19.97,-19.97,-20.51
02-02,-25.08,-26.02,-32.81,-11.64,-19.23,-18.29,-29.61,-17.98,-28.24,-19.8,-26.31,-17.56,-21.58,-19.47,-23.28,-23.32,-22.42,-23.7,-19.98,-17.23,-20.65
02-03,-21.93,-27.41,-25.82,-12.9,-21.53,-14.69,-26.04,-17.44,-25.18,-21.33,-27.14,-17.17,-19.95,-18.34,-21.15,-26.29,-22.78,-19.75,-19.5,-18.76,-20.47
02-04,-23.53,-27.18,-18.93,-12.35,-22.04,-13.27,-23.01,-15.7,-24.35,-20.92,-24.57,-15.05,-20.08,-18.76,-20.06,-25.72,-20.87,-15.38,-18.49,-18.79,-19.61
02-05,-19.68,-25.6,-18.4,-14.78,-22.31,-10.88,-20.04,-14.38,-24.64,-23.49,-22.31,-15.09,-19.4,-17.22,-19.61,-29.08,-17.81,-14.34,-18.22,-16.69,-17.95
02-06,-19.75,-25.46,-21.49,-14.07,-22.22,-13.13,-18.89,-14.33,-25.94,-31.37,-19.74,-17.41,-20.13,-16.99,-21.55,-32.6,-14.69,-18.14,-17.66,-16.93,-17.45
02-07,-18.53,-25.93,-26.27,-12.14,-19.97,-13.03,-23.2,-12.9,-23.61,-23.76,-20.92,-19.86,-17.14,-20.41,-20.03,-25.37,-14.59,-17.67,-14.27,-18.1,-17.2
02-08,-16.3,-26.26,-22.73,-11.78,-20.35,-12.38,-28.26,-17.49,-20.2,-21.64,-23.11,-16.9,-13.98,-21.13,-22.19,-24.12,-13.79,-13.88,-15.58,-16.25,-19.23
02-09,-18.1,-24.49,-16.46,-12.53,-21.18,-10.19,-29.5,-17.77,-21.17,-27.6,-21.74,-14.45,-10.21,-18.61,-27.14,-26.36,-10.26,-12.35,-15.43,-15.9,-18.64
02-10,-17.66,-22.62,-14.27,-12.15,-24.85,-10.97,-28.5,-19.24,-23.08,-23.32,-21.06,-12.21,-7.74,-15.4,-25.74,-27.86,-7.45,-8.18,-18.78,-14.15,-17.43
02-11,-15,-21.64,-12.16,-12.91,-27.08,-10.81,-25.79,-17.41,-21.26,-22.81,-22,-12,-14.86,-14.62,-22.8,-26.44,-7.58,-14.77,-23.37,-17.59,-12.04
02-12,-11.59,-18.43,-9.25,-13.6,-23.67,-20.48,-23.19,-18.43,-22.76,-20.73,-21.8,-13.69,-21.67,-13.3,-19.18,-23.93,-10.21,-16.96,-23.33,-18.6,-9.51
02-13,-14.09,-14.59,-15.26,-17.38,-21.73,-21.97,-26.84,-17.26,-25.07,-21.82,-20.71,-9.63,-22.65,-9.58,-20.37,-23.38,-17.72,-19.95,-23.08,-16.02,-17.56
02-14,-13.45,-17.42,-19.2,-12.93,-20.3,-30.04,-25.69,-15.25,-23.67,-24.4,-23.66,-7.94,-20.69,-9.61,-19.91,-22.03,-19.93,-20.05,-21.41,-13.26,-20.72
02-15,-13.41,-15.88,-21.58,-12.86,-19.14,-27.44,-23.41,-13.78,-20.13,-21.06,-24.3,-12.59,-17.63,-16.83,-20.44,-21,-16.4,-20.52,-21.47,-14.54,-16.82
02-16,-16.91,-20.7,-20.78,-15.88,-16.56,-23.56,-23.67,-14.45,-21.74,-18.8,-24.05,-12.62,-15.63,-22.19,-17.73,-18.01,-11.96,-19.07,-17.84,-18.02,-10.54
02-17,-11.78,-24.82,-15.24,-16.23,-16.12,-19.45,-22.35,-14.82,-21.32,-23.34,-22.67,-11.25,-18.28,-20.51,-17.97,-16.96,-11.85,-12.95,-21.14,-19.19,-20.92
02-18,-6.92,-26.36,-13.42,-12.84,-16.35,-17.34,-19.12,-13.86,-19.98,-26.97,-22.35,-9.52,-19.69,-14.94,-18.8,-15.37,-12.4,-8.76,-21.73,-18.01,-31
02-19,-8.42,-24.96,-11.84,-10.66,-13.8,-24.13,-14.23,-11.46,-18.95,-24.03,-17.89,-7.91,-21.52,-19.35,-19.05,-12.95,-11.21,-8.02,-20.93,-16.52,-29.41
02-20,-13.36,-24.57,-15.42,-10.27,-14,-18.76,-16.06,-11.31,-18.24,-21.71,-11.3,-17.64,-19.96,-16.65,-19.41,-10.93,-13.78,-4,-18.85,-14.06,-27.46
02-21,-14.46,-22.88,-20.92,-13.04,-17.12,-23.5,-15.71,-10.51,-13.52,-21.32,-9.63,-25.13,-17.81,-13.72,-19.6,-9.83,-15.35,-15.81,-18.37,-13.11,-25.23
02-22,-14.76,-22.43,-20.94,-16.1,-16.25,-23.34,-11.43,-13.93,-17.06,-17.88,-9.19,-20.94,-19.47,-17.64,-18.95,-9.03,-11.98,-14.99,-15.86,-12.78,-18.7
02-23,-16.21,-22.4,-18.28,-12.66,-15.49,-22.07,-16.28,-16.74,-16.36,-14.33,-7.68,-18.65,-19.61,-14.91,-18.73,-10.57,-8.94,-13.49,-13.62,-12.69,-18.02
02-24,-16.93,-23.05,-19.37,-7.39,-12.84,-23.98,-25.83,-16.72,-19.72,-11.9,-7.76,-22.19,-18.91,-12.44,-14.46,-11.05,-9.34,-11.57,-12.78,-10.85,-20.65
02-25,-18.11,-21.08,-22.01,-9.74,-14.85,-21.45,-23.76,-13.19,-17.81,-10.76,-12.99,-20.44,-16.62,-10.45,-10.66,-10.55,-11.55,-8.17,-13.35,-9.43,-19.87
02-26,-13.46,-18.13,-17.19,-9.64,-12.53,-17.88,-18.96,-18.47,-16.45,-14.11,-18.33,-17.36,-13.71,-11.98,-14.34,-10.04,-10,-5.43,-12.33,-6.02,-18.42
02-27,-16.35,-15.43,-14.45,-5.09,-10.83,-16,-19.16,-17.58,-15.27,-14.48,-17.42,-15.36,-15.85,-13.76,-13.72,-8.8,-14.03,-16.96,-11.44,-11.85,-21.83
02-28,-21.35,-15.67,-15.89,-5.21,-10.81,-15.38,-18.35,-19.53,-15.69,-19.74,-15.31,-15.21,-14.34,-17,-20.02,-7.91,-14.3,-16.83,-14.75,-15.05,-22.26
02-29,-24.97,0,0,0,-9.76,0,0,0,-17.6,0,0,0,-11.08,0,0,0,-12.19,0,0,0,-21.12
03-01,-24.05,-16.53,-14.78,-9.54,-10.72,-14.33,-16.79,-18.39,-15.75,-14.53,-15.24,-14.16,-10.57,-12.44,-15.53,-7.8,-13.5,-16.43,-12.52,-11.36,-19.05
03-02,-21.76,-16.4,-11.3,-11.43,-9.25,-12.53,-14.38,-16.28,-15.86,-13.64,-15.29,-18.62,-9.42,-8.86,-9.04,-6.33,-15.41,-9.68,-8.96,-8.1,-15.4
03-03,-13.12,-17.19,-10.78,-15.53,-5.47,-9.45,-21.97,-13.84,-14.64,-11.57,-16.93,-17.07,-5.62,-9.65,-18.53,-5.8,-17.24,-8.77,-12.01,-5.43,-14.13
03-04,-17.23,-12.06,-13.13,-19.97,-5.81,-11.04,-26.59,-12.81,-15.22,-8.53,-16.8,-13.84,-12.37,-13.42,-18.55,-6.73,-14.38,-13.99,-14.74,-2.76,-15.93
03-05,-20.97,-9.52,-13.03,-16.83,-7.61,-16.52,-22.55,-15.28,-15.09,-5.85,-17.72,-13.06,-15.28,-10.41,-15.61,-5.71,-11.87,-14.52,-11.15,-3.86,-15.12
03-06,-14.61,-14.38,-10.98,-14.35,-5.68,-11.39,-20.5,-15.76,-16.4,-8.84,-16.44,-14.13,-18.22,-12.02,-13.46,-4.83,-11.04,-9.25,-8.78,-1.78,-15.67
03-07,-12.22,-16,-10.4,-13.1,-3.77,-10.18,-23.2,-16.61,-20.19,-8.07,-13.92,-17.4,-22.59,-13.28,-14.32,-2.94,-8.55,-6.04,-4.41,-5.37,-14.04
