month-day,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
01-01,0,0.04,0,0.22,0,0.03,0.03,0.02,0.01,0,0,0,0.13,0,0,0,0.04,0.12,0,0,0.02
01-02,0.01,0.01,0,0,0,0.01,0,0.25,0,0.01,0,0,0.02,0,0,0,0.06,0.06,0.02,0,0.07
01-03,0.01,0,0,0,0,0,0.07,0,0,0.03,0,0,0.67,0,0.02,0,0.06,0.09,0,0,0.05
01-04,0,0.01,0,0,0,0.03,0.09,0.02,0,0.02,0,0,0.25,0,0.11,0,0.03,0.01,0.01,0.01,0.1
01-05,0.05,0,0,0.02,0.02,0,0,0,0,0.03,0,0.02,0.01,0,0,0.04,0,0.13,0,0.04,0.14
01-06,0.3,0.01,0.3,0.05,0.02,0.11,0,0.02,0,0,0,0.02,0.03,0,0,0.07,0,0.16,0.03,0.01,0.08
01-07,0.19,0,0,0,0,0,0,0.04,0.01,0.01,0,0.05,0.13,0.02,0.02,0.08,0,0.12,0.06,0.01,0
01-08,0.07,0.07,0,0,0.05,0,0,0,0.09,0,0,0,0.11,0.03,0.05,0.01,0.01,0.06,0.08,0.04,0
01-09,0.01,0.04,0.04,0.01,0.08,0,0,0,0,0,0,0,0.01,0.06,0,0.03,0,0.03,0.12,0.11,0
01-10,0,0,0.05,0,0.01,0,0,0.01,0,0,0,0.01,0.03,0,0.03,0,0,0.01,0.04,0.02,0
01-11,0,0,0,0,0,0,0.01,0.01,0,0.01,0,0,0.33,0,0.08,0,0,0.08,0.24,0,0
01-12,0.02,0.05,0,0,0,0,0,0,0,0.1,0,0,0.09,0,0.16,0.01,0.16,0,0.1,0,0.25
01-13,0.03,0.07,0,0,0,0,0,0,0,0.05,0,0,0.04,0,0.03,0.04,0.06,0,0.02,0,0.31
01-14,0.01,0.16,0.23,0,0,0,0,0,0.02,0.01,0,0.02,0.23,0,0.12,0.08,0.02,0.01,0,0.06,0
01-15,0.05,0,0,0.11,0,0,0.57,0,0,0,0.02,0.05,0,0,0.13,0,0,0.06,0.04,0,0.01
01-16,0.04,0,0,0,0,0,0.1,0.14,0,0.06,0,0.01,0,0,0.01,0,0,0,0.01,0.04,0
01-17,0,0,2.74,0.01,0.08,0.02,0.02,0,0,0.11,0.03,0.04,0,0,0,0,0.02,0,0.02,0.01,0
01-18,0.01,0,5.36,0.02,0,0,0,0,0.01,0.03,0,0.06,0.02,0,0,0,0.02,0,0,0.11,0
01-19,0.01,0,0.31,0.03,0,0,0,0,0.28,0.02,0,0.13,0.02,0,0.02,0.11,0.05,0.01,0,0.25,0
01-20,0,0.08,0,0,0,0,0,0,0.17,0.08,0,0.03,0.01,0.01,0.04,0.13,0.01,0.01,0,0.1,0.01
01-21,0,0.12,0,0.08,0,0.03,0,0,0.06,0.01,0,0.02,0.1,0.02,0.09,0,0.01,0,0,0,0.02
01-22,0,0,0.01,0.02,0,0.04,0,0,0.01,0.04,0.26,0,0.1,0.01,0.06,0,0.05,0.01,0,0.02,0.12
01-23,0.06,0,0,0.08,0.13,0.07,0,0.01,0.01,0.05,0,0,0.68,0.01,0.04,0.01,0.06,0,0,0.03,0.07
01-24,0,0,0,0,0,0.06,0,0,0,0.03,0,0,0.45,0,0,0.08,0.06,0,0.01,0.01,0.05
01-25,0.17,0,0,0,0,0,0,0,0,0.03,0,0.02,0,0,0,0,0.01,0.06,0.05,0,0.13
01-26,0.07,0.03,0,0,0,0,0,0,0,0.01,0,0.01,0.03,0,0.03,0,0.01,0.04,0.17,0,0.06
01-27,0,0.04,0.02,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0.02,0.01,0.2,0,0.03
