month-day,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
01-01,15.79,17.61,16.71,17.33,17.03,16.67,16.5,16.06,16.75,16.6,16.96,15.95,17.48,17.77,15.79,16.32,15.22,15.38,15.99,17.15,16.77
01-02,16.35,17.67,17.1,16.5,16.56,18.08,16.01,16.17,16.89,16.33,16.36,16.18,17.18,17.55,15.75,16.38,14.93,15.36,16.27,16.14,17.14
01-03,15.86,17.25,16.25,16.28,16.98,17.59,15.46,16.84,17.55,16.04,16.9,16.07,17.01,17.27,16.59,15.98,15.54,15.65,17.1,16.43,17.2
01-04,15.94,16.87,16.12,16.71,16.57,17.02,16.1,17.2,17.45,15.69,16.91,16.07,17.15,16.98,16.89,15.07,16.44,15.45,16.58,16.52,16.61
01-05,15.86,17.64,17.58,16.66,16.52,18.24,16.44,17.51,17.47,15.82,16.61,16.12,18.57,16.35,16.3,14.91,15.29,14.81,16.04,17.24,16.31
01-06,15.33,17.15,18.68,16.55,16.84,17.45,16.23,16.52,17.91,16.59,17.23,16.68,18.22,16.07,16.73,15.13,16.23,15.09,15.87,17.48,17.05
01-07,15.21,16.4,17.52,16.52,17.06,17.29,16.06,16.45,17.61,17.03,17.48,16.46,18.04,16.97,16.22,15.44,16.32,15.69,16.01,17.89,17.76
01-08,15.24,17.42,18.36,16.75,17.45,17.75,16.28,16.7,18.16,17.13,16.09,17.68,17.61,17.34,16.41,15.61,15.78,15.26,16.38,17.34,17.61
01-09,15.97,17.09,17.99,16.76,17.64,17.51,16.64,16.9,18.9,17.45,16.3,17.59,18.18,17.84,16.29,15.28,16.5,14.8,16.21,16.83,16.54
01-10,16.03,16.6,17.62,17.01,17.68,17.48,16.4,16.47,18.68,17.58,16.71,16.83,17.84,16.67,16.32,15.48,16.75,15.44,16.91,17.4,16.36
01-11,15.29,16.63,17.21,17.45,17.26,17.86,15.87,16.87,17.97,17.86,16.78,17.35,17.75,16.96,16.55,15.44,16.82,15.54,17.11,17.2,16.12
01-12,15.77,17.01,16.93,17.15,16.65,16.85,16.69,16.95,17.8,17.41,16.24,16.7,18.29,17.94,16.33,15.81,16.52,14.86,17.23,16.71,15.91
01-13,15.76,16.77,16.23,16.72,17.53,17.68,16.71,17.17,17.84,16.81,16.61,16.86,18.45,18.06,16.45,16.46,16.26,14.74,17.09,16.05,16.2
01-14,15.93,15.89,16.02,17.36,17.96,16.4,16.13,17.08,17.74,16.44,17.31,16.74,18.39,16.54,15.91,16.37,16.22,14.46,17.71,15.54,17.29
01-15,16.12,16.97,16.51,17.82,18.4,17.33,15.58,16.29,17.99,16.51,17.29,16.35,19.24,16.11,16.36,16.54,16.24,14.99,17.15,16.17,16.71
01-16,16.42,16.98,16,18.03,17.03,16.53,16.05,17.26,18.26,17.33,17.94,16.76,19.34,16.84,16.36,16.33,15.02,15.11,16.25,15.47,16.75
01-17,17.16,16.77,15.76,18.24,15.6,16.45,16.71,16.78,18.58,17.81,18.63,16.85,19.54,18.19,17.42,16.64,16.05,15.15,15.9,15.74,16.16
01-18,17.04,16.46,15.78,18.31,15.86,16.68,15.72,16.5,18.27,17.42,18.66,17,18.42,17.73,17.39,17,16.66,15.32,15.54,16.02,16.75
01-19,16.63,16.11,16.34,18.42,16.24,17.22,16.55,16.96,18.09,17.79,18.61,16.62,18.57,18.18,17.12,16.73,16.34,15.28,15.62,16.03,16.09
01-20,16.68,15.32,16.02,18.29,16.09,17.61,17.45,16.18,17.96,17.79,17.93,17.29,19.13,18.59,16.92,16.41,16.92,15.06,15.13,16.36,15.53
01-21,16.43,16.15,16.49,18.12,16.63,17.92,16.44,16.32,17.89,17.76,18.7,16.97,19.12,17.22,16.82,17.41,16.46,14.71,15.52,16.8,15.88
01-22,15.99,17.26,16.65,18.77,16.26,18.05,16.07,16.99,18.1,18.44,18.77,17.5,19.29,17.08,17.1,16.47,17.22,14.49,16.06,16.83,16.03
01-23,16.63,16.72,16.87,19.54,16.02,17.56,15.66,16.66,18.18,18.39,18.67,17.44,18.63,17.55,16.67,16.67,17.73,15.36,16.15,17.76,16.62
01-24,17.06,17.41,17.05,18.67,16.13,17.76,16.12,16.83,18.74,18.61,17.51,17.74,18.26,18.48,17.26,16.06,18.12,15.88,16.11,18.33,16.63
01-25,18.04,16.66,17.75,18.24,16.87,17.55,16.87,17.25,18.69,18.37,17.21,17.78,19.14,18.65,16.47,16.83,17.93,15.68,15.72,16.64,16.96
01-26,17.95,16.56,17.43,18.49,17.35,17.35,17.23,17.24,17.65,18.22,17.08,17.71,18.85,18.45,16.02,17.67,18.58,16.07,15.66,16.3,17.22
01-27,18.27,16.08,17.56,18.56,17.5,17.61,17.04,17.57,17.68,18.24,17.13,17.86,18.68,18.78,17.32,16.61,18.39,15.83,15.86,16.8,17.16
01-28,18.65,17.03,17.67,17.72,17.6,17.08,16.93,17.03,18.05,17.95,18.19,16.79,19.63,18.3,17.31,16.42,18.21,16.44,16.14,17.03,17.13
01-29,18.41,16.85,17.58,17.7,17.34,16.57,16.93,15.94,18.52,18.11,18.77,16.63,18.39,17.77,16.42,15.76,17.27,16.38,16.31,16.68,17.05
01-30,17.44,15.63,17.72,18.24,17.05,17.44,16.3,16.31,18.42,18.16,18.86,16.55,19.5,18.29,16.42,16.77,17.56,17.28,16.44,16.68,18.54
01-31,17.09,16.48,17.43,17.63,17.58,17.2,16.79,17.19,18.41,18.56,18.67,16.93,19.2,17.48,16.28,17.15,17.43,16.84,16.56,16.16,19.03
02-01,17.03,16.7,17.67,17.66,18.44,15.42,15.99,16.61,17.91,18.59,17.36,17.62,18.6,17.12,16.49,16.88,17.97,15.71,16.42,15.89,18.32
02-02,16.78,15.89,17.68,18.28,18.62,15.79,15.1,16.39,17.24,19.41,16.79,17.21,18.4,16.34,16.92,16.99,18.02,16.03,16.44,17.36,18.93
02-03,17.11,15.9,17.55,18.29,18.41,17.88,15.99,16.58,16.09,19.33,17.33,16.67,18.6,16.18,17.21,17.91,17.94,16.2,16.6,17.22,18.68
02-04,17.32,16.64,17.49,18.69,18.76,18.22,15.73,16.17,16.97,18.49,17.25,16.57,18.02,17.54,17.2,17.36,17.83,16.29,17.32,17.67,16.51
02-05,17.33,16.93,17.7,18.35,18.79,18.18,15.81,15.99,16.55,18.27,17.29,16.91,17.75,18.37,17.4,17.85,16.42,15.84,17.39,17.13,17.3
02-06,17.61,17.27,17.5,18.46,18.83,17.18,16.12,15.79,16.51,18.76,16.58,17.18,18.01,17.9,17.33,17.51,15.68,15.23,16.93,17.02,17.28
02-07,17.08,17.13,17.42,18.28,19.2,16.75,17.57,16.07,16.16,20.06,16.58,17.05,17.82,16.67,16.62,17.17,16.75,15.27,16.75,16.62,18.3
02-08,17.25,18.33,17.41,18.3,18.83,17.21,17.53,16.18,16.62,20.27,17.07,16.93,18.44,16.57,16.98,17.21,17.3,15.68,17.17,17.56,17.99
