month-day,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
01-01,-3.52,1.53,-2.03,4.44,-2.72,-5.15,1.34,-2.94,2.18,-0.67,0.72,-1.15,-1.47,-3.48,2.5,1.94,-0.36,-2.06,7.34,6.53,3.2
01-02,-6.33,2.53,-1.19,0.82,-4.49,-5.51,-0.74,-2.87,2.45,0.12,2.16,1.72,-3.03,-2.53,1.84,0.57,0,0.84,5.93,4.66,3.16
01-03,-8.4,1.35,-0.92,1.64,-5.62,-6.58,-3.25,-3.98,3.21,0.74,2.68,0.39,-6.95,-2.09,2.37,-2.94,-0.39,1.61,7.08,5.66,6.82
01-04,-8.8,2.52,-2.48,2.6,-6.42,-5.96,-3.75,-5.22,2.58,4.06,3.96,0.52,-7.39,0.21,4.05,-2.97,2.62,0.7,6.64,4.89,6.33
01-05,-7.58,2.44,-4.65,3.9,-5.96,-3.89,-4.52,-6.85,1.85,5.2,6.09,-0.35,-2.62,-3.45,5.87,0.5,-0.59,0.59,3.69,8.66,3.88
01-06,-12.84,3.64,-0.58,4.4,-1.61,-5.98,-3.75,-5.03,1.61,3.1,3.33,-2.94,-2.81,-8.51,4.68,-0.47,-2.11,-0.66,-0.15,6.3,2.57
01-07,-4.61,3.33,-2.67,5.68,-0.69,-7.65,-4.33,0.74,1.16,-0.62,2.82,-4.31,-1.45,-10,4.9,-2.75,-0.72,-1.62,-2.8,5.52,-2.38
01-08,-4.06,4.62,-8.79,3.17,0.47,-7.7,-3.4,0.94,1.89,-0.94,3.66,-1.22,0.69,-7.49,4.9,0.16,0.8,-2.43,-1.97,3.1,-6.18
01-09,-4.64,4.15,-9.37,5.79,-0.93,-8.55,-1.29,1.15,1.19,1.5,3.64,2.98,-0.05,-7.31,3.89,-0.16,2.05,-2.41,-1.52,5.3,-8.33
01-10,-0.6,4.11,-6.76,7.67,-0.31,-9.86,-2.83,1.15,2.26,0.72,3.73,10.17,0.84,-10.9,2.61,-1.79,0.8,-3.63,-0.37,3.41,-6.32
01-11,-1.14,2.64,-6.81,8.64,-0.54,-9.36,-5.88,1.4,1.72,-1.66,2.74,3.35,1.6,-8.95,2.06,-3.85,1.24,-5.54,-4.08,2.52,-5.46
01-12,1.37,3.21,-8.36,6.51,2.54,-8.98,-9.33,1.71,1.82,-3.72,0.87,1.93,2.36,0.23,1.63,0.05,0.17,-3.5,-5.22,5.26,-3.55
01-13,2.69,1.91,-8.17,7.93,1.41,-8.94,-7.84,3.74,1.46,-3.79,-0.25,2.5,2.09,0.2,-0.74,1.72,0.2,-1.13,-1.38,5.48,-4.69
01-14,1.86,0.13,-9.49,6.07,1.13,-6.18,-6.84,6.55,0.25,-4.4,1.78,2.4,0.29,-1.36,-2.34,1.74,-1.49,-1.69,2.23,4.09,-3.53
01-15,0.99,-1,-10.37,2.88,1.21,-3.06,-5.49,4.55,-1.89,-4.43,1.35,1.68,-0.22,-3.48,-3.41,0.06,-0.99,-2.58,0.68,4.25,-2.11
01-16,-0.12,-2.53,-10.53,2.73,3.12,-3.13,-6,4.7,-3.37,-4.21,1.17,2.85,-2.05,-5.18,-0.31,1.5,0.86,-4.62,0.14,1.32,-1.86
01-17,0.76,-2.92,-9.33,4.69,2.92,-4.07,-4.33,2.01,-1.76,-3.96,2.5,4.27,-4.25,-4.85,0.88,2.92,-0.36,-5.83,1.85,1.59,-2.36
