month-day,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
01-01,0.01,10.07,0.07,2.62,0,0.03,0,0.46,2.12,0.21,7.36,0.04,0.01,5.87,0.33,0.07,0.09,0.15,0,0.21,1.54
01-02,0.03,0.83,1.66,3.83,0,0.88,1.66,0.01,1.89,3.76,0.35,0,11.79,0.33,0.8,0.02,0.71,3.93,0,0.65,0
01-03,0.05,0.03,0.91,0.27,0,5.07,4.63,0,0.02,4.94,11.69,0,18.88,11,1.05,0.01,2.05,1.66,0,0.29,0.09
01-04,0.03,0.33,3.17,0,0,0,1.04,0,0,0.01,3.99,0,0.87,4.59,5.85,0,1.24,0.14,0.01,0.17,0.06
01-05,0.03,17.7,0.16,0,0,0,0.01,0.18,0,0,18.85,0,0,0.02,29.91,0.01,0.2,0.16,0.08,7.73,4.33
01-06,1.26,9.82,2.33,0,0,0,0,0.09,0.01,0.02,0,0.49,0,0.03,2.98,0.06,0.04,0.11,1.1,8.95,3.33
01-07,6.77,1.6,0.01,0.05,2.57,0,0.06,0.21,0.92,0.04,0.42,1.42,0.1,0.58,0.16,1.9,0.28,0.52,0.06,13.45,0
01-08,3.39,14.79,0.01,0.08,8.39,0,0.02,0.07,21.58,0.36,4.39,0.01,3.11,0.75,0.05,0.11,0.23,1.42,0.01,8.62,0
01-09,1.68,2.37,0.05,5.95,0.91,0.03,0.03,0.02,1.78,0.32,1.47,0,0.02,0.16,0.33,0.19,0,0.22,0.02,0.92,0.01
01-10,0,1.24,0.17,12.65,0.01,1.38,14.31,0.02,1.04,1.38,0.04,0,0.17,0.25,6.86,0.18,0.01,0.12,0.22,2.39,0.16
01-11,0,0.14,0.02,0.1,0,0.74,2.1,0.03,0.13,0.46,0.01,0,0.03,0.13,17.73,0.66,0.01,0.02,0.26,27.69,0.01
01-12,0.02,0,3.36,0.62,0,0.24,2.25,3.11,0.45,0.1,0.03,0.21,0.04,0.42,9.77,0.56,0.22,0,2.39,3.28,0.02
01-13,0.87,0,0.26,5.43,0,0.19,0.05,0.07,9.94,3.9,0.06,0.14,0.36,0,1.2,1.03,4.09,0,0.16,0.46,0.07
01-14,0,0,0.86,0.82,0,0,0.04,0,0.08,7.71,0,0.12,0.01,0.21,0.23,6.96,0.25,0,0.07,0.02,0.19
01-15,0.07,0,0.21,0,0.01,0,5.8,0,0.19,28.64,0,0.09,0.1,1.99,0.14,4.43,0.04,0,0.01,0.01,4.38
01-16,0,0,0.33,0.05,0.06,0,10.58,0.01,0,0.33,0.88,0.25,2.56,0,2,0.35,0.27,0.01,0,0.02,0.06
01-17,0,0.03,0.01,0.22,0,0.17,1.06,0.18,0,6.02,0.88,0.31,1.77,0.05,7.45,0.06,0.03,2.35,0.03,0.11,0.05
01-18,0.26,0.01,7.48,0,0,8.56,0.43,11,0,2.02,0.51,0.05,15.71,1.13,9.29,0.15,0.34,0.38,0.12,0.06,0.65
01-19,18.56,0.31,1.81,0,0,0.64,0.03,0.96,0,0.69,0,0.01,6.8,7.2,0.25,0.31,1.04,3.45,0.45,0.11,0.18
01-20,21.32,0,0.04,0.15,0.01,0.25,1.05,0.16,0,0.35,3.77,0,0.16,7.52,0.03,0.07,0.27,0.84,7.62,0.03,0.51
01-21,16.65,0,0.01,0.08,0.04,0,5.12,1.89,0,0,12.88,3.68,0.05,3.47,0.06,0.01,0.03,1.24,0.08,0.2,0.6
01-22,1.38,0,0.21,0.09,1.51,0,9.33,1.24,7.9,0,0.3,0.06,0.03,14.5,1.04,0.01,0.04,0.01,0,0.07,4.29
01-23,0.02,0.17,0,0.1,0.04,0,14.76,29.27,1.47,0.01,0.01,0,0.05,4.33,0.1,2.56,0.26,0.21,1.14,0.13,1.97
01-24,0.15,2,10.03,0.46,0.01,0,1.3,10.66,0.16,0.5,0,0,0.02,0.07,0.02,0.58,0.2,0.16,1.06,0.09,0.73
01-25,0,0.27,10.01,0.17,0.1,0,0.21,0,0,0,0,0.01,0.01,1.64,0.03,0,0.05,0,0.92,0.02,0.18
01-26,0.51,0.03,0.01,4.81,0.31,0,0.73,0,0.08,0,9.98,0,0.13,0,0.73,0.07,0.12,0.01,1.25,0.05,0.06
01-27,2.87,0,0.01,4.02,1.16,1.7,0.21,0.88,8.48,0,0.11,0.4,9.05,0.03,0,0.25,0.39,0.04,0.24,6.68,3.09
01-28,0.95,0,0.01,3.68,0.03,0.01,0.02,0.15,0,0,0,0.19,11.73,0.22,0,0.11,0.3,1.03,0,10.86,1.06
01-29,0.23,0.01,0.39,8.11,0,0,0,3.45,0.55,0,0,0.36,0.26,0.02,0,0.28,0.17,0.99,0,11.83,0.49
01-30,0.91,0.02,0.02,4.07,0.02,0,0.02,0.63,0.7,0,0.29,0.47,1.14,0.75,0,0.02,0.58,0.44,0.14,1.43,0.9
01-31,1.27,0.02,0.03,0.01,0,0,3.42,0.43,0.15,0,0.12,1.25,0.05,0.21,0,0.03,0.03,0.02,0.06,0.04,1.74
02-01,26.81,1.94,0.04,3.68,0.01,0.2,3.18,0,7.04,0,0.02,9.3,0.01,1.18,3.82,0.8,0.02,0.01,0.01,5.09,0.6
02-02,18.78,1.39,1.54,1.19,0.25,0.1,0.06,0.14,0.28,0,0,2.74,0.03,18.61,9.73,0.35,0.08,0,0.22,0.78,8.36
02-03,0.14,0.06,3.7,1.54,0,0,0.01,1.51,0.05,0,0,0.38,0.04,0.27,0.45,0,0.05,0,2.82,1.74,7.96
02-04,1.14,0.17,0.17,0.01,4.45,2.86,0.08,0.75,1.11,33.08,0,0.05,0.01,0.01,0.01,0.03,0.47,0.03,6.3,0.25,0.01
02-05,1.54,0.09,1.74,0,0.19,0.05,0,1.06,0.46,13.31,0.42,0.45,0.04,0.04,0.07,0.03,0.42,1.14,57.92,5.82,0.01
02-06,0.01,0,0.01,0.01,0,0,0,0.73,0.06,0.21,0.06,6.71,0.49,0.33,0.34,1.02,0.06,0.35,36.31,0.56,0.05
02-07,1.5,0.06,0,0.15,0,0.01,0.08,6.18,1.33,0,2.88,1.15,0.19,5.68,0.04,0.01,0.03,0.02,14.84,0.02,0.02
02-08,0.96,0.15,23.45,0.01,0,0.09,0.1,0.07,0.26,0,11.34,0.05,0.05,0.44,0.02,0.03,0.23,0.09,3.06,0.12,0.73
02-09,0.1,0,4.38,0.12,0.01,0.06,0,0.13,0,0,2.65,10.16,0.48,0.01,0.19,0.02,0.01,0.24,24.42,1.25,0.05
02-10,7.94,0,10.88,1.91,5.96,6.43,0.62,0,2.98,0,2.25,0.3,0.89,0,2.25,0.01,0,5,7.21,0.05,1.83
02-11,8.91,7.6,7.56,0.01,5.07,0.79,4.87,0.01,0.52,0.23,0.18,0,0,0.07,34.99,0.06,0,0.01,4.59,0.19,4.71
02-12,9.41,2.15,2.75,0.31,3.28,27.72,0.7,0.08,0,0.96,0.14,0.01,0,0.4,0.55,0.18,0,0.19,59.01,0.2,0.02
02-13,4.78,0.09,0.02,0,0.4,5.4,0.56,0.02,0.05,0.04,0.46,1.12,0,1.35,0.03,0.07,0,0,38.07,1.67,0.26
02-14,16.44,9.92,0.92,0.01,0.44,0.05,0.06,0.67,2.21,0.18,0.47,0.54,0,0.07,0.04,0.16,0.01,0,2.53,47.68,0.06
02-15,24.18,2.08,0.55,0.09,8.25,0,0.22,0,0.85,0,0.01,0.47,0.01,0,0.07,1.86,0,10.04,0.14,24.58,0.03
02-16,46.31,0.02,0,2.01,3.18,2.86,0.01,0,0.05,0,0,0.03,0.4,0.17,0.19,0.25,0.1,12.02,0.53,31.3,0.07
02-17,19.72,0.17,0,0.09,0.06,0,0.68,0,0,0.02,0,0,15.5,37.8,0.13,0.01,0.84,0.02,0.3,0.56,0.92
02-18,0.37,0.02,0,0,0.23,0.02,4.68,0,0,0,0.04,0,16.52,8.32,0.14,0,1.1,0,0.06,0.01,0.04
02-19,11.65,0,0,0,0,0.01,0.88,0.02,1.66,0,0.07,0,4.07,15.71,0.34,0.01,0.56,0.01,1.96,0.02,0.38
02-20,2.1,0,0,0,0,38.8,0,0.01,0.19,0,0.11,0.02,0.01,1.18,77.05,0.02,1.25,0.04,13.44,0.04,1.51
02-21,0.53,0,0.01,0,0,1.07,0,0,0.96,0,0.01,0.15,0.01,0,4.26,0.12,0.5,0.04,0.02,0.17,0
02-22,0,0,0.02,0.13,0.02,0,0,2.58,19.29,0,0.02,1.28,0.04,0.02,12.4,8.23,6.33,0.01,0.01,12.46,0.01
02-23,2.58,0.02,2.98,1.42,0.21,0.08,0,3.14,3.95,0,0.16,4.04,0.02,0.23,0.01,2.34,21.63,0.02,0.24,9.41,0.1
02-24,0.42,0,0.02,0.07,0.73,6.61,0.19,0.01,0.31,0,0,0.08,0,0.04,0.03,21.29,0.07,0.16,0.01,2.88,2.3
02-25,0,0,0,0,0.08,0.22,4.1,0.13,0.65,0,0,0.84,0,0,0.1,0.6,0.05,11.83,0.25,4.07,0.53
02-26,0.01,0.13,0.07,0.01,0,0,0.93,1.28,0.08,0,0,0.01,0.02,0.16,12.39,0,0.06,2.91,1.73,8.51,0.21
02-27,1.75,0.61,0,0.04,0,0.01,0,0.03,0,0,0,0.01,0.19,0,1.76,0.19,0,0.01,0.07,2.31,0.3
02-28,45.43,2.85,0.18,0.12,0,17.33,0,0.03,0.39,0,4.3,0.05,0.05,0.01,3.58,0.61,0.1,0.05,0.42,1.15,2.65
02-29,4.8,0,0,0,0,0,0,0,1.18,0,0,0,0.69,0,0,0,1.73,0,0,0,0.79
03-01,0.07,0.22,0.89,0.06,25.41,0.78,0.05,0.08,10.38,0.15,0.23,0.03,0.09,0,0.05,0,0,0.67,0.01,0.24,0.01
03-02,2.76,0,1.39,0.02,5.04,0.01,0.23,4.91,8.13,0.15,0.01,0.05,0.03,0.09,0.24,0.16,0.04,1.68,1.01,0.09,1.14
03-03,1.76,0.07,3.72,0.05,2.68,1.91,0,0,39.87,0.07,1.51,0.11,0,0.03,0.21,0,1.33,0.26,0,0.71,0.85
03-04,0.06,0.04,5.97,0,5.34,0,0,4.42,2.68,0.24,8.71,0.16,0,0.05,0.08,0,1.88,0.21,0,6.51,8.66
03-05,0,0.03,0.02,0,1.5,0.44,1.12,7.72,0,0.37,6.87,0.09,0.01,0,0.15,0,0.04,0.05,0,17.41,3.13
03-06,0,1.08,0.08,0,0.06,3.51,0.73,13.66,0.01,0,0.51,11.21,0.02,0.02,2.23,0.01,0.01,1.64,0.01,1.53,0.15
03-07,0,6.06,0.65,0.17,0,1.82,0,0.47,0.21,0.04,0,10.5,0.14,10.36,35.24,0.11,0,0.83,0.93,0,0.1
03-08,0,0.01,1.92,0.01,0,0.13,0.01,0,0.05,0,0.01,2.74,1.5,0.58,5.48,27.95,0,0.6,0.4,0.03,0.07
