month-day,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
01-01,6.38,2.97,3.09,8.05,2.73,8.27,7.89,4.21,4.49,9.34,7.93,4.88,2.84,11.23,2.42,2.76,7.43,4.22,2.62,4.43,2.52
01-02,4.9,3.08,10.04,8.86,5.82,7.82,7.68,6.49,5.91,11.86,8.92,4.69,2.39,5.82,2.5,7.24,6.34,3.89,2.47,3.54,4.37
01-03,5.57,5.17,10.4,6.23,5.61,5.46,8.59,7.26,3.17,6.43,11.4,4.09,6.22,5.18,2.59,4.97,2.96,5.44,3.83,4.03,1.31
01-04,4.67,7.95,7.54,2.42,4.84,2.51,6.78,3.43,5.21,3.62,7.8,5.25,7.5,5.2,2.78,3.18,3.53,4.3,1.98,5.87,7.75
01-05,7,7.79,7.68,7.42,4.15,5.75,3.71,1.49,7.67,2.62,9.4,6.55,2.5,5.29,7.31,6.37,7.04,4.4,3.73,4.22,4.89
01-06,7.58,4.27,4.15,5.33,6.27,8.87,8.5,6.81,5.74,4.58,6.04,2.28,2.85,7.66,10.6,7.26,5.51,3.47,6.73,3.47,4.17
01-07,2.5,6.07,7.53,4.97,8.34,7.47,10.26,6.82,4,4.17,8.41,4.02,6.99,3.81,4.82,3.36,6.42,7.01,6.26,6.19,2.07
01-08,7.93,3.51,7.46,6.88,2.86,5.54,5.89,6.97,9.64,4.25,7.24,4.81,10.66,5.03,3.6,2.49,3.17,5.05,3.37,8.81,4.92
01-09,9.37,3.75,3.67,4.1,3.49,7.99,3.9,6.41,2.89,9.69,6.42,3.9,4.77,4.51,6.33,5.02,3.6,2.1,8.05,5.39,5.1
01-10,4.46,5.46,3.74,2.48,7.24,5.75,9.75,3.29,2.92,11.57,3.39,7.04,6.94,4.32,4.07,8.66,2.36,4.76,4.54,4.7,3.34
01-11,6.11,4.85,9.27,2.78,3.69,6.15,2.51,4.45,5.88,5.19,2.71,8.06,2.85,9.03,1.61,4.39,8.71,4.03,6,8.57,7.7
01-12,3.56,3.38,6.74,1.83,8.27,4.1,6.45,4.7,4.54,8.72,10.36,3.87,8.34,10.15,5.4,4.46,9.48,2.78,2.86,7.47,3.31
01-13,4,7.36,7.34,2.12,7.22,4.45,3.81,4.26,11.17,9.25,6.1,1.96,6.13,4.36,3.87,7.43,5.75,3.38,6.42,3.83,7.38
01-14,3.69,2.63,4.54,6.1,8.89,3.45,4.37,2.33,9.92,7.26,3.47,1.93,4.66,7.11,2.85,7.31,5.2,2.66,4.12,3.15,8.59
01-15,4.89,4.29,6.83,5.14,3.33,5.07,8.81,8.35,8.46,3.43,4.91,2.53,10.34,8.96,3.04,9.02,4.41,2.76,3.44,2.66,5.27
01-16,2.74,3.14,3.29,1.79,2.35,6.1,9.9,8.83,4.06,5.43,8.66,7.32,4.38,6.52,3.33,5.12,4.45,4.08,3.49,4.26,4.17
01-17,4,9.45,7.68,5.84,6.05,8.97,5.83,3.8,2.59,6.83,5.67,7.86,2.3,7,4.13,2.81,3.6,8.85,3.17,3.2,3.74
01-18,7.85,4.37,9.81,2.82,6.71,7.52,2.81,6.16,6.5,4.68,6.57,8.8,3.61,9.51,5.66,2.05,3.57,8.59,2.32,2.6,2.47
01-19,6.96,3.98,4.95,4.09,6.16,3.43,2.93,6.12,9.07,8.13,10.92,7.69,6.29,9.63,1.99,7.86,3.63,10.26,6.93,2.41,5.51
01-20,11.9,6.75,2.84,6.28,4.87,4.52,3.54,6.91,4.54,3.12,4.73,3.27,7.73,3.23,7.13,6.56,2.38,10.35,5.21,5.5,6.6
01-21,9.04,8.95,6.38,4.09,2.07,3.38,3.1,6.79,4.01,4.81,7.26,4.23,8.21,5.64,3.94,6.23,1.7,7.77,2.89,4.53,2.18
01-22,3.98,7.62,6.89,7.92,7.83,5.82,3.84,6.46,6.97,3.5,7.21,3.87,8.7,9.75,4.56,5.14,6.62,3.73,3.41,2.48,2.84
01-23,5.97,6.52,3.84,5.48,2.52,8.11,8.35,8.27,7.29,7.21,7.24,1.35,7.07,2.97,3.75,8.41,4.94,8.08,3.59,3.99,6.28
01-24,4.34,3.51,4.45,4.92,5.15,5.17,4.08,6.39,3.84,6.4,2.95,3.06,7.71,5.41,4.86,5.45,3.62,7,3.02,2.96,2.64
01-25,4.77,1.68,6.74,4.2,3.18,5.42,4.14,5.24,2.15,5.02,5.15,3.46,6.86,7.93,3.28,2.12,4.85,5.8,4.75,2.86,4.72
01-26,2.16,4.39,7.12,2.21,5.02,2.73,3.17,7.1,9.33,4.22,7.57,3.9,4.87,6.62,4.04,7.83,3.29,5.4,4.66,3.84,4.02
