month-day,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
01-01,0.01,0.01,0,0.15,0.15,0.22,0,0,1,0,0
01-02,0.01,0.08,0,0.1,0.03,0,0.01,0,0.01,0.02,0
01-03,0.05,0.35,0,0,0,0,0.01,0.01,0,1.17,0
01-04,1.81,0.03,0,0,0.13,0.02,0.03,0.11,0,1.5,0
01-05,8.76,0.67,0,0.05,0.02,0.09,0.22,0.13,0.22,0.03,0.11
01-06,4.98,0.01,2.76,0.07,0.12,0,0,0.02,0.01,0,1.57
01-07,0.91,0,0.11,0.04,0.89,0,0.06,0.01,0,0,0.52
01-08,16.66,0.05,0,0.02,0.01,0.17,0.68,0.01,0,0.01,0
01-09,1.96,0,0,0.02,0,0.1,0.25,0.16,1.23,0.11,0.04
01-10,0.65,0,0,0,0,0.42,0,0.04,0.18,0.02,0.05
01-11,0,0.04,0,0.04,0.07,5.28,0,0.04,0.28,0,0.01
01-12,0.29,0.12,0.01,0.04,0.23,0.05,0.09,0.07,0,0.14,0
01-13,0.11,1.14,0.1,0,0.02,0.17,0,0.01,0,0.03,0.06
01-14,0,0.04,0.02,0.01,0.04,0.02,0.04,0.41,0.02,0.02,0.02
01-15,0.04,6.28,0,0.2,0.09,0.05,0,2.01,0.25,0,0.04
01-16,0,5.31,0,0,0,0.01,0.31,0.19,0.58,0.01,0.27
01-17,0.01,0,0,0,0,0.38,0.24,0.01,0.08,0.1,0.08
01-18,0,0.38,0.06,0.02,0.16,1.44,12.56,0,0.44,0.22,0
01-19,0,0,0.01,0.37,0.1,0,10.48,0.06,0,0.1,0
01-20,0.08,0,0.01,0.15,0.05,0,0.26,0,0,0.01,0.21
01-21,0.01,0,0.01,0,0.25,0.21,0.02,0.8,0,0.06,0.58
01-22,0.01,0,0.02,0.07,0.57,0.45,1.2,0.01,0.21,0.37,0.12
01-23,0.48,0,0.02,0.27,0.62,0.13,0,0.16,0.28,0.01,0
01-24,0.74,0.01,2.09,0.77,0.06,0,0.04,0,0.58,0.74,0
01-25,0.02,0.03,11.64,0.16,0,0,1.01,0,0.13,0,0.02
01-26,0,0.74,0.01,0.22,0.11,0,0.4,0.19,0.01,0,0.11
01-27,0,0.01,0.7,3.7,0.08,0,0.01,0.4,0.01,0.11,0.03
01-28,0.2,0,0.08,0.29,0.02,0,0.01,0,0.13,1.2,0.07
01-29,0.47,0.02,0.01,0.05,0.04,0.08,0.22,0.17,0,0,0.74
01-30,1.48,0.94,0.08,1.3,0.53,0.05,0,0.51,0,0,0.07
01-31,0,0.71,0.05,0,0.01,0.07,0.03,21.51,0.04,0,0.31
02-01,0.18,0,0.33,0.27,0.03,0.49,0.05,0.12,0.35,0.03,0.32
02-02,0.03,0,0.34,0.06,0.28,3.71,0.2,0,1.29,0,0.89
02-03,0,0.2,0.32,0.14,0,7.63,0.5,1.14,3.74,0.01,0.3
02-04,0,0.69,0.03,0.71,0,0.05,0.07,0.41,0,0.16,2.92
02-05,0.17,0.17,0,0.06,0.01,0.02,0.87,0,0,0.72,0.53
02-06,0.02,0.03,0.15,0.03,0.13,0,0.04,0.11,0.32,0.04,0.24
02-07,0.62,0,0.46,0.24,0.01,0.06,0,0.21,0.99,0.16,0.14
02-08,0.08,0.07,0.01,0.03,0,0.39,0.03,0.06,0.25,0,0.02
02-09,0.12,1.05,0,0.01,3,0.05,0.31,0.01,0.26,0,0.08
02-10,0.03,0.88,0.03,0.03,0.37,1.27,0.11,0,0.15,0,0.13
02-11,0,0.22,0.16,0.33,0,0.08,0.05,0.11,0,0.02,0
02-12,0,0.01,0.12,0.97,1.54,0.14,0.47,0.07,0.21,0.1,0.33
02-13,0.42,1.71,0.16,0.07,0.27,0.03,0.74,0.17,0.8,0.03,0.7
02-14,0.16,0.31,0.08,0,1.17,0.01,0.35,1.62,0,0.01,0.93
02-15,0.09,0.06,0.33,0.01,0.07,0.25,0,0,0.17,0.24,2.27
02-16,0.05,0,0.23,0.1,0.33,0.13,0.4,0,0.22,0.15,0.74
02-17,0.15,0.03,0.01,0,0,0.01,1.07,0.06,0,0.3,0.03
02-18,0.34,0.4,0.67,0.02,0.12,0.02,0.01,0.3,0,0.01,0
02-19,0.09,0.18,3.64,0,0.07,0.01,0.14,0.08,0.24,0.43,0.12
02-20,0.22,0.06,0.22,0,0,0.02,0.45,0.22,0.07,17.87,0.24
02-21,0,0.09,0.01,0,0,0,0.12,0.2,0.12,0.07,0.05
02-22,0,0,0,0,0.09,0.02,1.07,0,0.03,0,0.01
02-23,0.48,0,0,0.03,2.3,0.22,0,0.49,0,0.02,0
02-24,0.36,0.01,0,0.47,0.32,0.02,0,0.09,0.05,0.2,2.88
02-25,0.05,0.01,0.08,0.04,0,0.12,0.03,0.02,0.07,0.02,0.03
02-26,0,0.05,0.5,0,0,0.87,0.38,0.02,0.02,0,0
02-27,0,0,0,0,0,0.03,0.19,0,0.03,0,0
02-28,0.41,0,0,0,0.04,0.59,0.01,0,0.24,0.01,0
02-29,0,0,0.01,0,0,0,0,0,0,0,0.67
03-01,0.07,0.02,0.1,0.02,0.07,0.33,0.01,0.22,0.21,0,0.76
03-02,2.29,0,0.33,0.2,0.01,1.32,0.38,0.23,0.68,0.12,0.42
03-03,0.03,0.03,0.02,0.43,0,0.05,0.03,0.27,0.65,1.91,0.57
03-04,0.01,0.5,0.02,0.01,0.01,3.12,0.38,0.43,0.29,0.97,13.9
03-05,0.02,0.02,0.18,0.14,0.01,0.01,0.14,0.01,0,34.4,0.78
03-06,0.81,0,2.1,0.02,0.61,0.16,0.1,0.03,0.21,1.67,0
03-07,0.1,0.01,1.11,0.03,0.24,6.74,0.2,5.4,1.34,2.71,0.37
03-08,0.31,0.03,0.01,0.27,0.09,0.14,0.08,0.02,0.03,0.7,0.39
03-09,0.07,0,0,0.01,0.02,2.79,0.08,6.22,0.44,3.86,0
03-10,0.01,0.01,0.22,0,2.92,6.52,0.1,20.42,0.07,0.69,0
03-11,0.12,0,0,0.06,0.29,8.39,0.05,0.38,0.06,1.8,0.02
03-12,0.28,0.52,0.24,0.03,0.01,0.59,0.34,0,0.55,0,0.36
03-13,0,0.12,0.33,0,0.37,0.05,0.32,1.05,4.09,0.01,0.03
03-14,0,0.06,0,0.07,2.8,0,0.83,0.41,0.01,0.1,0
03-15,0,0.89,0,2.66,0.23,0,0.07,0.97,0,0.04,0.25
03-16,0.3,1.25,0,0,0,0.09,0.01,0.01,0.01,0.07,0.32
03-17,0.29,0,0.64,0.28,0,0.41,0.02,0.01,0,1.73,0
03-18,0.01,0.3,1.28,0.05,0.06,0.03,0.05,0.67,0,1.29,0
03-19,1.24,0.56,0.44,0,0.03,0.08,0.05,0.36,0.01,2.22,0
03-20,0.18,0.27,0.22,0.23,0.19,0.1,0.09,0.07,0,1.79,0
03-21,0,1.72,0.66,0.03,0.08,0,0.1,0,0.01,1.93,0.32
03-22,6.46,0.05,0,0.59,0,0,0.13,0,0.05,1.76,0.45
03-23,9.81,0.22,0.17,0.94,0.04,0.03,0.02,0,1.56,4.69,0.17
03-24,7.75,0.33,0.14,0,2.24,0.56,0.02,0,1.69,8.86,0.18
03-25,2.98,1.04,1.19,0,0.2,0.37,1.16,0.06,0.07,9.13,0.2
03-26,5.49,1.04,24,0,0.01,0,0.01,2.07,0,0.11,0.15
03-27,0.27,0.19,0.62,0.42,0,0.02,0,0.16,0,0,0.04
03-28,0,0,0.03,0.02,0.2,0.08,0.57,0,0.12,0.46,0.18
03-29,0.26,0.01,1.43,0,9.2,0.35,0.09,0.01,6.09,0.17,0
03-30,0.12,0,1.82,0.01,1.15,0.88,0,0.38,0.12,0.2,0.07
03-31,0.77,0.04,0.3,1.59,0,0.45,0.09,0.95,0.04,0.01,1.8
04-01,7.81,0.35,1.42,0.05,0,0,0.01,0,0.04,0,0.58
04-02,8.61,0.11,0.45,0.31,0.55,0,0,0.13,0.01,0.21,0.66
04-03,0.51,0.28,0.05,2.01,0.01,0.11,0.01,0.1,0.08,0.3,0
