month-day,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
01-01,7.7,6.62,3.94,3.49,5.24,3.16,1.21,1.88,4.76,4.47,5.51
01-02,4.84,4.6,5.2,2.95,5.04,2.11,4.15,2.52,5.61,1.97,6.75
01-03,7.26,2.34,4.5,3.89,8.59,1.41,4.16,3.15,4.4,5.55,5.3
01-04,4.95,1.31,3.68,3.76,5.33,1.6,3.09,4.86,3.6,6.86,3.21
01-05,4.98,2.33,2.04,1.8,3.56,2.43,2.94,4.54,3.85,4.76,4.13
01-06,7.71,3.4,1.28,2.49,3.69,2.34,4.67,3.02,3.14,4.61,2.79
01-07,6.92,4.8,5.84,2.2,5.18,3.83,4.9,2.52,4.42,6.97,3.79
01-08,4.26,4.4,3.38,0.93,3.28,4.39,2.91,1.17,4.72,5.19,4.1
01-09,5.26,7.71,5.6,3.98,2.29,4.32,5.25,1.42,3.21,4.7,4.02
01-10,3.63,7.36,4.48,3.69,2.23,2.32,3.22,2.25,2.08,5.9,3.21
01-11,2.8,5.89,3.38,5.04,1.97,2.45,6.45,5,2.28,6.21,3.1
01-12,3.95,7.69,5.74,4.2,1.63,4.39,5.5,3.58,1.58,7.66,2.3
01-13,4,4.46,3.93,5.78,3.39,6.1,6.22,1.74,1.42,6.47,1.7
01-14,2.42,5.84,5.97,3.66,1.75,3.68,7.56,2.76,1.21,6.43,2.58
01-15,4.86,7.69,4.52,2.63,6.37,3.92,5.05,1.66,1.53,5.11,3.09
01-16,4.96,3,2.52,0.94,6.14,4.58,5.69,4.06,2.06,4.33,1.8
01-17,4.85,2.77,2.78,1.27,6.55,3.87,4.15,3.38,2,1.4,2.29
01-18,4.49,2.17,3.06,1.09,6.74,2.4,2.91,4.15,1,3.4,3.09
01-19,1.95,1.56,0.69,1.67,4.19,3.6,2.27,7.49,3.01,2.26,2.5
01-20,0.85,2.3,0.84,2.08,2.61,1.53,1.29,8.3,3.47,3.59,4.3
01-21,2.37,3.01,2.95,1.84,2.77,2.02,1.07,5.54,2.64,1.58,8.58
01-22,2.57,1.56,4.49,0.92,3.13,3.14,1.07,2.8,2.15,0.97,7.55
01-23,3.53,2.74,3.96,1.2,5.21,3.05,0.92,2.27,0.91,1.39,6.42
01-24,2.97,3.83,4.15,1.39,7.17,1.61,0.68,2.3,1.06,1.42,5.86
01-25,4.34,3.09,5,1.9,3.97,2.92,2.28,3.62,0.65,2.19,3.53
01-26,5.08,4,7.09,3.24,1.78,5.29,4.59,3.18,2.72,4.24,4.54
01-27,4.96,3.08,7.43,3.31,4.43,6.85,3.56,1.86,3.72,3.22,2.66
01-28,4.34,6.74,4.31,3.63,5.2,4.06,5.45,4.27,3.16,1.38,3.58
01-29,3.55,5.34,8.32,4.04,5.13,2.24,4.69,4.54,5.56,3.27,3.65
01-30,1.78,3.61,5.4,2.26,2.54,2.36,4.6,5.13,2.82,3.5,3.39
01-31,5.08,4.82,4.93,3.76,5.81,2.98,5.56,3.65,6.02,4.17,4.05
02-01,6.92,5.93,7.61,3.82,4.76,4.6,5.98,2,5.73,5.14,2.31
02-02,4.33,2.47,5.94,5.94,3.96,4.57,5.18,4.65,3.33,4.95,4.97
02-03,4.77,3.14,4.44,5.24,1.34,2.96,4.97,3.15,3.58,4.29,4.65
02-04,5.54,3.85,4.55,1.77,4.31,4.29,5.43,2.78,5.49,2.3,5.47
02-05,8.56,3.73,5.66,2.79,3.41,3.46,1.37,1.98,6,2.81,6.46
02-06,6,4.98,8.03,2.57,2.66,2.92,1.16,2.3,7.89,0.91,7.56
02-07,5.27,3.63,6.96,2.05,2.65,6.65,3.95,6.96,4.09,0.94,2
02-08,8.63,3.2,9.62,2.31,3.32,7.85,4.24,5.43,4.86,1.59,4.13
02-09,7.18,2.07,4.59,2.94,5.09,7.12,11.18,4.7,3.2,1.82,5.52
02-10,2.6,1.02,3.74,3.19,5.3,4.05,8.67,3.61,2.8,2.7,1.69
02-11,5,1.19,1.45,3.52,6.25,2.53,7.81,3.63,2.31,1.78,2.12
02-12,7.67,0.96,2.49,4.25,3.74,2.87,4.7,5.03,4.97,1.23,2.97
02-13,5.07,5.14,3.55,5.51,4.89,3.43,5.49,5.11,7.1,1.88,4.76
02-14,7.3,2.89,4.49,3.63,4.88,2.09,4.42,6,4.9,1.67,4.89
02-15,8.82,1.86,4.05,3.32,4.11,2.42,8.99,3.89,4.81,2.99,3.96
02-16,3.09,3.04,2.18,3.11,2.28,3.4,8.79,4.47,8.35,4.06,3.48
02-17,4.11,2.87,3.81,2.15,1.44,4.16,6.79,6.34,6.22,5.43,3.84
02-18,3.47,3.17,2.41,2.54,2.37,3.5,6.1,5.29,9.32,5.55,4
02-19,3.21,5.38,4.71,3.24,2.33,3.82,4.97,5.57,6.31,3.65,3.41
02-20,5.19,2.05,6.56,4.27,4.33,4.44,6.93,5.82,8.45,4.33,4.2
02-21,4.9,3.05,7.54,4.61,2.54,3.4,6.53,2.52,8.05,1.83,5.89
02-22,4.23,5.38,3.37,6.76,3.13,2.14,7.57,2.05,4.78,2.09,5.67
02-23,6.66,5.57,2.29,8.87,3.62,2.58,6.24,5.77,4.76,3.52,3.66
02-24,4.96,5.18,1.09,3.32,4.16,1.51,6.24,5.31,6.02,2.78,1.6
02-25,5.04,2.49,1.7,5.91,4.24,1.6,5.05,2.63,3.78,4.31,4.05
02-26,3.3,4.1,2,6.65,4.37,1.79,4.87,1.62,3.28,3.77,7.14
02-27,4.58,3.02,4.08,5.84,2.97,1.55,3.79,1.66,4.43,3.54,2.46
02-28,3.3,5.95,4.23,4.87,5.1,3.31,5.45,3.06,4.11,3.94,3.39
02-29,0,0,1.99,0,0,0,8.15,0,0,0,3.79
03-01,2.21,6.7,5.79,4,7.57,2.43,5.69,3.52,3.16,3.28,5.01
03-02,5.75,5.5,6.51,6.04,6.76,5.13,3.57,2.12,3.28,3.41,4.06
03-03,2.36,4.64,4.64,3.74,4.06,7.35,3.67,1.36,2.43,3.16,1.18
03-04,2.1,4.14,2.94,3.45,2.41,5.62,2.39,2.91,2.25,2.35,3.31
03-05,1.76,2.58,4.04,5.64,3.7,4.57,5.19,3.5,4.89,1.82,1.73
03-06,4.04,3.7,3.07,3.84,2.3,6.62,2.74,1.94,4.57,3.03,1.48
03-07,3.58,4.97,3.47,2.93,2.5,6.52,4.32,1.3,3.81,1.67,3.95
03-08,4.06,3.74,3.21,3.83,5.46,4.67,6.33,1.32,4.17,4.18,4.78
03-09,3.22,3.9,4.81,3.39,2.97,5.3,5.27,2.97,4.24,2.49,3.96
03-10,3.65,2.01,1.55,2.78,3.71,6.85,6.77,7.3,4.05,3.79,2.15
03-11,4.03,2.69,1.54,2.32,2.64,5.81,5.9,8.37,5.12,2.29,2.56
03-12,2.48,3.5,0.92,1.68,3.14,7.58,7.04,6.25,5.44,5.34,3.92
03-13,1.4,3.21,3.31,2.73,2.81,7.38,4.19,7.34,4.14,8.6,4.87
03-14,2.2,4.33,4.74,3.14,5.25,6.59,4.31,5.64,2.22,4.46,4.52
03-15,4.18,3.8,3.81,1.37,3.54,6.89,4.99,3.68,2.1,2.96,5.14
03-16,3.44,2.29,4.58,3.02,2.63,8.43,2.22,3.75,3.34,4.7,2.48
03-17,2.7,2.03,2.77,5.32,6.54,5.04,4.52,3.38,3.14,3.26,3.4
03-18,4.88,3.13,2.78,5.92,5.53,2.7,3.9,3.65,3.03,2.96,3.29
03-19,4.71,3.69,3.61,6.18,5.38,2.16,3.22,3.37,5.33,2.83,3.73
03-20,6.26,2.09,2.81,5.72,3.65,2.55,5.34,2.04,1.85,4.07,1.68
03-21,4.51,4.63,2.07,4.69,2.82,1.54,5.09,2.73,2.29,5.14,2.76
03-22,4.54,2.67,1.28,4,3.93,2.7,4.37,1.62,2.41,6.77,3.32
03-23,3.63,2.3,1.32,4.88,4.24,2.18,3.44,2.84,1.52,6.6,5.08
03-24,2.71,2.14,3.89,5.08,1.56,2.34,2.83,2.97,0.82,6.15,4.05
03-25,3.39,1.91,3.2,5.11,1.56,3.54,2.26,4.08,2.25,5.72,3.28
03-26,2.69,5.01,6.38,4.55,1.86,2,3.26,5.75,3.15,2.91,2.11
03-27,2.28,3.02,6.44,2.8,3.67,1.79,4.59,4.98,2.93,1.72,4.36
03-28,3.29,5.73,7.71,3.32,2.36,1.11,6.35,6.06,1.68,4.66,7.67
03-29,3.77,7.23,5.12,4.7,3.7,1.41,6.61,4.14,3.05,4.5,5.11
03-30,2.07,5.56,3.02,3.88,3.16,1.15,3.74,1.57,3.04,6.03,1.84
03-31,1.76,8.73,2.58,4.09,3.23,4.34,3.49,1.71,6.29,6.31,3.17
04-01,1.35,5.86,3.09,3.21,2.22,2.84,1.51,4.16,5.49,4.09,3.43
04-02,3.27,2.68,3.21,1.64,4.29,2.31,3.22,4.15,2.79,3.82,4.33
04-03,2.93,1.8,2.6,2.71,4.56,1.11,1.97,3.72,2.24,3.09,5.3
04-04,2.93,3.05,3.41,2.56,5.84,4.59,2.49,2.26,4.95,1.72,5.32
04-05,3.96,1.33,2.76,3.14,3.25,4.16,4.17,4.8,4.73,2.03,5.52
04-06,5.45,2.47,5.54,1.22,4.03,3.64,3.14,3.91,6.66,3.54,6.7
04-07,4.87,0.8,4.09,1.36,3.2,2.41,1.88,3.19,7.47,2.12,6.23
04-08,4.57,1.43,2.14,1.93,1.35,0.97,1.48,3.59,1.78,1.34,3.47
04-09,2.59,1.3,3.35,3.48,2.72,3.71,2.69,2.85,2.67,2.64,6.28
04-10,1.57,2.64,3.94,2.99,2.55,4.48,2.97,4.01,2.08,5.57,4.67
04-11,1.96,4.23,2.96,2.74,2.05,2.76,1.48,2.8,4.27,5.52,3.88
04-12,3.39,4.55,2.1,4.01,2.85,2.6,2,1.36,3.33,6.06,4.39
04-13,3.06,1.97,1.05,2.41,1.95,2.78,5.69,1.26,2.76,4.74,4.1
04-14,3.42,3.3,1.58,3.08,1.58,3.07,2.13,2.26,1.04,2.97,2.65
04-15,2.32,2.38,2.02,3.65,3.08,4.1,1.91,2.71,1.4,2.69,6.72
04-16,2.24,3.43,2.99,3.44,4.05,1.54,2.02,2.06,2.52,1.03,4.83
04-17,3.04,4.3,2.02,2.52,5.04,1.68,4.73,2.05,2.5,2.38,3.76
04-18,3.4,4.34,3.2,3.19,3.04,3.43,2.76,1.09,1.49,4.77,3.46
04-19,3.46,2.68,2.19,1.8,1.55,2.68,3.93,1.22,2.82,5.16,4.5
04-20,3.82,2.65,3.78,2.1,1.58,2.36,5.52,1.28,3.85,4.76,3.25
04-21,1.69,3.17,4.09,2.3,2.58,1.88,4.93,3.25,4.33,2.46,3.71
04-22,2.93,3.75,3.74,2.31,3.71,2.25,3.65,2.84,5,2.06,2.18
04-23,2.64,1.57,3.33,1.94,4.15,2.5,2.42,3.07,5.49,3.07,2.24
04-24,1.15,3.1,2.8,3.49,4.74,3.54,1.62,3.76,4.53,2.58,2.94
04-25,2.67,3.71,3.62,3.53,4.83,4.39,2.18,4.36,3.46,2.31,2.54
04-26,4.47,2.16,4.16,3.68,4.25,4.47,1.17,3.05,2.96,2.31,2.11
04-27,3.32,2.12,2.68,2.65,2.27,7.4,1.78,1.18,3,3.86,3.31
04-28,2.16,3.92,4.03,1.95,2.23,3.98,3.58,3.67,2.55,3.09,3.05
04-29,1.56,4.01,4.22,2.96,4.77,1.6,3.29,2.58,2.87,1.53,3.93
04-30,1.64,3.42,2.24,4.9,6,1.32,5.08,1.43,1.38,1.95,3.18
05-01,1.51,3.39,2.82,3.1,3.95,1.5,4.06,1.52,1.4,2.18,1.6
05-02,3.8,3.37,4.95,2.75,4.65,2.66,2.58,1.61,0.81,2.6,2.93
05-03,1.65,5.3,2.71,4.28,1.69,2.27,1.63,6.22,1.8,3.69,4.06
05-04,1.7,4.05,2.15,4.45,0.95,4.64,3.26,6.9,2.29,3.83,1.82
05-05,2.84,7.27,2.71,5.02,1.63,2.7,4.72,2.97,1.95,3.07,1.77
05-06,3.97,7.26,2.38,3.72,1.61,2.23,2.62,2.2,2.57,2.7,2.06
05-07,5.04,3.6,2.09,2.95,1.39,2.23,1.73,2.75,2.51,1.5,2.28
05-08,5.2,2.95,3.02,4,2.38,4.57,1.19,5.73,2.82,3.14,1.45
05-09,5.53,5.05,2.84,2.26,2.44,2.17,2.26,3.74,3.09,2.29,0.99
05-10,6.77,3,2.79,2.13,2.83,1.12,5.52,4.62,3.97,2.6,1.67
05-11,6.52,3.65,2.09,2.82,3.4,1.9,6.25,3.16,4.59,1,3.11
05-12,3.44,3.65,4.16,3.81,2.03,1.52,1.62,2.93,3.26,4.91,2.44
05-13,1.95,1.43,4.82,3.9,1.83,2.47,4,3.26,4.01,3.57,3.58
05-14,2.39,3.97,2.98,3.96,4.17,3.18,3.13,2,1.51,1.59,3.13
05-15,1.12,2.89,2.03,4.32,3.57,2.35,1.33,2.54,3.42,3.65,2.1
05-16,1,3.65,1.4,3.79,5.05,3.51,2.06,2.86,3.84,2.53,1.15
05-17,0.92,3.05,3.03,1.98,3.41,3.02,2.33,2.65,2.61,1.93,0.68
05-18,2.24,5.06,3.58,1.63,1.44,0.65,3.18,2.65,2.35,1.57,1.8
05-19,3.29,4.56,3.64,2.58,1.48,1.42,2.17,2.48,2.27,2.13,2.84
05-20,2.99,3.38,4.24,3.82,1.75,1.72,1.82,5.63,3,4.06,2.89
05-21,1.93,2.56,4.4,2.78,2,2.39,1.66,8.6,2.46,4.03,1.73
05-22,3.52,2.06,1.89,2.63,3.83,2,5.34,3.18,1.54,4.09,3.8
05-23,3.85,2.21,2.93,2.74,4.29,2.21,5.84,5.19,1.99,2.68,3.42
05-24,2.99,2.5,3.28,1.44,2.59,2.45,3.82,3.78,2.96,2.26,1.29
05-25,3.4,2.56,2.16,2.12,1.32,2.25,1.26,4.07,4.55,2.95,1.3
05-26,2.33,2.74,1.18,3.67,3.68,3.87,1.6,2.9,4.53,3.8,3.54
05-27,4.24,3.08,2.81,4.21,1.68,3.47,1.61,1.25,3.25,2.61,3.25
05-28,1.98,3.93,2.93,1.62,2.26,2.78,3.05,1.78,2.88,3.67,4.28
05-29,2.29,4.38,4.2,2.44,4.03,3.73,3.05,2.55,2.88,4.63,3.32
05-30,2.42,3.32,5.86,3.55,1.69,4.3,3.24,2.74,1.9,4.68,4
05-31,1.39,4.88,6.49,1.28,1.65,3.39,3.84,2.84,2.4,4.38,5.33
06-01,1.09,5.4,5.35,1.67,1.85,2.25,3,3,2.01,4.25,4.56
06-02,1.86,7.74,5.35,1.06,2.64,4.18,2.15,2.47,2.29,4.13,2.7
