month-day,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
01-01,-25.86,-28.07,-30.49,-23.89,-24.77,-27.82,-26.67,-31.9,-25.02,-25.19,-25.49
01-02,-26.14,-28.19,-28.43,-25.49,-26.27,-27.2,-25.29,-31.84,-27.74,-24.13,-24.48
01-03,-26.83,-28.61,-24.54,-25.91,-25.72,-26.23,-23.6,-32.17,-27.38,-25.7,-24.73
01-04,-27.51,-28.37,-25.73,-24.33,-25.03,-28.75,-24.09,-31.15,-28.9,-25.47,-26.22
01-05,-27.81,-29.01,-28.95,-25.15,-24.36,-28.65,-25.01,-28.94,-30.16,-26.01,-28.83
01-06,-27.24,-26.83,-30.39,-25.45,-22.7,-27.64,-25.78,-29.57,-29.85,-27.23,-28.65
01-07,-25.97,-28.59,-30.41,-26.28,-22.57,-28.03,-25.68,-31.07,-29.46,-29.89,-29.21
01-08,-26.46,-28.94,-30.99,-26.1,-22.09,-28.05,-27.98,-31.7,-29.67,-30.36,-29.73
01-09,-24.97,-29.19,-31.66,-27.32,-25.29,-27.79,-27.77,-31.82,-25.5,-30.99,-30.38
01-10,-26.83,-30.31,-30.57,-28.89,-27.69,-28.15,-27.45,-32.05,-23.97,-31.17,-27.77
01-11,-26.41,-31.28,-30.33,-28.92,-27.18,-29.01,-23.83,-31.83,-24.01,-30.53,-28.69
01-12,-24.66,-30.89,-28.82,-29.36,-23.97,-28.72,-23.45,-31.3,-23.6,-31.96,-31.33
01-13,-25.13,-29.5,-28.89,-29.77,-22.61,-27.5,-26.62,-31.55,-26.79,-31.03,-31.35
01-14,-23.99,-28.89,-27.76,-29.17,-24.82,-23.99,-26.73,-31.64,-27.46,-31.78,-31.05
01-15,-25.46,-28.8,-22.81,-27.47,-27,-25.62,-26.51,-32.96,-29.61,-32.07,-31.87
01-16,-27.81,-27.79,-22.05,-27.38,-28.53,-26.92,-27.96,-31.37,-29.9,-33.77,-31.44
01-17,-26.28,-27.77,-28.39,-27.72,-28.88,-26.93,-29.26,-27.71,-28.44,-34.08,-31.32
01-18,-28.55,-29.66,-31.36,-24.39,-28.45,-28.56,-29.26,-27.84,-29.2,-33.68,-31.54
01-19,-29.03,-30.46,-30.66,-23.72,-30.12,-30.62,-30.15,-29.21,-26.34,-31.77,-31.94
01-20,-29.38,-29.6,-30.47,-24.48,-30.92,-27.27,-29.92,-29.9,-25.23,-31.08,-32.05
01-21,-30.83,-28.15,-29.75,-28.14,-28.72,-21.68,-30.26,-30.91,-21.6,-31.83,-31.52
01-22,-31.87,-26.13,-31.35,-30.61,-29.95,-18.97,-30.03,-30.95,-22.45,-32.14,-33.01
01-23,-30.52,-28.93,-32.95,-29.89,-31.23,-22.04,-30.45,-29.59,-23.42,-32.72,-34.04
01-24,-30.31,-32.08,-33.02,-31.25,-32.5,-29.68,-30.05,-29.87,-26.76,-31.58,-33.36
01-25,-32.15,-32.18,-31.24,-32.62,-34.3,-30.19,-29.08,-30.98,-27.88,-33.43,-35.21
01-26,-33.79,-32.01,-32.87,-33.46,-34.2,-32.22,-30.55,-30.61,-29.19,-33.21,-35.26
01-27,-33.92,-31.8,-34.86,-30.12,-34.6,-33.79,-32.85,-29.71,-30.4,-33.91,-35.24
01-28,-34.37,-33.32,-36.04,-30.32,-32.32,-33.46,-33.64,-28.77,-33.79,-33.86,-34.91
01-29,-35.98,-33.6,-35.42,-31.94,-35.36,-33.59,-34.71,-27.39,-32.75,-34.81,-35.32
01-30,-36.27,-33.67,-37.3,-34.18,-34.25,-34.32,-35.5,-28.18,-33.07,-34.8,-35.57
01-31,-38.02,-34.47,-37.52,-33.89,-34.91,-33.25,-36.33,-30.32,-32.61,-34.13,-34.34
02-01,-38.94,-35.2,-36.09,-33.44,-36.76,-31.87,-35.32,-34.05,-32.45,-31.15,-36.59
02-02,-39.87,-35.38,-36.98,-33.48,-37.22,-32.56,-33.91,-33.88,-33.68,-32.55,-35.26
02-03,-39.57,-35.76,-34.99,-34.49,-37.6,-33.28,-34.71,-35.33,-33.7,-35.24,-32.51
02-04,-38.14,-36.52,-36.92,-32.4,-37.22,-32.4,-36.71,-35.27,-31.74,-32.8,-35.86
02-05,-39.49,-37.56,-37.89,-34.52,-36.7,-33.21,-34.73,-36.37,-32.22,-33.8,-36.67
02-06,-40.3,-38.27,-39.04,-34.93,-29.53,-33.21,-29.61,-38.02,-34.29,-34.98,-36.95
02-07,-39.54,-38.86,-39.27,-34.76,-30.54,-35.58,-30.68,-38.35,-36.38,-36.36,-35.58
02-08,-39.52,-38.93,-40.1,-38.37,-32.94,-37.58,-30.59,-38.25,-36.2,-37.25,-35.24
02-09,-39.08,-37.28,-40.84,-37.68,-35.7,-38.01,-34.15,-39.55,-34.83,-36.67,-37.53
02-10,-40.1,-37.26,-40.73,-36.25,-35.23,-37.18,-36.13,-39.44,-33.67,-38.19,-39.03
02-11,-40.82,-39.84,-41.34,-38.38,-35.44,-32.61,-36.44,-37.66,-33.38,-36.02,-38.41
02-12,-41.37,-40.98,-42.65,-38.02,-37.87,-32.34,-37.92,-38.57,-35.62,-35.98,-39.09
02-13,-42,-40.36,-42.43,-39.86,-39.62,-34.82,-41.17,-40.13,-38.95,-37.26,-38.62
02-14,-42.23,-40.38,-41.87,-41.26,-39.11,-39.12,-42.69,-41.2,-40.76,-38.57,-39.66
02-15,-43.15,-43.07,-42.12,-41.19,-34.18,-39.14,-41.96,-43.43,-39.92,-42.42,-42.03
02-16,-43.37,-43.74,-43.03,-42.46,-37.02,-38.31,-41.88,-45.23,-40.68,-42.33,-42.12
02-17,-45.01,-42.35,-45.15,-41.85,-39.52,-35.14,-44.38,-45.55,-40.24,-43.62,-43.56
02-18,-43.7,-39.62,-44.55,-41.83,-42.5,-36.69,-45.21,-45.43,-40.41,-45.12,-46.2
02-19,-45.32,-40.25,-44.38,-43.3,-44.63,-40.26,-42.94,-44.77,-41.92,-45.81,-45.27
02-20,-45.99,-42.59,-45.83,-46.23,-45.31,-38.62,-40.67,-45.58,-45.18,-45.84,-42.29
02-21,-46.08,-36.87,-43.35,-45.11,-45.34,-38.2,-40.99,-46.82,-42.73,-44.07,-43.34
02-22,-47.88,-36.12,-41.65,-42.51,-46.08,-39.64,-41.31,-47.33,-43.65,-46.15,-41.69
02-23,-45.21,-41.5,-41.78,-41.08,-44.67,-41.78,-41.77,-47.65,-44.74,-47.46,-38.74
02-24,-44.56,-44.29,-42.79,-38.41,-45.57,-43.44,-42.77,-46.28,-46.02,-45.06,-38.98
02-25,-45.19,-47.29,-43.3,-43.65,-46.26,-40.65,-46.27,-47.61,-46.34,-43.21,-40.17
02-26,-47.35,-48.49,-41.64,-42.21,-48.27,-39.98,-46.53,-49.57,-46.98,-42.31,-42.16
02-27,-48.6,-48.27,-41.5,-43.18,-48.77,-40.63,-47.07,-48.79,-46.99,-40.13,-43.88
02-28,-48.81,-49.36,-41.53,-41.35,-48.71,-43.58,-48.28,-47.14,-48.41,-44.68,-44.73
02-29,0,0,-41.55,0,0,0,-49.53,0,0,0,-46.83
03-01,-51.03,-51.14,-43.13,-47.36,-48.71,-44.79,-43.63,-46.5,-50.44,-48.52,-49.67
03-02,-48.61,-50.78,-44.39,-41.72,-50.83,-44.51,-39.57,-46.57,-51.93,-52.7,-50.13
03-03,-46.26,-47.98,-43.69,-37.98,-50.5,-46.62,-42.72,-48.11,-49.4,-52.63,-51.41
03-04,-47.66,-39.39,-45.81,-37.1,-49.12,-45.94,-43.23,-46.19,-49.69,-50.26,-53.95
03-05,-50.19,-44.03,-46.33,-37.89,-46.03,-46.39,-44.24,-47.64,-52.38,-49.35,-51.66
03-06,-51.99,-45.58,-46.48,-41.85,-50.45,-45.7,-47.71,-46.18,-51.69,-50.11,-48.19
03-07,-53.38,-45.56,-49.24,-46.73,-53.75,-46.86,-48.89,-42.16,-54.85,-52.08,-50.16
03-08,-56.05,-48.1,-51.61,-49.4,-52.62,-41.21,-50.09,-44.86,-54.7,-50.16,-48.37
03-09,-55.08,-51.59,-52.86,-52.41,-50.63,-38.45,-50.92,-48.85,-52.05,-48.43,-50.62
03-10,-53.62,-49.47,-53.43,-54.43,-52.78,-40.67,-52.64,-52.13,-53.13,-46.3,-52.21
03-11,-54.47,-47.95,-51.08,-54.11,-50.36,-40.45,-50.83,-52.31,-54.31,-41.8,-52.86
03-12,-55.46,-51.58,-48.85,-55.15,-48.56,-42.97,-47.79,-51.96,-52.15,-46.88,-53.48
03-13,-55.42,-51.55,-50.25,-56.79,-49.83,-47.44,-49.37,-51.45,-46.83,-51.34,-52.55
03-14,-51.39,-56.12,-51.77,-57.05,-54.83,-52.08,-49.68,-51.31,-51.12,-49.42,-48.79
03-15,-52.43,-55.59,-51.98,-55.64,-58.37,-57.25,-53.43,-51.86,-46.53,-49.35,-46.66
03-16,-54.72,-56.18,-52.32,-51.9,-58.83,-58.05,-52.65,-51.22,-51.34,-52.01,-48.96
03-17,-51.74,-55.39,-55.53,-50.83,-53.18,-58.21,-53.52,-53.71,-48.74,-52.58,-49.57
03-18,-47.56,-53.46,-54.52,-45.06,-46.88,-59.03,-58.08,-54.17,-51.93,-54.07,-51.13
03-19,-54.72,-52,-55.86,-43.68,-51.51,-57.42,-57.47,-52.73,-52.58,-57.43,-41.93
03-20,-56.75,-53.22,-57.93,-47.93,-52.2,-52.34,-55.98,-46.81,-52.54,-57.89,-42.37
03-21,-58.67,-51.73,-55.37,-47.98,-55.92,-52.83,-54.51,-48.7,-57.96,-57.15,-49
03-22,-58.87,-54.36,-50.84,-45.27,-50.17,-53.93,-57.38,-50,-57.73,-57.25,-48.55
03-23,-59.52,-57.48,-53.98,-50.31,-38.6,-54.96,-57.99,-47.28,-54.43,-56.96,-52.94
