month-day,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
01-01,0.01,0,0,0.15,0.04,1.02,0.01,16.23,16.64,2.88,0.04
01-02,12.35,0,0,9.78,0.03,0.04,0,3.13,3.99,0.33,0
01-03,6.7,25.03,0,24.08,0.28,0.68,7.28,8.93,7.15,5.81,0
01-04,0,20.24,0.05,0.08,58.13,0.71,7.6,0.98,0,8.91,0.01
01-05,4.54,0,0.01,0.3,0.1,24.98,0.3,0.09,2.83,0.54,0
01-06,10.85,2.4,0,2.26,0.17,0.16,0.46,0,0.13,6.52,30.07
01-07,0,0.07,0.02,9.71,0.01,0,3.33,0,10.32,0.04,7.85
01-08,0.02,0.01,0.06,0.08,14.19,3.44,0.08,0,0,0.01,0
01-09,0.04,1.57,2.38,0.03,0.03,4.98,0,0.01,5.56,1.31,44.35
01-10,5.14,0,46.33,0.01,0.02,0.29,0.02,0,0.02,0.02,24.69
01-11,17.32,0,0,14.76,0.28,0,0.11,0.01,0.01,0,0.01
01-12,0.12,22.59,1.23,4.36,36.76,0.03,7.13,0.15,0,2.59,3.03
01-13,0,1.22,0.01,0.02,13.48,0.22,0.11,0.01,0,4.97,24.63
01-14,12.18,0.07,0.15,4.68,0,0.05,1.3,0.08,0,0.41,0.04
01-15,0.09,0.01,2.21,0.02,0.2,0,0.04,7.99,0,0.05,2.04
01-16,0.2,0.08,15.48,0,0.41,0.05,4.12,23.19,6.67,0.1,5.03
01-17,0.02,0,2.11,16.62,7.45,0.15,0,0.02,34.94,1.46,0
01-18,2.33,57.79,0.09,2.98,0,2.36,13.48,0.08,0.12,0.08,0.01
01-19,0.05,0.03,0.01,0.03,0,9.45,1.66,0.03,0,38.52,3.37
01-20,0.02,0.69,0.01,4.48,0,71.13,0,0.85,7.94,0.32,0.1
01-21,6.05,1.32,0.06,0.13,0.02,0.4,0,0,0,0.13,0.02
01-22,1.95,0.1,2.3,1.87,0.62,0,0,0.01,0.02,27.52,0
01-23,0.04,0.89,42.86,63.76,21.19,0.25,0,0.01,0.17,13.32,0.23
01-24,0.01,36.98,0.44,22.51,0.02,47.58,0,0,0.17,0.03,6.48
01-25,0.8,0.03,0,0,0,0,41.62,0,0.02,31.43,10.26
01-26,0.05,11.97,0.09,2.32,0,0.01,0.02,5.09,0,7.45,8.59
01-27,0.03,6.67,0.33,0.02,0.02,0.02,0.03,0.22,0,0.03,0.51
01-28,0.45,0.01,0,0.01,7.9,0,0.01,0.05,2.45,0,28.5
01-29,0.57,0.23,0.03,0,1.54,8.42,0,0.05,9.3,0.03,2.07
01-30,0,1.62,0,0.34,2.59,0.75,0,0,0.01,0.01,0.21
01-31,0.06,0,0,1.2,0,0,1.38,2.75,0,1.23,0.11
02-01,0.01,1.19,4.67,0.03,6.83,0.7,0.95,24.78,0.14,0.41,1.57
02-02,0.43,50.99,0,0,15.73,0,3.14,6.44,0.2,0,5.7
02-03,20.67,0,11.2,0.03,0,0.01,0.04,0.58,5.89,0.01,0
02-04,0.19,0.01,18.59,0,28.95,0.06,0.78,0.01,47.54,0,0
02-05,33.03,0.52,15.93,0.02,0,0.1,2.69,0.55,0.2,0,0
02-06,0.16,0.01,0,0.01,0.41,10.48,17.48,0,0,0.06,0
02-07,0.13,0.11,0.34,3.07,18.96,6.39,24.76,14.25,8.32,0.68,0
02-08,0.35,0.42,5.51,1.25,0.08,8.49,0.02,0,1.53,0.1,0.02
02-09,1.96,2.4,1.64,45.05,0.07,0,0.16,1.87,0,0.33,0.04
02-10,0.03,0.49,1.48,0.38,10.74,0.17,11.06,0.37,0.05,0,0.08
02-11,0.01,0,0.47,0.66,38.03,1.37,18.61,2.51,0,0,0
02-12,0.49,0.81,0.48,15.97,2.96,29.01,2.99,0,0.04,1.37,1.2
02-13,41.88,0.01,0.2,0.29,0,5.88,13,1.14,5.35,0.7,21.71
02-14,0.83,5.45,0.01,0,3.06,0.01,0.01,0.22,0.01,0,0.01
02-15,5.44,2.21,16.95,0.38,6.89,0.2,0,2.78,0,0,0.14
02-16,0.09,0.1,24.65,0.01,10.65,0,0,20.56,0.03,4.25,0.17
02-17,0.13,3.44,0.18,0,12.27,3.82,0.01,0.03,2.18,7.82,5.72
02-18,4.54,0.04,0,0,0.54,4.83,0.66,9.24,12.83,0,0
02-19,8.23,0.29,0.07,0,9.29,0,0.23,7.18,0.67,0.05,0
02-20,0.35,0.03,0.1,0,1.23,21.8,0,0.24,0,0.53,0
02-21,4.88,20.66,5.26,0.16,0.93,3.87,0,0.01,0,8.69,0.02
02-22,0.01,12.96,1.5,0.02,7.66,0,0,17.41,5.31,1.63,2.37
02-23,0.1,0.12,24.03,0.13,9.4,2.14,0,0.69,0.09,1.02,4.68
02-24,0.61,0.1,31.18,0.16,1.63,25.22,0.01,0,0.89,0.17,0.49
02-25,0.03,0.02,6.98,11.77,44.43,0.03,5.12,0,20.77,0.11,0
02-26,0.54,0.21,0.03,0.01,0.07,0.01,3.21,0,0.02,0.06,0.05
