month-day,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
01-01,0.14,1.42,4.4,5.83,-8.6,8.79,2.77,3.72,9.69,7.42,4.98
01-02,0.16,2.81,2.7,5.46,-5.79,2.63,4.67,6.28,8.69,7.26,2.2
01-03,-8.53,4.14,4.52,6.73,-3.87,4.76,7.05,4.21,0.11,9.01,3.46
01-04,-4.87,8.35,-1.28,6.05,-2.88,4.37,7.83,3.82,-1.12,10.37,3.29
01-05,2.06,1.66,-4.47,0,-8.74,6.15,3.59,3.44,5.29,8.46,0.51
01-06,4.84,-4.43,1.08,0,-10.02,4.15,4.03,2.47,2.98,6.28,3.13
01-07,-10.75,-5.17,3.62,-3.12,-9.74,-0.77,3.71,1.69,0.7,4.41,3.27
01-08,-7.18,-7.19,4.63,-5,-2.09,5.62,2.07,0.95,-1.82,2.44,3.22
01-09,-2.05,-1.42,7.42,-5.32,0.91,4.58,-0.53,0.18,3.88,4,7.38
01-10,2.79,-5.13,10.56,1.07,1.05,0.4,6.35,1.32,-0.03,3.52,8.33
01-11,8.67,-0.63,0.42,6.22,4.78,-2.29,10.13,1.15,-5.38,2.81,5.13
01-12,4.88,2.86,2.31,10.05,7.85,-1.83,11.68,2.74,1.29,7.59,5.8
01-13,4.74,-2.43,-1.94,5.1,1.85,-0.98,6.09,3.36,4.82,8.18,8.09
01-14,5.96,-1.95,0.99,0,-5.08,-1.42,5.91,4.57,2.59,1.54,1.74
01-15,3.87,-1.49,5.37,1.42,-3.3,-0.45,6.93,5.68,-6.88,1.09,-1.24
01-16,3.28,-0.37,5.7,2.01,1.22,1.32,6.12,6.05,-1.1,1.88,0.08
01-17,3.15,-3.81,1.43,4.09,0.57,-0.88,-2.05,3.77,4.51,3.49,-4.06
01-18,2.68,4.28,-2.36,4.14,-2.96,2.24,-0.54,4,0.8,6.07,-0.67
01-19,0.47,2.48,-3.8,4.73,0.09,2.2,3.22,2.74,4.3,4.98,-0.43
01-20,3.16,1.52,0.28,4.71,3.44,1.79,-2.68,1.72,1.43,5.11,-4.52
01-21,-4.1,-0.78,0.01,6,4.45,-10.2,-2.29,1.97,-4.99,3.23,-3.09
01-22,-8.83,0.71,-2.34,7.17,4.84,-4.33,-0.19,3.81,-3.24,4.07,-0.53
01-23,-7.64,0.03,-0.17,3.95,7.81,3.09,3.47,-0.74,-0.28,3.34,2.08
01-24,-7.56,1.26,-1.89,3.05,2.09,7.35,5.19,-1.64,0.35,3.25,4.64
01-25,-2.41,0.83,-0.19,4.33,-1.15,0.89,6.11,-0.24,2.74,4.86,5.92
01-26,-3.82,-1.74,4.6,5.95,-0.17,-0.8,4.11,2,-3.04,6.22,5.81
01-27,1.21,-4.15,3.32,3.79,4.66,3.51,3.66,2.01,-2.94,3.12,4.22
01-28,-7.05,-5.18,3.1,2.04,6.23,-0.93,2.78,-1.54,0.2,5.2,3.3
01-29,-6.09,-3.27,2.2,2.79,3.11,2.25,1.1,-5.52,-5.54,6.18,2.5
01-30,-4.94,-0.44,0.91,0.99,-0.29,-4.22,0.35,-3.86,-5.72,6.35,1.77
01-31,0.31,-7.24,4.95,0.7,-2.13,-9.8,4.1,-2.96,-2.9,3.25,2.76
02-01,2.53,-1.63,6.42,4.42,2.86,-7.49,3.82,1.28,-0.15,0.55,4.19
02-02,4,-0.43,4.6,3.01,-2.21,-3.3,3.25,1.1,4,1.45,4.4
02-03,0.94,-6.82,8.68,-0.74,-3.71,1.72,5.9,-0.05,4.99,-3.5,1.86
02-04,-1.05,0.56,8.38,-1.41,3.22,3.57,7.56,0.66,4.09,-7.2,2.27
02-05,1.19,-2.83,1.96,2.55,-0.2,6.41,5.2,3.45,-3.23,3.46,1.87
02-06,-3.7,-6.65,1.41,3.56,0.46,3.8,4.92,2.34,-3.01,4.48,1.49
02-07,-3.22,-0.85,3.05,5.36,2.6,4.43,5.36,1.42,2.33,2.24,3.37
02-08,-5.22,2.3,0.74,8.7,-0.91,4.78,1.82,-3.82,2.29,5.36,4.71
02-09,-4.3,-1.68,0.06,-1.44,-0.1,-1.3,4.13,0.83,1.98,6.75,5.96
02-10,-4.14,-1.58,1.15,-2.83,5.02,-0.88,5.98,-1.62,4.49,9.19,6.72
02-11,-6.62,-3.19,-3.38,2.86,6.73,1.07,6.31,-1.06,5.64,4.35,6.04
02-12,-6.54,-1.04,-5.11,1.92,4.25,1.62,4.14,-2.75,6.83,4.82,4.01
02-13,0.97,-8.86,-6.92,0.8,-0.46,2.57,5.67,-1.7,0.37,6.19,2.13
02-14,0.69,-2.8,-10.18,0.14,4.15,2.31,-0.97,1.06,-4.49,6.33,0.1
02-15,-0.05,-9.27,-0.95,3.31,6.57,6.76,-3.4,1.27,-3.72,8.84,0.46
02-16,-4.05,-9.9,7.37,-0.11,7.55,2.57,3.01,5.21,2.45,10.19,2.64
02-17,-4.93,-5.5,2.89,0.6,1.09,-0.21,4.43,-1.63,7.67,8.11,0.6
02-18,0.88,-3.84,-0.18,5.65,2.63,1.9,5.96,-0.57,5.09,1.62,0.6
02-19,2.18,-7.17,0.62,8.64,5.29,-1.18,4.33,0.39,0.27,5,1.46
02-20,2.62,-10.77,6.44,5.43,9.08,-0.35,0.21,-1.16,-1.4,8.16,-0.45
02-21,4.14,-3.47,6.92,3.67,11.18,3.85,-1.57,-1.35,3.83,5.18,1.95
02-22,3.94,0.97,4.66,6.21,5.07,3.19,2.62,1.62,6.45,4.3,3.16
02-23,4.79,-5.62,3.22,7.87,3.67,2.24,4.23,2.51,9.31,5.16,4.94
02-24,1.13,-8.67,7.94,9.88,6.78,5.48,5.52,4.25,0.4,3.62,2.49
02-25,-1.68,-2.6,7.44,9.49,5.41,1.5,6.35,4.14,1.93,-1.41,-0.65
02-26,-2.64,-3.92,0.7,3.57,5.59,-1.09,6.33,2.82,-1.36,3.35,4.74
02-27,-3.29,-4.81,0.79,4.57,4.92,-2.28,4.1,5.81,2.22,2.73,6.52
02-28,-7.27,-5.87,5.42,7.81,6.26,0.09,1.61,4.45,-0.43,3,8.81
02-29,0,0,7.3,0,0,0,-0.29,0,0,0,1.59
03-01,-1.36,-2.18,5.4,11.12,7.11,0.83,1.18,4.96,3.35,3.91,2.49
03-02,0.95,-0.66,4.57,6.2,2.76,1.63,6.71,-1.33,4.79,6.63,7.16
03-03,-4.87,-1.91,-0.32,0.55,3.8,1.87,8.31,3.7,2.6,4.3,9.77
03-04,-5.38,2.14,1.02,-3.39,3.23,1.01,7.71,2.7,-1.08,6.34,7.18
03-05,-0.76,-1.99,0.71,-3.14,2.1,-2.96,5.41,-0.36,3.02,5.32,6.68
03-06,-3.76,-6.98,2.83,1.02,2.81,-4.7,5.43,0.5,9.23,5.46,7.49
03-07,0.58,-2.67,5.59,6.92,2.17,-3.58,3.39,0.5,11.33,3.61,7.83
03-08,3.49,1.23,7.26,9.26,1.46,-0.34,5.38,0.81,4.57,2.69,5.68
03-09,2.83,4.33,9.11,8.63,1.57,2.19,8.62,6.06,2.72,4.04,5.73
03-10,3.85,4.53,12.46,1.75,1.71,4.43,10.35,5.22,3.44,4.35,6.18
03-11,7.71,5.92,10.56,-3.34,2.15,5.05,7.6,8.3,5.15,4.68,4.48
03-12,6.25,3.15,7.3,-3.2,2.61,2.19,6.89,10.17,2.26,3.59,7.98
03-13,-3.96,1.56,9.23,-2.42,2.22,2.61,10.54,3.75,-0.71,4.96,8.38
03-14,0.85,5,6.67,0.88,1.45,5.58,7.06,4.19,4.98,2.5,8.86
03-15,6.28,3.39,7.71,-3.88,2.9,9.32,6.47,-0.51,7.42,2.87,10.7
03-16,0.59,3.44,8.35,-0.87,1.38,5.62,3.78,0.82,8.39,5.07,8.58
03-17,-1.47,4.64,8.24,0.73,2.14,2.33,7.16,4.49,8.21,7.44,9.56
03-18,1.05,0.23,7.77,2.49,1.42,3.04,6.36,5.51,9.96,6.49,6.02
03-19,3.51,0.84,3.94,2.97,3.04,3.86,7.98,1.98,10.48,1.32,4.16
03-20,5.35,0.88,2.24,3.77,1.5,4.52,11.57,4.68,9.47,3.65,6.83
03-21,4.06,2.46,3.85,6.24,1.69,6.16,6.81,5.81,8.23,6.33,1.93
03-22,6.29,1,5.31,0.77,3.8,5.75,3.1,6.64,7.02,7.14,1.94
03-23,2.04,-0.98,9.6,0.69,3.92,3.31,4.41,6.42,4.99,9.31,6.57
03-24,-1.82,0.67,7.42,5.49,3.74,5.79,5.95,7.73,7.69,7.56,2.9
03-25,0.47,3.39,11.47,7.59,3,6.7,5.73,10.39,8.42,6.69,4.61
03-26,-0.36,6.92,5.53,4.74,2.96,3.19,6.45,12.47,7.31,8.72,4.85
03-27,-0.18,4.96,6.33,7.96,2.79,2.43,10.37,9.55,4.01,7.12,6.81
03-28,6.81,1.07,8.78,6.71,5.64,4.88,8.11,10.14,-1.5,6.81,7.42
03-29,6.54,1.03,6.47,7.24,7.11,8.19,8.07,7.43,-0.15,6.33,6.46
03-30,6.76,4.51,5.41,4.8,8.84,8.76,6.7,7.74,2.81,3.65,6.86
03-31,4.81,3.04,10.52,4.9,5.41,8.01,5.86,10.14,10.36,6.84,8.68
04-01,5.22,3.55,12.93,4.77,7.26,3.23,6.48,6.89,9.19,11.61,8.35
04-02,5.98,6.38,9.17,7.04,3.1,5.12,7.65,1.35,5.63,6.52,7
04-03,7.68,9.27,3.53,7.79,4.7,8.05,7.95,4.51,5.98,7.52,5.98
04-04,5.77,7.23,5.91,9.71,7.44,7.09,8.6,8.51,6.36,11.13,5.55
04-05,6.19,6.76,0.94,8.65,3.22,4.44,9.54,9.5,7.09,9.56,5.73
04-06,5.14,7.69,4.16,8.05,5.99,9.27,10.56,10.08,8.3,12.9,6.45
04-07,5.94,8.16,10.08,6.66,4.92,9.31,9.69,10.42,8.17,9.53,7.28
04-08,9.33,4.9,6.41,5.97,2.43,12.5,10.93,10.88,9.61,5.81,8.77
04-09,7.65,4.03,4.45,7.85,2.93,7.78,9.52,8.83,8.59,6.64,11.71
04-10,7.31,7.91,3.74,10.15,4.79,8.51,6.31,11.22,6.98,8.67,8.93
04-11,10.29,8.04,8.79,11.67,5.1,6.17,6.78,10.17,7.28,11.57,9.88
04-12,10.84,7.4,9.49,12.16,7.92,10.24,9.24,8.02,12.25,15.53,12.17
04-13,11.03,8.41,6.75,10.13,11.81,12.44,12.76,9.93,11.73,16.83,9.44
04-14,11.56,11.18,7.77,9.16,11.18,11.98,9.17,10.96,14.12,16.55,10.81
04-15,10,10.48,8.32,9.94,4.89,11.24,7.28,10.02,11.66,13.41,15.23
04-16,3.25,8.87,8.82,15.57,8.9,9.27,6.35,7.86,11.04,13.27,12.28
04-17,4.01,12.17,10.09,14.18,5.49,9.04,5.81,8.76,6.89,12.94,9.91
04-18,4.17,12.99,12.84,10.05,6.29,10.85,6.36,10.4,6.69,10.74,8.01
04-19,8.91,8.9,12.79,8.6,6.43,13.12,8.13,11.25,7.82,10.16,8.36
04-20,7.38,10.51,10.32,11.12,5.09,12.21,8.56,11.87,8.64,9.78,10.6
04-21,8.16,11.51,11.49,10.16,7.21,11.38,8.93,10.22,9.5,11.43,7.59
04-22,10.37,10.02,14.88,10.54,8.46,11.76,5.7,5.46,11.95,12.42,8.65
04-23,9.55,6.39,13.89,9.52,8.5,13.85,5.69,8.35,10.13,13.43,9.14
04-24,8.2,4.99,10.59,9.87,9.45,13.87,8.17,10.8,10.14,10.65,12.1
04-25,7.93,6.79,11.68,10.7,10.41,10.6,8.84,10.49,9.84,10.68,7.37
04-26,9.57,8.91,13.09,12.35,12.53,12.51,8.32,8.5,12.09,10.48,8.45
04-27,9.15,9.19,9.83,12.75,10.3,10.72,7.17,9.77,9.55,10.54,9.12
04-28,9.62,11.2,9.3,15.95,10.62,9.4,9.4,14.8,7.21,10.17,12.5
04-29,7.81,13.27,9.31,16.75,9.58,8.87,9.53,16.46,8.41,10.82,15.46
04-30,8.44,9.62,9.56,12.13,7.64,11.43,11.64,13.5,10,11.81,11.74
05-01,13.79,8.69,9.15,13.8,12.63,10.74,12.55,9.89,10.66,11.81,13.13
05-02,13.04,9.85,10.78,15.95,15.68,12.19,13.01,14.39,10.81,10.38,15.01
05-03,11.88,11.72,10.58,12.48,17.18,10.83,14.54,12.37,10.74,9.88,11.64
05-04,11.87,14,9.62,10.48,16.72,13.19,13.02,12.99,12.29,10.27,10.94
05-05,11.39,16.16,9.19,12.19,14.3,11.12,10.19,12.24,13.74,11.61,10.67
05-06,11.81,13.99,9.54,13.39,12.39,12.37,8.93,12.05,11.31,14.15,14.9
05-07,11.38,13.96,10.33,10.67,13.73,12.58,11.17,11.33,9.47,14.69,16.54
05-08,12.25,14.39,11.49,10.23,12.71,13.14,8.58,10.3,9.91,16.35,16.99
05-09,12.95,14.26,12.77,10.99,12.96,11.43,5.46,10.22,10.77,13.81,15.09
