month-day,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
01-01,0,0.18,0.04,0,0,0,0,0,0,0,0.17
01-02,0,0.02,0.01,0,0,0.33,0,0.14,0,0.01,0.74
01-03,0,0,0.01,0.01,0.01,0,0,0.01,0,0,0.61
01-04,0,0,0,0,0,0,0.54,0.01,0,0,0.69
01-05,0.02,0,0,0,1.38,0.03,0.44,0.25,0,0,0
01-06,0.02,5.96,0,0,0.01,0,0,0.65,6.59,0.07,0
01-07,0,0,0,0,0,0,5.97,0.13,0.01,0.22,0.04
01-08,15.72,0,0,25.58,17.11,0,11.7,0,0,0.01,0.01
01-09,12.42,0,0,9.36,13.75,0.15,0,0,0,0,0
01-10,0.01,0,0,0,0.01,0,0.22,0,0.07,0.2,0.06
01-11,0,0.03,0,0,0,0,0.04,0,14.75,0,0.27
01-12,0,0,1.6,0,0,1.57,0.09,3.28,0.04,0,0
01-13,0,0,0,0.03,0.01,0.22,0.01,0,0.06,0.06,2.64
01-14,0,0,0,0.29,0.01,0,0.02,0,0,6.6,0
01-15,0.52,39.44,0.04,0.03,0,0.28,8.84,0.54,0,4.89,0.06
01-16,0,0.3,0.08,0.01,0,0.21,0,0.15,0,6.3,0
01-17,0.26,0.22,3.15,0.01,18.6,0,1.78,0,0.02,0.56,0
01-18,0.11,0,50.45,0,0.01,0,11.13,0.01,0,1.33,0.01
01-19,0.33,0.02,0.01,0.02,0.01,0,0.03,0,0,0.99,0.04
01-20,0.01,0,0.02,2.24,1.76,0.14,0,0,0.04,1.13,2.52
01-21,0.9,7.41,0,0.5,0,0,0,0,0,0.01,35.85
01-22,0.8,11.65,0,0.17,25.12,0.02,0.02,0.31,0,0,1.36
01-23,0,5.28,0.37,0.01,0.11,0,6.39,28.64,0.72,1.96,0.34
01-24,0,0,0,0,0,0,0.01,28.3,0.64,2.85,0.53
01-25,0,0,0,0,0.01,0.01,0.18,0.89,0.78,0.01,0
01-26,3.25,3.26,0,0.01,0,0.58,8.11,0.31,0.68,0,0
01-27,0,21.13,0,0.01,0,0.01,13.9,14.15,0,2.95,0
01-28,0,0.81,0,0,0.14,0.01,33.03,7.31,0,0.07,0.01
01-29,0,0,13.57,0.09,0.13,0,36.22,0.08,0,0,0
01-30,4.43,21.57,14.13,1.61,0.12,0,0.15,0,0,0,0.01
01-31,0,0.01,0.09,0,0,15.13,0,0,0,0.05,0.07
02-01,0.52,0,0.08,0,6.75,0.55,0.01,0.25,0,0,2.06
02-02,0.16,0,0.05,0,5.78,0,0,9.52,0,0,0
02-03,0.01,0.01,0,0,0.37,0.55,0.01,0,0,0.15,0.19
02-04,2.38,0.41,0,0,0.03,1.33,0.01,0,0.01,0.25,5.9
02-05,0,10.42,0,2.55,0,0.17,0.01,0,0.03,0,25.5
02-06,0.01,0.03,0.18,1.93,0,10.6,0,0,0.01,0,6.74
02-07,0.01,0.89,0.52,0,0,0.01,0,0.01,0,0.1,0.06
02-08,21.75,12.93,0.44,0.01,0,0,0.05,0.03,0.07,0.18,0.07
02-09,2.49,0,0,8.61,0,3.42,0.03,0,0.01,0,0.04
02-10,0.07,0,0,0.83,2.32,0.15,0.04,0,21.2,30.88,0.02
02-11,1.96,0,0,0.01,3.81,2.48,0,0,4.39,0.18,0.19
02-12,0.05,0,0.03,0.01,0,0,0.12,0,0,0.21,0.69
02-13,0,0.03,1.37,0.01,0,0.95,7.84,0,30.37,22.85,0
02-14,17,0,10.92,0.02,0,0,0.21,0.03,8.08,0.2,0
02-15,58.15,0.01,3.63,0,0,0.22,0.01,60.21,0.6,0,0.19
02-16,0.02,0,0.01,0,0.02,0.02,15.72,0,0.32,0,2.54
02-17,0,2.27,0.01,0.51,0.02,0,0.79,0.01,0,0.01,0.02
02-18,0.03,6.26,0.15,0.02,0,0,0.56,0.01,0.01,0.01,0.04
02-19,0.05,0.06,0.02,0.02,0,3.4,0,0,7.37,0.52,2.01
