month-day,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
01-01,7.65,2.97,5.13,7.45,4.88,4.71,4.62,3.86,1.09,5.33,7.86
01-02,6.39,2.63,6.25,7.84,4.54,4.53,5.81,4.29,3.17,4.56,6.63
01-03,4.92,3.03,9.51,6.27,3.23,3.57,6.38,3.15,4.85,3.83,6.55
01-04,5.92,3.65,9.28,7.15,2.83,4.36,6.21,5.97,4.73,4.03,8.08
01-05,3.15,5.74,9.5,4.16,2.08,7.35,4.45,5.29,2.01,3.6,7.14
01-06,2.9,10.15,7.11,3.15,3.78,3.44,5.49,4.97,1.17,4.28,9.44
01-07,3.84,3.66,6.93,4.35,4.8,3.91,6.25,5.48,2.17,5.81,7.52
01-08,8.18,3.55,6.26,5.57,7.7,5.57,9.1,2,3.74,5.8,4.01
01-09,6.13,3.36,5.62,7.26,10.32,2.72,8.51,2.4,6.63,6.8,4.95
01-10,1.39,3.39,6.4,6.89,5.53,2.93,6.37,2.22,6.22,4.1,6.58
01-11,3.08,4.82,5.4,5.18,3.77,5.08,6.26,2.19,6.06,4.7,4.31
01-12,4.06,3.24,3.08,5.13,1.95,3.92,6.62,3.11,3.27,6.6,6.76
01-13,2.74,3.97,4.47,5.9,2.57,5.24,7.52,5.43,3.79,8.23,4.93
01-14,1.91,5.86,5.22,2.36,2.49,4.29,7.74,6.56,2.65,13.4,5.15
01-15,2.21,5.9,4.62,0.59,5.87,5.76,7.22,6.54,3.73,9.75,6.25
01-16,3.21,7.21,5.18,2.56,7.36,6.37,6.1,9.26,4.86,5.65,2.06
01-17,3.3,5.5,5.59,4.21,11.96,5.03,5.84,4.49,5.36,4.39,5.9
01-18,3.36,3.37,8.24,4.72,8.45,3.61,3.64,3.95,2.8,6.46,8.39
01-19,2.09,5.09,4.03,4.87,6.28,4.96,5.59,3.4,3.35,5.68,8.26
01-20,4.41,3.85,3.45,2.54,5.74,6.22,7.66,2.71,2.44,7.07,6.71
01-21,5.71,3.84,3.83,4.08,6.21,4.09,5.42,4.99,1.44,3.54,9.49
01-22,3.42,5.39,4,5.49,2.84,3.88,5.5,7.94,3.05,3.43,9.61
01-23,3.25,5.96,3.72,2.24,3.83,5.06,6.5,6.25,3.68,4.34,7.98
01-24,5.24,4.32,2.15,1.37,2.18,3.87,8.95,5.66,4.2,4.72,3.69
01-25,7.63,5.62,1.15,2.12,-0.9,4.14,6.47,6.6,3.7,-1.52,3.15
01-26,9.04,9.39,2.83,4.05,-0.08,3.11,4.95,7.72,5.36,2.26,3.81
01-27,2.18,9.69,5,8.69,0.85,2.7,5.77,10.5,5.1,3.15,4.69
01-28,7.16,3.54,6.44,6.64,2.25,5.67,9.29,5.27,4.21,1.97,4.97
01-29,6.01,2.6,5.26,7.82,4.01,3.94,12.07,5,4.35,2.61,5.61
01-30,10.77,3.95,3.53,11.83,1.77,4.33,10,2.85,3.54,3.82,7.55
01-31,8.59,3.58,5.72,4.1,3.53,5.39,6.28,4.61,2.44,2.58,8.92
02-01,6.67,1.91,3.23,4.8,3.48,1.88,5.59,6.82,4.54,6.54,9.33
02-02,9.08,2.31,3.91,2.68,2.71,5.13,6.5,10.96,4.62,4.63,3.96
02-03,10.88,2.66,3.41,4.79,3.82,7.67,8.68,4.98,4.64,3.45,4.94
02-04,4.68,3.82,3.79,6.39,3.9,12.25,6.8,4.97,4.14,5.74,4.5
02-05,0.13,2.84,6.44,7.61,3.29,6.03,6.14,5.63,2.45,5.72,2.9
02-06,0.81,3.94,5.1,8.68,2.65,6.59,1.01,8.36,1.62,6.92,2.86
02-07,2.17,4.99,3.33,3.25,2.48,9.94,2.34,8.19,2.52,8.9,4.08
02-08,2.1,4.99,4.93,3.94,2.23,4.38,5.07,4.31,3.97,7.58,4.65
02-09,4.08,1.92,5.29,2.92,3.9,1.3,2.02,2.56,4.39,4.53,5.48
02-10,3.95,3.28,3.8,3.42,6.82,2.65,3.63,4.98,3.43,3.79,6.13
02-11,2.19,4.79,3.9,3.02,7.74,3.06,5.04,6.07,3.21,6.71,6.66
02-12,3.1,6.06,7.93,3.95,2.96,4.49,8.17,6.39,4.07,10.51,5.18
02-13,3.64,3.9,13.98,3.96,2.96,4.33,13.91,8.63,3.37,7.44,8.68
02-14,2.55,2.95,17.15,4.31,4.69,2.87,11.14,11.18,2.39,4.03,10.37
02-15,8.53,4.09,7.65,4.23,8.05,3.39,10.4,13.22,5.14,1.9,13.59
02-16,5.23,4.48,3.96,5.68,5.09,6.09,11.49,8.78,5.08,2.84,9.01
02-17,4.49,4.91,4.95,11.66,4.53,4.63,11.37,6.05,2.54,5.5,7.88
02-18,3.11,3.72,4.93,5.75,1.51,6.62,5.86,3.33,3.79,8.09,11.95
02-19,3.01,5.28,8.62,4.74,4.14,9.6,6.88,5.01,4.83,13.44,14.92
02-20,3.59,4.77,9.62,10.82,5.94,12.64,7.75,8.98,6.29,7.6,17
02-21,3.08,4.54,9.53,4.13,4,8.6,8.85,12.84,2.16,2.89,9.5
02-22,2.94,9.07,5.97,5.76,2.97,8.33,12.9,13.03,2.97,3.83,4.96
02-23,4.2,13.5,7.23,12.14,4.15,7.17,8.01,9.16,2.83,7.74,3.02
02-24,4.17,8.88,5.61,5.71,6.11,7.27,8.06,4.52,2.52,7.93,4.5
02-25,5.19,7.66,4.03,6.09,4.9,12.37,10.04,4.98,4.42,6.61,5.96
02-26,6.74,8.28,5.29,7.06,4.81,8.79,8.57,7.12,6.45,4.29,6.64
02-27,10.69,7.14,6.29,5.36,6.11,7.1,5.47,3.88,7.89,6.25,5.35
02-28,13.11,5.32,7.76,4.64,8.12,7.85,5.43,5.72,7.49,10.56,6.18
02-29,0,0,10.37,0,0,0,9.35,0,0,0,7.02
03-01,8.8,9.43,3.76,5.98,12.84,8.6,10.69,11.66,9.09,12.49,9.34
03-02,6.23,7.09,5.1,6.87,7.06,7.5,8.35,13.95,9.5,12.03,5.05
03-03,5.44,6.17,8.64,7.4,8.01,7.71,9.47,5.82,8.24,6.35,5.9
03-04,5.4,10.74,8.56,7.34,12.48,9.06,10.2,8.76,6.61,8.97,7.76
03-05,9.22,7.28,10.52,9.36,15.33,8.44,7.9,11.87,9.06,8.26,6.28
03-06,3.69,6.64,12.91,8.63,7.13,10.76,7.29,11.46,5.84,8.85,6.24
03-07,2.83,6.43,14.72,5.67,4.93,8.59,7.35,6.51,6.11,10.41,6.24
03-08,3.99,7.41,14.85,5.18,9.73,6.05,8.37,6.48,5.78,12.36,5.05
03-09,5.22,9.47,8.69,5.93,12.86,9.03,11.6,8.79,6.97,14.1,5.06
03-10,3.28,7.17,5.99,6.3,6.54,12.45,15.44,9.87,8.03,14.96,5.2
03-11,3.92,4.34,4.77,5.63,8.16,11.99,14.14,8.26,10.29,11.77,6.88
03-12,9.31,6.37,5.84,6.2,7.82,10.23,9.26,11.93,12.54,12.85,10.18
03-13,13.39,6.74,6.79,7.92,9.96,9.7,10.96,12.31,12.87,12.79,7.72
03-14,8.88,6.1,5.83,8.21,12.67,7.12,5.84,10.25,16.33,8.28,7.78
03-15,6.32,8.41,6.58,4.05,13.68,8.04,6.41,9.92,11.76,10.63,9.54
03-16,8.8,10.75,7.88,6.95,11.45,7.34,5.92,13.77,11.89,13.54,11.34
03-17,8.88,13.08,11.58,7.37,5.79,7.56,6.47,11.09,12.54,11.46,14.6
03-18,13.19,13.08,13.46,8.54,10.36,8.04,10.92,10.1,6.72,7.57,7.23
03-19,9.04,14.81,15.13,9.92,13.54,11.96,13.13,10.36,9.8,8.35,6.67
03-20,9.7,10.5,11.18,9.96,7.25,12.53,12.99,13.51,8.82,11.81,8.89
03-21,8.13,9.06,8.09,8.89,6.81,15.71,11.5,17.24,8.97,14.27,5.02
03-22,7.17,11.79,9.36,7.93,10.94,14.68,14.22,11.67,4.55,15.95,5.66
03-23,8.79,8.58,10.12,7.79,10.16,6.31,9.62,9.03,5.02,16.98,6.16
03-24,10.56,6.08,5.88,6.74,9.74,7.57,6.85,12.48,8.47,18.72,9.2
03-25,14.04,6.13,6.04,6.18,11.02,8.78,7.93,13.07,10.69,11.48,11.88
03-26,14.36,6.88,6.99,7.43,12.82,10.15,11.29,12.04,15.41,12.99,10.28
03-27,12.16,9.54,9.33,4.8,13.49,11.62,15.07,11.53,15.46,10.98,8.99
03-28,12.38,11.28,9.73,7.39,15.36,11.47,15.63,15.99,12.14,10.36,10.78
03-29,15.04,13.06,11.56,8.08,15.43,7.9,4.3,17.94,11.25,11.63,15.64
03-30,15.73,12.98,13.42,11.06,10.88,9.7,8.05,16.36,13.67,13.62,16.46
03-31,13.14,14.06,12.55,7.55,11.23,10.54,10.61,14.99,15.16,14.42,18.02
04-01,11.16,13.84,12.29,5.42,14.34,8.15,12.7,14.88,6.78,14.03,13.83
04-02,12.88,10.09,10.97,7.24,16.31,6.95,11.71,14.63,7.04,13.01,12.08
04-03,14.6,16.36,14.38,8.97,16.3,6.35,11.1,15.04,9.58,11.15,13.91
04-04,14.96,12.63,15.7,9.79,17.42,9.35,14.33,17.15,10.9,12.13,15.31
04-05,9.93,11.58,10.53,12.97,12.56,13.31,10.75,14.23,11.19,14.56,10.93
04-06,6.97,15.52,13.17,14.98,17.53,13.51,10.28,10.26,14.13,16.89,12.71
04-07,9.21,10.16,16.56,16.29,15.21,13.59,10.91,11.9,13.74,18.18,16.19
04-08,13.03,4.26,15.25,16.92,10.36,9.81,13.33,11.79,13.62,15.18,17.15
04-09,13.06,7.2,15.21,14.66,11.23,9.19,12.4,11.07,15.38,10.33,15.38
04-10,13.88,8.94,15.23,9.51,11.97,7.87,9.81,9.28,17.48,13.26,10
04-11,10.33,11.76,10.5,10.94,15.78,9.39,10,11.27,17.02,16.7,13.11
04-12,11.12,11.3,9.19,12.56,17.7,8.7,10.86,13.39,17.88,17.3,14.39
04-13,11.03,11.12,14.91,10.51,12.61,10.58,11.17,15.57,19.33,13.76,15.19
04-14,11.8,13.48,16.04,13.01,14.63,13.91,9.3,16.55,13.43,16.55,16.4
04-15,14.11,14.32,13.54,16.15,17.47,14.95,11.94,9.91,10.68,15.29,17.13
04-16,15.08,14.37,14.48,16.89,13.21,12.77,11.06,13.5,10.95,16.6,16.73
04-17,15.52,15.16,18.04,17.43,13.78,13.97,11.91,15.08,12.26,13.48,18.6
04-18,12.08,11.84,17.57,18.69,13.43,15.46,14.58,15.36,15.11,13.79,16.21
04-19,11.3,14.72,15.7,15.08,15.57,16.87,13.85,13.46,14.47,18.49,15.52
04-20,10.53,18.02,13.74,12.8,16.71,13.25,11.99,15.59,13.18,18.76,17.04
04-21,14.39,16.74,16.47,14.72,17.07,16.4,13.99,15.49,15.72,19.16,17.81
04-22,15.53,14.12,17.37,13.54,19.01,17.66,13.51,14.7,19.41,14.23,16.82
04-23,14.3,15.96,16.93,12.12,16.97,17.08,11.15,11.88,19.41,12.72,16.6
04-24,14.02,16.67,14.76,13.11,17.69,18.22,11.57,13.96,17.81,11.84,15.48
04-25,15.64,15.04,15.89,14.02,19.4,20.06,11.84,14.97,18.51,13.8,18.77
04-26,15.87,15.58,18.09,15.36,16.59,13.77,16.17,10.84,20.6,16.66,18.57
04-27,15.57,17.61,17.04,13.9,16.98,10.98,13.48,13.19,21.46,15.31,18.6
04-28,15.93,18.52,16.02,14.75,17.38,11.01,13.12,16.82,14.78,17.34,19.82
04-29,16.51,17.31,14.13,14.7,18.73,14.46,14.8,17.86,13.8,18.13,19.64
04-30,16.55,16.89,14.12,15.97,19.02,15.45,17.02,17.93,10.63,19.94,20.26
05-01,19.02,18.17,17.92,16.45,19.7,17.76,18,17.65,13.73,16.5,16.3
05-02,18.69,18.64,17.05,14.13,19.63,17.03,19.15,16.59,13.31,15.24,14.52
05-03,19.1,19.39,18.89,15.69,20.78,16.9,18.88,14.44,13.77,17.34,16.74
05-04,15.5,19.72,19.5,16.32,16.8,17.54,18.09,16.85,16.65,18.48,19.6
05-05,16.52,15.69,19.07,18.02,16.58,18.08,19.09,18.09,18.27,18.73,19.58
